Date,Open,High,Low,Close,Volume
2016-01-04,58.06,58.32,56.4,57.61,10308397.0
2016-01-04,58.06,58.32,56.4,57.61,10308397.0
2016-01-04,58.06,58.32,56.4,57.61,10308397.0
2016-01-04,58.06,58.32,56.4,57.61,10308397.0
2016-01-05,57.99,58.25,56.815,57.37,7179634.0
2016-01-06,56.37,57.56,56.18,57.38,8952688.0
2016-01-07,56.52,57.84,56.34,57.21,9292584.0
2016-01-08,57.55,57.81,55.48,55.65,7985156.0
2016-01-09,57.55,57.81,55.48,55.65,7985156.0
2016-01-10,57.55,57.81,55.48,55.65,7985156.0
2016-01-11,55.86,55.98,52.83,53.88,10483232.0
2016-01-12,54.47,54.9701,53.57,54.84,6799265.0
2016-01-13,54.55,54.62,50.98,51.18,10432227.0
2016-01-14,51.32,56.8295,50.71,54.56,16704779.0
2016-01-15,53.01,57.41,53.01,57.34,26727332.0
2016-01-16,53.01,57.41,53.01,57.34,26727332.0
2016-01-17,53.01,57.41,53.01,57.34,26727332.0
2016-01-18,53.01,57.41,53.01,57.34,26727332.0
2016-01-19,57.53,57.73,54.23,54.99,13643672.0
2016-01-20,54.21,57.93,53.7,57.15,11993149.0
2016-01-21,57.29,58.77,56.92,58.36,12096554.0
2016-01-22,59.1,59.43,57.82,58.83,10383842.0
2016-01-23,59.1,59.43,57.82,58.83,10383842.0
2016-01-24,59.1,59.43,57.82,58.83,10383842.0
2016-01-25,59.03,59.81,58.18,58.65,9680396.0
2016-01-26,59.01,59.27,57.21,58.26,7421073.0
2016-01-27,58.36,58.93,56.45,57.11,9075307.0
2016-01-28,57.23,57.73,54.78,55.85,10520645.0
2016-01-29,53.42,55.31,53.42,54.9,17768483.0
2016-01-30,53.42,55.31,53.42,54.9,17768483.0
2016-01-31,53.42,55.31,53.42,54.9,17768483.0
2016-02-01,54.16,54.88,52.51,54.39,11693273.0
2016-02-02,53.64,54.78,53.32,53.95,7918204.0
2016-02-03,54.53,57.18,54.05,56.84,16435661.0
2016-02-04,56.74,57.31,55.355,56.76,10351220.0
2016-02-05,56.25,56.34,52.62,53.12,13262042.0
2016-02-06,56.25,56.34,52.62,53.12,13262042.0
2016-02-07,56.25,56.34,52.62,53.12,13262042.0
2016-02-08,52.58,54.1,51.941,52.89,9369377.0
2016-02-09,52.31,53.94,52.06,53.48,7655796.0
2016-02-10,54.11,54.69,52.55,52.72,9302456.0
2016-02-11,52.3,53.12,51.8162,52.18,8551125.0
2016-02-12,52.53,52.97,51.6,52.58,9976111.0
2016-02-13,52.53,52.97,51.6,52.58,9976111.0
