Date,Open,High,Low,Close,Volume
2016-01-04,82.93,83.19,81.25,82.07,2246327.0
2016-01-04,82.93,83.19,81.25,82.07,2246327.0
2016-01-04,82.93,83.19,81.25,82.07,2246327.0
2016-01-04,82.93,83.19,81.25,82.07,2246327.0
2016-01-05,82.66,83.21,81.815,82.27,2036731.0
2016-01-06,81.08,81.71,80.88,81.26,1511025.0
2016-01-07,79.64,80.35,78.4649,78.78,5031269.0
2016-01-08,78.93,79.25,77.8,78.13,2486959.0
2016-01-09,78.93,79.25,77.8,78.13,2486959.0
2016-01-10,78.93,79.25,77.8,78.13,2486959.0
2016-01-11,78.45,79.03,77.7101,78.51,2127341.0
2016-01-12,78.86,79.5,78.435,79.47,1975167.0
2016-01-13,79.34,79.8,77.12,77.34,1860019.0
2016-01-14,77.6,79.51,77.5,78.99,2864121.0
2016-01-15,76.84,78.4,76.65,77.92,2967815.0
2016-01-16,76.84,78.4,76.65,77.92,2967815.0
2016-01-17,76.84,78.4,76.65,77.92,2967815.0
2016-01-18,76.84,78.4,76.65,77.92,2967815.0
2016-01-19,78.92,79.46,78.26,79.11,2522998.0
2016-01-20,78.09,79.04,76.9,78.22,3056544.0
2016-01-21,78.69,79.98,77.7701,79.25,2672433.0
2016-01-22,80.83,81.18,79.815,81.11,1940151.0
2016-01-23,80.83,81.18,79.815,81.11,1940151.0
2016-01-24,80.83,81.18,79.815,81.11,1940151.0
2016-01-25,80.37,81.01,79.99,80.09,1798479.0
2016-01-26,80.09,81.45,80.05,80.89,1665207.0
2016-01-27,80.98,81.83,79.89,80.48,1719699.0
2016-01-28,81.0,81.52,80.49,80.75,2015593.0
2016-01-29,81.52,83.12,81.17,83.09,2836363.0
2016-01-30,81.52,83.12,81.17,83.09,2836363.0
2016-01-31,81.52,83.12,81.17,83.09,2836363.0
2016-02-01,80.72,83.42,80.54,82.97,2837504.0
2016-02-02,82.73,82.95,81.7,82.17,3690293.0
2016-02-03,83.12,83.24,80.81,82.15,3048627.0
2016-02-04,82.03,82.9,81.55,82.8,1822780.0
2016-02-05,82.8,82.99,80.94,81.31,2248295.0
2016-02-06,82.8,82.99,80.94,81.31,2248295.0
2016-02-07,82.8,82.99,80.94,81.31,2248295.0
2016-02-08,80.4,81.5,78.98,81.25,2347026.0
2016-02-09,80.95,81.83,80.345,80.67,2247529.0
2016-02-10,81.82,82.57,80.59,80.83,1872768.0
2016-02-11,79.38,80.55,79.08,80.21,2842420.0
2016-02-12,81.27,81.8752,80.57,81.74,1518711.0
2016-02-13,81.27,81.8752,80.57,81.74,1518711.0
2016-02-14,81.27,81.8752,80.57,81.74,1518711.0
2016-02-15,81.27,81.8752,80.57,81.74,1518711.0
2016-02-16,83.05,84.02,82.59,83.78,2065408.0
2016-02-17,84.18,85.44,83.9,85.33,1907795.0
2016-02-18,85.48,85.7,84.76,84.91,1563108.0
2016-02-19,84.82,85.69,84.39,85.56,2065341.0
2016-02-20,84.82,85.69,84.39,85.56,2065341.0
2016-02-21,84.82,85.69,84.39,85.56,2065341.0
2016-02-22,85.99,86.76,85.945,86.4,1618578.0
2016-02-23,86.12,86.48,84.69,84.85,1863451.0
2016-02-24,83.92,85.47,83.09,85.26,1727228.0
2016-02-25,86.11,86.12,84.83,85.92,1426273.0
2016-02-26,86.54,86.57,85.22399999999999,85.66,1402965.0
2016-02-27,86.54,86.57,85.22399999999999,85.66,1402965.0
2016-02-28,86.54,86.57,85.22399999999999,85.66,1402965.0
2016-02-29,85.41,86.04,84.67,84.69,1925525.0
2016-03-01,85.62,86.77,85.26,86.77,1579881.0
2016-03-02,86.36,86.365,85.01,85.65,2059346.0
2016-03-03,84.85,85.72,84.85,85.65,1700511.0
2016-03-04,85.91,86.36,85.33,86.19,1582697.0
2016-03-05,85.91,86.36,85.33,86.19,1582697.0
2016-03-06,85.91,86.36,85.33,86.19,1582697.0
2016-03-07,85.48,86.46,85.48,86.09,1400721.0
2016-03-08,85.6,86.14,85.05,85.49,1739047.0
2016-03-09,85.33,85.7699,85.0301,85.72,1636663.0
2016-03-10,86.21,86.75,84.36,85.2,1528377.0
2016-03-11,86.31,87.49,85.67,87.27,1863537.0
2016-03-12,86.31,87.49,85.67,87.27,1863537.0
2016-03-13,86.31,87.49,85.67,87.27,1863537.0
2016-03-14,86.81,87.44,86.57,87.27,1311980.0
2016-03-15,86.55,87.34,86.41,87.32,1195064.0
2016-03-16,86.99,87.88,86.71,87.66,1087995.0
