Date,Open,High,Low,Close,Volume
2016-01-04,43.13,43.22,42.58,43.03,2664386.0
2016-01-04,43.13,43.22,42.58,43.03,2664386.0
2016-01-04,43.13,43.22,42.58,43.03,2664386.0
2016-01-04,43.13,43.22,42.58,43.03,2664386.0
2016-01-05,43.02,43.59,42.35,43.54,2295771.0
2016-01-06,43.24,43.93,43.15,43.82,1974493.0
2016-01-07,43.47,44.075,43.4,43.85,3190229.0
2016-01-08,43.88,44.05,43.43,43.51,2139259.0
2016-01-09,43.88,44.05,43.43,43.51,2139259.0
2016-01-10,43.88,44.05,43.43,43.51,2139259.0
2016-01-11,43.54,43.85,43.41,43.52,2238007.0
2016-01-12,43.64,43.64,42.98,43.38,1797115.0
2016-01-13,43.54,43.745,43.05,43.14,2263296.0
2016-01-14,43.06,43.97,42.86,43.71,1493928.0
2016-01-15,43.12,43.695,42.91,43.51,2010061.0
2016-01-16,43.12,43.695,42.91,43.51,2010061.0
2016-01-17,43.12,43.695,42.91,43.51,2010061.0
2016-01-18,43.12,43.695,42.91,43.51,2010061.0
2016-01-19,44.0,44.0,43.14,43.45,4015774.0
2016-01-20,43.39,43.5,41.5,42.33,3700042.0
2016-01-21,42.33,42.515,41.76,42.13,2107481.0
2016-01-22,42.35,43.015,42.1,42.95,1872170.0
2016-01-23,42.35,43.015,42.1,42.95,1872170.0
2016-01-24,42.35,43.015,42.1,42.95,1872170.0
2016-01-25,43.06,43.09,42.5375,42.67,1783624.0
2016-01-26,42.76,43.42,42.55,42.76,1621663.0
2016-01-27,42.78,43.456,42.54,43.2,1851402.0
2016-01-28,43.14,44.1,42.75,43.85,1537346.0
2016-01-29,44.3,44.97,44.08,44.92,2402573.0
2016-01-30,44.3,44.97,44.08,44.92,2402573.0
2016-01-31,44.3,44.97,44.08,44.92,2402573.0
2016-02-01,44.73,45.81,44.69,45.66,1843338.0
2016-02-02,45.53,46.5,45.33,46.38,2622125.0
2016-02-03,46.77,47.9,46.73,47.33,4515605.0
2016-02-04,47.16,47.39,46.26,46.53,3032003.0
2016-02-05,46.18,46.74,45.54,46.49,2971739.0
2016-02-06,46.18,46.74,45.54,46.49,2971739.0
2016-02-07,46.18,46.74,45.54,46.49,2971739.0
2016-02-08,46.62,46.94,45.55,46.17,2379542.0
2016-02-09,45.93,46.5,45.84,46.08,2285394.0
2016-02-10,46.03,46.471000000000004,45.34,46.2,2546988.0
2016-02-11,46.16,46.43,45.335,45.37,1552864.0
2016-02-12,45.31,45.71,44.84,45.25,1134159.0
2016-02-13,45.31,45.71,44.84,45.25,1134159.0
2016-02-14,45.31,45.71,44.84,45.25,1134159.0
2016-02-15,45.31,45.71,44.84,45.25,1134159.0
2016-02-16,45.32,45.62,44.91,45.58,2170400.0
2016-02-17,45.55,45.57,45.19,45.31,1640013.0
2016-02-18,45.25,46.59,45.16,46.28,3893873.0
2016-02-19,45.81,46.69,45.1,45.6,4164014.0
2016-02-20,45.81,46.69,45.1,45.6,4164014.0
2016-02-21,45.81,46.69,45.1,45.6,4164014.0
2016-02-22,45.56,46.36,45.46,46.23,2395708.0
2016-02-23,45.94,46.63,45.76,46.52,1557604.0
2016-02-24,46.53,47.56,46.32,47.48,2840370.0
2016-02-25,47.66,48.22,47.53,48.13,2108661.0
2016-02-26,47.84,47.9,46.47,46.49,2665813.0
2016-02-27,47.84,47.9,46.47,46.49,2665813.0
2016-02-28,47.84,47.9,46.47,46.49,2665813.0
2016-02-29,46.4,47.44,46.31,46.95,2610410.0
2016-03-01,47.19,47.54,46.53,46.93,1916170.0
2016-03-02,46.63,46.98,45.56,46.96,2047560.0
2016-03-03,46.98,47.0,46.23,47.0,1490604.0
2016-03-04,46.78,47.5989,46.52,47.35,1856426.0
2016-03-05,46.78,47.5989,46.52,47.35,1856426.0
