Date,Open,High,Low,Close,Volume
2016-01-04,58.79,59.18,58.2,59.18,2474153.0
2016-01-04,58.79,59.18,58.2,59.18,2474153.0
2016-01-04,58.79,59.18,58.2,59.18,2474153.0
2016-01-04,58.79,59.18,58.2,59.18,2474153.0
2016-01-05,59.17,59.63,58.74,59.1,2049962.0
2016-01-06,58.33,58.61,57.95,58.2,1863736.0
2016-01-07,57.12,57.995,56.93,57.21,2353018.0
2016-01-08,57.67,57.79,56.61,56.71,2230386.0
2016-01-09,57.67,57.79,56.61,56.71,2230386.0
2016-01-10,57.67,57.79,56.61,56.71,2230386.0
2016-01-11,57.02,57.29,56.27,57.08,2011792.0
2016-01-12,57.63,57.94,57.02,57.8,2372195.0
2016-01-13,58.32,58.84,56.67,56.91,2803686.0
2016-01-14,57.02,57.89,56.51,57.32,2709369.0
2016-01-15,56.02,57.03,55.88,56.61,3446842.0
2016-01-16,56.02,57.03,55.88,56.61,3446842.0
2016-01-17,56.02,57.03,55.88,56.61,3446842.0
2016-01-18,56.02,57.03,55.88,56.61,3446842.0
2016-01-19,57.08,57.27,56.11,56.49,2764960.0
2016-01-20,55.45,56.18,54.57,55.55,2957929.0
2016-01-21,55.74,56.46,55.35,55.82,2422421.0
2016-01-22,56.72,57.32,56.55,57.27,2193573.0
2016-01-23,56.72,57.32,56.55,57.27,2193573.0
2016-01-24,56.72,57.32,56.55,57.27,2193573.0
2016-01-25,57.24,57.63,56.435,56.55,3149070.0
2016-01-26,57.03,57.81,56.94,57.52,1589373.0
2016-01-27,57.41,58.27,56.91,57.45,2513433.0
2016-01-28,57.89,58.49,57.41,58.31,2118446.0
2016-01-29,57.98,58.09,56.55,57.96,5189190.0
2016-01-30,57.98,58.09,56.55,57.96,5189190.0
2016-01-31,57.98,58.09,56.55,57.96,5189190.0
2016-02-01,57.36,57.56,56.31,56.51,5643064.0
2016-02-02,56.73,58.62,55.74,57.28,5002750.0
2016-02-03,58.4,58.83,56.08,57.32,2557142.0
2016-02-04,57.14,58.11,56.96,58.02,2279162.0
2016-02-05,57.97,58.49,57.66,58.21,2286533.0
2016-02-06,57.97,58.49,57.66,58.21,2286533.0
2016-02-07,57.97,58.49,57.66,58.21,2286533.0
2016-02-08,57.39,58.2,57.04,58.0,2623549.0
2016-02-09,57.51,58.36,57.05,57.93,2780624.0
2016-02-10,58.3,58.86,57.43,57.49,2228451.0
2016-02-11,55.61,56.6,55.2356,55.6,3429201.0
2016-02-12,56.52,57.3799,56.26,57.31,2633093.0
2016-02-13,56.52,57.3799,56.26,57.31,2633093.0
2016-02-14,56.52,57.3799,56.26,57.31,2633093.0
2016-02-15,56.52,57.3799,56.26,57.31,2633093.0
2016-02-16,58.1,58.36,57.35,58.13,2574549.0
2016-02-17,58.75,59.37,58.7,59.07,2205221.0
2016-02-18,59.24,59.4101,58.813,59.16,2078657.0
2016-02-19,58.98,59.35,58.54,59.32,2713581.0
2016-02-20,58.98,59.35,58.54,59.32,2713581.0
2016-02-21,58.98,59.35,58.54,59.32,2713581.0
2016-02-22,59.81,60.06,59.43,59.7,2140221.0
2016-02-23,59.64,59.78,59.25,59.37,1583208.0
2016-02-24,58.73,59.815,58.46,59.63,1683079.0
2016-02-25,59.72,60.35,59.15,60.33,1716729.0
2016-02-26,60.58,60.77,60.02,60.17,2084098.0
2016-02-27,60.58,60.77,60.02,60.17,2084098.0
2016-02-28,60.58,60.77,60.02,60.17,2084098.0
2016-02-29,60.18,60.44,59.52,59.52,2077990.0
2016-03-01,59.92,61.16,59.92,61.07,2462771.0
2016-03-02,61.02,61.45,60.78,61.41,2110107.0
2016-03-03,61.26,61.38,60.75,60.98,2606846.0
2016-03-04,61.23,61.37,60.69,61.03,2065701.0
2016-03-05,61.23,61.37,60.69,61.03,2065701.0
2016-03-06,61.23,61.37,60.69,61.03,2065701.0
2016-03-07,60.58,60.98,60.37,60.55,2505807.0
2016-03-08,60.11,60.58,59.32,60.06,2938431.0
2016-03-09,60.43,60.77,59.66,60.43,2526511.0
2016-03-10,60.53,61.0,59.87,60.37,1906662.0
2016-03-11,61.12,62.35,60.96,62.27,2457494.0
2016-03-12,61.12,62.35,60.96,62.27,2457494.0
2016-03-13,61.12,62.35,60.96,62.27,2457494.0
2016-03-14,61.84,62.08,61.51,61.65,2064983.0
2016-03-15,61.23,61.66,61.05,61.55,1815152.0
2016-03-16,61.45,62.62,61.25,62.46,2697458.0
2016-03-17,62.33,63.78,61.86,63.39,2813809.0
2016-03-18,63.66,63.95,63.01,63.52,3882498.0
2016-03-19,63.66,63.95,63.01,63.52,3882498.0
2016-03-20,63.66,63.95,63.01,63.52,3882498.0
2016-03-21,63.25,63.6847,63.12,63.28,1506209.0
2016-03-22,63.06,63.73,62.85,63.34,1781967.0
2016-03-23,63.46,63.67,63.19,63.4,1923391.0
2016-03-24,62.91,62.94,62.34,62.7,1744713.0
2016-03-25,62.91,62.94,62.34,62.7,1744713.0
2016-03-26,62.91,62.94,62.34,62.7,1744713.0
2016-03-27,62.91,62.94,62.34,62.7,1744713.0
2016-03-28,62.79,63.41,62.79,63.16,1567152.0
2016-03-29,62.93,63.35,62.65,63.18,1637577.0
2016-03-30,63.5,64.33,63.4,63.73,1565902.0
2016-03-31,63.73,63.97,63.075,63.14,2326498.0
2016-04-01,63.0,64.17,62.83,64.12,2213453.0
2016-04-02,63.0,64.17,62.83,64.12,2213453.0
2016-04-03,63.0,64.17,62.83,64.12,2213453.0
2016-04-04,64.14,64.15,63.4579,63.59,1852973.0
2016-04-05,63.21,64.1,63.21,63.72,2238477.0
2016-04-06,63.71,63.925,63.23,63.66,1624039.0
2016-04-07,63.18,63.63,62.59,63.0,1768907.0
2016-04-08,63.48,64.09,63.45,63.91,2312757.0
2016-04-09,63.48,64.09,63.45,63.91,2312757.0
2016-04-10,63.48,64.09,63.45,63.91,2312757.0
2016-04-11,64.02,64.61,63.915,64.04,2146721.0
2016-04-12,64.27,65.6,64.08,65.53,3555502.0
2016-04-13,65.94,66.45,65.75,66.45,2439424.0
2016-04-14,66.8,67.335,66.67,66.97,2533464.0
2016-04-15,66.91,67.23,66.65,66.88,2204064.0
2016-04-16,66.91,67.23,66.65,66.88,2204064.0
2016-04-17,66.91,67.23,66.65,66.88,2204064.0
2016-04-18,66.73,67.3,66.42,67.21,2029913.0
2016-04-19,67.25,67.63,67.17,67.56,2669091.0
2016-04-20,67.77,68.31,67.63,68.05,2814633.0
2016-04-21,67.55,68.08,67.34,67.4,1965317.0
2016-04-22,67.51,68.155,67.4401,67.92,2642620.0
2016-04-23,67.51,68.155,67.4401,67.92,2642620.0
2016-04-24,67.51,68.155,67.4401,67.92,2642620.0
2016-04-25,67.64,68.0,67.21,67.87,1913868.0
2016-04-26,68.04,68.68,67.745,68.0,2725056.0
2016-04-27,67.9,69.47,67.82,69.32,3080809.0
2016-04-28,69.06,69.6,68.76,69.01,2755777.0
2016-04-29,68.82,69.22,68.52,68.97,3032659.0
2016-04-30,68.82,69.22,68.52,68.97,3032659.0
2016-05-01,68.82,69.22,68.52,68.97,3032659.0
2016-05-02,68.47,69.3,68.34,69.13,2273367.0
2016-05-03,68.77,69.04,68.26,68.97,2845573.0
2016-05-04,68.62,68.755,68.02,68.43,2147620.0
2016-05-05,68.48,68.98,68.41,68.66,1971633.0
2016-05-06,68.42,68.9124,68.185,68.85,1600759.0
2016-05-07,68.42,68.9124,68.185,68.85,1600759.0
2016-05-08,68.42,68.9124,68.185,68.85,1600759.0
2016-05-09,68.65,68.98,68.39,68.64,1470685.0
2016-05-10,68.42,69.24,68.23,69.18,1917299.0
2016-05-11,68.74,69.295,68.55,68.76,1508939.0
2016-05-12,69.21,69.44,68.77,69.24,2530980.0
2016-05-13,69.12,69.69,68.8,68.87,1923464.0
2016-05-14,69.12,69.69,68.8,68.87,1923464.0
2016-05-15,69.12,69.69,68.8,68.87,1923464.0
2016-05-16,68.56,69.28,68.46,69.02,3106709.0
2016-05-17,69.03,69.15,68.255,68.44,2175101.0
2016-05-18,68.41,69.39,68.25,69.0,3049548.0
2016-05-19,68.84,68.96,68.02,68.6,2433535.0
2016-05-20,68.68,68.85,68.43,68.73,2518104.0
2016-05-21,68.68,68.85,68.43,68.73,2518104.0
2016-05-22,68.68,68.85,68.43,68.73,2518104.0
2016-05-23,68.47,68.65,68.22,68.5,1832954.0
2016-05-24,68.78,69.8,68.78,69.55,3240046.0
2016-05-25,69.95,70.0874,69.71,69.85,1644321.0
2016-05-26,69.77,69.9,69.15,69.18,2297324.0
2016-05-27,69.25,69.56,69.1702,69.56,1910400.0
2016-05-28,69.25,69.56,69.1702,69.56,1910400.0
2016-05-29,69.25,69.56,69.1702,69.56,1910400.0
2016-05-30,69.25,69.56,69.1702,69.56,1910400.0
2016-05-31,69.66,69.86,68.9,69.46,2623415.0
2016-06-01,69.01,69.5,68.75,69.41,1792558.0
2016-06-02,69.23,69.59,68.97,69.58,2670123.0
2016-06-03,68.97,69.34,68.53,69.12,1958477.0
2016-06-04,68.97,69.34,68.53,69.12,1958477.0
2016-06-05,68.97,69.34,68.53,69.12,1958477.0
2016-06-06,69.36,69.8,68.87,69.35,1612274.0
2016-06-07,69.54,69.74,69.225,69.31,1699705.0
2016-06-08,69.23,69.955,69.09,69.9,1809726.0
2016-06-09,69.55,69.78,69.25,69.7,1542744.0
2016-06-10,68.96,69.345,68.8,68.95,1509618.0
2016-06-11,68.96,69.345,68.8,68.95,1509618.0
2016-06-12,68.96,69.345,68.8,68.95,1509618.0
2016-06-13,68.78,69.07,68.29,68.37,1869668.0
2016-06-14,68.29,68.6,68.1,68.31,1538735.0
2016-06-15,68.51,68.73,68.11,68.16,1498700.0
2016-06-16,67.64,68.82,67.42,68.81,1420160.0
2016-06-17,68.78,69.09,68.54,68.79,2248342.0
2016-06-18,68.78,69.09,68.54,68.79,2248342.0
2016-06-19,68.78,69.09,68.54,68.79,2248342.0
2016-06-20,69.75,70.21,69.68,69.78,1855280.0
2016-06-21,70.05,70.62,69.88,70.55,2010932.0
2016-06-22,70.69,71.055,70.55,70.84,2012774.0
2016-06-23,71.6,71.97,71.26,71.77,2269520.0
2016-06-24,68.68,70.49,68.56,69.26,3995149.0
2016-06-25,68.68,70.49,68.56,69.26,3995149.0
2016-06-26,68.68,70.49,68.56,69.26,3995149.0
2016-06-27,68.45,68.59,67.13,67.33,3561024.0
2016-06-28,68.32,69.11,67.82,68.85,2463956.0
2016-06-29,69.22,70.12,69.07,70.08,1993768.0
2016-06-30,70.19,72.17,70.0,72.16,2574177.0
2016-07-01,72.19,72.805,72.01,72.5,1847439.0
2016-07-02,72.19,72.805,72.01,72.5,1847439.0
2016-07-03,72.19,72.805,72.01,72.5,1847439.0
2016-07-04,72.19,72.805,72.01,72.5,1847439.0
2016-07-05,71.94,72.0,71.28,71.5,2082045.0
2016-07-06,71.27,72.215,71.18,72.21,2291282.0
2016-07-07,72.15,72.16,71.02,71.42,1958020.0
2016-07-08,72.26,72.76,71.91,72.49,1725837.0
2016-07-09,72.26,72.76,71.91,72.49,1725837.0
2016-07-10,72.26,72.76,71.91,72.49,1725837.0
2016-07-11,72.5,73.06,72.5,72.66,1883046.0
2016-07-12,73.04,73.53,73.0,73.2,1488280.0
2016-07-13,73.36,73.6,73.11,73.28,1900162.0
2016-07-14,74.0,74.11,73.7,73.7,2385399.0
2016-07-15,73.93,74.14,73.21,73.36,2564606.0
2016-07-16,73.93,74.14,73.21,73.36,2564606.0
2016-07-17,73.93,74.14,73.21,73.36,2564606.0
2016-07-18,73.37,73.63,73.19,73.21,1502255.0
2016-07-19,73.05,73.52,72.9,73.21,1424604.0
2016-07-20,73.65,73.76,73.3,73.45,1339873.0
2016-07-21,73.51,73.62,73.155,73.33,1022238.0
2016-07-22,73.47,73.5,73.17,73.49,1385763.0
2016-07-23,73.47,73.5,73.17,73.49,1385763.0
2016-07-24,73.47,73.5,73.17,73.49,1385763.0
2016-07-25,73.61,73.61,73.13,73.25,1024769.0
2016-07-26,73.39,73.7301,73.26,73.69,1534154.0
2016-07-27,73.59,73.95,73.34,73.36,1534851.0
2016-07-28,73.12,73.51,72.8315,73.32,1972684.0
2016-07-29,71.87,73.88,71.12,72.28,3397376.0
2016-07-30,71.87,73.88,71.12,72.28,3397376.0
2016-07-31,71.87,73.88,71.12,72.28,3397376.0
2016-08-01,71.91,72.24,71.33,71.58,2671631.0
2016-08-02,71.64,71.8,71.15,71.62,1750683.0
2016-08-03,71.79,72.25,71.53,71.97,1816493.0
2016-08-04,71.79,72.07,71.51,71.96,1476305.0
2016-08-05,72.42,73.32,72.21,73.07,1829361.0
2016-08-06,72.42,73.32,72.21,73.07,1829361.0
2016-08-07,72.42,73.32,72.21,73.07,1829361.0
2016-08-08,73.22,73.34,72.93,73.08,1269612.0
2016-08-09,73.0,73.2,72.72,73.11,1425238.0
2016-08-10,73.06,73.18,72.92,73.17,1776759.0
2016-08-11,73.2,73.86,73.05,73.07,2260598.0
2016-08-12,72.89,73.15,72.6,72.69,1243341.0
2016-08-13,72.89,73.15,72.6,72.69,1243341.0
2016-08-14,72.89,73.15,72.6,72.69,1243341.0
2016-08-15,72.96,73.1499,72.64,72.68,1895732.0
2016-08-16,72.63,72.64699999999999,72.195,72.2,1420362.0
2016-08-17,72.41,72.69,72.25,72.67,1372103.0
2016-08-18,72.75,72.75,71.97,72.26,1669467.0
2016-08-19,72.03,73.04,71.67,72.88,1779549.0
2016-08-20,72.03,73.04,71.67,72.88,1779549.0
2016-08-21,72.03,73.04,71.67,72.88,1779549.0
2016-08-22,72.25,72.68,72.12,72.64,1111633.0
2016-08-23,72.7,72.99,72.69,72.78,1210290.0
2016-08-24,72.7,72.865,72.56,72.7,1331791.0
2016-08-25,72.52,73.05,72.51,72.99,2153858.0
2016-08-26,72.95,73.58,72.415,72.75,2050389.0
2016-08-27,72.95,73.58,72.415,72.75,2050389.0
2016-08-28,72.95,73.58,72.415,72.75,2050389.0
2016-08-29,72.95,73.99,72.915,73.7,1368364.0
2016-08-30,73.78,74.37,73.78,74.28,1380634.0
2016-08-31,74.37,74.5,73.62,74.18,1736987.0
2016-09-01,74.28,74.36,73.37,73.87,1415585.0
2016-09-02,74.08,74.36,73.65,73.99,1186050.0
2016-09-03,74.08,74.36,73.65,73.99,1186050.0
2016-09-04,74.08,74.36,73.65,73.99,1186050.0
2016-09-05,74.08,74.36,73.65,73.99,1186050.0
2016-09-06,73.95,73.95,73.32,73.66,1247337.0
2016-09-07,73.47,73.78,73.26,73.53,1150773.0
2016-09-08,73.54,73.55,72.9,72.94,1608004.0
2016-09-09,72.81,73.34,72.4,72.4,2261111.0
2016-09-10,72.81,73.34,72.4,72.4,2261111.0
2016-09-11,72.81,73.34,72.4,72.4,2261111.0
2016-09-12,72.07,73.67,71.72,73.42,2717870.0
2016-09-13,72.64,72.75,71.69,71.83,2141411.0
2016-09-14,71.87,72.26,71.6,71.8,1723052.0
2016-09-15,71.83,72.455,71.81,72.34,1515737.0
2016-09-16,72.02,72.02,71.3,71.34,2413941.0
2016-09-17,72.02,72.02,71.3,71.34,2413941.0
