Date,Open,High,Low,Close,Volume
2016-01-04,78.94,79.4,77.69,78.52,734068.0
2016-01-04,78.94,79.4,77.69,78.52,734068.0
2016-01-04,78.94,79.4,77.69,78.52,734068.0
2016-01-04,78.94,79.4,77.69,78.52,734068.0
2016-01-05,78.52,80.44,78.52,79.83,504992.0
2016-01-06,78.86,79.38,77.74,78.78,740320.0
2016-01-07,77.26,78.65,76.85,77.01,591188.0
2016-01-08,77.72,78.3,75.96,76.07,978097.0
2016-01-09,77.72,78.3,75.96,76.07,978097.0
2016-01-10,77.72,78.3,75.96,76.07,978097.0
2016-01-11,77.21,77.64,76.51,77.4,791657.0
2016-01-12,77.76,77.98,76.97,77.79,511471.0
2016-01-13,78.56,79.16,77.7234,78.45,883732.0
2016-01-14,78.57,79.93,77.69,79.33,860165.0
2016-01-15,77.72,78.71,77.48,78.27,570750.0
2016-01-16,77.72,78.71,77.48,78.27,570750.0
2016-01-17,77.72,78.71,77.48,78.27,570750.0
2016-01-18,77.72,78.71,77.48,78.27,570750.0
2016-01-19,79.12,79.61,78.08,78.52,975940.0
2016-01-20,77.75,78.13,75.69,76.64,619050.0
2016-01-21,76.76,78.0166,76.66,77.2,543443.0
2016-01-22,78.08,79.68,77.96,79.47,587674.0
2016-01-23,78.08,79.68,77.96,79.47,587674.0
2016-01-24,78.08,79.68,77.96,79.47,587674.0
2016-01-25,79.42,80.2,77.9995,78.11,698180.0
2016-01-26,78.34,79.8,78.2425,79.21,521461.0
2016-01-27,79.13,80.4,78.54,78.95,613216.0
2016-01-28,79.39,79.95,78.96,79.45,518593.0
2016-01-29,79.8,81.31,79.75,81.31,604486.0
2016-01-30,79.8,81.31,79.75,81.31,604486.0
2016-01-31,79.8,81.31,79.75,81.31,604486.0
2016-02-01,80.85,81.49,80.605,80.98,613120.0
2016-02-02,79.82,80.1,79.0,79.33,647442.0
2016-02-03,79.97,79.97,78.215,79.45,526468.0
2016-02-04,79.12,79.65,78.06,78.64,568620.0
2016-02-05,78.83,79.52,78.19,78.48,513744.0
2016-02-06,78.83,79.52,78.19,78.48,513744.0
2016-02-07,78.83,79.52,78.19,78.48,513744.0
2016-02-08,77.34,77.34,75.51,76.23,954509.0
2016-02-09,75.04,76.9593,74.91,76.49,1033757.0
2016-02-10,72.8,72.8,64.365,66.23,3033227.0
2016-02-11,64.8,68.0,64.61,66.91,1970133.0
2016-02-12,67.49,68.09,66.41,67.07,966726.0
2016-02-13,67.49,68.09,66.41,67.07,966726.0
2016-02-14,67.49,68.09,66.41,67.07,966726.0
2016-02-15,67.49,68.09,66.41,67.07,966726.0
2016-02-16,67.35,67.69,66.45,67.25,805940.0
2016-02-17,68.04,69.63,66.78,69.25,863985.0
2016-02-18,69.13,69.21,68.0936,68.43,950309.0
2016-02-19,68.43,70.34,68.14,70.33,1802707.0
2016-02-20,68.43,70.34,68.14,70.33,1802707.0
2016-02-21,68.43,70.34,68.14,70.33,1802707.0
2016-02-22,70.99,71.17,70.27,70.59,660957.0
2016-02-23,70.27,71.09,70.02,70.17,781050.0
2016-02-24,69.54,71.08,69.46,70.61,744201.0
2016-02-25,70.16,72.52,69.71,72.47,788613.0
2016-02-26,72.62,73.41,72.31,72.74,652443.0
2016-02-27,72.62,73.41,72.31,72.74,652443.0
2016-02-28,72.62,73.41,72.31,72.74,652443.0
2016-02-29,72.51,72.84,71.1,71.1,779443.0
2016-03-01,71.72,73.6,71.655,73.34,895512.0
2016-03-02,72.97,73.98,72.3,73.27,862520.0
2016-03-03,73.27,74.315,72.96,74.15,773907.0
2016-03-04,74.32,74.81,73.62,74.11,748657.0
2016-03-05,74.32,74.81,73.62,74.11,748657.0
