Date,Open,High,Low,Close,Volume
2016-01-04,79.16,79.29,77.33,78.4,1441331.0
2016-01-04,79.16,79.29,77.33,78.4,1441331.0
2016-01-04,79.16,79.29,77.33,78.4,1441331.0
2016-01-04,79.16,79.29,77.33,78.4,1441331.0
2016-01-05,78.6,79.17,76.558,77.09,1547077.0
2016-01-06,76.53,78.25,76.3,78.2,1387117.0
2016-01-07,76.57,77.19,72.88,73.99,1797151.0
2016-01-08,74.89,74.89,70.25,70.38,2723421.0
2016-01-09,74.89,74.89,70.25,70.38,2723421.0
2016-01-10,74.89,74.89,70.25,70.38,2723421.0
2016-01-11,70.66,71.78,69.105,70.67,1969895.0
2016-01-12,71.16,71.88,69.45,71.04,1364097.0
2016-01-13,71.13,71.4299,67.25,67.66,1519378.0
2016-01-14,67.33,69.9,66.09,68.75,1496549.0
2016-01-15,67.66,69.85,66.5,68.73,2050754.0
2016-01-16,67.66,69.85,66.5,68.73,2050754.0
2016-01-17,67.66,69.85,66.5,68.73,2050754.0
2016-01-18,67.66,69.85,66.5,68.73,2050754.0
2016-01-19,69.42,69.74,66.64,67.05,2204212.0
2016-01-20,66.73,68.835,64.18,67.16,2789419.0
2016-01-21,68.61,72.79,67.85,72.61,3660608.0
2016-01-22,74.38,74.38,71.8,72.86,2125742.0
2016-01-23,74.38,74.38,71.8,72.86,2125742.0
2016-01-24,74.38,74.38,71.8,72.86,2125742.0
2016-01-25,73.03,73.79,69.57,69.79,1701830.0
2016-01-26,70.15,71.36,68.87,71.33,1430060.0
2016-01-27,71.46,72.65,69.42,70.02,1507048.0
2016-01-28,69.83,70.03,67.23,68.57,1459162.0
2016-01-29,68.13,70.4,67.61,70.4,1435657.0
2016-01-30,68.13,70.4,67.61,70.4,1435657.0
2016-01-31,68.13,70.4,67.61,70.4,1435657.0
2016-02-01,70.05,70.94,69.47,70.29,1444421.0
2016-02-02,69.99,70.29,67.82,67.96,1049697.0
2016-02-03,68.3,68.32,65.59,67.27,1256949.0
2016-02-04,67.11,69.17,67.1,68.91,1158677.0
2016-02-05,68.48,69.05,64.12,64.56,1705555.0
2016-02-06,68.48,69.05,64.12,64.56,1705555.0
2016-02-07,68.48,69.05,64.12,64.56,1705555.0
