Date,Open,High,Low,Close,Volume
2016-01-04,187.01,187.07,182.5,184.68,1637408.0
2016-01-04,187.01,187.07,182.5,184.68,1637408.0
2016-01-04,187.01,187.07,182.5,184.68,1637408.0
2016-01-04,187.01,187.07,182.5,184.68,1637408.0
2016-01-05,185.36,187.59,184.0,184.9,1042532.0
2016-01-06,183.72,186.92,182.56599999999997,184.07,1480791.0
2016-01-07,180.51,181.13,174.37,174.37,1966700.0
2016-01-08,175.01,175.01,167.76,168.13,1754809.0
2016-01-09,175.01,175.01,167.76,168.13,1754809.0
2016-01-10,175.01,175.01,167.76,168.13,1754809.0
2016-01-11,169.6,169.6,158.97,161.65,1905514.0
2016-01-12,162.99,167.3,160.57,166.12,1455558.0
2016-01-13,166.61,167.0,156.74,157.92,1686754.0
2016-01-14,158.39,169.84,155.28,167.29,2684498.0
2016-01-15,156.27,163.77,156.27,158.68,2703947.0
2016-01-16,156.27,163.77,156.27,158.68,2703947.0
2016-01-17,156.27,163.77,156.27,158.68,2703947.0
2016-01-18,156.27,163.77,156.27,158.68,2703947.0
2016-01-19,162.59,163.71,152.23,156.75,2396072.0
2016-01-20,153.9,162.65,149.645,159.89,2958982.0
2016-01-21,159.68,161.35,155.275,155.52,1777826.0
2016-01-22,158.69,159.48,155.38,159.15,1136451.0
2016-01-23,158.69,159.48,155.38,159.15,1136451.0
2016-01-24,158.69,159.48,155.38,159.15,1136451.0
2016-01-25,158.65,160.15,154.21,154.54,1282637.0
2016-01-26,155.12,156.29,150.06,152.64,1524857.0
2016-01-27,152.96,157.37,149.23,151.12,2140952.0
2016-01-28,151.96,155.0,143.03,145.61,2989924.0
2016-01-29,147.68,147.68,141.16,145.93,3158708.0
2016-01-30,147.68,147.68,141.16,145.93,3158708.0
2016-01-31,147.68,147.68,141.16,145.93,3158708.0
2016-02-01,144.18,146.8,139.34,143.5,2722488.0
2016-02-02,141.64,143.65,137.05,137.36,2477114.0
2016-02-03,132.5,147.3,130.51,145.97,5597495.0
2016-02-04,143.81,152.41,143.81,146.02,2803806.0
2016-02-05,146.2,146.9,139.13,142.28,2132320.0
2016-02-06,146.2,146.9,139.13,142.28,2132320.0
2016-02-07,146.2,146.9,139.13,142.28,2132320.0
2016-02-08,138.02,141.405,136.44,139.15,2146264.0
2016-02-09,136.97,142.07,134.0,136.46,2559822.0
2016-02-10,138.2,144.43,136.76,138.82,1758532.0
2016-02-11,134.52,137.63,134.25,135.36,1402017.0
2016-02-12,136.91,141.26,134.31,141.11,1595206.0
2016-02-13,136.91,141.26,134.31,141.11,1595206.0
2016-02-14,136.91,141.26,134.31,141.11,1595206.0
2016-02-15,136.91,141.26,134.31,141.11,1595206.0
2016-02-16,143.1,144.5456,140.42,142.39,1635554.0
2016-02-17,143.93,149.16,141.79,148.6,2184579.0
2016-02-18,148.52,149.27,142.78,143.15,1734212.0
2016-02-19,142.28,146.13,140.5,145.89,1330150.0
2016-02-20,142.28,146.13,140.5,145.89,1330150.0
2016-02-21,142.28,146.13,140.5,145.89,1330150.0
2016-02-22,147.79,148.67,144.5,145.32,1171674.0
2016-02-23,144.22,147.67,141.86,142.06,1500398.0
2016-02-24,140.66,142.55,135.76,141.97,1653820.0
2016-02-25,142.09,144.99,139.03,140.54,1349270.0
2016-02-26,141.4,141.825,137.95,140.16,1433581.0
2016-02-27,141.4,141.825,137.95,140.16,1433581.0
2016-02-28,141.4,141.825,137.95,140.16,1433581.0
2016-02-29,138.91,142.81,138.91,140.8,1484728.0
2016-03-01,142.47,151.19,140.11,150.83,2227714.0
2016-03-02,149.55,152.49,149.0,151.59,1871439.0
2016-03-03,150.75,151.19,145.67,145.85,1328870.0
2016-03-04,146.49,148.23,144.12,144.46,1352962.0
2016-03-05,146.49,148.23,144.12,144.46,1352962.0
2016-03-06,146.49,148.23,144.12,144.46,1352962.0
2016-03-07,143.16,150.12,142.2,149.6,1110864.0
2016-03-08,147.15,147.59,140.8,141.03,1928261.0
2016-03-09,141.62,142.89,137.27,140.52,2018853.0
2016-03-10,141.73,141.73,135.01,136.76,1803068.0
2016-03-11,138.22,139.79,136.71,139.27,1695148.0
2016-03-12,138.22,139.79,136.71,139.27,1695148.0
2016-03-13,138.22,139.79,136.71,139.27,1695148.0
2016-03-14,139.15,139.15,134.49,134.5,1644690.0
2016-03-15,133.75,134.59,130.52,134.44,2163323.0
2016-03-16,134.44,136.74,129.71,130.84,1499721.0
2016-03-17,130.56,131.59,124.16,127.91,2838930.0
2016-03-18,128.58,129.52,124.77,128.45,2608231.0
2016-03-19,128.58,129.52,124.77,128.45,2608231.0
2016-03-20,128.58,129.52,124.77,128.45,2608231.0
2016-03-21,128.38,131.8,128.07,131.06,1500609.0
2016-03-22,129.91,135.9199,129.82,135.71,2203652.0
2016-03-23,134.96,136.75,131.25,133.63,2333273.0
2016-03-24,132.88,136.3699,130.37,133.19,1222032.0
2016-03-25,132.88,136.3699,130.37,133.19,1222032.0
2016-03-26,132.88,136.3699,130.37,133.19,1222032.0
2016-03-27,132.88,136.3699,130.37,133.19,1222032.0
2016-03-28,133.95,135.2,131.93,132.5,1298440.0
2016-03-29,131.61,134.74,129.61,134.54,1172756.0
2016-03-30,135.88,138.0699,133.81,134.82,1263283.0
2016-03-31,135.32,140.41,134.305,139.22,1831253.0
2016-04-01,135.87,143.2,135.87,142.94,2023517.0
2016-04-02,135.87,143.2,135.87,142.94,2023517.0
2016-04-03,135.87,143.2,135.87,142.94,2023517.0
2016-04-04,143.48,148.74,143.09,147.1,1995969.0
2016-04-05,145.98,149.71,145.2145,148.03,1718949.0
2016-04-06,148.29,157.19,148.29,157.02,2117774.0
2016-04-07,154.97,156.48,147.67,148.03,2081011.0
2016-04-08,150.0,150.6245,145.79,148.89,1542709.0
2016-04-09,150.0,150.6245,145.79,148.89,1542709.0
2016-04-10,150.0,150.6245,145.79,148.89,1542709.0
2016-04-11,150.0,150.98,146.93,147.88,1296094.0
2016-04-12,148.49,153.91,147.87,153.55,1461082.0
2016-04-13,154.59,155.83,151.13,152.88,1622310.0
2016-04-14,153.55,155.99,152.02,154.75,984712.0
2016-04-15,155.13,155.29,151.65,153.09,1569045.0
2016-04-16,155.13,155.29,151.65,153.09,1569045.0
2016-04-17,155.13,155.29,151.65,153.09,1569045.0
2016-04-18,153.76,157.71,152.43,155.71,989268.0
2016-04-19,155.93,156.84,153.66,155.44,779186.0
2016-04-20,156.24,158.12,154.92,157.04,822597.0
2016-04-21,157.07,161.64,156.78,161.38,1197986.0
2016-04-22,161.04,162.0,157.36,159.1,1216634.0
2016-04-23,161.04,162.0,157.36,159.1,1216634.0
2016-04-24,161.04,162.0,157.36,159.1,1216634.0
2016-04-25,158.86,159.93,156.73,158.02,849052.0
2016-04-26,158.08,158.08,151.96,154.01,1458572.0
2016-04-27,154.47,155.48,150.75,150.78,1865581.0
2016-04-28,142.99,146.48,139.12,142.53,3278627.0
2016-04-29,141.88,142.305,137.4,139.28,2051577.0
2016-04-30,141.88,142.305,137.4,139.28,2051577.0
2016-05-01,141.88,142.305,137.4,139.28,2051577.0
2016-05-02,140.07,140.78,138.5,140.53,1365407.0
2016-05-03,141.71,147.79,141.0,144.37,2259306.0
2016-05-04,143.7,144.46,140.865,141.41,1284472.0
2016-05-05,142.16,143.74,140.36,142.58,1005576.0
2016-05-06,141.32,143.52,139.67,140.99,933231.0
2016-05-07,141.32,143.52,139.67,140.99,933231.0
2016-05-08,141.32,143.52,139.67,140.99,933231.0
2016-05-09,141.59,145.32,141.485,143.52,951438.0
2016-05-10,144.75,145.7,141.52,145.48,912053.0
2016-05-11,145.72,146.4396,138.69,138.86,1122397.0
2016-05-12,139.58,140.46,136.68,139.11,1167077.0
2016-05-13,138.65,140.27,138.0,139.74,1138936.0
2016-05-14,138.65,140.27,138.0,139.74,1138936.0
2016-05-15,138.65,140.27,138.0,139.74,1138936.0
2016-05-16,139.19,144.88,138.64,144.57,1305450.0
2016-05-17,143.81,144.39,139.38,139.96,1549710.0
2016-05-18,139.7,142.45,139.5713,142.33,1249899.0
2016-05-19,140.9,142.3,137.64,139.03,1304226.0
2016-05-20,139.29,143.0,139.22,142.52,975544.0
2016-05-21,139.29,143.0,139.22,142.52,975544.0
2016-05-22,139.29,143.0,139.22,142.52,975544.0
2016-05-23,142.42,144.5,141.73,142.51,981838.0
2016-05-24,143.93,146.93,142.53,146.67,1169477.0
2016-05-25,146.73,150.0,146.705,149.61,1395921.0
2016-05-26,148.97,149.7,147.02,148.17,920322.0
2016-05-27,148.2,150.65,146.55,150.42,1094251.0
2016-05-28,148.2,150.65,146.55,150.42,1094251.0
2016-05-29,148.2,150.65,146.55,150.42,1094251.0
2016-05-30,148.2,150.65,146.55,150.42,1094251.0
2016-05-31,151.07,153.44,149.8001,150.9,1121791.0
2016-06-01,150.87,153.61,149.89,152.7,978231.0
2016-06-02,152.69,157.02,152.69,156.77,1570450.0
2016-06-03,156.0,156.25,150.6,153.89,1480549.0
2016-06-04,156.0,156.25,150.6,153.89,1480549.0
2016-06-05,156.0,156.25,150.6,153.89,1480549.0
2016-06-06,154.02,155.78,152.14,154.99,1402295.0
2016-06-07,139.97,140.75,136.14,138.13,5632792.0
2016-06-08,138.14,139.79,137.91,138.88,2953708.0
2016-06-09,138.26,141.48,137.75,138.24,2376206.0
2016-06-10,136.7,137.86,134.02,135.61,1983755.0
2016-06-11,136.7,137.86,134.02,135.61,1983755.0
2016-06-12,136.7,137.86,134.02,135.61,1983755.0
2016-06-13,135.72,137.63,133.18,133.32,1653974.0
2016-06-14,133.19,134.05,130.27,131.22,1905184.0
2016-06-15,131.67,132.2,129.35,129.55,1678130.0
2016-06-16,128.74,129.55,127.2,127.49,2189871.0
2016-06-17,126.98,127.49,124.8,125.2,3526557.0
2016-06-18,126.98,127.49,124.8,125.2,3526557.0
2016-06-19,126.98,127.49,124.8,125.2,3526557.0
2016-06-20,128.33,128.55,123.79,123.96,3473046.0
2016-06-21,124.57,124.83,122.65,124.14,2691077.0
2016-06-22,123.92,126.055,121.07,121.41,3681336.0
2016-06-23,123.08,123.71,121.43,123.57,1922846.0
2016-06-24,117.5,119.51,110.56,112.99,7514338.0
2016-06-25,117.5,119.51,110.56,112.99,7514338.0
2016-06-26,117.5,119.51,110.56,112.99,7514338.0
2016-06-27,113.63,115.39,111.02,111.89,3284492.0
2016-06-28,113.0,115.69,113.0,114.94,2358599.0
2016-06-29,115.8,116.785,112.2,114.17,2718666.0
2016-06-30,114.1,116.89,113.24,116.76,2561967.0
2016-07-01,116.68,119.76,115.835,118.59,2561538.0
2016-07-02,116.68,119.76,115.835,118.59,2561538.0
2016-07-03,116.68,119.76,115.835,118.59,2561538.0
2016-07-04,116.68,119.76,115.835,118.59,2561538.0
2016-07-05,117.35,118.2099,116.0,117.64,1442897.0
2016-07-06,117.27,121.63,116.4,121.12,2723458.0
2016-07-07,122.2,125.54,121.9,123.34,2812834.0
2016-07-08,124.63,125.11,123.29,124.42,2447653.0
2016-07-09,124.63,125.11,123.29,124.42,2447653.0
2016-07-10,124.63,125.11,123.29,124.42,2447653.0
2016-07-11,126.03,126.47,124.01,125.3,1734565.0
2016-07-12,125.98,127.2,124.22,125.35,2413377.0
2016-07-13,126.37,126.78,123.24,123.47,1593968.0
2016-07-14,125.0,125.715,123.97,125.15,1317911.0
2016-07-15,126.37,126.87,124.96,125.58,1606479.0
2016-07-16,126.37,126.87,124.96,125.58,1606479.0
2016-07-17,126.37,126.87,124.96,125.58,1606479.0
2016-07-18,125.62,125.98,124.001,125.46,1003101.0
2016-07-19,125.0,125.86,123.14,124.16,1426026.0
2016-07-20,124.15,128.0,123.96,126.93,1817215.0
2016-07-21,128.24,129.95,126.34,127.3,2172208.0
2016-07-22,127.74,127.98,125.34,125.8,1381823.0
2016-07-23,127.74,127.98,125.34,125.8,1381823.0
2016-07-24,127.74,127.98,125.34,125.8,1381823.0
2016-07-25,125.71,127.93,125.34,127.46,1382218.0
2016-07-26,126.77,127.81,125.39,126.65,1331610.0
2016-07-27,126.63,130.32,125.81,129.78,2110740.0
2016-07-28,134.0,135.0,129.525,130.4,2899315.0
2016-07-29,130.41,131.3,127.7,128.6,1895466.0
2016-07-30,130.41,131.3,127.7,128.6,1895466.0
2016-07-31,130.41,131.3,127.7,128.6,1895466.0
2016-08-01,128.87,135.14,128.76,133.5,3425394.0
2016-08-02,133.54,135.51,130.965,133.61,2286096.0
2016-08-03,133.23,138.24,132.58,137.66,2084068.0
2016-08-04,138.18,138.4,135.205,135.43,1708000.0
2016-08-05,135.84,138.26,135.43,137.11,1470223.0
2016-08-06,135.84,138.26,135.43,137.11,1470223.0
2016-08-07,135.84,138.26,135.43,137.11,1470223.0
2016-08-08,137.14,138.05,135.69,136.08,1171458.0
2016-08-09,135.55,137.01,134.61,135.0,857990.0
2016-08-10,135.31,135.49,131.89,132.67,1586427.0
2016-08-11,132.86,134.46,132.28,133.67,701318.0
2016-08-12,132.94,133.5,131.31,133.44,1096222.0
2016-08-13,132.94,133.5,131.31,133.44,1096222.0
2016-08-14,132.94,133.5,131.31,133.44,1096222.0
2016-08-15,134.18,136.71,133.8285,136.07,1192737.0
2016-08-16,135.36,135.37,133.68,133.76,666515.0
2016-08-17,134.35,134.431,132.77,133.06,1004964.0
2016-08-18,132.72,133.32,132.04,132.43,1024044.0
2016-08-19,132.03,133.325,131.971,132.135,795928.0
2016-08-20,132.03,133.325,131.971,132.135,795928.0
2016-08-21,132.03,133.325,131.971,132.135,795928.0
2016-08-22,133.72,136.62,133.06,136.53,1321071.0
2016-08-23,137.22,137.7,135.94,137.42,903123.0
2016-08-24,137.07,138.25,131.74,132.12,1395740.0
2016-08-25,132.19,133.425,127.46,129.17,1695228.0
2016-08-26,130.0,131.6,128.26,129.63,1057808.0
2016-08-27,130.0,131.6,128.26,129.63,1057808.0
2016-08-28,130.0,131.6,128.26,129.63,1057808.0
2016-08-29,129.59,130.3824,127.71,127.99,955624.0
2016-08-30,127.77,129.2,127.28,128.22,823792.0
2016-08-31,127.77,128.72,125.69,125.86,1371354.0
2016-09-01,125.9,126.42,123.79,125.63,1335715.0
2016-09-02,126.29,126.29,123.56,123.67,1083049.0
2016-09-03,126.29,126.29,123.56,123.67,1083049.0
2016-09-04,126.29,126.29,123.56,123.67,1083049.0
2016-09-05,126.29,126.29,123.56,123.67,1083049.0
2016-09-06,123.79,126.05,122.02,125.85,1394086.0
2016-09-07,125.6,127.235,124.41,125.09,915624.0
2016-09-08,124.97,130.49,124.93,130.06,2071064.0
2016-09-09,128.32,129.27,123.95,124.92,1550340.0
2016-09-10,128.32,129.27,123.95,124.92,1550340.0
2016-09-11,128.32,129.27,123.95,124.92,1550340.0
2016-09-12,124.2,129.52,124.2,129.29,1227650.0
2016-09-13,127.84,129.045,125.75,126.79,1169058.0
2016-09-14,126.91,130.39,126.59100000000001,129.42,969888.0
2016-09-15,126.99,131.22,126.99,129.7,1577865.0
2016-09-16,129.99,132.54,128.42,131.46,2930221.0
2016-09-17,129.99,132.54,128.42,131.46,2930221.0
2016-09-18,129.99,132.54,128.42,131.46,2930221.0
2016-09-19,131.6,133.03,130.29,131.18,1240251.0
2016-09-20,132.47,132.95,130.375,131.73,1136965.0
2016-09-21,132.26,132.83,128.1,130.36,1210394.0
2016-09-22,131.09,133.88,129.85,133.69,1175594.0
2016-09-23,131.6,132.3,127.18,127.22,2154637.0
2016-09-24,131.6,132.3,127.18,127.22,2154637.0
2016-09-25,131.6,132.3,127.18,127.22,2154637.0
2016-09-26,127.22,127.64,124.21,124.51,1484700.0
2016-09-27,124.25,126.52,123.66,125.98,1350927.0
