Date,Open,High,Low,Close,Volume
2016-01-04,96.29,96.78,95.09,96.7,2819849.0
2016-01-04,96.29,96.78,95.09,96.7,2819849.0
2016-01-04,96.29,96.78,95.09,96.7,2819849.0
2016-01-04,96.29,96.78,95.09,96.7,2819849.0
2016-01-05,96.94,98.75,96.8,98.61,2518367.0
2016-01-06,98.07,98.64,97.52,98.26,2132436.0
2016-01-07,96.9,97.33,95.37,95.81,3203570.0
2016-01-08,95.99,96.4899,93.9,94.23,1959905.0
2016-01-09,95.99,96.4899,93.9,94.23,1959905.0
2016-01-10,95.99,96.4899,93.9,94.23,1959905.0
2016-01-11,94.73,95.0,93.84,94.48,1545367.0
2016-01-12,95.11,95.18,93.78,94.48,1859866.0
2016-01-13,94.85,95.0699,92.1,92.15,1989478.0
2016-01-14,92.74,93.05,91.7,92.21,2524476.0
2016-01-15,90.51,91.63,87.85,88.39,5386288.0
2016-01-16,90.51,91.63,87.85,88.39,5386288.0
2016-01-17,90.51,91.63,87.85,88.39,5386288.0
2016-01-18,90.51,91.63,87.85,88.39,5386288.0
2016-01-19,89.76,93.53,89.6,90.91,4084559.0
2016-01-20,90.01,90.18,86.21,89.0,4292996.0
2016-01-21,88.87,91.16,88.21,90.02,2994665.0
2016-01-22,90.91,93.59,90.33,93.25,3258328.0
2016-01-23,90.91,93.59,90.33,93.25,3258328.0
2016-01-24,90.91,93.59,90.33,93.25,3258328.0
2016-01-25,93.28,93.39,90.93,91.12,2895266.0
2016-01-26,92.0,93.69,91.9,92.47,2795019.0
2016-01-27,92.06,93.45,91.42,92.51,2024150.0
2016-01-28,92.63,93.45,92.34,92.51,1950303.0
2016-01-29,93.64,94.5,92.87,94.34,2744416.0
2016-01-30,93.64,94.5,92.87,94.34,2744416.0
2016-01-31,93.64,94.5,92.87,94.34,2744416.0
2016-02-01,93.6,93.9,92.83,93.1,2622471.0
2016-02-02,92.48,92.84,91.15,91.35,1908360.0
2016-02-03,91.76,91.76,88.4,90.49,4310942.0
2016-02-04,90.32,91.8399,90.01,91.09,2385364.0
2016-02-05,90.7,90.95,88.56,88.84,2046038.0
2016-02-06,90.7,90.95,88.56,88.84,2046038.0
2016-02-07,90.7,90.95,88.56,88.84,2046038.0
2016-02-08,88.41,88.46,84.55,85.41,3025349.0
2016-02-09,84.56,85.89,83.91,85.57,2638032.0
2016-02-10,85.85,87.13,85.36,85.84,1595520.0
2016-02-11,84.65,84.65,83.07,83.66,2891006.0
2016-02-12,85.09,85.82,83.751,85.67,2187998.0
2016-02-13,85.09,85.82,83.751,85.67,2187998.0
2016-02-14,85.09,85.82,83.751,85.67,2187998.0
2016-02-15,85.09,85.82,83.751,85.67,2187998.0
2016-02-16,87.09,87.46,85.98,86.45,1880246.0
2016-02-17,86.93,87.34,86.11,86.19,2491796.0
2016-02-18,86.09,88.01,85.78,87.5,2799486.0
2016-02-19,87.41,87.92,86.51,87.32,2750907.0
2016-02-20,87.41,87.92,86.51,87.32,2750907.0
2016-02-21,87.41,87.92,86.51,87.32,2750907.0
2016-02-22,88.02,89.82,88.02,89.24,2633645.0
2016-02-23,88.87,89.36,87.58,88.02,1967624.0
2016-02-24,87.57,89.43,87.01,89.03,3775916.0
2016-02-25,89.27,90.14,88.96,89.42,4581824.0
2016-02-26,88.8,91.8,87.285,90.01,4730346.0
2016-02-27,88.8,91.8,87.285,90.01,4730346.0
2016-02-28,88.8,91.8,87.285,90.01,4730346.0
2016-02-29,90.16,93.25,90.01,92.2,3879407.0
2016-03-01,92.75,94.79,91.65,94.7,3240607.0
2016-03-02,94.39,94.7,93.74,94.62,1645651.0
2016-03-03,94.8,95.32,94.13,95.3,1879747.0
2016-03-04,95.12,96.33,95.1,95.94,1984559.0
2016-03-05,95.12,96.33,95.1,95.94,1984559.0
2016-03-06,95.12,96.33,95.1,95.94,1984559.0
2016-03-07,95.46,96.2,95.21,95.6,1987903.0
2016-03-08,95.02,95.56,94.365,94.6,1711901.0
2016-03-09,94.94,95.18,94.26,94.6,1873258.0
2016-03-10,95.31,95.81,93.69,94.71,1748499.0
2016-03-11,95.55,98.56,95.42,98.46,2680711.0
2016-03-12,95.55,98.56,95.42,98.46,2680711.0
2016-03-13,95.55,98.56,95.42,98.46,2680711.0
2016-03-14,97.69,98.31,96.69,98.06,2026190.0
2016-03-15,97.07,98.63,97.02,98.41,2124199.0
2016-03-16,98.11,99.98,97.79,99.81,1816954.0
2016-03-17,99.72,102.9,99.47,101.75,3535081.0
2016-03-18,102.2,102.2,100.15,100.51,3566359.0
2016-03-19,102.2,102.2,100.15,100.51,3566359.0
2016-03-20,102.2,102.2,100.15,100.51,3566359.0
2016-03-21,100.01,100.66,99.76,100.34,1718109.0
2016-03-22,100.08,100.37,99.455,99.93,1435782.0
2016-03-23,100.0,100.96,99.57,99.58,1343899.0
2016-03-24,99.4,100.62,98.87,100.35,1576807.0
2016-03-25,99.4,100.62,98.87,100.35,1576807.0
2016-03-26,99.4,100.62,98.87,100.35,1576807.0
2016-03-27,99.4,100.62,98.87,100.35,1576807.0
2016-03-28,100.46,100.88,99.89,100.24,1077136.0
2016-03-29,100.3,102.07,99.795,101.92,1824432.0
2016-03-30,102.35,102.91,102.08,102.31,1568352.0
2016-03-31,102.0,102.93,101.88,102.37,1584120.0
2016-04-01,101.93,104.82,101.87,104.5,3108018.0
2016-04-02,101.93,104.82,101.87,104.5,3108018.0
2016-04-03,101.93,104.82,101.87,104.5,3108018.0
2016-04-04,104.7,104.88,104.12,104.7,1877240.0
2016-04-05,104.0,104.39,103.74,104.0,1661128.0
2016-04-06,104.0,105.835,103.75,105.7,2330425.0
2016-04-07,105.23,105.55,104.43,105.0,2133138.0
2016-04-08,105.02,106.07,104.8174,105.71,1380273.0
2016-04-09,105.02,106.07,104.8174,105.71,1380273.0
2016-04-10,105.02,106.07,104.8174,105.71,1380273.0
2016-04-11,106.25,106.53,105.6712,106.01,1423518.0
2016-04-12,105.91,106.49,105.26,106.17,1495699.0
2016-04-13,106.74,106.75,105.81,106.23,2263733.0
2016-04-14,106.15,106.34,105.08,105.2,1628035.0
2016-04-15,105.28,106.0,104.87,105.78,1325133.0
2016-04-16,105.28,106.0,104.87,105.78,1325133.0
2016-04-17,105.28,106.0,104.87,105.78,1325133.0
2016-04-18,105.22,105.76,105.0,105.54,2031483.0
2016-04-19,105.02,105.54,103.95,105.5,2433066.0
2016-04-20,105.51,105.89,104.635,104.82,1707255.0
2016-04-21,104.5,104.5,102.38,102.57,2442187.0
2016-04-22,102.96,105.14,102.85,104.19,1709907.0
2016-04-23,102.96,105.14,102.85,104.19,1709907.0
2016-04-24,102.96,105.14,102.85,104.19,1709907.0
2016-04-25,104.09,104.55,103.31,104.18,1296786.0
2016-04-26,104.45,105.05,104.38,104.77,1257859.0
2016-04-27,104.53,105.28,103.8,104.49,1613465.0
2016-04-28,103.81,105.34,103.52,104.13,2402276.0
2016-04-29,103.95,105.25,102.29,104.88,2678505.0
2016-04-30,103.95,105.25,102.29,104.88,2678505.0
2016-05-01,103.95,105.25,102.29,104.88,2678505.0
2016-05-02,105.0,105.77,104.5,105.51,2100754.0
2016-05-03,104.42,104.99,103.15,104.16,1976795.0
2016-05-04,103.65,105.73,103.26,105.51,1927484.0
2016-05-05,105.61,106.72,105.61,106.31,2148447.0
2016-05-06,106.06,106.68,105.24,106.57,1313862.0
2016-05-07,106.06,106.68,105.24,106.57,1313862.0
2016-05-08,106.06,106.68,105.24,106.57,1313862.0
2016-05-09,106.63,107.16,106.235,106.65,1169540.0
2016-05-10,106.87,107.24,106.5501,107.18,1156218.0
2016-05-11,106.93,107.13,105.7,105.73,1025755.0
2016-05-12,106.26,106.78,105.59,106.56,1185157.0
2016-05-13,106.34,106.6,105.37,105.7,1272239.0
2016-05-14,106.34,106.6,105.37,105.7,1272239.0
2016-05-15,106.34,106.6,105.37,105.7,1272239.0
2016-05-16,105.75,106.72,105.7,106.48,1620907.0
2016-05-17,106.65,106.65,104.82,105.36,1213711.0
2016-05-18,105.18,105.44,103.41,104.55,1691045.0
2016-05-19,103.5,104.09,103.11,103.77,1146704.0
2016-05-20,104.28,104.43,103.6301,104.01,1632898.0
2016-05-21,104.28,104.43,103.6301,104.01,1632898.0
2016-05-22,104.28,104.43,103.6301,104.01,1632898.0
2016-05-23,104.28,104.44,103.63,104.16,1069179.0
2016-05-24,104.45,105.35,104.2,105.3,2152995.0
2016-05-25,106.0,106.47,105.52,106.17,1311783.0
2016-05-26,106.03,106.24,104.91,105.3,1544666.0
2016-05-27,105.44,106.54,105.36,106.06,1134727.0
2016-05-28,105.44,106.54,105.36,106.06,1134727.0
2016-05-29,105.44,106.54,105.36,106.06,1134727.0
2016-05-30,105.44,106.54,105.36,106.06,1134727.0
2016-05-31,105.96,106.3,105.25,105.78,2166227.0
2016-06-01,105.46,105.85,104.87,105.47,1133682.0
2016-06-02,105.35,106.57,104.93,106.56,1338643.0
2016-06-03,106.96,107.29,106.41,106.97,1438262.0
2016-06-04,106.96,107.29,106.41,106.97,1438262.0
2016-06-05,106.96,107.29,106.41,106.97,1438262.0
2016-06-06,107.11,107.66,106.6605,107.2,1164508.0
2016-06-07,107.27,108.27,106.939,107.87,1299737.0
2016-06-08,107.84,108.31,107.23,107.56,1225741.0
2016-06-09,107.4,109.1,107.1,109.07,2009633.0
2016-06-10,108.43,109.38,108.03,108.79,2050801.0
2016-06-11,108.43,109.38,108.03,108.79,2050801.0
2016-06-12,108.43,109.38,108.03,108.79,2050801.0
2016-06-13,108.77,109.8,108.55,108.93,2493211.0
2016-06-14,108.52,108.85,107.21,107.61,1552029.0
2016-06-15,107.25,107.76,106.86,107.23,1342549.0
2016-06-16,106.98,107.75,106.64,107.69,1458832.0
2016-06-17,107.6,107.71,106.5,106.94,2267249.0
2016-06-18,107.6,107.71,106.5,106.94,2267249.0
2016-06-19,107.6,107.71,106.5,106.94,2267249.0
2016-06-20,107.84,108.555,107.365,107.42,2327521.0
2016-06-21,107.91,109.79,107.63799999999999,109.44,2071324.0
2016-06-22,109.39,109.82,108.63,109.4,1247321.0
2016-06-23,110.0,111.47,109.53,111.47,1842700.0
2016-06-24,108.18,110.27,107.68,108.27,3365822.0
2016-06-25,108.18,110.27,107.68,108.27,3365822.0
2016-06-26,108.18,110.27,107.68,108.27,3365822.0
2016-06-27,107.64,108.92,106.64,108.89,2695051.0
2016-06-28,109.82,110.84,109.19,110.8,1805488.0
2016-06-29,111.65,113.13,111.11,113.0,2442744.0
2016-06-30,113.22,113.63,111.7401,113.61,3217135.0
2016-07-01,113.94,114.5,113.45,113.6,1551296.0
2016-07-02,113.94,114.5,113.45,113.6,1551296.0
2016-07-03,113.94,114.5,113.45,113.6,1551296.0
2016-07-04,113.94,114.5,113.45,113.6,1551296.0
2016-07-05,113.62,114.23,113.47,113.83,2322417.0
2016-07-06,113.48,113.5199,111.62,112.4,2411598.0
2016-07-07,112.46,113.48,111.67,112.2,1994051.0
2016-07-08,113.18,113.75,112.33,113.66,1927228.0
2016-07-09,113.18,113.75,112.33,113.66,1927228.0
2016-07-10,113.18,113.75,112.33,113.66,1927228.0
2016-07-11,113.66,114.7899,112.735,114.67,2073295.0
2016-07-12,114.6,116.12,114.26,116.1,3196298.0
2016-07-13,116.4,116.7,115.58,116.01,2194419.0
2016-07-14,115.99,117.1599,115.64,117.0,2344478.0
2016-07-15,117.54,117.54,115.95,116.82,1712649.0
2016-07-16,117.54,117.54,115.95,116.82,1712649.0
2016-07-17,117.54,117.54,115.95,116.82,1712649.0
2016-07-18,116.79,117.5,116.25,116.3,1485780.0
2016-07-19,116.3,117.38,116.13,117.37,1388625.0
2016-07-20,117.36,117.84,117.1,117.73,1627386.0
2016-07-21,117.65,117.92,116.978,117.55,1318267.0
2016-07-22,117.66,118.26,117.33,117.84,1511223.0
2016-07-23,117.66,118.26,117.33,117.84,1511223.0
2016-07-24,117.66,118.26,117.33,117.84,1511223.0
2016-07-25,117.9,118.11,116.176,116.87,1467200.0
2016-07-26,116.94,117.22,116.49,116.97,1571627.0
2016-07-27,116.99,117.75,116.19,117.61,1961676.0
2016-07-28,117.33,117.9,115.85,116.65,2175990.0
2016-07-29,116.26,116.45100000000001,115.56,115.77,2296817.0
2016-07-30,116.26,116.45100000000001,115.56,115.77,2296817.0
2016-07-31,116.26,116.45100000000001,115.56,115.77,2296817.0
2016-08-01,115.87,117.05,115.83,117.04,1875474.0
2016-08-02,116.47,116.87,115.92,116.74,2037258.0
2016-08-03,116.76,117.23,115.28,115.73,2011760.0
2016-08-04,115.99,117.0,115.71,116.42,1773786.0
2016-08-05,116.57,117.25,116.04,116.58,2224126.0
2016-08-06,116.57,117.25,116.04,116.58,2224126.0
2016-08-07,116.57,117.25,116.04,116.58,2224126.0
2016-08-08,116.54,116.8,115.575,115.73,1549011.0
2016-08-09,115.78,116.14,115.47,115.92,1312306.0
2016-08-10,116.33,116.33,115.84,116.24,1001107.0
2016-08-11,116.22,116.67,115.6,115.89,1070836.0
