Date,Open,High,Low,Close,Volume
2016-01-04,51.07,51.27,50.41,50.87,1593500.0
2016-01-04,51.07,51.27,50.41,50.87,1593500.0
2016-01-04,51.07,51.27,50.41,50.87,1593500.0
2016-01-04,51.07,51.27,50.41,50.87,1593500.0
2016-01-05,50.89,51.19,50.13,50.3,2080044.0
2016-01-06,49.53,49.74,49.005,49.11,2097624.0
2016-01-07,48.16,48.565,46.97,47.34,2145188.0
2016-01-08,47.53,47.68,46.5,46.63,1906687.0
2016-01-09,47.53,47.68,46.5,46.63,1906687.0
2016-01-10,47.53,47.68,46.5,46.63,1906687.0
2016-01-11,47.03,47.265,45.45,46.27,2452758.0
2016-01-12,46.86,47.51,46.29,47.43,2841829.0
2016-01-13,47.5,47.74,46.36,46.55,3131410.0
2016-01-14,46.87,47.085,46.11,46.71,3348373.0
2016-01-15,45.55,45.94,45.0,45.49,3823272.0
2016-01-16,45.55,45.94,45.0,45.49,3823272.0
2016-01-17,45.55,45.94,45.0,45.49,3823272.0
2016-01-18,45.55,45.94,45.0,45.49,3823272.0
2016-01-19,46.02,46.59,45.14,45.42,3286990.0
2016-01-20,44.54,47.27,44.5,46.51,4375105.0
2016-01-21,46.93,49.05,46.63,47.78,3918138.0
2016-01-22,48.53,48.94,48.4,48.7,1920401.0
2016-01-23,48.53,48.94,48.4,48.7,1920401.0
2016-01-24,48.53,48.94,48.4,48.7,1920401.0
2016-01-25,48.54,48.71,48.01,48.18,1700245.0
2016-01-26,48.34,48.98,48.3,48.58,1822990.0
2016-01-27,48.39,48.83,48.02,48.39,2257048.0
2016-01-28,48.76,48.9,48.18,48.46,1583954.0
2016-01-29,48.79,49.57,48.79,49.57,2085976.0
2016-01-30,48.79,49.57,48.79,49.57,2085976.0
2016-01-31,48.79,49.57,48.79,49.57,2085976.0
2016-02-01,49.1,50.1,49.035,49.87,1734222.0
2016-02-02,49.19,49.74,49.09,49.2,3035662.0
2016-02-03,49.46,49.61,48.41,49.05,2258721.0
2016-02-04,49.04,49.74,48.79,49.57,1573226.0
2016-02-05,49.27,49.65,49.04,49.55,2644680.0
2016-02-06,49.27,49.65,49.04,49.55,2644680.0
2016-02-07,49.27,49.65,49.04,49.55,2644680.0
2016-02-08,48.96,49.42,48.18,48.98,3374481.0
2016-02-09,48.49,49.27,48.33,49.04,2515878.0
2016-02-10,49.35,50.25,49.31,49.72,1849867.0
2016-02-11,48.76,49.32,48.475,49.01,1650188.0
2016-02-12,49.46,49.68,48.87,49.54,1613529.0
2016-02-13,49.46,49.68,48.87,49.54,1613529.0
2016-02-14,49.46,49.68,48.87,49.54,1613529.0
2016-02-15,49.46,49.68,48.87,49.54,1613529.0
2016-02-16,50.24,50.9,49.97,50.73,1224584.0
2016-02-17,51.01,52.05,50.945,52.02,1419919.0
2016-02-18,52.05,52.49,51.87,52.1,1092109.0
2016-02-19,52.01,52.24,51.65,52.1,1667300.0
2016-02-20,52.01,52.24,51.65,52.1,1667300.0
2016-02-21,52.01,52.24,51.65,52.1,1667300.0
2016-02-22,52.49,52.79,52.12,52.5,1118275.0
2016-02-23,52.44,52.54,52.08,52.15,1307459.0
2016-02-24,51.8,52.49,51.47,52.43,825839.0
2016-02-25,52.43,52.79,51.93,52.72,1098622.0
2016-02-26,52.87,53.41,52.67,52.94,745370.0
2016-02-27,52.87,53.41,52.67,52.94,745370.0
2016-02-28,52.87,53.41,52.67,52.94,745370.0
2016-02-29,52.91,53.66,52.89,53.07,1607996.0
2016-03-01,53.56,55.37,53.4603,54.86,3133434.0
2016-03-02,54.74,55.3,54.57,55.19,1206138.0
2016-03-03,55.11,55.88,54.95,55.83,1175288.0
2016-03-04,56.0,56.565,55.75,56.2,2200307.0
2016-03-05,56.0,56.565,55.75,56.2,2200307.0
2016-03-06,56.0,56.565,55.75,56.2,2200307.0
2016-03-07,55.75,56.87,55.68,56.73,1626262.0
2016-03-08,56.41,56.455,55.45,55.68,1839388.0
2016-03-09,55.81,56.08,55.515,55.78,905347.0
2016-03-10,55.82,56.06,54.87,55.42,878314.0
2016-03-11,55.97,56.25,55.59,56.17,857519.0
2016-03-12,55.97,56.25,55.59,56.17,857519.0
2016-03-13,55.97,56.25,55.59,56.17,857519.0
2016-03-14,55.5,55.78,55.16,55.67,1373817.0
2016-03-15,55.18,55.65,54.98,55.52,1638307.0
2016-03-16,55.56,56.57,55.5,56.41,1383364.0
2016-03-17,56.28,57.36,56.06,57.11,1236471.0
2016-03-18,57.43,58.0,57.26,57.64,1689451.0
2016-03-19,57.43,58.0,57.26,57.64,1689451.0
2016-03-20,57.43,58.0,57.26,57.64,1689451.0
2016-03-21,57.59,57.64,57.0,57.19,1268626.0
2016-03-22,57.04,57.5725,56.8965,57.27,895689.0
2016-03-23,57.23,57.26,56.755,56.86,665054.0
2016-03-24,56.62,57.43,56.3205,57.17,1454279.0
2016-03-25,56.62,57.43,56.3205,57.17,1454279.0
2016-03-26,56.62,57.43,56.3205,57.17,1454279.0
2016-03-27,56.62,57.43,56.3205,57.17,1454279.0
2016-03-28,57.32,57.46,56.97,57.22,781396.0
2016-03-29,56.92,57.81,56.74,57.79,781148.0
2016-03-30,58.07,58.35,57.52,57.71,1138872.0
2016-03-31,57.71,57.97,57.5401,57.82,1429566.0
2016-04-01,57.42,58.56,56.97,58.48,1260054.0
2016-04-02,57.42,58.56,56.97,58.48,1260054.0
2016-04-03,57.42,58.56,56.97,58.48,1260054.0
2016-04-04,58.62,58.63,58.08,58.22,926109.0
