Date,Open,High,Low,Close,Volume
2016-01-04,231.54,233.21,228.31,233.21,494333.0
2016-01-04,231.54,233.21,228.31,233.21,494333.0
2016-01-04,231.54,233.21,228.31,233.21,494333.0
2016-01-04,231.54,233.21,228.31,233.21,494333.0
2016-01-05,234.88,237.8799,232.76,236.17,356699.0
2016-01-06,233.27,234.0,226.56,229.94,546652.0
2016-01-07,226.12,229.6075,222.99,223.84,611796.0
2016-01-08,223.0,225.3,204.56,215.48,1929202.0
2016-01-09,223.0,225.3,204.56,215.48,1929202.0
2016-01-10,223.0,225.3,204.56,215.48,1929202.0
2016-01-11,218.87,220.65,203.7,206.33,1087020.0
2016-01-12,208.85,210.5,205.61,209.11,600910.0
2016-01-13,210.39,210.635,198.71,199.57,659186.0
2016-01-14,199.51,208.83,199.46,207.0,535560.0
2016-01-15,203.1,205.9599,199.17,203.06,619299.0
2016-01-16,203.1,205.9599,199.17,203.06,619299.0
2016-01-17,203.1,205.9599,199.17,203.06,619299.0
2016-01-18,203.1,205.9599,199.17,203.06,619299.0
2016-01-19,204.84,207.345,202.91,206.51,733255.0
2016-01-20,203.15,205.29,196.83,202.24,708794.0
2016-01-21,202.19,203.135,195.7,196.63,573948.0
2016-01-22,199.82,203.27,197.69,199.57,509788.0
2016-01-23,199.82,203.27,197.69,199.57,509788.0
2016-01-24,199.82,203.27,197.69,199.57,509788.0
2016-01-25,198.75,199.22,192.1503,192.38,369851.0
2016-01-26,194.44,197.08,193.85,194.72,542980.0
2016-01-27,193.62,197.82,192.85,194.28,301628.0
2016-01-28,196.1,197.5,188.74,189.78,544036.0
2016-01-29,190.1,202.48,189.5801,202.43,825006.0
2016-01-30,190.1,202.48,189.5801,202.43,825006.0
2016-01-31,190.1,202.48,189.5801,202.43,825006.0
2016-02-01,199.9,202.1,198.77,200.16,442821.0
2016-02-02,199.05,199.05,195.92,196.5,461028.0
2016-02-03,198.25,198.5,193.0,194.36,595087.0
2016-02-04,193.3,199.64,192.8,195.47,417885.0
2016-02-05,194.91,195.585,182.85,184.35,776547.0
2016-02-06,194.91,195.585,182.85,184.35,776547.0
2016-02-07,194.91,195.585,182.85,184.35,776547.0
2016-02-08,181.29,182.725,174.8701,177.22,810095.0
2016-02-09,175.37,183.5,173.89,180.01,557567.0
2016-02-10,180.74,184.3299,180.74,183.06,543296.0
2016-02-11,179.49,179.49,169.42,175.13,1076710.0
2016-02-12,176.95,180.9,175.25,179.68,678194.0
2016-02-13,176.95,180.9,175.25,179.68,678194.0
2016-02-14,176.95,180.9,175.25,179.68,678194.0
2016-02-15,176.95,180.9,175.25,179.68,678194.0
2016-02-16,182.22,186.55,181.01,185.89,532753.0
2016-02-17,187.15,195.92,187.15,194.84,811946.0
2016-02-18,195.77,196.785,192.8208,194.29,466960.0
2016-02-19,192.97,193.88,188.09,191.06,525705.0
2016-02-20,192.97,193.88,188.09,191.06,525705.0
2016-02-21,192.97,193.88,188.09,191.06,525705.0
2016-02-22,193.1,198.2,193.1,197.52,572338.0
2016-02-23,196.47,199.4699,196.05,197.22,462219.0
2016-02-24,194.2,196.91,191.9499,196.75,404743.0
2016-02-25,199.01,204.59,197.92,204.47,488283.0
2016-02-26,205.96,209.65,205.53,208.74,450540.0
2016-02-27,205.96,209.65,205.53,208.74,450540.0
2016-02-28,205.96,209.65,205.53,208.74,450540.0
2016-02-29,208.96,211.29,207.45,209.43,572816.0
2016-03-01,210.84,218.07,210.03,217.05,755188.0
2016-03-02,217.26,220.43,214.155,220.36,446218.0
2016-03-03,219.62,222.2,216.1775,222.13,571926.0
2016-03-04,222.42,222.845,217.69,220.3,543104.0
2016-03-05,222.42,222.845,217.69,220.3,543104.0
2016-03-06,222.42,222.845,217.69,220.3,543104.0
2016-03-07,219.59,221.12,212.51,215.29,670632.0
2016-03-08,213.38,216.72,211.69,214.13,460159.0
2016-03-09,214.8,217.09,212.31,214.27,284492.0
2016-03-10,214.45,216.38,209.0601,212.53,336456.0
2016-03-11,213.81,216.165,212.205,215.65,341123.0
2016-03-12,213.81,216.165,212.205,215.65,341123.0
2016-03-13,213.81,216.165,212.205,215.65,341123.0
2016-03-14,213.6,216.66,213.6,215.93,338295.0
2016-03-15,213.28,219.83,213.28,218.09,436039.0
2016-03-16,218.11,223.68,218.03,222.91,412296.0
2016-03-17,222.45,225.18,219.62,224.62,668313.0
2016-03-18,224.27,224.27,218.58,220.24,1189472.0
2016-03-19,224.27,224.27,218.58,220.24,1189472.0
2016-03-20,224.27,224.27,218.58,220.24,1189472.0
2016-03-21,220.24,221.09,218.62,221.04,459438.0
2016-03-22,218.87,223.86,218.87,220.75,277348.0
2016-03-23,220.82,221.56,217.54,217.8,229785.0
2016-03-24,217.43,220.4,212.93,214.91,449186.0
2016-03-25,217.43,220.4,212.93,214.91,449186.0
2016-03-26,217.43,220.4,212.93,214.91,449186.0
2016-03-27,217.43,220.4,212.93,214.91,449186.0
2016-03-28,215.03,217.74,212.6,215.52,324319.0
2016-03-29,215.11,218.4,212.945,218.37,415274.0
2016-03-30,220.0,220.365,214.91,216.35,370383.0
2016-03-31,215.23,218.4,214.12,218.14,618730.0
2016-04-01,216.07,223.87,215.49,223.34,463038.0
2016-04-02,216.07,223.87,215.49,223.34,463038.0
2016-04-03,216.07,223.87,215.49,223.34,463038.0
2016-04-04,222.32,223.165,218.03,220.17,507041.0
2016-04-05,217.47,226.68,217.47,225.0,940144.0
2016-04-06,246.0,255.14,239.08,254.85,1600357.0
2016-04-07,254.78,258.1189,245.24,248.3,1303858.0
2016-04-08,250.94,252.175,246.2,250.12,580090.0
2016-04-09,250.94,252.175,246.2,250.12,580090.0
2016-04-10,250.94,252.175,246.2,250.12,580090.0
2016-04-11,251.0,253.53,247.4,248.17,467325.0
2016-04-12,250.06,253.76,248.29,249.83,352310.0
2016-04-13,252.71,257.13,250.59,256.59,522909.0
2016-04-14,256.05,256.96,252.76,254.93,385627.0
2016-04-15,255.29,256.8799,253.59,256.69,287318.0
2016-04-16,255.29,256.8799,253.59,256.69,287318.0
2016-04-17,255.29,256.8799,253.59,256.69,287318.0
2016-04-18,255.73,260.48,255.61,258.28,285641.0
2016-04-19,259.33,259.89,257.0,259.54,232222.0
2016-04-20,260.0,260.8289,257.2,257.57,278336.0
2016-04-21,257.57,258.75,254.0201,255.6,334824.0
2016-04-22,254.84,257.37,254.51,256.03,383530.0
2016-04-23,254.84,257.37,254.51,256.03,383530.0
2016-04-24,254.84,257.37,254.51,256.03,383530.0
2016-04-25,256.09,256.25,252.01,252.9,390313.0
2016-04-26,253.73,256.67,253.0,256.48,318187.0
2016-04-27,256.21,257.93,253.85,254.67,648594.0
