Date,Open,High,Low,Close,Volume
2016-01-04,47.6,48.59,47.25,48.47,2931812.0
2016-01-04,47.6,48.59,47.25,48.47,2931812.0
2016-01-04,47.6,48.59,47.25,48.47,2931812.0
2016-01-04,47.6,48.59,47.25,48.47,2931812.0
2016-01-05,48.47,49.2,48.3,49.04,3237094.0
2016-01-06,48.45,48.51,46.73,47.02,3871771.0
2016-01-07,46.8,47.53,46.37,46.51,5158133.0
2016-01-08,45.85,47.47,45.44,46.64,6420694.0
2016-01-09,45.85,47.47,45.44,46.64,6420694.0
2016-01-10,45.85,47.47,45.44,46.64,6420694.0
2016-01-11,46.97,46.99,45.46,46.14,3718547.0
2016-01-12,46.7,47.49,45.1,45.63,2593880.0
2016-01-13,45.89,46.21,44.31,44.44,2458627.0
2016-01-14,44.51,45.04,43.63,44.23,2871047.0
2016-01-15,42.98,44.51,42.94,44.39,2664817.0
2016-01-16,42.98,44.51,42.94,44.39,2664817.0
2016-01-17,42.98,44.51,42.94,44.39,2664817.0
2016-01-18,42.98,44.51,42.94,44.39,2664817.0
2016-01-19,44.16,44.245,42.55,43.22,2523560.0
2016-01-20,42.89,43.61,41.71,42.92,3062541.0
2016-01-21,43.4,44.08,43.01,43.36,2693060.0
2016-01-22,44.14,44.76,43.43,43.69,1845761.0
2016-01-23,44.14,44.76,43.43,43.69,1845761.0
2016-01-24,44.14,44.76,43.43,43.69,1845761.0
2016-01-25,43.77,44.04,43.34,43.39,2179435.0
2016-01-26,43.44,44.37,43.28,44.06,1892356.0
2016-01-27,42.15,43.79,42.09,43.06,2566853.0
2016-01-28,43.36,43.45,41.9,41.94,2053109.0
2016-01-29,42.18,43.23,42.13,43.17,2532299.0
2016-01-30,42.18,43.23,42.13,43.17,2532299.0
2016-01-31,42.18,43.23,42.13,43.17,2532299.0
2016-02-01,42.8,43.81,42.5,43.66,1940341.0
2016-02-02,43.25,43.84,42.16,42.41,2063917.0
2016-02-03,42.28,42.77,41.26,42.71,2686321.0
2016-02-04,42.61,43.86,42.43,43.25,1570909.0
2016-02-05,43.03,43.7,42.6,43.42,2527188.0
2016-02-06,43.03,43.7,42.6,43.42,2527188.0
2016-02-07,43.03,43.7,42.6,43.42,2527188.0
2016-02-08,43.37,45.58,43.0,43.74,4506833.0
2016-02-09,43.25,44.07,43.02,43.67,2736735.0
2016-02-10,44.06,44.45,43.43,43.47,2054375.0
2016-02-11,42.96,43.54,42.07,42.19,1768371.0
2016-02-12,42.01,43.12,41.43,42.94,2177593.0
2016-02-13,42.01,43.12,41.43,42.94,2177593.0
2016-02-14,42.01,43.12,41.43,42.94,2177593.0
2016-02-15,42.01,43.12,41.43,42.94,2177593.0
2016-02-16,42.93,44.87,42.93,44.61,2646198.0
2016-02-17,43.31,46.17,43.31,45.73,2166723.0
2016-02-18,45.92,47.3,45.34,47.02,2333974.0
2016-02-19,46.71,46.9,45.86,46.49,2089113.0
2016-02-20,46.71,46.9,45.86,46.49,2089113.0
2016-02-21,46.71,46.9,45.86,46.49,2089113.0
2016-02-22,46.74,47.97,46.6,47.71,1822083.0
2016-02-23,47.91,48.08,47.35,47.51,2209575.0
2016-02-24,47.21,48.39,46.73,48.34,1885466.0
2016-02-25,47.81,48.3,47.31,48.24,1730193.0
2016-02-26,48.42,49.33,48.0,48.99,1709448.0
2016-02-27,48.42,49.33,48.0,48.99,1709448.0
2016-02-28,48.42,49.33,48.0,48.99,1709448.0
2016-02-29,48.96,49.13,47.95,47.95,1648618.0
2016-03-01,48.51,49.45,47.82,49.44,1221589.0
2016-03-02,49.35,49.69,48.4,49.12,1424837.0
2016-03-03,49.45,50.73,49.275,50.65,1598465.0
2016-03-04,50.87,51.89,50.74,51.32,2671043.0
2016-03-05,50.87,51.89,50.74,51.32,2671043.0
2016-03-06,50.87,51.89,50.74,51.32,2671043.0
2016-03-07,51.15,52.71,51.03,52.09,2354036.0
2016-03-08,51.85,52.6,51.07,51.26,2191075.0
2016-03-09,51.47,51.95,50.62,51.13,1677029.0
2016-03-10,51.07,51.1,49.06,50.1,2127023.0
2016-03-11,50.75,50.94,49.81,50.68,1924935.0
2016-03-12,50.75,50.94,49.81,50.68,1924935.0
2016-03-13,50.75,50.94,49.81,50.68,1924935.0
2016-03-14,50.56,50.65,49.57,50.12,1525331.0
2016-03-15,50.15,50.15,49.02,49.23,1694488.0
2016-03-16,48.89,49.89,48.71,49.62,1793120.0
2016-03-17,49.32,49.65,48.59,49.33,1615101.0
2016-03-18,49.6,50.6,48.95,50.5,3214892.0
2016-03-19,49.6,50.6,48.95,50.5,3214892.0
2016-03-20,49.6,50.6,48.95,50.5,3214892.0
2016-03-21,50.26,50.95,50.1044,50.44,1310415.0
2016-03-22,50.45,50.56,49.8025,50.17,1013395.0
2016-03-23,49.93,50.25,49.3,49.46,996308.0
2016-03-24,49.51,49.7599,48.7511,49.4,958892.0
2016-03-25,49.51,49.7599,48.7511,49.4,958892.0
2016-03-26,49.51,49.7599,48.7511,49.4,958892.0
2016-03-27,49.51,49.7599,48.7511,49.4,958892.0
2016-03-28,49.43,49.65,49.01,49.2,2385156.0
2016-03-29,49.3,49.66,48.86,49.53,1589875.0
2016-03-30,49.51,49.99,49.33,49.59,1567166.0
2016-03-31,49.24,49.84,48.8701,49.64,1617379.0
2016-04-01,49.58,49.76,48.31,49.51,2095196.0
2016-04-02,49.58,49.76,48.31,49.51,2095196.0
2016-04-03,49.58,49.76,48.31,49.51,2095196.0
2016-04-04,49.37,49.75,49.14,49.27,1990533.0
2016-04-05,49.01,49.46,48.8,49.06,2383838.0
2016-04-06,49.1,49.34,48.17,48.81,4058263.0
2016-04-07,50.0,52.33,48.31,48.97,10273921.0
2016-04-08,49.26,49.44,46.9,46.99,4879414.0
2016-04-09,49.26,49.44,46.9,46.99,4879414.0
2016-04-10,49.26,49.44,46.9,46.99,4879414.0
2016-04-11,46.81,47.8,46.37,46.4,3770558.0
2016-04-12,46.65,47.28,46.23,47.14,2446189.0
2016-04-13,47.22,48.081,46.95,47.92,2242371.0
2016-04-14,48.1,48.45,47.773999999999994,47.84,1668522.0
2016-04-15,47.95,48.33,47.7008,48.04,1405473.0
2016-04-16,47.95,48.33,47.7008,48.04,1405473.0
2016-04-17,47.95,48.33,47.7008,48.04,1405473.0
2016-04-18,48.0,48.18,47.57,47.9,1355245.0
2016-04-19,47.95,48.48,47.849,48.02,1996342.0
2016-04-20,48.23,49.12,48.16,48.61,1897528.0
2016-04-21,48.89,49.29,48.68,48.76,2159516.0
2016-04-22,48.52,49.45,48.52,49.14,1441645.0
2016-04-23,48.52,49.45,48.52,49.14,1441645.0
