Date,Open,High,Low,Close,Volume
2016-01-04,29.84,31.08,29.76,30.65,6343699.0
2016-01-04,29.84,31.08,29.76,30.65,6343699.0
2016-01-04,29.84,31.08,29.76,30.65,6343699.0
2016-01-04,29.84,31.08,29.76,30.65,6343699.0
2016-01-05,30.72,31.2,30.49,31.15,4731284.0
2016-01-06,30.53,30.73,29.74,29.95,8342623.0
2016-01-07,29.56,30.67,29.38,30.23,5961929.0
2016-01-08,29.74,29.78,28.64,28.95,7062723.0
2016-01-09,29.74,29.78,28.64,28.95,7062723.0
2016-01-10,29.74,29.78,28.64,28.95,7062723.0
2016-01-11,29.08,29.59,28.97,29.43,5847658.0
2016-01-12,29.61,30.33,29.39,30.13,4754474.0
2016-01-13,30.15,30.32,29.09,29.26,6172538.0
2016-01-14,27.08,27.24,25.61,26.43,20096780.0
2016-01-15,25.35,27.36,25.31,27.11,15111456.0
2016-01-16,25.35,27.36,25.31,27.11,15111456.0
2016-01-17,25.35,27.36,25.31,27.11,15111456.0
2016-01-18,25.35,27.36,25.31,27.11,15111456.0
2016-01-19,27.05,27.1,25.4,25.87,10110526.0
2016-01-20,25.7,26.9,25.42,26.53,7797101.0
2016-01-21,26.61,27.69,26.46,27.28,6318779.0
2016-01-22,27.68,28.0,27.07,27.27,4389171.0
2016-01-23,27.68,28.0,27.07,27.27,4389171.0
2016-01-24,27.68,28.0,27.07,27.27,4389171.0
2016-01-25,27.2,27.43,26.915,27.07,5654339.0
2016-01-26,27.14,28.13,27.0201,28.04,4160894.0
2016-01-27,27.96,28.43,27.2,27.27,5797108.0
2016-01-28,27.34,27.56,26.9,26.97,5499742.0
2016-01-29,27.2,28.14,27.17,27.93,5835077.0
2016-01-30,27.2,28.14,27.17,27.93,5835077.0
2016-01-31,27.2,28.14,27.17,27.93,5835077.0
2016-02-01,27.84,28.7,27.66,28.57,4632536.0
2016-02-02,28.43,28.64,27.92,28.31,4024348.0
2016-02-03,28.29,28.45,27.51,28.33,3926656.0
2016-02-04,27.82,28.53,27.5,28.36,4899496.0
2016-02-05,28.28,28.655,27.77,28.2,4411371.0
2016-02-06,28.28,28.655,27.77,28.2,4411371.0
2016-02-07,28.28,28.655,27.77,28.2,4411371.0
2016-02-08,27.98,28.83,27.95,28.62,6393391.0
2016-02-09,28.48,28.83,27.51,27.92,5332089.0
2016-02-10,27.94,28.198,27.2,27.3,6427509.0
2016-02-11,26.97,27.4,26.72,26.93,6681621.0
2016-02-12,26.4,28.19,26.1,28.12,6537545.0
2016-02-13,26.4,28.19,26.1,28.12,6537545.0
2016-02-14,26.4,28.19,26.1,28.12,6537545.0
2016-02-15,26.4,28.19,26.1,28.12,6537545.0
2016-02-16,28.34,29.58,28.02,29.5,6455521.0
2016-02-17,29.8,30.33,29.69,30.05,5140842.0
2016-02-18,29.69,30.91,29.58,30.75,6295300.0
2016-02-19,29.8,30.27,29.35,29.95,8596913.0
2016-02-20,29.8,30.27,29.35,29.95,8596913.0
2016-02-21,29.8,30.27,29.35,29.95,8596913.0
2016-02-22,30.04,31.2,30.035,30.73,5461197.0
2016-02-23,30.97,31.45,30.67,30.92,5160375.0
2016-02-24,30.27,31.59,29.39,31.47,8066095.0
2016-02-25,32.2,32.46,30.48,32.24,10234705.0
2016-02-26,32.12,32.66,31.38,32.45,6971316.0
2016-02-27,32.12,32.66,31.38,32.45,6971316.0
2016-02-28,32.12,32.66,31.38,32.45,6971316.0
2016-02-29,32.5,32.83,32.07,32.39,4328298.0
2016-03-01,32.75,33.07,32.34,33.04,4975451.0
2016-03-02,33.06,33.24,32.44,33.1,4226313.0
2016-03-03,33.27,33.56,32.71,33.52,4396265.0
2016-03-04,33.36,33.965,33.18,33.57,4125494.0
2016-03-05,33.36,33.965,33.18,33.57,4125494.0
2016-03-06,33.36,33.965,33.18,33.57,4125494.0
2016-03-07,33.39,34.6,33.25,34.35,3888405.0
2016-03-08,34.53,34.95,33.75,34.04,4921932.0
2016-03-09,34.34,34.44,33.84,34.14,3655226.0
2016-03-10,34.35,34.45,33.75,34.36,4645572.0
2016-03-11,34.58,34.6,33.82,34.12,4985406.0
2016-03-12,34.58,34.6,33.82,34.12,4985406.0
2016-03-13,34.58,34.6,33.82,34.12,4985406.0
2016-03-14,33.83,34.03,33.36,33.45,6037140.0
2016-03-15,32.56,32.67,31.7,31.79,7213320.0
2016-03-16,31.78,32.17,31.63,32.04,5585029.0
2016-03-17,31.86,32.57,31.6,32.24,7593209.0
2016-03-18,32.35,32.56,32.16,32.52,7616689.0
2016-03-19,32.35,32.56,32.16,32.52,7616689.0
2016-03-20,32.35,32.56,32.16,32.52,7616689.0
2016-03-21,32.36,32.58,32.05,32.21,3344264.0
2016-03-22,32.25,32.3,31.51,31.78,3846507.0
2016-03-23,32.0,32.0,31.39,31.42,2549824.0
2016-03-24,31.44,31.66,31.005,31.29,3007322.0
2016-03-25,31.44,31.66,31.005,31.29,3007322.0
2016-03-26,31.44,31.66,31.005,31.29,3007322.0
2016-03-27,31.44,31.66,31.005,31.29,3007322.0
2016-03-28,31.29,31.71,31.24,31.38,2851517.0
2016-03-29,31.72,31.76,31.18,31.7,4114489.0
2016-03-30,31.65,32.03,31.4,31.57,3084692.0
2016-03-31,31.93,32.98,31.92,32.44,6364889.0
2016-04-01,32.17,32.38,31.601,32.12,4084277.0
2016-04-02,32.17,32.38,31.601,32.12,4084277.0
2016-04-03,32.17,32.38,31.601,32.12,4084277.0
2016-04-04,32.15,32.56,31.89,31.9,3586846.0
2016-04-05,31.8,31.91,31.2,31.22,3120678.0
2016-04-06,31.15,31.23,30.88,31.15,3437010.0
2016-04-07,31.07,31.23,30.085,30.22,4005755.0
2016-04-08,30.31,30.54,30.05,30.11,2812106.0
2016-04-09,30.31,30.54,30.05,30.11,2812106.0
2016-04-10,30.31,30.54,30.05,30.11,2812106.0
2016-04-11,30.1,30.84,30.1,30.54,3557179.0
2016-04-12,30.62,30.83,29.81,30.82,4837400.0
2016-04-13,30.96,32.2,30.96,32.16,5148815.0
2016-04-14,32.23,32.49,31.93,32.33,3501530.0
2016-04-15,32.35,32.73,32.24,32.4,3869296.0
2016-04-16,32.35,32.73,32.24,32.4,3869296.0
2016-04-17,32.35,32.73,32.24,32.4,3869296.0
2016-04-18,32.28,32.87,32.28,32.78,2530800.0
2016-04-19,32.75,33.13,32.67,32.9,2664413.0
2016-04-20,32.96,33.37,32.8,33.12,3474346.0
2016-04-21,33.09,33.47,32.84,32.86,2898809.0
2016-04-22,32.87,33.38,32.85,33.22,2052924.0
2016-04-23,32.87,33.38,32.85,33.22,2052924.0
