Date,Open,High,Low,Close,Volume
2016-01-04,187.16,188.06,182.69,183.9,627933.0
2016-01-04,187.16,188.06,182.69,183.9,627933.0
2016-01-04,187.16,188.06,182.69,183.9,627933.0
2016-01-04,187.16,188.06,182.69,183.9,627933.0
2016-01-05,184.58,185.69,183.67,184.8,651316.0
2016-01-06,183.01,185.0,182.17,184.02,780001.0
2016-01-07,181.97,184.81,181.97,184.17,643318.0
2016-01-08,184.51,185.1,179.81,180.18,399241.0
2016-01-09,184.51,185.1,179.81,180.18,399241.0
2016-01-10,184.51,185.1,179.81,180.18,399241.0
2016-01-11,180.48,181.79,176.58,177.96,476483.0
2016-01-12,178.36,181.58,176.92,178.91,731438.0
2016-01-13,179.58,181.24,175.8,176.1,521512.0
2016-01-14,176.48,178.59,175.88,176.95,588833.0
2016-01-15,173.15,177.7,172.21,176.93,665414.0
2016-01-16,173.15,177.7,172.21,176.93,665414.0
2016-01-17,173.15,177.7,172.21,176.93,665414.0
2016-01-18,173.15,177.7,172.21,176.93,665414.0
2016-01-19,179.02,180.8799,177.75,178.69,547037.0
2016-01-20,176.69,177.97,172.725,176.92,597083.0
2016-01-21,176.96,180.1,175.93,178.88,519716.0
2016-01-22,180.07,183.16,180.02,183.07,520315.0
2016-01-23,180.07,183.16,180.02,183.07,520315.0
2016-01-24,180.07,183.16,180.02,183.07,520315.0
2016-01-25,183.48,186.4,182.6,184.1,612545.0
2016-01-26,183.01,184.53,181.49,183.16,449646.0
2016-01-27,183.13,186.0,181.77,183.29,627435.0
2016-01-28,183.11,183.11,176.95,178.36,879404.0
2016-01-29,182.53,188.195,180.41,183.27,1283369.0
2016-01-30,182.53,188.195,180.41,183.27,1283369.0
2016-01-31,182.53,188.195,180.41,183.27,1283369.0
2016-02-01,182.79,188.65,182.79,188.08,920393.0
2016-02-02,186.96,189.715,185.8,188.89,753150.0
2016-02-03,189.63,190.45,183.48,185.15,672367.0
2016-02-04,184.51,187.49,182.98,187.13,586383.0
2016-02-05,186.92,186.92,182.07,182.91,504742.0
2016-02-06,186.92,186.92,182.07,182.91,504742.0
2016-02-07,186.92,186.92,182.07,182.91,504742.0
2016-02-08,181.76,182.135,177.47,179.65,796644.0
2016-02-09,177.97,182.91,177.8901,181.44,781616.0
2016-02-10,183.0,188.08,181.69,186.16,826446.0
2016-02-11,185.4,185.4,181.42,181.5,788474.0
2016-02-12,182.09,183.91,180.43,183.7,548164.0
2016-02-13,182.09,183.91,180.43,183.7,548164.0
2016-02-14,182.09,183.91,180.43,183.7,548164.0
2016-02-15,182.09,183.91,180.43,183.7,548164.0
2016-02-16,185.54,187.91,184.59,187.44,454908.0
2016-02-17,188.0,188.63,186.62,188.06,528979.0
2016-02-18,187.87,189.86,186.69,187.33,368013.0
2016-02-19,187.47,189.6,185.72,189.11,433914.0
2016-02-20,187.47,189.6,185.72,189.11,433914.0
2016-02-21,187.47,189.6,185.72,189.11,433914.0
2016-02-22,189.05,190.49,188.71,189.47,624864.0
2016-02-23,189.32,192.36,189.32,191.51,630526.0
2016-02-24,190.85,193.98,189.715,193.91,731767.0
2016-02-25,194.07,196.68,193.44,196.57,603890.0
2016-02-26,196.465,197.48,195.315,195.7,498455.0
2016-02-27,196.465,197.48,195.315,195.7,498455.0
2016-02-28,196.465,197.48,195.315,195.7,498455.0
2016-02-29,195.26,196.615,192.38,192.38,770901.0
2016-03-01,193.35,194.99,190.52,194.5,495492.0
2016-03-02,193.58,194.88,192.48,193.02,410931.0
2016-03-03,192.57,193.47,190.98,193.27,389011.0
2016-03-04,192.98,194.71,191.99,194.32,315360.0
2016-03-05,192.98,194.71,191.99,194.32,315360.0
2016-03-06,192.98,194.71,191.99,194.32,315360.0
2016-03-07,193.63,195.1,192.7,194.05,342801.0
2016-03-08,193.34,195.075,191.96,193.99,318933.0
2016-03-09,193.94,195.52,193.22,195.5,530677.0
2016-03-10,195.5,197.41,194.16,195.45,532650.0
2016-03-11,195.97,196.34,194.73,195.07,720056.0
2016-03-12,195.97,196.34,194.73,195.07,720056.0
2016-03-13,195.97,196.34,194.73,195.07,720056.0
2016-03-14,193.73,197.5,193.55,195.45,706654.0
2016-03-15,193.89,195.5499,193.83,194.33,419167.0
2016-03-16,194.31,195.37,192.97,194.15,509223.0
2016-03-17,194.06,195.08,191.79,193.69,523276.0
2016-03-18,194.08,197.38,193.33,196.81,569073.0
2016-03-19,194.08,197.38,193.33,196.81,569073.0
2016-03-20,194.08,197.38,193.33,196.81,569073.0
2016-03-21,195.89,196.69,194.93,196.1,337450.0
2016-03-22,196.04,198.71,195.31,197.89,398502.0
2016-03-23,198.41,199.95,197.69,198.85,431859.0
2016-03-24,198.03,198.65,196.37,198.2,523296.0
2016-03-25,198.03,198.65,196.37,198.2,523296.0
2016-03-26,198.03,198.65,196.37,198.2,523296.0
2016-03-27,198.03,198.65,196.37,198.2,523296.0
2016-03-28,198.2,199.4525,197.35,199.3,359541.0
2016-03-29,199.3,202.85,198.595,202.37,408574.0
2016-03-30,202.05,203.795,201.445,202.88,327973.0
2016-03-31,202.99,203.68,201.0,202.67,457886.0
2016-04-01,202.05,205.52,201.55,204.69,509138.0
2016-04-02,202.05,205.52,201.55,204.69,509138.0
2016-04-03,202.05,205.52,201.55,204.69,509138.0
2016-04-04,204.15,207.12,204.0,207.01,584708.0
2016-04-05,205.76,206.28,202.15,202.84,486846.0
2016-04-06,202.75,205.83,202.75,205.42,503222.0
2016-04-07,204.72,205.52,201.8,203.3,705103.0
2016-04-08,203.93,204.88,202.46,203.2,297000.0
2016-04-09,203.93,204.88,202.46,203.2,297000.0
2016-04-10,203.93,204.88,202.46,203.2,297000.0
2016-04-11,202.81,204.28,202.34,202.89,346041.0
2016-04-12,203.19,205.33,203.19,204.85,260594.0
2016-04-13,205.94,206.51,204.65,206.23,488347.0
2016-04-14,206.43,207.285,205.29,206.09,398580.0
2016-04-15,206.02,207.01,204.65,206.79,286916.0
2016-04-16,206.02,207.01,204.65,206.79,286916.0
2016-04-17,206.02,207.01,204.65,206.79,286916.0
2016-04-18,206.53,208.78,205.6,208.7,461780.0
2016-04-19,209.0,209.32,207.48,208.79,394170.0
2016-04-20,209.0,209.815,207.605,209.14,293133.0
2016-04-21,208.88,209.77,206.44,207.02,340812.0
2016-04-22,207.53,208.84,205.83,207.23,402988.0
2016-04-23,207.53,208.84,205.83,207.23,402988.0
2016-04-24,207.53,208.84,205.83,207.23,402988.0
2016-04-25,206.6,207.64,206.25,206.93,332839.0
2016-04-26,207.5,208.4,205.28,205.53,832224.0
2016-04-27,206.52,211.48,205.14,210.19,842602.0
2016-04-28,213.74,217.49,212.07,214.22,917934.0
2016-04-29,213.71,214.05,210.5,212.17,554299.0
2016-04-30,213.71,214.05,210.5,212.17,554299.0
2016-05-01,213.71,214.05,210.5,212.17,554299.0
2016-05-02,213.52,214.91,212.4,214.9,422862.0
2016-05-03,214.61,215.0,212.9,213.99,372604.0
2016-05-04,211.39,214.38,211.34,213.88,434686.0
2016-05-05,214.31,216.6,212.44,215.53,463048.0
2016-05-06,215.18,216.87,213.76,216.4,320758.0
2016-05-07,215.18,216.87,213.76,216.4,320758.0
2016-05-08,215.18,216.87,213.76,216.4,320758.0
2016-05-09,216.22,218.93,216.125,217.73,411233.0
2016-05-10,218.28,220.98,217.82,220.96,574739.0
2016-05-11,220.96,222.8,218.75,219.34,415772.0
2016-05-12,219.85,220.52,217.79,219.45,363528.0
2016-05-13,219.6,220.0,217.39,218.65,387900.0
2016-05-14,219.6,220.0,217.39,218.65,387900.0
2016-05-15,219.6,220.0,217.39,218.65,387900.0
2016-05-16,218.54,223.02,218.36,221.91,492981.0
2016-05-17,221.27,221.96,218.14,219.22,585981.0
2016-05-18,217.99,222.0,217.58,218.14,483851.0
2016-05-19,217.16,218.96,216.12,218.58,343009.0
2016-05-20,220.14,221.09,218.6,219.74,759349.0
2016-05-21,220.14,221.09,218.6,219.74,759349.0
2016-05-22,220.14,221.09,218.6,219.74,759349.0
2016-05-23,220.18,221.39,219.13,220.18,425611.0
2016-05-24,220.79,222.22,219.91,221.28,391692.0
2016-05-25,222.23,222.79,219.705,220.17,515160.0
2016-05-26,220.0,220.8499,219.52,219.58,410671.0
2016-05-27,220.0,220.1499,218.75,219.0,454880.0
2016-05-28,220.0,220.1499,218.75,219.0,454880.0
2016-05-29,220.0,220.1499,218.75,219.0,454880.0
2016-05-30,220.0,220.1499,218.75,219.0,454880.0
2016-05-31,219.26,219.9,217.65,219.04,1166478.0
2016-06-01,219.04,219.86,218.28,219.13,623934.0
2016-06-02,219.53,220.73,217.62,220.73,703622.0
2016-06-03,220.02,221.52,219.21,220.62,353054.0
2016-06-04,220.02,221.52,219.21,220.62,353054.0
2016-06-05,220.02,221.52,219.21,220.62,353054.0
2016-06-06,220.35,222.01,217.51,221.53,355233.0
2016-06-07,221.91,223.02,221.27,222.65,524731.0
2016-06-08,222.43,225.19,220.27,225.01,384617.0
2016-06-09,225.34,228.31,222.16,226.52,473328.0
2016-06-10,225.62,226.46,224.22,225.37,483126.0
2016-06-11,225.62,226.46,224.22,225.37,483126.0
2016-06-12,225.62,226.46,224.22,225.37,483126.0
2016-06-13,225.64,226.7699,225.07,225.34,361896.0
2016-06-14,224.45,227.47,223.63,227.19,389993.0
2016-06-15,227.47,227.98,223.84,224.56,358463.0
2016-06-16,224.0,225.3,222.85,225.06,289631.0
2016-06-17,225.3,225.44,222.66,225.04,478207.0
2016-06-18,225.3,225.44,222.66,225.04,478207.0
2016-06-19,225.3,225.44,222.66,225.04,478207.0
2016-06-20,225.72,228.692,225.72,227.78,587301.0
2016-06-21,228.64,229.61,226.76,228.22,323861.0
2016-06-22,228.87,229.48,227.6073,228.48,295880.0
2016-06-23,229.48,230.76,228.88,230.69,289985.0
2016-06-24,225.08,228.64,224.959,226.16,396954.0
2016-06-25,225.08,228.64,224.959,226.16,396954.0
2016-06-26,225.08,228.64,224.959,226.16,396954.0
2016-06-27,223.91,227.68,223.02,225.03,568862.0
2016-06-28,225.59,227.74,225.03,227.62,424407.0
2016-06-29,228.78,232.77,228.78,232.35,378201.0
2016-06-30,232.53,235.16,232.17,235.16,539211.0
2016-07-01,235.16,236.8,234.18,234.75,545057.0
2016-07-02,235.16,236.8,234.18,234.75,545057.0
2016-07-03,235.16,236.8,234.18,234.75,545057.0
2016-07-04,235.16,236.8,234.18,234.75,545057.0
2016-07-05,235.05,238.23,235.0,236.95,460419.0
2016-07-06,235.82,238.45,235.63,236.84,659260.0
2016-07-07,236.67,239.0325,236.67,237.8,437440.0
2016-07-08,237.88,239.34,236.43,239.0,505828.0
2016-07-09,237.88,239.34,236.43,239.0,505828.0
2016-07-10,237.88,239.34,236.43,239.0,505828.0
2016-07-11,238.46,239.4299,236.98,237.17,498310.0
2016-07-12,237.63,237.87,235.31,235.57,562890.0
2016-07-13,236.4,236.4,233.5,234.78,561908.0
2016-07-14,235.53,236.17,234.265,234.9,411206.0
2016-07-15,235.79,236.05,231.83,232.23,492030.0
2016-07-16,235.79,236.05,231.83,232.23,492030.0
