Date,Open,High,Low,Close,Volume
2016-01-04,150.62,151.45,146.02,147.95,2813897.0
2016-01-04,150.62,151.45,146.02,147.95,2813897.0
2016-01-04,150.62,151.45,146.02,147.95,2813897.0
2016-01-04,150.62,151.45,146.02,147.95,2813897.0
2016-01-05,148.65,149.695,147.8,148.42,1080429.0
2016-01-06,145.84,147.73,144.93,146.94,1774040.0
2016-01-07,144.52,145.51,143.4296,144.53,1586592.0
2016-01-08,145.19,146.01,142.03,142.36,1272703.0
2016-01-09,145.19,146.01,142.03,142.36,1272703.0
2016-01-10,145.19,146.01,142.03,142.36,1272703.0
2016-01-11,143.09,143.45,139.235,141.15,1282608.0
2016-01-12,142.4,143.53,140.38,142.45,972452.0
2016-01-13,143.46,144.41,140.92,141.38,1318542.0
2016-01-14,141.67,145.776,141.39,145.41,1738947.0
2016-01-15,142.35,144.51,141.7067,142.43,1804832.0
2016-01-16,142.35,144.51,141.7067,142.43,1804832.0
2016-01-17,142.35,144.51,141.7067,142.43,1804832.0
2016-01-18,142.35,144.51,141.7067,142.43,1804832.0
2016-01-19,143.83,144.35,141.38,142.5,1258430.0
2016-01-20,140.85,141.96,137.69,140.86,1323759.0
2016-01-21,140.9,142.105,139.13,141.65,1118661.0
2016-01-22,143.37,144.99,143.07,144.76,867155.0
2016-01-23,143.37,144.99,143.07,144.76,867155.0
2016-01-24,143.37,144.99,143.07,144.76,867155.0
2016-01-25,145.12,146.7,144.69,144.9,974621.0
2016-01-26,144.77,145.86,143.67,145.51,775817.0
2016-01-27,145.63,148.18,144.92,146.04,982039.0
2016-01-28,146.61,146.95,141.76,142.28,1447719.0
2016-01-29,143.31,145.37,143.0,145.37,1679342.0
2016-01-30,143.31,145.37,143.0,145.37,1679342.0
2016-01-31,143.31,145.37,143.0,145.37,1679342.0
2016-02-01,144.11,146.46,140.53,146.02,1571582.0
2016-02-02,144.92,145.9,143.91,145.05,1505061.0
2016-02-03,147.0,147.0,139.57,141.08,2324348.0
2016-02-04,140.47,140.99,137.41,137.91,1812656.0
2016-02-05,137.5,137.95,134.71,135.25,1227482.0
2016-02-06,137.5,137.95,134.71,135.25,1227482.0
2016-02-07,137.5,137.95,134.71,135.25,1227482.0
2016-02-08,134.24,134.96,129.7901,132.88,1854401.0
2016-02-09,129.58,135.38,129.5,134.34,1701011.0
2016-02-10,136.22,139.22,135.89,136.14,1124714.0
2016-02-11,135.63,136.36,134.21,135.33,1589178.0
2016-02-12,136.87,139.95,136.39,139.81,1625444.0
2016-02-13,136.87,139.95,136.39,139.81,1625444.0
2016-02-14,136.87,139.95,136.39,139.81,1625444.0
2016-02-15,136.87,139.95,136.39,139.81,1625444.0
2016-02-16,141.19,142.4897,140.49,142.12,1394283.0
2016-02-17,143.31,144.21,142.06,144.11,764539.0
2016-02-18,144.5,144.8,142.7301,143.18,753212.0
2016-02-19,143.36,145.0,142.38,144.9,913330.0
2016-02-20,143.36,145.0,142.38,144.9,913330.0
2016-02-21,143.36,145.0,142.38,144.9,913330.0
2016-02-22,145.63,146.3,144.98,145.68,652130.0
2016-02-23,145.98,147.07,145.5,146.46,1026668.0
2016-02-24,145.0,147.9,144.73,147.47,938864.0
2016-02-25,147.74,148.98,146.892,148.67,826446.0
2016-02-26,149.0,150.17,148.915,149.64,1228704.0
2016-02-27,149.0,150.17,148.915,149.64,1228704.0
2016-02-28,149.0,150.17,148.915,149.64,1228704.0
