Date,Open,High,Low,Close,Volume
2016-01-04,333.04,333.46,329.005,333.1,958864.0
2016-01-04,333.04,333.46,329.005,333.1,958864.0
2016-01-04,333.04,333.46,329.005,333.1,958864.0
2016-01-04,333.04,333.46,329.005,333.1,958864.0
2016-01-05,334.19,336.1,329.1203,333.96,803203.0
2016-01-06,327.28,331.9014,327.0,330.16,1138503.0
2016-01-07,320.6,325.65,312.61,315.73,1286052.0
2016-01-08,317.56,319.76,307.03,307.78,1500286.0
2016-01-09,317.56,319.76,307.03,307.78,1500286.0
2016-01-10,317.56,319.76,307.03,307.78,1500286.0
2016-01-11,309.07,310.0,304.37,308.32,1258384.0
2016-01-12,312.42,314.6,307.59,313.59,1096797.0
2016-01-13,315.21,318.43,303.62,304.61,1200037.0
2016-01-14,305.26,315.45,299.31,310.0,1373720.0
2016-01-15,298.96,299.95,290.46,296.58,1972566.0
2016-01-16,298.96,299.95,290.46,296.58,1972566.0
2016-01-17,298.96,299.95,290.46,296.58,1972566.0
2016-01-18,298.96,299.95,290.46,296.58,1972566.0
2016-01-19,300.4,301.76,290.48,294.0,1070400.0
2016-01-20,288.67,294.145,280.55,292.0,1685658.0
2016-01-21,292.79,296.89,289.48,289.9,1099583.0
2016-01-22,295.84,301.89,294.9931,300.56,780613.0
2016-01-23,295.84,301.89,294.9931,300.56,780613.0
2016-01-24,295.84,301.89,294.9931,300.56,780613.0
2016-01-25,300.06,300.94,289.2,289.72,1010540.0
2016-01-26,292.46,300.43,291.265,299.26,1066418.0
2016-01-27,299.0,311.0,297.3836,302.12,1147918.0
2016-01-28,302.61,307.81,298.04,299.17,1023807.0
2016-01-29,303.37,314.34,301.9,314.26,986460.0
2016-01-30,303.37,314.34,301.9,314.26,986460.0
2016-01-31,303.37,314.34,301.9,314.26,986460.0
2016-02-01,311.91,314.5,306.68,312.25,755126.0
2016-02-02,305.82,305.82,298.02,301.21,1061299.0
2016-02-03,301.7,306.91,290.07,304.06,1372264.0
2016-02-04,302.25,316.0,302.25,313.7,1037604.0
2016-02-05,312.03,315.17,306.35,307.75,1057557.0
2016-02-06,312.03,315.17,306.35,307.75,1057557.0
2016-02-07,312.03,315.17,306.35,307.75,1057557.0
2016-02-08,301.36,301.36,289.37,293.46,1162881.0
2016-02-09,287.0,297.61,286.52,294.53,878845.0
2016-02-10,299.29,305.73,297.13,298.56,711725.0
2016-02-11,289.47,297.233,289.0,294.21,1266304.0
2016-02-12,300.18,307.5,297.04,306.8,941679.0
2016-02-13,300.18,307.5,297.04,306.8,941679.0
2016-02-14,300.18,307.5,297.04,306.8,941679.0
2016-02-15,300.18,307.5,297.04,306.8,941679.0
2016-02-16,312.03,315.65,309.33,314.47,764566.0
2016-02-17,318.84,321.265,316.99,319.88,888075.0
2016-02-18,319.52,320.05,314.14,315.97,660851.0
2016-02-19,313.07,314.55,307.59,314.29,835258.0
2016-02-20,313.07,314.55,307.59,314.29,835258.0
2016-02-21,313.07,314.55,307.59,314.29,835258.0
2016-02-22,318.84,321.717,312.245,316.45,818046.0
2016-02-23,315.0,317.42,306.41,309.86,758685.0
2016-02-24,304.49,311.87,297.8942,307.98,845653.0
2016-02-25,309.59,313.75,303.87,313.62,608762.0
2016-02-26,316.6,318.5725,311.92,313.92,678187.0
2016-02-27,316.6,318.5725,311.92,313.92,678187.0
2016-02-28,316.6,318.5725,311.92,313.92,678187.0
2016-02-29,312.6,315.63,311.0901,311.96,874588.0
2016-03-01,315.27,323.03,314.13,322.57,832284.0
2016-03-02,320.1,327.23,318.395,326.73,1051437.0
2016-03-03,323.46,324.97,320.43,323.14,838419.0
2016-03-04,323.28,325.87,320.7,323.76,671978.0
2016-03-05,323.28,325.87,320.7,323.76,671978.0
2016-03-06,323.28,325.87,320.7,323.76,671978.0
2016-03-07,320.52,327.86,317.8262,326.73,682396.0
2016-03-08,323.3,325.0,316.745,320.4,672527.0
2016-03-09,323.91,328.35,321.0,328.31,1179242.0
2016-03-10,329.77,330.0,320.0,324.99,688346.0
2016-03-11,330.0,340.185,326.65,339.65,905925.0
2016-03-12,330.0,340.185,326.65,339.65,905925.0
2016-03-13,330.0,340.185,326.65,339.65,905925.0
2016-03-14,337.46,338.91,334.21,337.82,631270.0
2016-03-15,333.13,334.3297,330.39,334.13,627305.0
2016-03-16,333.15,335.5,329.59,334.07,674534.0
2016-03-17,334.23,344.73,332.67,341.94,864366.0
2016-03-18,344.21,346.9599,339.625,342.56,763474.0
2016-03-19,344.21,346.9599,339.625,342.56,763474.0
2016-03-20,344.21,346.9599,339.625,342.56,763474.0
2016-03-21,342.77,345.82,339.04,341.98,685060.0
2016-03-22,337.17,342.83,337.17,340.22,490102.0
2016-03-23,340.98,341.86,337.3,339.23,466515.0
2016-03-24,336.47,337.87,331.73,334.28,662382.0
2016-03-25,336.47,337.87,331.73,334.28,662382.0
2016-03-26,336.47,337.87,331.73,334.28,662382.0
2016-03-27,336.47,337.87,331.73,334.28,662382.0
2016-03-28,336.0,338.64,334.21,336.91,444555.0
2016-03-29,336.24,340.43,332.0,339.91,635007.0
2016-03-30,343.63,344.91,340.805,341.37,463395.0
2016-03-31,340.34,344.2,339.93,340.57,511508.0
2016-04-01,337.27,344.56,335.07,342.53,717695.0
2016-04-02,337.27,344.56,335.07,342.53,717695.0
2016-04-03,337.27,344.56,335.07,342.53,717695.0
2016-04-04,342.0,343.29,336.24,338.52,553117.0
2016-04-05,335.92,336.66,331.45,334.8,523888.0
2016-04-06,334.4,338.73,334.09,337.2,463490.0
