Date,Open,High,Low,Close,Volume
2016-01-04,71.61,72.15,70.74,72.11,1171689.0
2016-01-04,71.61,72.15,70.74,72.11,1171689.0
2016-01-04,71.61,72.15,70.74,72.11,1171689.0
2016-01-04,71.61,72.15,70.74,72.11,1171689.0
2016-01-05,72.23,73.0,72.11,72.96,1117662.0
2016-01-06,71.89,72.64,71.81,72.27,1452703.0
2016-01-07,71.14,71.43,70.17,70.36,1444594.0
2016-01-08,70.91,70.99,69.65,69.78,1286389.0
2016-01-09,70.91,70.99,69.65,69.78,1286389.0
2016-01-10,70.91,70.99,69.65,69.78,1286389.0
2016-01-11,69.89,70.34,68.31,69.16,2788033.0
2016-01-12,69.78,71.03,69.69,70.59,2221620.0
2016-01-13,70.88,70.99,68.46,68.64,1740385.0
2016-01-14,68.62,69.17,67.3101,68.82,1549230.0
2016-01-15,66.86,69.11,66.5,68.97,2240248.0
2016-01-16,66.86,69.11,66.5,68.97,2240248.0
2016-01-17,66.86,69.11,66.5,68.97,2240248.0
2016-01-18,66.86,69.11,66.5,68.97,2240248.0
2016-01-19,69.45,70.35,68.4,69.34,2341351.0
2016-01-20,67.57,69.21,66.67,68.6,1941432.0
2016-01-21,68.19,68.83,67.03,67.06,1457219.0
2016-01-22,67.8,68.86,67.38,68.76,1298129.0
2016-01-23,67.8,68.86,67.38,68.76,1298129.0
2016-01-24,67.8,68.86,67.38,68.76,1298129.0
2016-01-25,68.33,68.75,66.21,66.63,1729972.0
2016-01-26,67.0,68.09,66.71,67.83,828174.0
2016-01-27,67.48,67.63,65.72,66.1,3129867.0
2016-01-28,62.99,67.29,62.99,66.9,2625304.0
2016-01-29,66.67,67.21,65.77,66.83,2350299.0
2016-01-30,66.67,67.21,65.77,66.83,2350299.0
2016-01-31,66.67,67.21,65.77,66.83,2350299.0
2016-02-01,66.45,67.42,65.8642,67.2,1440916.0
2016-02-02,66.5,66.52,65.36,65.58,1696410.0
2016-02-03,65.62,66.31,64.83,66.12,1238484.0
2016-02-04,66.62,68.14,66.21,67.84,1613476.0
2016-02-05,67.35,67.75,64.79,65.22,1815681.0
2016-02-06,67.35,67.75,64.79,65.22,1815681.0
2016-02-07,67.35,67.75,64.79,65.22,1815681.0
2016-02-08,64.8,64.8,62.3,63.89,2181513.0
