Date,Open,High,Low,Close,Volume
2016-01-04,67.45,67.91,66.38,67.03,7113665.0
2016-01-04,67.45,67.91,66.38,67.03,7113665.0
2016-01-04,67.45,67.91,66.38,67.03,7113665.0
2016-01-04,67.45,67.91,66.38,67.03,7113665.0
2016-01-05,67.5,68.9,67.42,68.35,7812690.0
2016-01-06,67.47,68.27,66.85,67.15,6691349.0
2016-01-07,65.85,66.69,64.95,65.29,8436092.0
2016-01-08,65.6,65.79,63.5,63.63,9074520.0
2016-01-09,65.6,65.79,63.5,63.63,9074520.0
2016-01-10,65.6,65.79,63.5,63.63,9074520.0
2016-01-11,63.71,63.99,61.98,62.98,10337626.0
2016-01-12,63.25,63.79,62.12,63.44,7796178.0
2016-01-13,63.6,64.48,61.19,61.28,9706373.0
2016-01-14,61.32,63.905,60.89,63.51,9343507.0
2016-01-15,61.69,62.92,61.07,62.78,11230253.0
2016-01-16,61.69,62.92,61.07,62.78,11230253.0
2016-01-17,61.69,62.92,61.07,62.78,11230253.0
2016-01-18,61.69,62.92,61.07,62.78,11230253.0
2016-01-19,63.61,64.43,62.56,63.21,8463211.0
2016-01-20,62.24,64.58,61.8,63.55,8702941.0
2016-01-21,63.94,63.97,62.5,63.13,5665356.0
2016-01-22,64.46,64.8,63.65,64.4,6644011.0
2016-01-23,64.46,64.8,63.65,64.4,6644011.0
2016-01-24,64.46,64.8,63.65,64.4,6644011.0
2016-01-25,64.23,64.42,62.64,62.92,7957093.0
2016-01-26,63.03,63.05,61.92,62.69,5531417.0
2016-01-27,62.94,62.95,61.16,61.71,7537046.0
2016-01-28,64.17,64.25,60.0,61.16,17001363.0
2016-01-29,61.65,62.64,61.16,62.16,10139132.0
2016-01-30,61.65,62.64,61.16,62.16,10139132.0
2016-01-31,61.65,62.64,61.16,62.16,10139132.0
2016-02-01,61.87,62.36,60.045,60.82,10195612.0
2016-02-02,60.03,60.3,58.46,58.87,9915332.0
2016-02-03,59.2,60.18,57.94,60.12,11153816.0
2016-02-04,59.62,60.75,59.19,59.7,7987211.0
2016-02-05,59.75,60.06,58.99,59.63,7129501.0
2016-02-06,59.75,60.06,58.99,59.63,7129501.0
2016-02-07,59.75,60.06,58.99,59.63,7129501.0
2016-02-08,59.04,61.17,58.77,60.72,10656014.0
2016-02-09,60.27,61.98,60.03,61.02,6391867.0
2016-02-10,61.25,62.42,60.92,61.08,5933305.0
2016-02-11,59.88,60.25,58.94,59.52,6632313.0
2016-02-12,60.2,60.41,59.16,60.2,5979602.0
2016-02-13,60.2,60.41,59.16,60.2,5979602.0
2016-02-14,60.2,60.41,59.16,60.2,5979602.0
2016-02-15,60.2,60.41,59.16,60.2,5979602.0
2016-02-16,62.72,62.72,61.35,62.18,7807975.0
2016-02-17,62.89,64.02,61.96,63.92,6971197.0
2016-02-18,63.95,64.02,62.91,63.32,6338699.0
2016-02-19,62.92,64.54,62.91,63.8,5873207.0
2016-02-20,62.92,64.54,62.91,63.8,5873207.0
2016-02-21,62.92,64.54,62.91,63.8,5873207.0
2016-02-22,63.9,64.42,63.33,63.7,5821605.0
2016-02-23,63.28,63.35,62.02,62.07,6293877.0
2016-02-24,61.84,62.36,60.8328,62.23,4825877.0
2016-02-25,62.63,63.06,62.3,63.03,4500291.0
2016-02-26,63.35,63.58,62.24,62.25,5345088.0
2016-02-27,63.35,63.58,62.24,62.25,5345088.0
2016-02-28,63.35,63.58,62.24,62.25,5345088.0
2016-02-29,62.26,62.73,61.92,61.93,7402267.0
2016-03-01,62.31,64.24,61.92,64.22,5203804.0
2016-03-02,64.18,65.09,63.71,64.9,6150401.0
2016-03-03,64.49,65.24,63.64,65.0,8198215.0
2016-03-04,65.0,65.29,64.17,64.71,7111954.0
2016-03-05,65.0,65.29,64.17,64.71,7111954.0
2016-03-06,65.0,65.29,64.17,64.71,7111954.0
2016-03-07,64.5,66.63,64.45,66.49,6979770.0
2016-03-08,66.11,66.36,65.73,66.26,6030080.0
2016-03-09,66.66,66.6835,64.95,65.54,5431408.0
2016-03-10,66.17,66.26,64.48,64.94,5992080.0
2016-03-11,65.18,65.59,64.54,64.96,7107621.0
2016-03-12,65.18,65.59,64.54,64.96,7107621.0
2016-03-13,65.18,65.59,64.54,64.96,7107621.0
2016-03-14,64.68,64.7,64.01,64.12,5721830.0
2016-03-15,63.97,64.28,63.3245,63.68,5400319.0
2016-03-16,63.38,64.32,62.21,62.64,8666370.0
2016-03-17,62.52,62.61,60.98,61.47,9639231.0
2016-03-18,61.54,62.83,61.0,62.83,17343209.0
2016-03-19,61.54,62.83,61.0,62.83,17343209.0
2016-03-20,61.54,62.83,61.0,62.83,17343209.0
2016-03-21,62.53,62.875,62.13,62.7,4000582.0
2016-03-22,62.58,63.25,62.38,62.8,5756138.0
2016-03-23,63.08,63.08,62.255,62.34,3648734.0
2016-03-24,62.18,62.56,61.73,62.52,5342149.0
2016-03-25,62.18,62.56,61.73,62.52,5342149.0
2016-03-26,62.18,62.56,61.73,62.52,5342149.0
2016-03-27,62.18,62.56,61.73,62.52,5342149.0
2016-03-28,62.58,63.145,62.22,62.77,4699331.0
2016-03-29,62.45,64.45,62.33,64.19,6146263.0
2016-03-30,63.96,64.16,63.2,63.44,4489123.0
2016-03-31,63.6,64.04,63.3,63.88,5811599.0
2016-04-01,63.66,65.19,63.5,64.91,5804376.0
2016-04-02,63.66,65.19,63.5,64.91,5804376.0
2016-04-03,63.66,65.19,63.5,64.91,5804376.0
2016-04-04,65.01,66.325,64.77,65.97,5725974.0
2016-04-05,65.83,66.8,65.6,65.76,4340119.0
2016-04-06,65.76,67.14,65.76,66.54,5743446.0
2016-04-07,66.05,66.63,65.5963,66.28,6308787.0
2016-04-08,66.83,66.93,65.64,66.07,4404224.0
2016-04-09,66.83,66.93,65.64,66.07,4404224.0
2016-04-10,66.83,66.93,65.64,66.07,4404224.0
2016-04-11,66.2,66.49,65.77,65.98,3545660.0
2016-04-12,65.96,67.29,65.86,66.84,4394091.0
2016-04-13,67.0,67.66,66.4169,67.57,5643555.0
2016-04-14,67.66,68.31,67.52,67.87,3456860.0
2016-04-15,67.94,68.3,67.57,68.05,3247446.0
2016-04-16,67.94,68.3,67.57,68.05,3247446.0
2016-04-17,67.94,68.3,67.57,68.05,3247446.0
2016-04-18,68.08,68.9501,67.59,68.86,3346222.0
2016-04-19,68.85,69.74,68.19,68.91,4019892.0
2016-04-20,69.18,69.55,68.41,69.23,6918825.0
2016-04-21,69.02,70.24,68.88,70.16,5420402.0
2016-04-22,70.25,71.07,70.25,70.68,5803856.0
2016-04-23,70.25,71.07,70.25,70.68,5803856.0
2016-04-24,70.25,71.07,70.25,70.68,5803856.0
2016-04-25,70.61,70.83,70.04,70.63,4231412.0
2016-04-26,70.64,71.07,70.125,70.86,4608437.0
2016-04-27,70.86,71.0,68.615,70.23,7570714.0
2016-04-28,71.78,73.06,69.5,72.26,13740457.0
2016-04-29,72.06,72.69,71.37,72.18,9503415.0
2016-04-30,72.06,72.69,71.37,72.18,9503415.0
2016-05-01,72.06,72.69,71.37,72.18,9503415.0
2016-05-02,72.19,72.34,71.49,71.96,7739057.0
2016-05-03,71.95,72.03,70.75,71.13,5758736.0
2016-05-04,70.42,70.95,70.135,70.78,6835183.0
2016-05-05,70.56,71.19,70.04,71.15,6368257.0
2016-05-06,71.0,71.5,69.88,71.22,4769789.0
2016-05-07,71.0,71.5,69.88,71.22,4769789.0
2016-05-08,71.0,71.5,69.88,71.22,4769789.0
2016-05-09,71.34,71.98,71.29,71.34,5283532.0
2016-05-10,71.75,71.75,70.85,71.53,5758820.0
2016-05-11,71.32,71.52,70.595,70.81,5356462.0
2016-05-12,71.04,71.39,70.59,71.28,4922625.0
2016-05-13,71.27,71.9,71.0,71.18,3935087.0
2016-05-14,71.27,71.9,71.0,71.18,3935087.0
2016-05-15,71.27,71.9,71.0,71.18,3935087.0
2016-05-16,71.42,73.01,71.015,72.83,5030729.0
2016-05-17,72.23,72.97,70.9,71.21,10777565.0
2016-05-18,70.91,71.8,70.64,71.09,5070958.0
2016-05-19,70.63,71.0,69.56,70.33,5425000.0
2016-05-20,70.55,71.16,70.3165,70.77,5164177.0
2016-05-21,70.55,71.16,70.3165,70.77,5164177.0
2016-05-22,70.55,71.16,70.3165,70.77,5164177.0
2016-05-23,70.93,71.0,69.61,70.4,5905283.0
2016-05-24,70.94,71.44,70.83,71.23,3878782.0
2016-05-25,71.3,71.57,70.535,70.69,5815797.0
2016-05-26,70.54,70.9824,70.29,70.73,3994957.0
2016-05-27,70.94,71.54,70.71,71.31,3630886.0
2016-05-28,70.94,71.54,70.71,71.31,3630886.0
2016-05-29,70.94,71.54,70.71,71.31,3630886.0
2016-05-30,70.94,71.54,70.71,71.31,3630886.0
2016-05-31,71.36,71.88,70.94,71.7,7162549.0
2016-06-01,71.71,72.11,71.4,71.87,3726024.0
2016-06-02,71.92,73.0,71.79,73.0,4610844.0
2016-06-03,72.76,73.37,72.325,72.89,5039027.0
2016-06-04,72.76,73.37,72.325,72.89,5039027.0
2016-06-05,72.76,73.37,72.325,72.89,5039027.0
2016-06-06,73.42,75.12,73.41,74.29,9599897.0
2016-06-07,74.24,74.65,73.69,73.91,5037478.0
2016-06-08,73.96,73.99,73.28,73.41,5702712.0
2016-06-09,73.37,73.71,72.64,72.73,5693400.0
2016-06-10,72.5,72.9799,72.18,72.65,5007081.0
2016-06-11,72.5,72.9799,72.18,72.65,5007081.0
2016-06-12,72.5,72.9799,72.18,72.65,5007081.0
2016-06-13,72.67,73.17,72.0,72.22,4726820.0
2016-06-14,72.22,73.15,72.16,73.1,4691691.0
2016-06-15,73.25,73.76,72.49,72.57,5390007.0
2016-06-16,72.35,72.52,70.77,71.73,10771634.0
2016-06-17,72.0,72.0,70.13,70.67,15007684.0
2016-06-18,72.0,72.0,70.13,70.67,15007684.0
2016-06-19,72.0,72.0,70.13,70.67,15007684.0
2016-06-20,71.33,71.75,70.96,70.96,5165827.0
2016-06-21,71.16,71.5,70.36,71.25,6450711.0
2016-06-22,71.25,73.44,71.2201,72.31,8093816.0
2016-06-23,72.86,72.91,72.15,72.64,5624185.0
2016-06-24,70.75,71.85,70.53,70.61,7412629.0
2016-06-25,70.75,71.85,70.53,70.61,7412629.0
2016-06-26,70.75,71.85,70.53,70.61,7412629.0
2016-06-27,70.39,71.13,70.09,70.32,7477388.0
2016-06-28,70.95,72.08,70.67,72.01,7066054.0
2016-06-29,72.12,73.17,71.96,73.0,6539785.0
2016-06-30,73.1,73.75,72.71,73.55,5763885.0
2016-07-01,73.66,74.16,73.335,73.78,3122825.0
2016-07-02,73.66,74.16,73.335,73.78,3122825.0
2016-07-03,73.66,74.16,73.335,73.78,3122825.0
2016-07-04,73.66,74.16,73.335,73.78,3122825.0
2016-07-05,73.75,74.19,73.29,73.78,4255806.0
2016-07-06,74.01,74.06,72.87,73.86,6517612.0
2016-07-07,73.85,74.15,73.63,74.08,4056693.0
2016-07-08,74.29,75.72,74.0,75.28,5428134.0
2016-07-09,74.29,75.72,74.0,75.28,5428134.0
2016-07-10,74.29,75.72,74.0,75.28,5428134.0
2016-07-11,75.3,75.84,75.03,75.39,5277533.0
2016-07-12,75.48,76.55,75.48,76.2,5934851.0
2016-07-13,76.69,76.89,76.1,76.58,4648160.0
2016-07-14,76.79,76.92,76.29,76.77,4352295.0
2016-07-15,77.11,77.12,75.08,76.0,7523623.0
2016-07-16,77.11,77.12,75.08,76.0,7523623.0
2016-07-17,77.11,77.12,75.08,76.0,7523623.0
2016-07-18,76.27,76.36,75.62,75.96,3794127.0
2016-07-19,75.9,76.1925,75.43,75.47,3693239.0
2016-07-20,75.71,76.04,75.54,75.72,3949784.0
2016-07-21,75.61,76.08,75.15,75.5,3420459.0
2016-07-22,75.5,75.98,75.0,75.68,5276211.0
2016-07-23,75.5,75.98,75.0,75.68,5276211.0
2016-07-24,75.5,75.98,75.0,75.68,5276211.0
2016-07-25,75.7,75.75,75.07,75.56,3988974.0
2016-07-26,75.78,75.87,74.885,75.06,3826419.0
2016-07-27,75.2,76.8,75.01,76.47,5536229.0
2016-07-28,75.41,76.48,74.5,74.66,7412612.0
2016-07-29,74.57,75.16,74.22,74.81,4861139.0
2016-07-30,74.57,75.16,74.22,74.81,4861139.0
2016-07-31,74.57,75.16,74.22,74.81,4861139.0
2016-08-01,75.13,76.3,74.89,76.19,5081658.0
2016-08-02,76.02,76.07,74.71,75.05,4479810.0
2016-08-03,74.93,75.06,74.2542,74.8,4349626.0
2016-08-04,74.96,75.62,74.57,75.32,3474924.0
2016-08-05,62.0,64.77,61.56,63.28,86212615.0
2016-08-06,62.0,64.77,61.56,63.28,86212615.0
2016-08-07,62.0,64.77,61.56,63.28,86212615.0
2016-08-08,63.5,63.6514,60.0,60.3,60107687.0
2016-08-09,60.65,62.2484,60.57,61.61,25005611.0
2016-08-10,61.77,61.83,60.5,60.58,14455087.0
2016-08-11,60.7,61.13,60.25,60.97,14576344.0
2016-08-12,61.23,61.3,60.61,60.63,9374162.0
2016-08-13,61.23,61.3,60.61,60.63,9374162.0
2016-08-14,61.23,61.3,60.61,60.63,9374162.0
2016-08-15,60.74,60.855,60.01,60.03,12142914.0
2016-08-16,60.02,60.3899,59.3,59.41,13273714.0
2016-08-17,59.5,59.52,58.07,58.3,21004595.0
2016-08-18,58.27,59.475,58.26,58.68,14693323.0
2016-08-19,58.74,59.35,58.53,59.29,12134815.0
2016-08-20,58.74,59.35,58.53,59.29,12134815.0
2016-08-21,58.74,59.35,58.53,59.29,12134815.0
2016-08-22,59.65,59.68,59.01,59.26,11133617.0
2016-08-23,59.51,60.04,59.3,59.86,10582369.0
2016-08-24,59.8,60.0,58.4,58.59,13190047.0
2016-08-25,58.59,59.41,58.36,58.76,9116481.0
2016-08-26,58.76,59.4,58.54,58.77,7845194.0
2016-08-27,58.76,59.4,58.54,58.77,7845194.0
2016-08-28,58.76,59.4,58.54,58.77,7845194.0
2016-08-29,58.89,59.14,58.46,58.76,6572748.0
2016-08-30,58.97,58.97,57.16,57.24,16797771.0
2016-08-31,57.37,57.51,56.92,57.39,12533948.0
2016-09-01,57.6,57.62,56.49,56.76,12873853.0
2016-09-02,56.93,56.93,55.11,56.35,33994954.0
2016-09-03,56.93,56.93,55.11,56.35,33994954.0
2016-09-04,56.93,56.93,55.11,56.35,33994954.0
2016-09-05,56.93,56.93,55.11,56.35,33994954.0
2016-09-06,56.69,57.128,56.12,56.96,11707305.0
2016-09-07,57.02,57.45,56.42,56.57,11715999.0
2016-09-08,56.63,57.245,56.28,56.81,11571495.0
2016-09-09,56.6,57.01,55.66,55.66,12349552.0
2016-09-10,56.6,57.01,55.66,55.66,12349552.0
2016-09-11,56.6,57.01,55.66,55.66,12349552.0
2016-09-12,55.3,56.44,55.02,56.32,9958857.0
2016-09-13,56.08,56.13,55.09,55.6,9473392.0
2016-09-14,55.85,56.086999999999996,55.11,55.23,9001239.0
2016-09-15,55.35,56.34,55.27,55.97,9844567.0
2016-09-16,56.22,56.41,55.53,55.6,12082652.0
2016-09-17,56.22,56.41,55.53,55.6,12082652.0
2016-09-18,56.22,56.41,55.53,55.6,12082652.0
2016-09-19,55.95,55.97,55.02,55.08,10516006.0
2016-09-20,55.35,56.28,55.16,55.56,9939882.0
2016-09-21,55.86,56.12,55.26,55.93,11651434.0
2016-09-22,56.03,56.65,55.87,56.42,10610794.0
2016-09-23,56.3,56.95,56.26,56.48,8566074.0
2016-09-24,56.3,56.95,56.26,56.48,8566074.0
2016-09-25,56.3,56.95,56.26,56.48,8566074.0
2016-09-26,56.26,56.31,55.4,55.48,8597172.0
2016-09-27,55.68,55.89,55.5,55.74,8619892.0
2016-09-28,55.81,55.81,54.93,55.09,13758679.0
2016-09-29,55.26,55.27,53.76,53.87,17226285.0
2016-09-30,53.93,54.37,53.9,53.92,12387352.0
2016-10-01,53.93,54.37,53.9,53.92,12387352.0
2016-10-02,53.93,54.37,53.9,53.92,12387352.0
2016-10-03,53.94,54.7,53.56,54.66,9696736.0
2016-10-04,54.9,55.82,54.8,55.21,14042673.0
2016-10-05,54.9,55.2,54.49,54.79,10964066.0
2016-10-06,54.57,55.36,54.48,55.05,10954982.0
2016-10-07,55.22,55.9,55.06,55.43,12699871.0
2016-10-08,55.22,55.9,55.06,55.43,12699871.0
2016-10-09,55.22,55.9,55.06,55.43,12699871.0
2016-10-10,50.79,51.3,49.54,49.81,65259694.0
2016-10-11,49.67,50.23,49.5,49.55,24530542.0
2016-10-12,49.82,50.97,49.74,50.01,18136625.0
2016-10-13,49.63,50.49,49.12,50.24,15095991.0
2016-10-14,50.35,50.65,49.755,49.77,13846325.0
2016-10-15,50.35,50.65,49.755,49.77,13846325.0
2016-10-16,50.35,50.65,49.755,49.77,13846325.0
2016-10-17,49.69,49.79,49.1,49.34,11577968.0
2016-10-18,49.48,50.35,49.34,50.05,8773340.0
2016-10-19,49.95,50.18,49.8,49.87,7636179.0
2016-10-20,49.81,50.48,49.76,50.36,9309489.0
2016-10-21,50.11,50.45,49.88,50.02,8555643.0
2016-10-22,50.11,50.45,49.88,50.02,8555643.0
2016-10-23,50.11,50.45,49.88,50.02,8555643.0
2016-10-24,50.11,50.1675,49.04,49.23,12107525.0
2016-10-25,49.22,50.13,49.03,49.55,10211503.0
2016-10-26,49.58,49.76,49.07,49.29,8325224.0
2016-10-27,52.42,53.1672,50.66,51.96,31896653.0
2016-10-28,52.11,52.22,50.66,51.0,13209361.0
2016-10-29,52.11,52.22,50.66,51.0,13209361.0
2016-10-30,52.11,52.22,50.66,51.0,13209361.0
2016-10-31,51.05,51.62,50.65,50.91,11325906.0
2016-11-01,50.93,51.36,50.375,50.8,8739127.0
2016-11-02,50.93,50.98,50.53,50.57,8195078.0
2016-11-03,50.51,50.8841,50.1,50.21,14905803.0
2016-11-04,50.5,51.45,50.46,51.01,12816975.0
2016-11-05,50.5,51.45,50.46,51.01,12816975.0
2016-11-06,50.5,51.45,50.46,51.01,12816975.0
2016-11-07,51.7,53.1,51.59,52.62,12825281.0
2016-11-08,52.29,53.34,52.02,53.16,10091717.0
2016-11-09,55.25,57.3,54.9,56.3,28681017.0
2016-11-10,57.0,57.55,56.22,56.66,17744341.0
2016-11-11,56.31,56.73,55.88,56.37,12438294.0
2016-11-12,56.31,56.73,55.88,56.37,12438294.0
2016-11-13,56.31,56.73,55.88,56.37,12438294.0
