Date,Open,High,Low,Close,Volume
2016-01-04,125.28,125.93,122.9,124.2,800871.0
2016-01-04,125.28,125.93,122.9,124.2,800871.0
2016-01-04,125.28,125.93,122.9,124.2,800871.0
2016-01-04,125.28,125.93,122.9,124.2,800871.0
2016-01-05,124.26,127.71,123.81,127.26,692577.0
2016-01-06,126.66,127.33,126.29,127.24,796059.0
2016-01-07,125.51,127.21,124.95,124.98,919129.0
2016-01-08,125.0,125.77,121.27,121.48,803059.0
2016-01-09,125.0,125.77,121.27,121.48,803059.0
2016-01-10,125.0,125.77,121.27,121.48,803059.0
2016-01-11,121.95,123.23,121.625,122.68,763429.0
2016-01-12,123.4,124.07,120.47,121.01,903329.0
2016-01-13,121.15,122.28,118.57,118.73,719803.0
2016-01-14,119.35,121.015,119.0825,119.87,929588.0
2016-01-15,118.34,118.78,116.72,118.45,808050.0
2016-01-16,118.34,118.78,116.72,118.45,808050.0
2016-01-17,118.34,118.78,116.72,118.45,808050.0
2016-01-18,118.34,118.78,116.72,118.45,808050.0
2016-01-19,119.82,120.41,118.21,119.33,602781.0
2016-01-20,118.17,118.4,113.84,115.85,1154370.0
2016-01-21,116.37,117.71,115.46,116.04,628875.0
2016-01-22,117.46,119.74,117.45,119.2,647101.0
2016-01-23,117.46,119.74,117.45,119.2,647101.0
2016-01-24,117.46,119.74,117.45,119.2,647101.0
2016-01-25,119.21,120.38,117.6,117.81,727145.0
2016-01-26,118.44,120.69,118.44,120.35,726336.0
2016-01-27,119.96,120.73,118.51,119.14,582529.0
2016-01-28,119.03,121.16,114.27,115.44,1832029.0
2016-01-29,117.31,117.955,114.2,116.21,1888077.0
2016-01-30,117.31,117.955,114.2,116.21,1888077.0
2016-01-31,117.31,117.955,114.2,116.21,1888077.0
2016-02-01,115.42,118.36,114.83,116.31,1099266.0
2016-02-02,115.93,117.29,114.23,114.82,1268018.0
2016-02-03,115.81,116.11,114.04,114.7,1088475.0
2016-02-04,114.65,118.64,114.37,117.25,1094481.0
2016-02-05,116.03,117.25,115.0,115.09,862796.0
2016-02-06,116.03,117.25,115.0,115.09,862796.0
2016-02-07,116.03,117.25,115.0,115.09,862796.0
2016-02-08,114.99,115.13,110.05,111.14,1110500.0
2016-02-09,110.32,110.91,107.99,108.97,1175016.0
2016-02-10,109.81,112.47,109.17,111.19,679756.0
2016-02-11,109.58,109.91,107.81,108.18,936822.0
2016-02-12,109.07,109.75,107.28,108.61,714858.0
2016-02-13,109.07,109.75,107.28,108.61,714858.0
2016-02-14,109.07,109.75,107.28,108.61,714858.0
2016-02-15,109.07,109.75,107.28,108.61,714858.0
2016-02-16,110.3,110.54,108.865,110.29,1096569.0
2016-02-17,111.51,113.3,111.41,111.97,745130.0
2016-02-18,111.78,112.42,110.52,111.62,964104.0
2016-02-19,111.04,113.17,109.96,112.4,870766.0
2016-02-20,111.04,113.17,109.96,112.4,870766.0
2016-02-21,111.04,113.17,109.96,112.4,870766.0
2016-02-22,113.86,115.12,113.15,114.76,973249.0
2016-02-23,114.18,116.31,113.47,114.35,1439414.0
2016-02-24,113.72,114.39,112.38,113.72,701691.0
2016-02-25,114.56,116.18,113.84,115.18,638647.0
2016-02-26,114.91,115.09,113.76,113.9,685492.0
2016-02-27,114.91,115.09,113.76,113.9,685492.0
2016-02-28,114.91,115.09,113.76,113.9,685492.0
2016-02-29,114.09,116.095,113.66,114.14,1246664.0
2016-03-01,115.0,118.1,114.29,118.06,816132.0
2016-03-02,117.52,118.1,116.78,118.03,584859.0
2016-03-03,117.67,118.66,117.32,118.4,763669.0
2016-03-04,118.33,118.735,117.75,118.58,775899.0
2016-03-05,118.33,118.735,117.75,118.58,775899.0
2016-03-06,118.33,118.735,117.75,118.58,775899.0
2016-03-07,117.41,119.29,117.41,118.65,477275.0
2016-03-08,118.22,118.91,116.9,117.1,584949.0
2016-03-09,117.43,118.28,117.02,117.34,701550.0
2016-03-10,118.07,118.56,115.69,117.12,362483.0
2016-03-11,117.9,122.86,117.02,122.7,1192108.0
2016-03-12,117.9,122.86,117.02,122.7,1192108.0
2016-03-13,117.9,122.86,117.02,122.7,1192108.0
2016-03-14,122.32,122.96,121.48,122.72,692940.0
2016-03-15,122.12,123.74,121.54,123.37,782559.0
2016-03-16,122.54,125.83,122.39,125.37,822233.0
2016-03-17,125.61,127.64,124.7,127.0,880231.0
2016-03-18,127.12,127.5199,126.25,126.66,1233305.0
2016-03-19,127.12,127.5199,126.25,126.66,1233305.0
2016-03-20,127.12,127.5199,126.25,126.66,1233305.0
2016-03-21,126.1,127.0,125.36,125.95,1263308.0
2016-03-22,125.72,126.51,124.44,125.32,934384.0
2016-03-23,125.25,125.73,124.18,124.25,856912.0
2016-03-24,123.78,124.25,122.35,123.87,688925.0
2016-03-25,123.78,124.25,122.35,123.87,688925.0
2016-03-26,123.78,124.25,122.35,123.87,688925.0
2016-03-27,123.78,124.25,122.35,123.87,688925.0
2016-03-28,124.01,125.46,123.7,124.93,503677.0
2016-03-29,124.17,126.955,123.9,126.77,579036.0
2016-03-30,126.99,127.77,126.48,126.72,602599.0
2016-03-31,126.69,127.23,126.04,127.08,716157.0
2016-04-01,126.72,127.94,126.17,127.29,604979.0
2016-04-02,126.72,127.94,126.17,127.29,604979.0
2016-04-03,126.72,127.94,126.17,127.29,604979.0
2016-04-04,127.26,127.82,126.82,127.5,540069.0
2016-04-05,127.1,128.06,126.66,127.03,521433.0
2016-04-06,126.85,127.99,125.51,127.9,493812.0
2016-04-07,127.34,127.79,125.71,126.21,599195.0
2016-04-08,126.85,128.65,126.061,127.12,568531.0
2016-04-09,126.85,128.65,126.061,127.12,568531.0
2016-04-10,126.85,128.65,126.061,127.12,568531.0
2016-04-11,127.52,127.99,126.6205,126.9,467255.0
2016-04-12,127.5,129.73,127.37,129.2,828670.0
2016-04-13,129.84,129.88,127.8,128.35,724981.0
2016-04-14,128.38,128.84,127.885,128.32,482658.0
2016-04-15,128.42,129.8,127.7201,129.58,539280.0
2016-04-16,128.42,129.8,127.7201,129.58,539280.0
2016-04-17,128.42,129.8,127.7201,129.58,539280.0
2016-04-18,129.36,130.165,128.35,130.01,700853.0
