Date,Open,High,Low,Close,Volume
2016-01-04,50.75,51.19,50.19,51.13,23439007.0
2016-01-04,50.75,51.19,50.19,51.13,23439007.0
2016-01-04,50.75,51.19,50.19,51.13,23439007.0
2016-01-04,50.75,51.19,50.19,51.13,23439007.0
2016-01-05,51.54,51.61,50.41,50.86,17415451.0
2016-01-06,50.1,50.58,49.76,50.12,22500081.0
2016-01-07,49.07,49.38,47.5,47.56,37895988.0
2016-01-08,48.73,48.74,46.03,46.13,30637992.0
2016-01-09,48.73,48.74,46.03,46.13,30637992.0
2016-01-10,48.73,48.74,46.03,46.13,30637992.0
2016-01-11,46.56,46.99,45.93,46.85,26284598.0
2016-01-12,47.495,47.5,46.27,46.88,26308141.0
2016-01-13,47.32,47.35,44.965,45.19,27925821.0
2016-01-14,45.42,45.815,44.565,45.38,30120533.0
2016-01-15,42.51,43.69,41.85,42.47,52443939.0
2016-01-16,42.51,43.69,41.85,42.47,52443939.0
2016-01-17,42.51,43.69,41.85,42.47,52443939.0
2016-01-18,42.51,43.69,41.85,42.47,52443939.0
2016-01-19,42.85,43.12,41.66,41.94,39019640.0
2016-01-20,40.52,41.025,39.442,40.49,49896245.0
2016-01-21,40.51,41.39,40.03,40.15,34963332.0
2016-01-22,41.05,41.35,40.82,41.06,30185491.0
2016-01-23,41.05,41.35,40.82,41.06,30185491.0
2016-01-24,41.05,41.35,40.82,41.06,30185491.0
2016-01-25,40.81,40.96,39.45,39.55,31916117.0
2016-01-26,39.6,40.79,39.5,40.5,23507411.0
2016-01-27,40.37,41.69,40.225,40.56,28266908.0
2016-01-28,41.2,41.39,40.07,40.39,23209956.0
2016-01-29,40.8,42.59,40.78,42.58,36104189.0
2016-01-30,40.8,42.59,40.78,42.58,36104189.0
2016-01-31,40.8,42.59,40.78,42.58,36104189.0
2016-02-01,42.36,42.83,42.0,42.48,22857717.0
2016-02-02,41.86,41.86,40.275,40.42,31438857.0
2016-02-03,40.65,40.71,38.0361,40.36,43678827.0
2016-02-04,40.11,41.57,40.05,40.79,26694001.0
2016-02-05,41.02,41.44,39.55,39.86,23596741.0
2016-02-06,41.02,41.44,39.55,39.86,23596741.0
2016-02-07,41.02,41.44,39.55,39.86,23596741.0
2016-02-08,39.14,39.18,37.18,37.81,35233645.0
2016-02-09,36.93,38.07,36.68,37.51,39760692.0
2016-02-10,38.5,39.09,37.38,37.41,33382622.0
2016-02-11,36.0,36.16,34.52,34.98,48928032.0
2016-02-12,36.03,37.87,35.98,37.54,38119266.0
2016-02-13,36.03,37.87,35.98,37.54,38119266.0
2016-02-14,36.03,37.87,35.98,37.54,38119266.0
2016-02-15,36.03,37.87,35.98,37.54,38119266.0
2016-02-16,38.59,39.22,38.32,38.89,31799924.0
2016-02-17,39.71,40.29,39.5,39.78,29128063.0
2016-02-18,39.93,39.99,38.62,38.92,24106443.0
2016-02-19,38.82,39.06,38.06,38.99,22423311.0
2016-02-20,38.82,39.06,38.06,38.99,22423311.0
2016-02-21,38.82,39.06,38.06,38.99,22423311.0
2016-02-22,39.67,39.97,39.3,39.52,22024610.0
2016-02-23,39.12,39.19,38.04,38.22,26228967.0
2016-02-24,37.44,38.18,36.61,38.09,25903066.0
2016-02-25,38.23,38.645,38.01,38.62,19885100.0
2016-02-26,39.06,40.02,38.76,39.5,23754360.0
2016-02-27,39.06,40.02,38.76,39.5,23754360.0
2016-02-28,39.06,40.02,38.76,39.5,23754360.0
2016-02-29,39.43,39.795,38.85,38.85,22254533.0
2016-03-01,39.15,41.29,39.1,41.27,30602008.0
2016-03-02,41.24,42.25,41.09,42.22,26967164.0
2016-03-03,42.14,42.87,41.89,42.83,21831884.0
2016-03-04,43.07,43.59,42.47,42.83,28069548.0
2016-03-05,43.07,43.59,42.47,42.83,28069548.0
2016-03-06,43.07,43.59,42.47,42.83,28069548.0
2016-03-07,42.36,42.93,42.08,42.61,22133567.0
2016-03-08,42.15,42.31,40.99,41.05,26116932.0
2016-03-09,41.36,41.43,40.625,41.15,18573724.0
2016-03-10,41.61,42.15,40.61,41.37,21139286.0
2016-03-11,42.27,43.01,41.7639,42.99,21063917.0
2016-03-12,42.27,43.01,41.7639,42.99,21063917.0
2016-03-13,42.27,43.01,41.7639,42.99,21063917.0
2016-03-14,42.66,42.91,42.205,42.67,15326501.0
2016-03-15,42.26,42.62,41.97,42.59,13784665.0
2016-03-16,42.13,43.05,41.5,42.23,22981023.0
2016-03-17,41.99,42.925,41.38,42.85,24261033.0
2016-03-18,43.43,43.965,43.25,43.54,30801797.0
2016-03-19,43.43,43.965,43.25,43.54,30801797.0
2016-03-20,43.43,43.965,43.25,43.54,30801797.0
2016-03-21,43.43,44.26,43.25,43.6,16224667.0
2016-03-22,43.27,43.63,42.91,43.38,14885079.0
2016-03-23,43.28,43.5,42.28,42.37,23987682.0
2016-03-24,41.78,41.94,41.03,41.94,22722219.0
2016-03-25,41.78,41.94,41.03,41.94,22722219.0
2016-03-26,41.78,41.94,41.03,41.94,22722219.0
2016-03-27,41.78,41.94,41.03,41.94,22722219.0
2016-03-28,42.1,42.18,41.68,41.92,13062449.0
2016-03-29,41.78,41.78,41.14,41.72,18160088.0
2016-03-30,41.98,42.59,41.85,41.88,14762399.0
2016-03-31,41.83,42.34,41.59,41.75,15661272.0
2016-04-01,41.52,42.595,41.3,42.47,17747857.0
2016-04-02,41.52,42.595,41.3,42.47,17747857.0
2016-04-03,41.52,42.595,41.3,42.47,17747857.0
2016-04-04,42.36,42.7,41.98,42.06,14377003.0
2016-04-05,41.45,41.9,41.12,41.51,17867289.0
2016-04-06,41.53,41.89,41.19,41.86,16168471.0
2016-04-07,41.3,41.48,39.95,40.27,22614368.0
2016-04-08,40.86,41.28,40.37,40.47,14674710.0
2016-04-09,40.86,41.28,40.37,40.47,14674710.0
2016-04-10,40.86,41.28,40.37,40.47,14674710.0
2016-04-11,40.74,41.51,40.71,41.12,21076354.0
2016-04-12,41.28,41.96,41.12,41.9,19886199.0
2016-04-13,42.55,44.49,42.55,44.25,33127894.0
2016-04-14,44.14,45.29,44.02,44.98,26867728.0
2016-04-15,46.45,46.56,44.6,44.92,39164837.0
2016-04-16,46.45,46.56,44.6,44.92,39164837.0
2016-04-17,46.45,46.56,44.6,44.92,39164837.0
2016-04-18,44.42,45.25,44.21,45.11,22922092.0
2016-04-19,45.42,45.93,45.23,45.63,18830200.0
2016-04-20,45.74,46.75,45.73,46.74,21637344.0
2016-04-21,46.79,46.95,46.23,46.6,21535409.0
2016-04-22,46.69,47.35,46.62,46.97,17425015.0
2016-04-23,46.69,47.35,46.62,46.97,17425015.0
2016-04-24,46.69,47.35,46.62,46.97,17425015.0
2016-04-25,46.63,46.93,46.14,46.69,13480511.0
2016-04-26,46.71,47.16,46.42,47.1,15572918.0
2016-04-27,46.89,47.84,46.79,47.33,19398393.0
2016-04-28,46.79,47.53,46.55,46.73,18388132.0
2016-04-29,46.52,46.86,46.06,46.28,23921185.0
2016-04-30,46.52,46.86,46.06,46.28,23921185.0
2016-05-01,46.52,46.86,46.06,46.28,23921185.0
2016-05-02,46.54,46.83,45.9,46.68,13802510.0
2016-05-03,45.77,45.83,44.98,45.57,21186149.0
2016-05-04,44.88,45.02,44.165,44.66,24309402.0
2016-05-05,44.78,45.08,44.16,44.23,14909684.0
2016-05-06,43.81,44.42,43.72,44.41,17630453.0
2016-05-07,43.81,44.42,43.72,44.41,17630453.0
2016-05-08,43.81,44.42,43.72,44.41,17630453.0
2016-05-09,44.31,44.61,43.65,43.89,14248353.0
2016-05-10,44.34,44.9,44.11,44.84,13607878.0
2016-05-11,44.66,45.38,44.46,44.47,15997079.0
2016-05-12,44.84,45.17,43.77,44.0,15550032.0
2016-05-13,43.98,44.57,43.0,43.11,19429979.0
2016-05-14,43.98,44.57,43.0,43.11,19429979.0
2016-05-15,43.98,44.57,43.0,43.11,19429979.0
2016-05-16,43.11,43.5,42.94,43.15,17158384.0
2016-05-17,43.07,43.89,42.81,43.7,19939785.0
2016-05-18,43.75,46.1355,43.75,45.87,37645212.0
2016-05-19,45.6,46.06,44.63,45.06,23036064.0
2016-05-20,45.42,45.7,44.79,44.9,19610197.0
2016-05-21,45.42,45.7,44.79,44.9,19610197.0
2016-05-22,45.42,45.7,44.79,44.9,19610197.0
2016-05-23,44.85,45.18,44.57,45.11,15050504.0
2016-05-24,45.45,46.19,45.31,45.86,18969939.0
2016-05-25,46.19,47.6,46.19,46.94,23976508.0
2016-05-26,47.04,47.12,46.07,46.11,16955913.0
2016-05-27,46.24,46.67,46.08,46.58,13846614.0
2016-05-28,46.24,46.67,46.08,46.58,13846614.0
2016-05-29,46.24,46.67,46.08,46.58,13846614.0
2016-05-30,46.24,46.67,46.08,46.58,13846614.0
2016-05-31,46.88,46.9,46.31,46.57,21403198.0
2016-06-01,46.04,46.99,45.48,46.94,17211323.0
2016-06-02,46.86,47.06,46.6,46.97,15483762.0
2016-06-03,45.11,45.6,44.25,45.39,36957799.0
2016-06-04,45.11,45.6,44.25,45.39,36957799.0
2016-06-05,45.11,45.6,44.25,45.39,36957799.0
2016-06-06,45.39,46.26,45.21,45.74,17320230.0
2016-06-07,46.04,46.1,45.51,45.54,12089832.0
2016-06-08,45.48,45.9,45.295,45.56,13147321.0
2016-06-09,45.18,45.21,44.65,45.01,17068975.0
2016-06-10,44.27,44.4,43.68,43.9,23071149.0
2016-06-11,44.27,44.4,43.68,43.9,23071149.0
2016-06-12,44.27,44.4,43.68,43.9,23071149.0
2016-06-13,43.23,44.06,43.145,43.16,20609745.0
2016-06-14,43.04,43.54,41.515,41.96,27617752.0
2016-06-15,42.3,42.89,41.968999999999994,42.01,21928028.0
2016-06-16,41.61,42.18,41.15,42.12,19902280.0
2016-06-17,42.44,42.935,42.15,42.48,25113413.0
2016-06-18,42.44,42.935,42.15,42.48,25113413.0
2016-06-19,42.44,42.935,42.15,42.48,25113413.0
2016-06-20,43.46,44.05,42.78,42.8,20243952.0
2016-06-21,43.17,43.21,42.47,42.92,14710374.0
2016-06-22,42.87,43.43,42.635,42.68,18080688.0
2016-06-23,43.51,44.5,43.47,44.46,25606579.0
