Date,Open,High,Low,Close,Volume
2016-01-04,41.69,41.93,41.05,41.54,4244879.0
2016-01-04,41.69,41.93,41.05,41.54,4244879.0
2016-01-04,41.69,41.93,41.05,41.54,4244879.0
2016-01-04,41.69,41.93,41.05,41.54,4244879.0
2016-01-05,41.6,41.85,41.39,41.57,3322396.0
2016-01-06,41.17,42.09,41.01,41.79,6379736.0
2016-01-07,41.19,41.61,40.17,40.36,5216242.0
2016-01-08,40.57,40.83,40.09,40.56,7746774.0
2016-01-09,40.57,40.83,40.09,40.56,7746774.0
2016-01-10,40.57,40.83,40.09,40.56,7746774.0
2016-01-11,40.64,40.827,39.795,40.19,3426316.0
2016-01-12,40.49,40.78,40.2203,40.69,2700164.0
2016-01-13,40.8,40.91,39.48,39.53,2357925.0
2016-01-14,39.56,40.255,39.315,40.03,3010232.0
2016-01-15,39.12,39.37,38.4,39.04,4099282.0
2016-01-16,39.12,39.37,38.4,39.04,4099282.0
2016-01-17,39.12,39.37,38.4,39.04,4099282.0
2016-01-18,39.12,39.37,38.4,39.04,4099282.0
2016-01-19,39.25,39.41,38.715,38.87,4538421.0
2016-01-20,38.47,38.91,37.97,38.7,3713373.0
2016-01-21,39.25,39.42,38.68,39.25,3774695.0
2016-01-22,39.67,40.325,39.4,40.25,3257590.0
2016-01-23,39.67,40.325,39.4,40.25,3257590.0
2016-01-24,39.67,40.325,39.4,40.25,3257590.0
2016-01-25,39.9,40.0,38.925,39.08,4131339.0
2016-01-26,39.26,39.83,39.03,39.5,2109174.0
2016-01-27,39.34,40.05,38.98,39.34,2441190.0
2016-01-28,39.48,40.52,39.26,40.11,2743013.0
2016-01-29,40.63,41.81,40.56,41.64,5492276.0
2016-01-30,40.63,41.81,40.56,41.64,5492276.0
2016-01-31,40.63,41.81,40.56,41.64,5492276.0
2016-02-01,41.52,42.14,41.36,41.98,3709824.0
2016-02-02,41.49,41.61,40.845,40.91,2865733.0
2016-02-03,40.99,41.23,40.36,41.13,2911209.0
