Date,Open,High,Low,Close,Volume
2016-01-04,87.73,88.07,87.2,87.95,1675480.0
2016-01-04,87.73,88.07,87.2,87.95,1675480.0
2016-01-04,87.73,88.07,87.2,87.95,1675480.0
2016-01-04,87.73,88.07,87.2,87.95,1675480.0
2016-01-05,88.38,89.97,88.19,89.68,2366714.0
2016-01-06,87.94,88.58,86.77,87.24,2324917.0
2016-01-07,85.96,86.76,84.69,85.0,2502556.0
2016-01-08,85.36,85.76,83.57,83.86,1777331.0
2016-01-09,85.36,85.76,83.57,83.86,1777331.0
2016-01-10,85.36,85.76,83.57,83.86,1777331.0
2016-01-11,82.31,83.35,78.2316,79.27,5879469.0
2016-01-12,81.27,81.57,79.03,79.89,3727387.0
2016-01-13,79.99,80.55,77.78,78.17,2884243.0
2016-01-14,78.3,82.04,78.16,81.78,3642023.0
2016-01-15,80.0,81.59,79.7,81.24,3844695.0
2016-01-16,80.0,81.59,79.7,81.24,3844695.0
2016-01-17,80.0,81.59,79.7,81.24,3844695.0
2016-01-18,80.0,81.59,79.7,81.24,3844695.0
2016-01-19,82.2,82.28,80.3701,81.58,2561175.0
2016-01-20,80.32,81.02,77.8,80.28,3022941.0
2016-01-21,80.32,81.53,79.39,80.08,2161351.0
2016-01-22,81.39,81.92,81.01,81.59,1539383.0
2016-01-23,81.39,81.92,81.01,81.59,1539383.0
2016-01-24,81.39,81.92,81.01,81.59,1539383.0
2016-01-25,81.73,82.29299999999999,81.0,81.2,2113281.0
2016-01-26,81.5,82.84,80.77,82.71,1893401.0
2016-01-27,82.64,83.525,81.35,81.75,1922656.0
2016-01-28,82.32,82.32,78.5601,79.0,3530235.0
2016-01-29,79.73,81.42,78.89,81.37,3718992.0
2016-01-30,79.73,81.42,78.89,81.37,3718992.0
2016-01-31,79.73,81.42,78.89,81.37,3718992.0
2016-02-01,76.5,80.75,76.23,79.8,4195542.0
2016-02-02,79.46,79.95,77.38,77.73,2818621.0
2016-02-03,78.43,78.58,75.72,77.33,2327210.0
2016-02-04,76.89,78.74,75.85,76.6,2546528.0
2016-02-05,76.26,77.36,75.91,76.61,2918794.0
2016-02-06,76.26,77.36,75.91,76.61,2918794.0
2016-02-07,76.26,77.36,75.91,76.61,2918794.0
2016-02-08,75.96,76.6,74.73,76.16,2527517.0
2016-02-09,75.39,77.33,75.36,76.65,2653787.0
2016-02-10,76.84,79.02,76.2,78.22,2187742.0
2016-02-11,76.7,78.23,76.23,77.12,2786893.0
2016-02-12,77.6,78.9,76.91,78.85,2168252.0
2016-02-13,77.6,78.9,76.91,78.85,2168252.0
2016-02-14,77.6,78.9,76.91,78.85,2168252.0
2016-02-15,77.6,78.9,76.91,78.85,2168252.0
2016-02-16,79.56,80.35,78.86,79.77,2382061.0
2016-02-17,79.76,81.42,79.51,80.98,1716713.0
2016-02-18,81.13,81.81,80.72,81.0,1800970.0
2016-02-19,81.04,81.09,80.25,80.83,2446775.0
2016-02-20,81.04,81.09,80.25,80.83,2446775.0
2016-02-21,81.04,81.09,80.25,80.83,2446775.0
2016-02-22,81.28,82.0,80.82,81.46,1283437.0
2016-02-23,81.21,81.73,80.2,81.2,2273677.0
2016-02-24,80.34,82.41,80.23,82.14,1877466.0
2016-02-25,82.23,82.81,81.62,82.67,1315641.0
2016-02-26,83.0,83.57,82.88,83.03,1225061.0
2016-02-27,83.0,83.57,82.88,83.03,1225061.0
2016-02-28,83.0,83.57,82.88,83.03,1225061.0
2016-02-29,82.75,83.07,81.7,81.7,1776498.0
2016-03-01,82.52,82.9,81.58,82.88,1817029.0
2016-03-02,82.58,83.64,82.36,83.16,1956960.0
2016-03-03,82.8,83.7,82.27,83.61,1353712.0
2016-03-04,83.41,84.0,82.86,83.51,1101276.0
2016-03-05,83.41,84.0,82.86,83.51,1101276.0
2016-03-06,83.41,84.0,82.86,83.51,1101276.0
2016-03-07,84.01,84.44,83.5,84.15,1285334.0
2016-03-08,83.48,83.66,82.66,82.71,1473001.0
2016-03-09,83.13,83.45,82.79,83.18,1334675.0
2016-03-10,83.65,84.0,81.47,82.32,1831747.0
2016-03-11,83.08,84.045,82.63,83.88,1581500.0
2016-03-12,83.08,84.045,82.63,83.88,1581500.0
2016-03-13,83.08,84.045,82.63,83.88,1581500.0
2016-03-14,84.0,84.5,83.44,83.61,1287402.0
2016-03-15,82.4,82.84,80.19,80.43,2859587.0
2016-03-16,80.3,81.78,80.14,81.1,1859384.0
2016-03-17,81.16,81.305,79.21,79.74,2304882.0
2016-03-18,80.07,81.04,79.81,80.86,2442077.0
2016-03-19,80.07,81.04,79.81,80.86,2442077.0
2016-03-20,80.07,81.04,79.81,80.86,2442077.0
2016-03-21,80.94,81.43,80.18,80.85,1592851.0
2016-03-22,80.8,81.85,80.57,81.16,1434725.0
2016-03-23,81.35,82.2,81.03,81.28,1731205.0
2016-03-24,80.915,82.13,80.59,81.48,1729107.0
2016-03-25,80.915,82.13,80.59,81.48,1729107.0
2016-03-26,80.915,82.13,80.59,81.48,1729107.0
2016-03-27,80.915,82.13,80.59,81.48,1729107.0
2016-03-28,81.55,81.71,80.28,80.77,1563128.0
2016-03-29,80.81,81.89,80.29,81.82,1904183.0
2016-03-30,82.24,82.4558,81.58,81.78,1151491.0
2016-03-31,81.78,82.43,81.46,81.95,1663002.0
2016-04-01,81.68,82.28,81.33,82.16,1766113.0
2016-04-02,81.68,82.28,81.33,82.16,1766113.0
2016-04-03,81.68,82.28,81.33,82.16,1766113.0
2016-04-04,82.29,83.27,82.29,83.13,1793034.0
2016-04-05,82.54,82.86,81.19,81.31,1883306.0
2016-04-06,81.62,84.12,81.62,84.06,2460317.0
2016-04-07,83.66,84.71,83.34,83.76,1858856.0
2016-04-08,84.11,84.63,82.64,83.0,1408523.0
2016-04-09,84.11,84.63,82.64,83.0,1408523.0
2016-04-10,84.11,84.63,82.64,83.0,1408523.0
2016-04-11,83.11,83.265,82.01,82.2,1185759.0
2016-04-12,82.33,82.86,81.92,82.56,1405013.0
2016-04-13,83.04,83.92,82.67,83.87,1239532.0
2016-04-14,83.87,84.38,83.44,83.91,1181038.0
2016-04-15,83.72,84.34,83.45,84.25,1216629.0
2016-04-16,83.72,84.34,83.45,84.25,1216629.0
2016-04-17,83.72,84.34,83.45,84.25,1216629.0
2016-04-18,83.79,84.64,83.58,84.57,946655.0
2016-04-19,85.21,86.17,85.0174,85.59,1495502.0
2016-04-20,85.45,87.76,85.45,87.2,2164857.0
2016-04-21,87.11,87.85,86.5,86.82,1991494.0
2016-04-22,86.9,87.3304,86.1,86.91,1371869.0
2016-04-23,86.9,87.3304,86.1,86.91,1371869.0
2016-04-24,86.9,87.3304,86.1,86.91,1371869.0
2016-04-25,86.56,86.91,85.72,86.35,1157156.0
2016-04-26,86.49,86.905,86.28,86.58,1135322.0
2016-04-27,86.89,87.16,86.37,86.54,1907694.0
2016-04-28,82.82,83.91,78.13,78.51,7081441.0
2016-04-29,78.02,80.02,76.54,78.46,6335376.0
2016-04-30,78.02,80.02,76.54,78.46,6335376.0
2016-05-01,78.02,80.02,76.54,78.46,6335376.0
2016-05-02,77.5,79.5975,77.14,79.5,3795223.0
2016-05-03,79.15,79.84,78.49,79.24,2777163.0
2016-05-04,79.09,79.425,77.36,77.51,3899362.0
2016-05-05,76.5,79.07,75.5,78.55,5766252.0
2016-05-06,78.55,78.82,76.6,76.85,3745618.0
2016-05-07,78.55,78.82,76.6,76.85,3745618.0
2016-05-08,78.55,78.82,76.6,76.85,3745618.0
2016-05-09,77.05,78.73,76.91,78.47,2784872.0
2016-05-10,78.67,79.24,78.28,78.47,2567997.0
2016-05-11,78.6,78.78,76.92,76.96,3106173.0
2016-05-12,77.31,77.46,76.615,77.0,2850176.0
2016-05-13,77.04,77.31,76.18,76.25,2173717.0
2016-05-14,77.04,77.31,76.18,76.25,2173717.0
2016-05-15,77.04,77.31,76.18,76.25,2173717.0
2016-05-16,76.34,77.46,76.22,77.39,1704111.0
2016-05-17,77.39,77.69,76.69,77.1,2864422.0
2016-05-18,77.08,78.24,76.74,77.83,2440302.0
2016-05-19,77.19,78.2,76.71,77.33,1692488.0
2016-05-20,77.82,77.87,77.07,77.41,2707516.0
2016-05-21,77.82,77.87,77.07,77.41,2707516.0
2016-05-22,77.82,77.87,77.07,77.41,2707516.0
2016-05-23,77.27,77.62,76.73,76.74,2032512.0
2016-05-24,77.07,77.66,76.92,77.46,1674455.0
2016-05-25,77.78,77.99,76.69,76.73,3011025.0
2016-05-26,76.65,77.46,76.4,77.29,2036479.0
2016-05-27,77.55,78.36,77.4501,78.15,1857193.0
2016-05-28,77.55,78.36,77.4501,78.15,1857193.0
2016-05-29,77.55,78.36,77.4501,78.15,1857193.0
2016-05-30,77.55,78.36,77.4501,78.15,1857193.0
2016-05-31,78.16,79.17,78.15,78.95,3612917.0
2016-06-01,78.58,79.05,78.44,78.72,2596405.0
2016-06-02,78.7,79.89,78.61,79.89,2361088.0
2016-06-03,79.72,79.99,79.21,79.79,1987989.0
2016-06-04,79.72,79.99,79.21,79.79,1987989.0
2016-06-05,79.72,79.99,79.21,79.79,1987989.0
2016-06-06,79.72,80.52,79.37,80.42,2021848.0
2016-06-07,80.1,80.41,79.715,80.0,2142684.0
2016-06-08,79.85,80.13,79.5,79.66,3437888.0
2016-06-09,79.56,79.96,79.105,79.29,3082766.0
2016-06-10,79.0,79.06,78.05,78.53,2714480.0
2016-06-11,79.0,79.06,78.05,78.53,2714480.0
2016-06-12,79.0,79.06,78.05,78.53,2714480.0
2016-06-13,78.53,78.79,78.145,78.2,2042115.0
2016-06-14,78.01,78.32,77.57,77.93,1707421.0
2016-06-15,78.02,78.0799,76.61,76.68,3548491.0
2016-06-16,76.4,76.6,75.43,76.54,3228320.0
2016-06-17,76.56,76.57,75.37,75.51,2897455.0
2016-06-18,76.56,76.57,75.37,75.51,2897455.0
2016-06-19,76.56,76.57,75.37,75.51,2897455.0
2016-06-20,76.4,77.055,76.23,76.48,2193754.0
2016-06-21,76.82,77.06,76.31,76.89,1855021.0
2016-06-22,76.9,77.69,76.8,77.04,2148551.0
2016-06-23,77.98,78.14,77.44,78.12,1279272.0
2016-06-24,75.64,76.25,75.04,75.23,3282019.0
2016-06-25,75.64,76.25,75.04,75.23,3282019.0
2016-06-26,75.64,76.25,75.04,75.23,3282019.0
2016-06-27,74.84,75.15,73.2523,73.69,2117103.0
2016-06-28,75.16,75.44,73.98,75.43,2888270.0
2016-06-29,75.97,77.45,75.69,77.29,2305796.0
2016-06-30,77.36,78.17,76.97,78.01,2992890.0
2016-07-01,77.92,78.38,77.63,78.29,2302968.0
2016-07-02,77.92,78.38,77.63,78.29,2302968.0
2016-07-03,77.92,78.38,77.63,78.29,2302968.0
