Date,Open,High,Low,Close,Volume
2016-01-04,144.71,146.87,144.09,146.55,1461652.0
2016-01-04,144.71,146.87,144.09,146.55,1461652.0
2016-01-04,144.71,146.87,144.09,146.55,1461652.0
2016-01-04,144.71,146.87,144.09,146.55,1461652.0
2016-01-05,146.49,148.14,143.72,144.14,1515017.0
2016-01-06,143.46,144.87,142.75,143.03,1180242.0
2016-01-07,141.0,142.96,140.23,141.37,1779646.0
2016-01-08,142.0,142.13,138.58,138.74,1465436.0
2016-01-09,142.0,142.13,138.58,138.74,1465436.0
2016-01-10,142.0,142.13,138.58,138.74,1465436.0
2016-01-11,138.93,139.36,134.73,134.73,2100432.0
2016-01-12,135.41,139.47,135.02,139.08,1811404.0
2016-01-13,139.23,140.13,134.91,135.26,1671172.0
2016-01-14,134.96,139.17,134.96,138.72,1975420.0
2016-01-15,136.75,137.221,134.615,136.23,1692067.0
2016-01-16,136.75,137.221,134.615,136.23,1692067.0
2016-01-17,136.75,137.221,134.615,136.23,1692067.0
2016-01-18,136.75,137.221,134.615,136.23,1692067.0
2016-01-19,136.28,141.43,136.26,139.92,1843825.0
2016-01-20,138.66,140.22,135.13,139.23,1908582.0
2016-01-21,139.38,142.63,139.12,140.13,1846135.0
2016-01-22,137.9,141.19,136.44,137.9,2345372.0
2016-01-23,137.9,141.19,136.44,137.9,2345372.0
2016-01-24,137.9,141.19,136.44,137.9,2345372.0
2016-01-25,138.26,138.86,135.67,135.85,1664268.0
2016-01-26,137.1,137.445,134.33,135.42,1151032.0
2016-01-27,135.41,135.41,129.88,131.44,2696103.0
2016-01-28,132.09,133.2,129.11,129.83,1156587.0
2016-01-29,130.22,133.6,130.08,133.6,1664856.0
2016-01-30,130.22,133.6,130.08,133.6,1664856.0
2016-01-31,130.22,133.6,130.08,133.6,1664856.0
2016-02-01,133.34,135.21,132.56,133.23,1729205.0
2016-02-02,133.2,133.2,130.99,131.9,1128020.0
2016-02-03,132.04,133.05,130.7,132.5,2081138.0
2016-02-04,130.6,134.97,130.6,134.77,2151464.0
2016-02-05,133.66,135.11,131.7,133.05,1567193.0
2016-02-06,133.66,135.11,131.7,133.05,1567193.0
2016-02-07,133.66,135.11,131.7,133.05,1567193.0
2016-02-08,132.12,132.31,124.12,124.96,2763592.0
2016-02-09,124.49,129.11,123.54,128.18,1159347.0
2016-02-10,128.63,131.07,128.0,129.5,821970.0
