Date,Open,High,Low,Close,Volume
2016-01-04,58.11,58.2,56.94,57.54,825112.0
2016-01-04,58.11,58.2,56.94,57.54,825112.0
2016-01-04,58.11,58.2,56.94,57.54,825112.0
2016-01-04,58.11,58.2,56.94,57.54,825112.0
2016-01-05,57.5,57.9,57.29,57.88,665973.0
2016-01-06,57.1,57.37,56.78,57.09,506491.0
2016-01-07,56.28,56.5803,55.53,55.82,763230.0
2016-01-08,56.35,56.64,55.42,55.53,978268.0
2016-01-09,56.35,56.64,55.42,55.53,978268.0
2016-01-10,56.35,56.64,55.42,55.53,978268.0
2016-01-11,55.97,56.5599,55.2777,55.89,442794.0
2016-01-12,56.05,56.39,55.59,56.27,533408.0
2016-01-13,56.6,56.75,55.13,55.24,589620.0
2016-01-14,55.52,56.69,55.3,56.19,784261.0
2016-01-15,55.14,55.54,54.56,55.12,907926.0
2016-01-16,55.14,55.54,54.56,55.12,907926.0
2016-01-17,55.14,55.54,54.56,55.12,907926.0
2016-01-18,55.14,55.54,54.56,55.12,907926.0
2016-01-19,55.97,55.97,54.9,55.24,633344.0
2016-01-20,54.66,55.11,53.64,54.46,672491.0
2016-01-21,54.63,54.97,53.89,54.11,672817.0
2016-01-22,54.67,55.115,54.34,54.98,548029.0
2016-01-23,54.67,55.115,54.34,54.98,548029.0
2016-01-24,54.67,55.115,54.34,54.98,548029.0
2016-01-25,54.9,55.02,54.11,54.16,710797.0
2016-01-26,54.32,55.2,54.32,54.92,685587.0
2016-01-27,54.93,55.65,54.56,54.82,572955.0
2016-01-28,55.23,55.91,55.04,55.71,538498.0
2016-01-29,56.0,57.68,55.87,57.63,1632512.0
2016-01-30,56.0,57.68,55.87,57.63,1632512.0
2016-01-31,56.0,57.68,55.87,57.63,1632512.0
2016-02-01,57.66,58.09,57.13,57.8,651484.0
2016-02-02,57.74,58.14,56.71,56.85,826932.0
2016-02-03,57.28,57.51,55.89,56.96,852815.0
2016-02-04,57.35,59.09,56.81,59.04,1094576.0
2016-02-05,59.24,60.32,59.19,60.25,889216.0
2016-02-06,59.24,60.32,59.19,60.25,889216.0
2016-02-07,59.24,60.32,59.19,60.25,889216.0
2016-02-08,59.76,61.09,59.58,60.93,969628.0
2016-02-09,60.34,61.515,60.34,61.24,1275149.0
2016-02-10,61.52,61.63,61.065,61.3,788495.0
2016-02-11,60.26,60.856,59.5215,60.51,654211.0
2016-02-12,61.3,61.93,61.0,61.77,1325209.0
2016-02-13,61.3,61.93,61.0,61.77,1325209.0
2016-02-14,61.3,61.93,61.0,61.77,1325209.0
2016-02-15,61.3,61.93,61.0,61.77,1325209.0
2016-02-16,62.42,62.49,61.4135,62.11,830089.0
2016-02-17,62.52,62.66,62.1,62.45,978449.0
2016-02-18,62.48,62.54,62.04,62.48,651627.0
2016-02-19,62.38,62.75,62.13,62.57,769024.0
2016-02-20,62.38,62.75,62.13,62.57,769024.0
2016-02-21,62.38,62.75,62.13,62.57,769024.0
2016-02-22,63.17,63.48,62.84,63.08,690980.0
2016-02-23,62.81,63.12,62.63,62.74,1037077.0
2016-02-24,62.43,63.065,61.96,62.92,886805.0
2016-02-25,63.27,63.86,62.96,63.75,1061535.0
2016-02-26,64.14,64.225,63.43,63.57,741951.0
