Date,Open,High,Low,Close,Volume
2016-01-04,88.8,89.15,87.73,88.67,2499883.0
2016-01-04,88.8,89.15,87.73,88.67,2499883.0
2016-01-04,88.8,89.15,87.73,88.67,2499883.0
2016-01-04,88.8,89.15,87.73,88.67,2499883.0
2016-01-05,89.41,89.72,88.51,89.37,1582433.0
2016-01-06,88.37,89.85,88.1,88.93,1542299.0
2016-01-07,87.36,89.7557,87.21,87.53,1976694.0
2016-01-08,88.36,88.36,86.12,86.23,1507090.0
2016-01-09,88.36,88.36,86.12,86.23,1507090.0
2016-01-10,88.36,88.36,86.12,86.23,1507090.0
2016-01-11,86.45,87.42,85.43,86.95,1916938.0
2016-01-12,87.69,87.76,86.4277,87.25,1676640.0
2016-01-13,88.86,88.86,83.75399999999999,84.17,2620635.0
2016-01-14,84.62,85.34,83.9,84.7,2171809.0
2016-01-15,82.33,85.31,82.33,84.71,2584057.0
2016-01-16,82.33,85.31,82.33,84.71,2584057.0
2016-01-17,82.33,85.31,82.33,84.71,2584057.0
2016-01-18,82.33,85.31,82.33,84.71,2584057.0
2016-01-19,85.96,86.77,85.16,86.11,2527825.0
2016-01-20,85.3,85.75,83.12,84.2,2948086.0
2016-01-21,84.49,85.235,81.87,81.99,4009611.0
2016-01-22,83.57,84.9,83.0,84.77,2101605.0
2016-01-23,83.57,84.9,83.0,84.77,2101605.0
2016-01-24,83.57,84.9,83.0,84.77,2101605.0
2016-01-25,84.59,85.88,84.5,84.64,1809159.0
2016-01-26,85.25,86.71,84.45,86.37,1392183.0
2016-01-27,86.12,88.05,85.94,86.72,1854647.0
2016-01-28,87.17,87.9,86.06,87.09,2107452.0
2016-01-29,87.61,89.9425,87.035,89.85,2461726.0
2016-01-30,87.61,89.9425,87.035,89.85,2461726.0
2016-01-31,87.61,89.9425,87.035,89.85,2461726.0
2016-02-01,89.78,90.2,88.93,89.44,1368338.0
2016-02-02,88.4,89.79,88.08,89.11,1574399.0
2016-02-03,89.43,90.0,87.13,89.4,2072416.0
2016-02-04,89.28,89.62,85.47,86.33,3796804.0
2016-02-05,87.76,88.89,86.96,88.55,3014756.0
2016-02-06,87.76,88.89,86.96,88.55,3014756.0
2016-02-07,87.76,88.89,86.96,88.55,3014756.0
2016-02-08,88.41,90.67,87.0,90.19,2758099.0
2016-02-09,89.05,93.81,89.05,93.31,3233473.0
2016-02-10,93.03,93.485,90.44,90.53,2133654.0
2016-02-11,88.36,90.55,88.3201,89.32,1952819.0
2016-02-12,90.92,91.29,89.5075,91.15,1691213.0
2016-02-13,90.92,91.29,89.5075,91.15,1691213.0
2016-02-14,90.92,91.29,89.5075,91.15,1691213.0
2016-02-15,90.92,91.29,89.5075,91.15,1691213.0
2016-02-16,92.25,92.37,90.09,90.71,2395105.0
2016-02-17,91.68,92.19,90.20700000000001,92.15,2351062.0
2016-02-18,91.97,92.13,90.72,91.3,1401135.0
2016-02-19,91.43,93.866,90.81,93.32,1626408.0
2016-02-20,91.43,93.866,90.81,93.32,1626408.0
2016-02-21,91.43,93.866,90.81,93.32,1626408.0
2016-02-22,94.0,94.45,91.55,91.97,1550310.0
2016-02-23,92.04,93.385,91.21,91.9,1457616.0
2016-02-24,91.48,92.59,90.37,92.3,926062.0
2016-02-25,92.97,93.59,92.22,93.19,986016.0
2016-02-26,93.64,93.9999,92.91,93.17,1193395.0
2016-02-27,93.64,93.9999,92.91,93.17,1193395.0
2016-02-28,93.64,93.9999,92.91,93.17,1193395.0
2016-02-29,92.45,93.49,91.33,91.44,1425868.0
2016-03-01,91.79,92.57,89.87,92.56,3469841.0
2016-03-02,92.99,93.88,92.56,93.3,1947605.0
2016-03-03,93.58,94.44,92.93,94.34,1291326.0
2016-03-04,94.77,95.02,92.93,94.8,1538121.0
