Date,Open,High,Low,Close,Volume
2016-01-04,468.7,469.0,447.5,448.81,2689598.0
2016-01-04,468.7,469.0,447.5,448.81,2689598.0
2016-01-04,468.7,469.0,447.5,448.81,2689598.0
2016-01-04,468.7,469.0,447.5,448.81,2689598.0
2016-01-05,450.0,459.88,446.8,449.03,2161099.0
2016-01-06,437.94,447.0,423.0,426.67,3646171.0
2016-01-07,415.08,425.185,411.61,416.0,1889852.0
2016-01-08,419.84,426.29,411.74,413.29,1296873.0
2016-01-09,419.84,426.29,411.74,413.29,1296873.0
2016-01-10,419.84,426.29,411.74,413.29,1296873.0
2016-01-11,416.65,419.915,406.35,411.1,1462498.0
2016-01-12,415.5,420.79900000000004,399.1404,404.26,1658285.0
2016-01-13,407.8,432.3,406.65,428.28,3552500.0
2016-01-14,447.0,463.51,436.5,454.3,3766939.0
2016-01-15,441.15,476.43,441.15,475.94,3306422.0
2016-01-16,441.15,476.43,441.15,475.94,3306422.0
2016-01-17,441.15,476.43,441.15,475.94,3306422.0
2016-01-18,441.15,476.43,441.15,475.94,3306422.0
2016-01-19,478.36,478.37,456.1,469.47,2255803.0
2016-01-20,462.75,472.79,451.09,465.5,1787298.0
2016-01-21,469.79,475.59,461.0,461.2,1198367.0
2016-01-22,466.22,466.33,446.7,450.76,1430177.0
2016-01-23,466.22,466.33,446.7,450.76,1430177.0
2016-01-24,466.22,466.33,446.7,450.76,1430177.0
2016-01-25,447.92,448.915,431.52,442.17,1574437.0
2016-01-26,442.0,449.9,440.01,448.15,764516.0
2016-01-27,448.5,454.49,442.25,442.64,1315965.0
2016-01-28,446.98,455.98,443.3,453.08,1016952.0
2016-01-29,455.76,470.0,451.33,452.97,1534323.0
2016-01-30,455.76,470.0,451.33,452.97,1534323.0
2016-01-31,455.76,470.0,451.33,452.97,1534323.0
2016-02-01,476.12,479.0,463.01,472.64,2335971.0
2016-02-02,471.0,484.2,468.3,475.67,2697662.0
2016-02-03,459.7,466.64,440.41,461.74,3797638.0
2016-02-04,460.0,476.67,456.0,470.9,1489608.0
2016-02-05,469.85,475.59,454.445,460.14,1525402.0
2016-02-06,469.85,475.59,454.445,460.14,1525402.0
2016-02-07,469.85,475.59,454.445,460.14,1525402.0
2016-02-08,454.69,461.11,435.865,445.0,1427029.0
2016-02-09,441.9,452.02,436.86,440.93,1137744.0
2016-02-10,443.99,453.8,442.5,448.81,992432.0
2016-02-11,444.0,467.78,441.01,461.39,1282613.0
2016-02-12,466.11,487.98,465.46,480.57,1753580.0
2016-02-13,466.11,487.98,465.46,480.57,1753580.0
2016-02-14,466.11,487.98,465.46,480.57,1753580.0
2016-02-15,466.11,487.98,465.46,480.57,1753580.0
2016-02-16,484.01,493.0,478.0007,492.94,1130634.0
2016-02-17,495.43,514.7998,495.22,514.01,1638005.0
2016-02-18,515.0,518.86,502.05,515.93,1128531.0
2016-02-19,512.2,526.2299,509.5,511.58,1412838.0
2016-02-20,512.2,526.2299,509.5,511.58,1412838.0
2016-02-21,512.2,526.2299,509.5,511.58,1412838.0
2016-02-22,515.0,529.3889,514.4896,525.9,1428370.0
2016-02-23,514.0,530.85,513.11,525.06,1450840.0
2016-02-24,519.77,522.87,512.66,514.86,1039885.0
2016-02-25,514.21,515.85,497.51,505.33,1180394.0
2016-02-26,507.0,508.0,493.11,506.01,1028636.0
2016-02-27,507.0,508.0,493.11,506.01,1028636.0
2016-02-28,507.0,508.0,493.11,506.01,1028636.0
2016-02-29,508.0,522.5242,506.77,509.16,1426337.0
2016-03-01,514.25,515.999,506.0339,509.97,854905.0
2016-03-02,512.8,528.95,512.8,525.69,1207563.0
2016-03-03,520.0,530.125,519.27,524.29,1079879.0
2016-03-04,529.29,541.93,527.3,529.0,1511171.0
2016-03-05,529.29,541.93,527.3,529.0,1511171.0
2016-03-06,529.29,541.93,527.3,529.0,1511171.0
2016-03-07,522.97,536.0,520.08,533.69,824502.0
2016-03-08,536.3,542.5,523.42,524.69,1041271.0
2016-03-09,512.56,518.612,492.5,506.63,3399064.0
2016-03-10,509.9,514.0,498.93,503.68,1309130.0
2016-03-11,507.37,514.89,504.25,507.85,1314161.0
2016-03-12,507.37,514.89,504.25,507.85,1314161.0
