Date,Open,High,Low,Close,Volume
2016-01-04,159.81,160.1,157.865,159.54,2640789.0
2016-01-04,159.81,160.1,157.865,159.54,2640789.0
2016-01-04,159.81,160.1,157.865,159.54,2640789.0
2016-01-04,159.81,160.1,157.865,159.54,2640789.0
2016-01-05,160.17,161.22799999999998,159.45,159.93,2127674.0
2016-01-06,158.36,159.8,157.63,158.45,2033414.0
2016-01-07,154.85,157.06,153.55,154.82,3826032.0
2016-01-08,155.28,155.3,151.81,152.11,3156190.0
2016-01-09,155.28,155.3,151.81,152.11,3156190.0
2016-01-10,155.28,155.3,151.81,152.11,3156190.0
2016-01-11,152.3,155.96,152.12,154.72,2164781.0
2016-01-12,155.71,156.43,154.94,156.055,2215581.0
2016-01-13,155.97,156.02,151.88,152.12,2157501.0
2016-01-14,151.96,154.16,151.33,153.18,2281478.0
2016-01-15,149.29,151.52,148.25,150.39,2975372.0
2016-01-16,149.29,151.52,148.25,150.39,2975372.0
2016-01-17,149.29,151.52,148.25,150.39,2975372.0
2016-01-18,149.29,151.52,148.25,150.39,2975372.0
2016-01-19,151.79,152.0,149.58,150.47,2242568.0
2016-01-20,148.46,150.0,144.91,148.82,3796826.0
2016-01-21,148.97,151.24,148.11,150.38,2212441.0
2016-01-22,152.18,153.71,151.65,153.69,2544068.0
2016-01-23,152.18,153.71,151.65,153.69,2544068.0
2016-01-24,152.18,153.71,151.65,153.69,2544068.0
2016-01-25,154.07,154.48,150.5545,150.78,1820623.0
2016-01-26,150.78,151.72,148.3001,148.5,2828570.0
2016-01-27,149.29,149.59,146.72,147.73,2189485.0
2016-01-28,148.55,149.97,147.81,149.59,2076251.0
2016-01-29,149.5,151.62,146.91,151.12,3221346.0
2016-01-30,149.5,151.62,146.91,151.12,3221346.0
2016-01-31,149.5,151.62,146.91,151.12,3221346.0
2016-02-01,150.84,152.19,150.19,151.25,2142044.0
2016-02-02,149.99,150.79,148.11,148.5,1931427.0
2016-02-03,149.28,149.98,145.45,146.7,2547038.0
2016-02-04,145.0,145.1378,141.79,143.28,5340490.0
2016-02-05,143.27,145.2,142.4,143.99,4079344.0
2016-02-06,143.27,145.2,142.4,143.99,4079344.0
2016-02-07,143.27,145.2,142.4,143.99,4079344.0
2016-02-08,142.74,147.55,141.62,147.02,3782043.0
2016-02-09,146.24,149.72,146.23,147.94,3228334.0
2016-02-10,149.37,150.17,147.58,148.05,2189557.0
2016-02-11,147.13,148.39,144.76,146.65,2198097.0
2016-02-12,147.98,149.27,147.0,148.65,1951826.0
2016-02-13,147.98,149.27,147.0,148.65,1951826.0
2016-02-14,147.98,149.27,147.0,148.65,1951826.0
2016-02-15,147.98,149.27,147.0,148.65,1951826.0
2016-02-16,149.35,150.641,147.7,149.11,2186423.0
2016-02-17,149.75,151.98,148.91,150.91,2174598.0
2016-02-18,149.13,149.8397,146.82,148.65,2894302.0
2016-02-19,149.0,149.14,146.85,148.7,2471711.0
2016-02-20,149.0,149.14,146.85,148.7,2471711.0
2016-02-21,149.0,149.14,146.85,148.7,2471711.0
2016-02-22,149.63,150.18,148.49,150.06,2161275.0
2016-02-23,149.89,151.76,149.12,150.36,1850645.0
2016-02-24,150.03,154.4099,149.6585,153.87,2590074.0
2016-02-25,154.69,154.88,152.86,154.72,1746889.0
2016-02-26,153.09,153.41,148.76,149.68,3800789.0
2016-02-27,153.09,153.41,148.76,149.68,3800789.0
2016-02-28,153.09,153.41,148.76,149.68,3800789.0
2016-02-29,149.99,152.3,149.69,150.03,3123546.0
2016-03-01,150.4,151.2,149.38,150.52,2681404.0
2016-03-02,151.13,152.95,150.39,152.79,2947574.0
2016-03-03,148.56,151.9595,147.38,151.6,5552633.0
2016-03-04,151.74,151.769,150.03,150.9,2155572.0
2016-03-05,151.74,151.769,150.03,150.9,2155572.0
