Date,Open,High,Low,Close,Volume
2016-01-04,58.81,58.81,57.47,58.13,5001217.0
2016-01-04,58.81,58.81,57.47,58.13,5001217.0
2016-01-04,58.81,58.81,57.47,58.13,5001217.0
2016-01-04,58.81,58.81,57.47,58.13,5001217.0
2016-01-05,58.45,58.675,57.97,58.13,3644101.0
2016-01-06,57.0,57.885,56.6,57.13,4911700.0
2016-01-07,56.03,57.95,55.534,56.64,5449007.0
2016-01-08,56.87,56.9,55.7,55.76,4959708.0
2016-01-09,56.87,56.9,55.7,55.76,4959708.0
2016-01-10,56.87,56.9,55.7,55.76,4959708.0
2016-01-11,56.08,56.52,55.58,56.12,4395142.0
2016-01-12,57.5,59.92,57.45,59.65,8451957.0
2016-01-13,59.74,59.95,57.38,57.77,6829461.0
2016-01-14,58.17,61.085,58.0,60.205,7950490.0
2016-01-15,57.92,59.33,57.8,58.71,5575465.0
2016-01-16,57.92,59.33,57.8,58.71,5575465.0
2016-01-17,57.92,59.33,57.8,58.71,5575465.0
2016-01-18,57.92,59.33,57.8,58.71,5575465.0
2016-01-19,59.57,60.24,58.31,59.94,8025411.0
2016-01-20,58.45,59.9401,58.03,59.25,6643047.0
2016-01-21,59.46,60.16,58.63,59.06,4428480.0
2016-01-22,59.63,60.63,59.34,60.51,5286341.0
2016-01-23,59.63,60.63,59.34,60.51,5286341.0
2016-01-24,59.63,60.63,59.34,60.51,5286341.0
2016-01-25,60.23,61.805,60.17,60.92,7242733.0
2016-01-26,61.04,62.11,60.66,61.94,4957886.0
2016-01-27,61.74,62.59,60.62,61.01,4762006.0
2016-01-28,61.78,62.26,61.14,61.34,4190772.0
2016-01-29,61.83,63.43,61.82,63.31,5238504.0
2016-01-30,61.83,63.43,61.82,63.31,5238504.0
2016-01-31,61.83,63.43,61.82,63.31,5238504.0
2016-02-01,62.48,62.9999,62.07,62.33,3988307.0
2016-02-02,61.04,61.63399999999999,59.78,60.115,5552952.0
2016-02-03,60.63,61.02,59.51,60.76,3580369.0
2016-02-04,60.09,60.36,58.98,59.62,5512757.0
2016-02-05,59.2,59.72,57.95,58.54,7492426.0
2016-02-06,59.2,59.72,57.95,58.54,7492426.0
2016-02-07,59.2,59.72,57.95,58.54,7492426.0
2016-02-08,54.98,55.44,53.04,54.05,12259144.0
2016-02-09,53.27,54.03,51.22,52.33,8244520.0
2016-02-10,53.6,54.29,52.94,53.32,6279207.0
2016-02-11,52.22,52.8604,51.33,52.11,5627341.0
2016-02-12,53.33,53.87,52.52,53.87,4215682.0
2016-02-13,53.33,53.87,52.52,53.87,4215682.0
2016-02-14,53.33,53.87,52.52,53.87,4215682.0
2016-02-15,53.33,53.87,52.52,53.87,4215682.0
2016-02-16,54.13,55.21,54.02,55.01,5203902.0
2016-02-17,55.46,56.875,55.03,56.61,6251517.0
2016-02-18,57.02,57.27,55.87,56.01,4663512.0
2016-02-19,55.41,56.03,55.07,55.9,4746388.0
2016-02-20,55.41,56.03,55.07,55.9,4746388.0
2016-02-21,55.41,56.03,55.07,55.9,4746388.0
2016-02-22,56.71,57.41,56.34,56.63,3397409.0
2016-02-23,56.52,56.75,55.7,55.76,3388764.0
2016-02-24,55.18,56.33,54.53,56.19,3066968.0
2016-02-25,56.56,57.25,55.56,57.24,2997286.0
2016-02-26,57.52,57.8,56.87,57.04,3398451.0
2016-02-27,57.52,57.8,56.87,57.04,3398451.0
2016-02-28,57.52,57.8,56.87,57.04,3398451.0
2016-02-29,57.13,57.5,56.66,56.98,4681344.0
2016-03-01,57.87,58.42,57.42,58.21,5542681.0
2016-03-02,58.23,58.25,57.24,57.68,4111153.0
2016-03-03,57.95,58.0,56.745,57.8,3725412.0
2016-03-04,58.34,58.4,57.424,57.74,3611528.0
2016-03-05,58.34,58.4,57.424,57.74,3611528.0
2016-03-06,58.34,58.4,57.424,57.74,3611528.0
2016-03-07,57.25,57.29,56.46,57.0,4100749.0
2016-03-08,56.41,56.595,55.78,55.93,3505088.0
2016-03-09,56.2,56.24,55.66,56.05,3283227.0
2016-03-10,56.39,56.98,54.65,55.42,5146868.0
2016-03-11,56.19,57.08,55.62,56.97,4811153.0
2016-03-12,56.19,57.08,55.62,56.97,4811153.0
2016-03-13,56.19,57.08,55.62,56.97,4811153.0
2016-03-14,56.55,58.22,56.45,58.12,5432036.0
2016-03-15,57.7,58.23,57.66,58.03,3473958.0
2016-03-16,57.7,58.975,57.305,58.91,3839546.0
2016-03-17,58.57,58.99,58.235,58.73,3596851.0
2016-03-18,58.21,59.32,57.93,59.25,5202431.0
2016-03-19,58.21,59.32,57.93,59.25,5202431.0
2016-03-20,58.21,59.32,57.93,59.25,5202431.0
2016-03-21,59.31,59.72,58.73,59.52,3552185.0
2016-03-22,59.28,59.64,58.8,58.85,4825442.0
2016-03-23,58.66,59.27,58.23,59.06,4891779.0
2016-03-24,58.87,60.64,58.78,60.32,5095213.0
2016-03-25,58.87,60.64,58.78,60.32,5095213.0
2016-03-26,58.87,60.64,58.78,60.32,5095213.0
2016-03-27,58.87,60.64,58.78,60.32,5095213.0
2016-03-28,60.25,60.73,59.92,60.18,3253229.0
2016-03-29,60.18,61.79,59.95,61.62,4692554.0
2016-03-30,62.13,62.85,61.79,62.45,5427878.0
2016-03-31,62.34,63.02,62.0384,62.7,3520939.0
2016-04-01,62.32,63.19,62.21,63.12,2425798.0
2016-04-02,62.32,63.19,62.21,63.12,2425798.0
2016-04-03,62.32,63.19,62.21,63.12,2425798.0
2016-04-04,63.12,63.14,61.6,61.76,3855965.0
2016-04-05,61.35,61.56,60.89,61.18,2551428.0
2016-04-06,61.1,61.65,60.89,61.56,2220187.0
2016-04-07,61.01,61.2299,59.89,59.99,4524390.0
2016-04-08,60.5,60.8,59.92,60.16,2536717.0
2016-04-09,60.5,60.8,59.92,60.16,2536717.0
2016-04-10,60.5,60.8,59.92,60.16,2536717.0
2016-04-11,60.66,61.12,59.96,59.98,3375038.0
2016-04-12,60.84,60.84,58.94,59.46,6307689.0
2016-04-13,60.07,60.7399,59.44,60.45,6670605.0
2016-04-14,60.45,60.765,60.06,60.36,2710914.0
2016-04-15,60.85,60.96,59.95,60.07,5269168.0
2016-04-16,60.85,60.96,59.95,60.07,5269168.0
2016-04-17,60.85,60.96,59.95,60.07,5269168.0
2016-04-18,59.95,60.51,59.12,60.38,3572059.0
2016-04-19,60.63,60.63,59.25,59.85,2708491.0
2016-04-20,59.99,60.39,59.33,60.09,2369425.0
2016-04-21,59.88,60.4199,59.71,60.05,2546352.0
2016-04-22,59.98,60.62,59.69,60.44,3295435.0
2016-04-23,59.98,60.62,59.69,60.44,3295435.0
2016-04-24,59.98,60.62,59.69,60.44,3295435.0
2016-04-25,60.09,60.31,59.69,60.21,2087509.0
2016-04-26,60.27,60.95,60.16,60.63,2071322.0
2016-04-27,60.5,61.25,60.11,60.58,1913741.0
2016-04-28,60.1,60.5,59.575,59.73,3110549.0
2016-04-29,59.25,59.5,57.78,58.37,4419080.0
2016-04-30,59.25,59.5,57.78,58.37,4419080.0
2016-05-01,59.25,59.5,57.78,58.37,4419080.0
2016-05-02,58.37,58.63,57.95,58.37,5368685.0
2016-05-03,58.01,58.3,57.52,57.65,4575212.0
2016-05-04,57.2,57.83,57.0,57.54,5061443.0
2016-05-05,57.5,57.76,57.06,57.59,6259413.0
2016-05-06,56.45,60.805,56.21,60.55,7383372.0
2016-05-07,56.45,60.805,56.21,60.55,7383372.0
2016-05-08,56.45,60.805,56.21,60.55,7383372.0
2016-05-09,60.57,61.17,60.05,60.82,4114750.0
2016-05-10,60.8,61.95,60.565,61.74,3720248.0
2016-05-11,61.56,61.98,60.9,61.1,2931551.0
2016-05-12,61.27,61.46,60.51,61.13,2631220.0
2016-05-13,60.95,62.09,60.79,61.35,3493591.0
2016-05-14,60.95,62.09,60.79,61.35,3493591.0
2016-05-15,60.95,62.09,60.79,61.35,3493591.0
2016-05-16,61.3,62.04,60.87,61.81,2984637.0
2016-05-17,61.49,62.06,61.31,61.64,4454970.0
2016-05-18,61.55,62.4,61.39,62.02,2891123.0
2016-05-19,61.59,62.15,61.45,62.01,3594888.0
2016-05-20,61.91,63.23,61.91,62.94,4664521.0
2016-05-21,61.91,63.23,61.91,62.94,4664521.0
2016-05-22,61.91,63.23,61.91,62.94,4664521.0
2016-05-23,62.83,62.9,61.7,61.74,3078363.0
2016-05-24,62.04,62.9999,61.95,62.91,3669776.0
2016-05-25,63.0,63.15,62.53,62.6,3847995.0
2016-05-26,62.52,62.81,62.05,62.26,3132386.0
2016-05-27,62.48,62.73,62.14,62.46,2273689.0
2016-05-28,62.48,62.73,62.14,62.46,2273689.0
2016-05-29,62.48,62.73,62.14,62.46,2273689.0
2016-05-30,62.48,62.73,62.14,62.46,2273689.0
2016-05-31,62.6,62.63,61.265,61.44,4503704.0
2016-06-01,61.43,61.55,60.9,61.13,3065100.0
2016-06-02,61.16,61.35,60.69,61.34,2947032.0
2016-06-03,61.32,61.33,60.1,60.12,3859757.0
2016-06-04,61.32,61.33,60.1,60.12,3859757.0
2016-06-05,61.32,61.33,60.1,60.12,3859757.0
2016-06-06,60.05,60.42,59.47,60.35,4511132.0
2016-06-07,60.74,61.06,60.26,60.73,3233257.0
2016-06-08,60.72,61.76,60.61,61.62,3670837.0
2016-06-09,60.89,61.16,60.39,60.99,4381359.0
2016-06-10,60.26,60.79,59.8,60.27,4264167.0
2016-06-11,60.26,60.79,59.8,60.27,4264167.0
2016-06-12,60.26,60.79,59.8,60.27,4264167.0
2016-06-13,59.92,60.98,59.76,60.05,3205281.0
2016-06-14,59.98,60.715,59.88,60.6,3393861.0
2016-06-15,60.86,60.86,59.51,59.63,3783887.0
2016-06-16,59.25,59.86,58.59,59.71,3225859.0
2016-06-17,59.88,60.02,58.94,59.55,3821420.0
2016-06-18,59.88,60.02,58.94,59.55,3821420.0
2016-06-19,59.88,60.02,58.94,59.55,3821420.0
2016-06-20,60.5,61.763999999999996,60.42,61.3,3638388.0
2016-06-21,61.46,61.85,61.19,61.6,3178880.0
2016-06-22,61.48,62.15,61.43,61.72,3895631.0
2016-06-23,62.44,62.71,61.63,62.7,2894107.0
2016-06-24,60.0,60.04,57.96,58.01,9228117.0
2016-06-25,60.0,60.04,57.96,58.01,9228117.0
2016-06-26,60.0,60.04,57.96,58.01,9228117.0
2016-06-27,57.42,57.55,55.165,55.48,7969566.0
2016-06-28,56.38,56.69,55.62,56.0,6468515.0
2016-06-29,56.74,57.51,56.3,57.09,6184109.0
2016-06-30,57.37,57.48,56.7,57.24,5863116.0
2016-07-01,57.16,58.165,57.0,57.2,8307127.0
2016-07-02,57.16,58.165,57.0,57.2,8307127.0
2016-07-03,57.16,58.165,57.0,57.2,8307127.0
2016-07-04,57.16,58.165,57.0,57.2,8307127.0
2016-07-05,56.7,56.87,56.09,56.4,6498727.0
2016-07-06,55.98,56.84,55.415,56.77,5234806.0
2016-07-07,56.84,57.47,56.61,56.84,2161202.0
2016-07-08,57.39,58.16,57.11,57.93,3658249.0
2016-07-09,57.39,58.16,57.11,57.93,3658249.0
2016-07-10,57.39,58.16,57.11,57.93,3658249.0
2016-07-11,58.08,58.71,58.08,58.44,2851087.0
2016-07-12,57.99,58.68,57.95,58.36,3313050.0
2016-07-13,58.69,58.86,58.05,58.49,3024059.0
2016-07-14,59.07,59.41,58.73,58.94,2711612.0
2016-07-15,57.52,58.07,56.52,57.76,6336358.0
2016-07-16,57.52,58.07,56.52,57.76,6336358.0
2016-07-17,57.52,58.07,56.52,57.76,6336358.0
2016-07-18,57.84,58.03,57.63,57.98,3645482.0
2016-07-19,57.85,58.04,57.48,57.67,4218095.0
2016-07-20,57.74,58.82,57.5,58.72,3589195.0
