Date,Open,High,Low,Close,Volume
2016-01-04,74.4,74.4,72.21,74.17,1504662.0
2016-01-04,74.4,74.4,72.21,74.17,1504662.0
2016-01-04,74.4,74.4,72.21,74.17,1504662.0
2016-01-04,74.4,74.4,72.21,74.17,1504662.0
2016-01-05,74.57,75.99,73.27,73.55,1280961.0
2016-01-06,72.54,74.05,72.5,73.99,1448642.0
2016-01-07,72.29,73.238,70.48,70.93,1671250.0
2016-01-08,71.37,71.73,69.51,69.68,1602237.0
2016-01-09,71.37,71.73,69.51,69.68,1602237.0
2016-01-10,71.37,71.73,69.51,69.68,1602237.0
2016-01-11,69.76,70.27,67.57,68.87,1696762.0
2016-01-12,69.56,70.97,69.38,70.79,1656004.0
2016-01-13,70.8,71.1,66.38,67.27,1923631.0
2016-01-14,67.88,68.04,65.93,67.38,1964346.0
2016-01-15,65.25,66.84,65.25,66.3,1886391.0
2016-01-16,65.25,66.84,65.25,66.3,1886391.0
2016-01-17,65.25,66.84,65.25,66.3,1886391.0
2016-01-18,65.25,66.84,65.25,66.3,1886391.0
2016-01-19,65.46,67.0,65.16,66.07,2562541.0
2016-01-20,65.07,67.61,63.51,66.5,2861662.0
2016-01-21,66.94,67.93,65.19,65.42,2658572.0
2016-01-22,66.41,67.54,66.14,67.44,1867117.0
2016-01-23,66.41,67.54,66.14,67.44,1867117.0
2016-01-24,66.41,67.54,66.14,67.44,1867117.0
2016-01-25,66.98,67.84,65.64,66.05,1961550.0
2016-01-26,66.41,68.4,65.7,68.19,1536954.0
2016-01-27,67.02,68.08,65.47,65.9,2613302.0
2016-01-28,70.85,72.49,67.2,68.51,6356272.0
2016-01-29,69.29,70.58,68.68,70.46,2785058.0
2016-01-30,69.29,70.58,68.68,70.46,2785058.0
2016-01-31,69.29,70.58,68.68,70.46,2785058.0
2016-02-01,70.43,71.33,69.08,70.9,2095930.0
2016-02-02,69.48,69.81,65.31,66.27,2944128.0
2016-02-03,66.86,68.4,65.0001,68.09,2344558.0
2016-02-04,68.18,69.36,67.0403,67.14,2186301.0
2016-02-05,66.45,66.78,63.16,63.95,2795070.0
2016-02-06,66.45,66.78,63.16,63.95,2795070.0
2016-02-07,66.45,66.78,63.16,63.95,2795070.0
2016-02-08,63.35,63.55,61.51,63.17,2366859.0
2016-02-09,62.49,64.67,61.71,62.33,2255825.0
2016-02-10,63.01,64.27,62.24,62.28,1857272.0
2016-02-11,61.35,62.99,60.91,62.38,2418570.0
