Date,Open,High,Low,Close,Volume
2016-01-04,96.17,96.57,95.365,96.46,5910967.0
2016-01-04,96.17,96.57,95.365,96.46,5910967.0
2016-01-04,96.17,96.57,95.365,96.46,5910967.0
2016-01-04,96.17,96.57,95.365,96.46,5910967.0
2016-01-05,96.39,97.15,95.9,96.74,5414773.0
2016-01-06,95.53,96.46,95.07,95.56,5901433.0
2016-01-07,94.5,95.685,93.915,94.18,6308311.0
2016-01-08,94.59,95.995,93.28,93.56,5634387.0
2016-01-09,94.59,95.995,93.28,93.56,5634387.0
2016-01-10,94.59,95.995,93.28,93.56,5634387.0
2016-01-11,93.83,95.3,93.59,94.92,6243788.0
2016-01-12,95.64,96.19,94.69,95.69,5333572.0
2016-01-13,95.84,96.625,93.95,94.11,6270911.0
2016-01-14,94.11,96.34,94.11,95.51,4986074.0
2016-01-15,93.51,95.11,92.95,93.9,7556504.0
2016-01-16,93.51,95.11,92.95,93.9,7556504.0
2016-01-17,93.51,95.11,92.95,93.9,7556504.0
2016-01-18,93.51,95.11,92.95,93.9,7556504.0
2016-01-19,94.87,95.557,94.3423,95.06,6258368.0
2016-01-20,93.36,95.0,92.35,94.12,7106678.0
2016-01-21,94.55,95.31,93.51,94.48,4845781.0
2016-01-22,95.8,96.09,94.38,95.64,4376854.0
2016-01-23,95.8,96.09,94.38,95.64,4376854.0
2016-01-24,95.8,96.09,94.38,95.64,4376854.0
2016-01-25,95.56,95.8,93.99,94.07,5734859.0
2016-01-26,94.13,94.51,93.42,94.04,4528863.0
2016-01-27,94.13,95.31,93.48,94.34,3904543.0
2016-01-28,95.27,95.27,93.08,93.49,4074078.0
2016-01-29,94.21,96.59,93.21,96.59,6244578.0
2016-01-30,94.21,96.59,93.21,96.59,6244578.0
2016-01-31,94.21,96.59,93.21,96.59,6244578.0
2016-02-01,95.89,97.89,95.56,97.32,3915243.0
2016-02-02,96.15,96.4124,94.73,94.94,4437568.0
2016-02-03,95.57,96.03,93.86,95.37,5070111.0
2016-02-04,95.05,95.55,93.91,94.63,4686768.0
2016-02-05,94.55,94.79,92.56,93.1,6352950.0
2016-02-06,94.55,94.79,92.56,93.1,6352950.0
2016-02-07,94.55,94.79,92.56,93.1,6352950.0
2016-02-08,92.22,92.38,89.24,89.65,9663182.0
2016-02-09,87.02,91.96,86.5,90.51,11876524.0
2016-02-10,91.2,94.35,91.06,93.11,7470865.0
2016-02-11,91.83,94.39,91.48,93.87,8835593.0
2016-02-12,94.67,95.97,94.03,95.86,4701680.0
2016-02-13,94.67,95.97,94.03,95.86,4701680.0
2016-02-14,94.67,95.97,94.03,95.86,4701680.0
2016-02-15,94.67,95.97,94.03,95.86,4701680.0
2016-02-16,96.94,97.63,96.34,96.94,5943216.0
2016-02-17,97.4,98.25,96.97,97.69,5626648.0
2016-02-18,97.5,97.73,96.38,96.89,4093305.0
2016-02-19,96.4,97.66,96.06,97.59,4349729.0
2016-02-20,96.4,97.66,96.06,97.59,4349729.0
2016-02-21,96.4,97.66,96.06,97.59,4349729.0
2016-02-22,98.04,98.79,97.0,97.46,4200403.0
2016-02-23,97.37,97.5,95.885,96.75,4486912.0
2016-02-24,96.29,97.1,94.93,96.88,6380854.0
2016-02-25,97.36,98.43,97.1,98.4,4619738.0
2016-02-26,98.58,98.78,96.3901,97.66,6130255.0
2016-02-27,98.58,98.78,96.3901,97.66,6130255.0
2016-02-28,98.58,98.78,96.3901,97.66,6130255.0
2016-02-29,97.33,98.34,97.14,97.17,4838295.0
2016-03-01,98.16,98.44,97.58,98.3,3483166.0
2016-03-02,98.19,98.89,97.89,98.63,3372071.0
2016-03-03,98.4,99.48,98.1,99.38,3655987.0
2016-03-04,99.36,99.75,98.6603,99.28,3709432.0
2016-03-05,99.36,99.75,98.6603,99.28,3709432.0
2016-03-06,99.36,99.75,98.6603,99.28,3709432.0
2016-03-07,98.54,99.17,98.12,98.42,4531078.0
2016-03-08,98.0,99.75,98.0,99.04,4337855.0
2016-03-09,99.42,100.6,99.11,100.52,5153545.0
2016-03-10,100.82,100.9,98.61,99.34,4876612.0
2016-03-11,100.0,100.47,99.6,100.36,3585310.0
2016-03-12,100.0,100.47,99.6,100.36,3585310.0
2016-03-13,100.0,100.47,99.6,100.36,3585310.0
2016-03-14,100.33,101.235,99.83,101.02,3054420.0
2016-03-15,100.23,101.59,100.15,101.18,3129751.0
2016-03-16,101.18,101.35,100.3,100.98,3846748.0
2016-03-17,101.08,101.4921,100.04,101.11,4515842.0
2016-03-18,101.26,102.67,100.96,101.58,7215840.0
2016-03-19,101.26,102.67,100.96,101.58,7215840.0
2016-03-20,101.26,102.67,100.96,101.58,7215840.0
2016-03-21,101.16,102.44,101.15,101.74,3572846.0
2016-03-22,101.17,102.72,100.95,101.94,4052860.0
2016-03-23,101.67,102.1,100.55,100.74,4228216.0
2016-03-24,100.69,101.47,100.0,101.43,3035776.0
2016-03-25,100.69,101.47,100.0,101.43,3035776.0
2016-03-26,100.69,101.47,100.0,101.43,3035776.0
2016-03-27,100.69,101.47,100.0,101.43,3035776.0
2016-03-28,101.32,102.229,101.14,101.84,3580661.0
2016-03-29,101.74,102.84,101.01,102.47,3801101.0
2016-03-30,102.99,104.4,102.75,104.05,4487950.0
2016-03-31,104.0,104.4,103.6,103.73,3955997.0
2016-04-01,103.36,105.0,102.91,104.82,6269205.0
2016-04-02,103.36,105.0,102.91,104.82,6269205.0
2016-04-03,103.36,105.0,102.91,104.82,6269205.0
2016-04-04,103.89,104.555,103.681,104.48,3991809.0
2016-04-05,104.03,104.21,102.95,103.18,4367504.0
2016-04-06,103.14,103.91,102.74,103.39,3752958.0
2016-04-07,103.14,103.24,100.4437,100.94,4956994.0
2016-04-08,101.74,101.97,101.15,101.47,2924789.0
2016-04-09,101.74,101.97,101.15,101.47,2924789.0
2016-04-10,101.74,101.97,101.15,101.47,2924789.0
2016-04-11,101.67,101.75,100.73,100.77,3434681.0
2016-04-12,101.22,101.45,100.41,101.23,2794391.0
2016-04-13,101.6,101.94,100.98,101.13,3395720.0
