Date,Open,High,Low,Close,Volume
2016-01-04,62.88,63.0697,62.33,62.75,1891249.0
2016-01-04,62.88,63.0697,62.33,62.75,1891249.0
2016-01-04,62.88,63.0697,62.33,62.75,1891249.0
2016-01-04,62.88,63.0697,62.33,62.75,1891249.0
2016-01-05,63.49,63.89,62.71,63.89,2077116.0
2016-01-06,62.83,63.605,62.56,62.92,2001050.0
2016-01-07,62.28,63.16,62.07,62.48,2587021.0
2016-01-08,62.65,63.39,61.88,62.01,1958180.0
2016-01-09,62.65,63.39,61.88,62.01,1958180.0
2016-01-10,62.65,63.39,61.88,62.01,1958180.0
2016-01-11,62.39,62.66,61.59,61.96,2096511.0
2016-01-12,62.32,62.6,61.4,62.51,2116665.0
2016-01-13,62.48,63.18,61.83,61.86,2867767.0
2016-01-14,61.85,62.01,60.2,61.67,2592854.0
2016-01-15,60.58,60.94,58.97,60.23,1693189.0
2016-01-16,60.58,60.94,58.97,60.23,1693189.0
2016-01-17,60.58,60.94,58.97,60.23,1693189.0
2016-01-18,60.58,60.94,58.97,60.23,1693189.0
2016-01-19,61.02,61.51,60.353,60.83,1762971.0
2016-01-20,59.92,60.33,57.95,59.67,2160740.0
2016-01-21,59.5,60.74,58.89,60.32,2696623.0
2016-01-22,60.9,62.23,60.77,61.93,1840324.0
2016-01-23,60.9,62.23,60.77,61.93,1840324.0
2016-01-24,60.9,62.23,60.77,61.93,1840324.0
2016-01-25,62.1,62.59,61.31,61.47,2437091.0
2016-01-26,61.2,62.69,60.911,62.66,2065221.0
2016-01-27,62.25,63.16,61.81,62.59,2724548.0
2016-01-28,62.56,63.98,62.26,63.26,2442072.0
2016-01-29,62.7,63.24,61.59,63.06,2597015.0
2016-01-30,62.7,63.24,61.59,63.06,2597015.0
2016-01-31,62.7,63.24,61.59,63.06,2597015.0
2016-02-01,62.84,63.88,62.06,63.33,1985180.0
2016-02-02,62.65,63.38,61.69,62.15,2379959.0
2016-02-03,62.35,62.51,60.54,61.93,1679089.0
2016-02-04,61.65,62.09,61.0,61.52,1706350.0
2016-02-05,61.2,61.45,58.81,58.99,2432058.0
2016-02-06,61.2,61.45,58.81,58.99,2432058.0
2016-02-07,61.2,61.45,58.81,58.99,2432058.0
2016-02-08,58.7,59.81,58.22,59.54,2180773.0
2016-02-09,58.7,59.15,57.98,58.48,3542932.0
2016-02-10,59.0,59.08,57.58,57.59,2556122.0
2016-02-11,57.08,57.945,55.77,57.14,3807241.0
2016-02-12,57.63,59.04,57.19,58.67,1365964.0
2016-02-13,57.63,59.04,57.19,58.67,1365964.0
2016-02-14,57.63,59.04,57.19,58.67,1365964.0
2016-02-15,57.63,59.04,57.19,58.67,1365964.0
2016-02-16,58.81,59.99,58.66,59.54,1350867.0
2016-02-17,59.64,61.65,59.4,61.54,2362753.0
2016-02-18,61.22,61.86,60.62,61.52,1630774.0
2016-02-19,61.53,61.83,60.26,61.19,1515512.0
2016-02-20,61.53,61.83,60.26,61.19,1515512.0
2016-02-21,61.53,61.83,60.26,61.19,1515512.0
2016-02-22,61.57,62.45,61.34,62.14,1229940.0
2016-02-23,62.37,63.86,62.01,62.86,2170023.0
2016-02-24,62.42,63.47,61.45,63.32,2040500.0
2016-02-25,63.37,63.88,62.86,63.74,884390.0
2016-02-26,63.69,64.36,63.45,63.74,1597389.0
2016-02-27,63.69,64.36,63.45,63.74,1597389.0
2016-02-28,63.69,64.36,63.45,63.74,1597389.0
2016-02-29,63.47,64.23,63.19,63.88,1135904.0
2016-03-01,64.31,64.66,63.94,64.25,1241558.0
2016-03-02,63.96,64.73,63.925,64.68,1233630.0
2016-03-03,64.51,65.0,63.52,64.82,1652242.0
2016-03-04,64.51,64.9468,64.16,64.93,1005231.0
2016-03-05,64.51,64.9468,64.16,64.93,1005231.0
2016-03-06,64.51,64.9468,64.16,64.93,1005231.0
2016-03-07,64.76,65.34,64.5,65.15,1142067.0
2016-03-08,64.79,65.22,64.46,64.58,1165425.0
2016-03-09,67.0,68.0,66.01,66.93,4647952.0
2016-03-10,67.07,67.4,66.41,67.12,1907157.0
2016-03-11,67.44,68.26,67.22,67.57,2054336.0
2016-03-12,67.44,68.26,67.22,67.57,2054336.0
2016-03-13,67.44,68.26,67.22,67.57,2054336.0
2016-03-14,67.5,68.01,67.13,67.78,1124464.0
2016-03-15,67.5,67.77,66.67,66.84,1261825.0
2016-03-16,66.87,67.95,66.19,67.56,1077267.0
2016-03-17,67.36,67.99,66.81,67.58,1451416.0
2016-03-18,67.55,68.15,67.18,67.29,2537603.0
2016-03-19,67.55,68.15,67.18,67.29,2537603.0
2016-03-20,67.55,68.15,67.18,67.29,2537603.0
2016-03-21,67.29,67.5,66.95,67.22,1057910.0
2016-03-22,67.19,67.36,66.42,66.65,1040491.0
2016-03-23,66.78,67.19,66.3,66.52,959109.0
2016-03-24,66.47,66.47,65.29,65.77,1302232.0
2016-03-25,66.47,66.47,65.29,65.77,1302232.0
2016-03-26,66.47,66.47,65.29,65.77,1302232.0
2016-03-27,66.47,66.47,65.29,65.77,1302232.0
2016-03-28,66.09,66.9689,65.94,66.47,1022122.0
2016-03-29,66.47,66.82,66.1215,66.63,1248773.0
2016-03-30,67.14,67.21,65.94,66.58,1430998.0
2016-03-31,66.38,66.76,65.59,66.3,1946087.0
2016-04-01,66.16,67.36,66.16,67.04,1721153.0
2016-04-02,66.16,67.36,66.16,67.04,1721153.0
2016-04-03,66.16,67.36,66.16,67.04,1721153.0
2016-04-04,67.41,68.62,66.49,67.34,3302492.0
2016-04-05,66.62,66.62,64.34,64.8,3904402.0
2016-04-06,65.25,66.39,64.9,64.99,3457937.0
2016-04-07,64.85,66.43,64.33,64.68,2975039.0
2016-04-08,65.01,65.01,64.0,64.79,2309835.0
2016-04-09,65.01,65.01,64.0,64.79,2309835.0
2016-04-10,65.01,65.01,64.0,64.79,2309835.0
2016-04-11,65.25,66.1,64.73,64.74,3573631.0
2016-04-12,64.8,66.11,64.8,65.88,2567127.0
2016-04-13,66.0,66.39,65.25,65.58,1726940.0
2016-04-14,65.48,65.66,64.55,64.85,2124037.0
2016-04-15,64.98,65.15,64.1,64.2,2724290.0
2016-04-16,64.98,65.15,64.1,64.2,2724290.0
2016-04-17,64.98,65.15,64.1,64.2,2724290.0
2016-04-18,64.5,64.96,64.31,64.79,1511412.0
2016-04-19,63.72,63.9,62.75,63.19,2581646.0
2016-04-20,63.28,63.89,63.07,63.14,1909023.0
2016-04-21,63.45,64.15,62.79,62.79,1989714.0
2016-04-22,62.75,63.41,62.51,63.3,1713771.0
2016-04-23,62.75,63.41,62.51,63.3,1713771.0
2016-04-24,62.75,63.41,62.51,63.3,1713771.0
2016-04-25,63.14,63.6,63.03,63.46,832164.0
2016-04-26,63.47,64.02,63.4164,63.86,1367142.0
2016-04-27,63.69,63.98,63.2,63.64,1599070.0
2016-04-28,63.04,63.63,62.11,63.15,1703510.0
2016-04-29,63.07,63.36,61.99,62.25,1422302.0
2016-04-30,63.07,63.36,61.99,62.25,1422302.0
2016-05-01,63.07,63.36,61.99,62.25,1422302.0
2016-05-02,62.41,63.65,62.27,63.61,1787926.0
