Date,Open,High,Low,Close,Volume
2016-01-04,79.5,79.67,78.42,79.14,1408290.0
2016-01-04,79.5,79.67,78.42,79.14,1408290.0
2016-01-04,79.5,79.67,78.42,79.14,1408290.0
2016-01-04,79.5,79.67,78.42,79.14,1408290.0
2016-01-05,78.96,80.1,78.01,79.95,1259081.0
2016-01-06,79.37,80.07,79.13,79.59,2098595.0
2016-01-07,78.78,79.49,78.49,78.72,1421447.0
2016-01-08,78.72,79.16,78.25,78.38,1581323.0
2016-01-09,78.72,79.16,78.25,78.38,1581323.0
2016-01-10,78.72,79.16,78.25,78.38,1581323.0
2016-01-11,78.59,79.37,78.58,79.15,1846519.0
2016-01-12,79.77,79.77,78.46,79.6,1526175.0
2016-01-13,80.42,81.18,80.01,80.25,1830845.0
2016-01-14,80.19,81.8215,79.87,81.32,1152586.0
2016-01-15,80.29,81.2,79.815,80.54,1471655.0
2016-01-16,80.29,81.2,79.815,80.54,1471655.0
2016-01-17,80.29,81.2,79.815,80.54,1471655.0
2016-01-18,80.29,81.2,79.815,80.54,1471655.0
2016-01-19,81.26,82.43,80.87,82.23,1704249.0
2016-01-20,81.71,82.39,79.53,80.19,2033352.0
2016-01-21,80.18,80.76,78.72,79.25,1446482.0
2016-01-22,79.94,81.42,79.38,81.33,1372673.0
2016-01-23,79.94,81.42,79.38,81.33,1372673.0
2016-01-24,79.94,81.42,79.38,81.33,1372673.0
2016-01-25,81.37,81.43,80.53,80.76,862269.0
2016-01-26,81.11,82.27,80.85,81.7,953802.0
2016-01-27,81.26,82.54,81.04,82.0,988223.0
2016-01-28,82.0,83.9,81.59,83.25,770980.0
2016-01-29,84.0,85.18,82.81,85.01,1528187.0
2016-01-30,84.0,85.18,82.81,85.01,1528187.0
2016-01-31,84.0,85.18,82.81,85.01,1528187.0
2016-02-01,84.51,85.84,84.29,85.31,1089609.0
2016-02-02,85.15,86.305,84.98,86.22,1255436.0
2016-02-03,86.67,87.84,86.1,87.09,1776546.0
2016-02-04,86.94,87.56,86.435,86.61,1388253.0
2016-02-05,86.18,86.86,85.035,86.45,1776507.0
2016-02-06,86.18,86.86,85.035,86.45,1776507.0
2016-02-07,86.18,86.86,85.035,86.45,1776507.0
2016-02-08,86.84,87.81,85.24,86.22,1757972.0
2016-02-09,86.03,87.12,85.79,86.85,1460677.0
2016-02-10,85.63,86.78,83.8,85.79,2244419.0
2016-02-11,85.93,86.45,84.03,84.08,1503059.0
2016-02-12,83.74,84.51,82.93,83.72,1005072.0
2016-02-13,83.74,84.51,82.93,83.72,1005072.0
2016-02-14,83.74,84.51,82.93,83.72,1005072.0
2016-02-15,83.74,84.51,82.93,83.72,1005072.0
2016-02-16,83.64,84.63,83.225,84.54,1353725.0
2016-02-17,84.55,84.83,83.57,84.22,1315108.0
2016-02-18,84.37,85.69,84.04,85.14,997885.0
2016-02-19,84.95,85.21,84.11,84.72,873455.0
2016-02-20,84.95,85.21,84.11,84.72,873455.0
2016-02-21,84.95,85.21,84.11,84.72,873455.0
2016-02-22,85.02,85.75,84.69,85.39,800577.0
2016-02-23,84.97,86.05,84.7201,85.76,663957.0
2016-02-24,85.69,86.39,85.2,86.06,685867.0
2016-02-25,86.33,87.04,86.0,86.97,568924.0
2016-02-26,86.46,86.73,84.26,84.29,1152868.0
2016-02-27,86.46,86.73,84.26,84.29,1152868.0
2016-02-28,86.46,86.73,84.26,84.29,1152868.0
2016-02-29,84.2,85.01,84.01,84.12,1250082.0
2016-03-01,84.61,84.8,83.15,83.83,1358802.0
2016-03-02,83.46,84.1501,81.75,84.06,1067063.0
2016-03-03,84.25,84.25,82.6,84.01,1183760.0
2016-03-04,83.58,85.08,83.27,84.86,918506.0
2016-03-05,83.58,85.08,83.27,84.86,918506.0
2016-03-06,83.58,85.08,83.27,84.86,918506.0
2016-03-07,84.53,86.18,84.39,86.17,1258374.0
2016-03-08,86.22,87.6,85.73,87.26,1419996.0
2016-03-09,88.33,88.58,87.59,87.93,1117113.0
2016-03-10,87.7,88.32,87.1901,88.0,810859.0
2016-03-11,88.48,88.83,87.85,88.25,951797.0
2016-03-12,88.48,88.83,87.85,88.25,951797.0
2016-03-13,88.48,88.83,87.85,88.25,951797.0
2016-03-14,88.15,88.53,87.63,88.06,603632.0
2016-03-15,87.75,88.72,87.69,88.37,692460.0
2016-03-16,87.96,89.72,87.32,89.48,1148699.0
2016-03-17,89.1,89.71,88.31,89.46,1432060.0
2016-03-18,89.67,89.79,88.615,88.91,2058862.0
2016-03-19,89.67,89.79,88.615,88.91,2058862.0
2016-03-20,89.67,89.79,88.615,88.91,2058862.0
2016-03-21,88.49,89.31,87.72,88.91,688271.0
2016-03-22,88.8,89.31,88.26,88.37,846855.0
2016-03-23,88.44,89.71,87.915,89.39,956134.0
2016-03-24,88.99,89.62,88.74,89.46,739905.0
2016-03-25,88.99,89.62,88.74,89.46,739905.0
2016-03-26,88.99,89.62,88.74,89.46,739905.0
2016-03-27,88.99,89.62,88.74,89.46,739905.0
2016-03-28,89.5,90.03,88.91,89.28,594727.0
2016-03-29,89.26,90.91,88.94,90.87,891304.0
2016-03-30,90.93,91.0,90.25,90.72,679731.0
2016-03-31,90.72,90.93,90.19,90.66,1087045.0
2016-04-01,90.62,91.2,89.94,91.05,1111045.0
2016-04-02,90.62,91.2,89.94,91.05,1111045.0
2016-04-03,90.62,91.2,89.94,91.05,1111045.0
2016-04-04,91.05,91.23,89.84,90.72,939026.0
2016-04-05,90.5,90.72,88.92,89.05,1298596.0
2016-04-06,88.93,89.24,88.43,88.99,790387.0
2016-04-07,88.66,89.32,88.54,88.77,999044.0
2016-04-08,89.0,89.78,88.545,89.0,663562.0
2016-04-09,89.0,89.78,88.545,89.0,663562.0
2016-04-10,89.0,89.78,88.545,89.0,663562.0
2016-04-11,89.08,89.69,88.56,88.59,848033.0
2016-04-12,88.94,89.23,88.6001,89.09,725590.0
2016-04-13,89.4,89.46,88.0,88.69,829351.0
2016-04-14,88.57,88.9,88.1,88.28,814575.0
2016-04-15,88.58,89.29,88.14,89.12,813345.0
2016-04-16,88.58,89.29,88.14,89.12,813345.0
2016-04-17,88.58,89.29,88.14,89.12,813345.0
2016-04-18,89.11,89.32,88.49,89.24,753548.0
2016-04-19,89.26,89.58,88.99,89.55,641550.0
2016-04-20,89.5,89.8,86.93,87.06,699394.0
2016-04-21,86.8,86.96,84.77,85.07,1154370.0
2016-04-22,85.55,86.24,85.21,85.77,778833.0
2016-04-23,85.55,86.24,85.21,85.77,778833.0
2016-04-24,85.55,86.24,85.21,85.77,778833.0
2016-04-25,85.69,86.28,85.37,86.27,839700.0
2016-04-26,86.19,87.04,85.47,86.07,866834.0
2016-04-27,86.46,88.03,85.83,87.45,944066.0
2016-04-28,86.47,88.13,86.36,88.05,751254.0
2016-04-29,87.56,89.32,86.98,89.16,1633699.0
2016-04-30,87.56,89.32,86.98,89.16,1633699.0
2016-05-01,87.56,89.32,86.98,89.16,1633699.0
2016-05-02,89.09,90.49,88.78,90.13,1383801.0
2016-05-03,90.04,90.54,89.29,89.7,894115.0
2016-05-04,89.51,91.95,89.51,91.21,1089965.0
2016-05-05,90.95,92.32,90.714,91.1,953267.0
2016-05-06,91.08,91.08,89.56,90.04,1338267.0
2016-05-07,91.08,91.08,89.56,90.04,1338267.0
2016-05-08,91.08,91.08,89.56,90.04,1338267.0
2016-05-09,90.23,90.49,89.81,90.34,1151907.0
2016-05-10,90.64,90.79,90.05,90.28,793771.0
2016-05-11,90.41,90.82,89.67,90.69,764991.0
2016-05-12,90.81,91.57,90.24,91.33,628135.0
2016-05-13,91.29,91.41,90.3669,90.87,532997.0
2016-05-14,91.29,91.41,90.3669,90.87,532997.0
2016-05-15,91.29,91.41,90.3669,90.87,532997.0
2016-05-16,90.71,91.03,90.16,90.88,480991.0
2016-05-17,90.6,90.76,88.7,89.12,789535.0
2016-05-18,88.52,89.68,87.34,87.72,960143.0
2016-05-19,87.39,88.68,86.81,88.65,629803.0
2016-05-20,88.97,88.97,88.12,88.69,774000.0
2016-05-21,88.97,88.97,88.12,88.69,774000.0
2016-05-22,88.97,88.97,88.12,88.69,774000.0
2016-05-23,88.7,88.79,87.69,87.75,478025.0
2016-05-24,88.1,89.34899999999999,88.0,89.22,687844.0
2016-05-25,89.0,89.1,88.36,88.69,757072.0
2016-05-26,88.75,89.9,88.43,89.72,604292.0
2016-05-27,89.81,90.24,89.44,90.21,564953.0
2016-05-28,89.81,90.24,89.44,90.21,564953.0
2016-05-29,89.81,90.24,89.44,90.21,564953.0
2016-05-30,89.81,90.24,89.44,90.21,564953.0
2016-05-31,90.04,90.77,89.83,90.68,1127767.0
2016-06-01,90.6,91.14,90.42,91.12,698311.0
2016-06-02,90.91,91.11,90.02,91.11,528878.0
2016-06-03,92.0,93.27,91.94,92.83,641654.0
2016-06-04,92.0,93.27,91.94,92.83,641654.0
2016-06-05,92.0,93.27,91.94,92.83,641654.0
2016-06-06,92.83,93.14,92.14,92.59,633867.0
2016-06-07,92.79,93.26,92.51,92.7,546912.0
2016-06-08,92.71,93.46,92.3742,93.38,606722.0
2016-06-09,93.39,94.23,93.35,94.05,939456.0
2016-06-10,93.99,94.4399,93.53,93.91,669930.0
2016-06-11,93.99,94.4399,93.53,93.91,669930.0
2016-06-12,93.99,94.4399,93.53,93.91,669930.0
2016-06-13,94.0,94.37,93.71,93.83,775943.0
2016-06-14,93.92,95.03,93.43,94.98,1011094.0
2016-06-15,95.03,95.03,93.56,94.0,835051.0
2016-06-16,92.78,94.16,92.78,93.94,919469.0
2016-06-17,94.07,94.49,93.33,94.38,1271266.0
2016-06-18,94.07,94.49,93.33,94.38,1271266.0
2016-06-19,94.07,94.49,93.33,94.38,1271266.0
2016-06-20,94.29,94.49,93.09,93.91,817497.0
2016-06-21,93.91,94.61,93.35,94.03,614083.0
2016-06-22,94.27,94.27,93.58,93.75,677448.0
2016-06-23,93.91,94.08,93.28,94.06,867197.0
2016-06-24,93.45,96.5301,93.35,95.58,1862690.0
2016-06-25,93.45,96.5301,93.35,95.58,1862690.0
2016-06-26,93.45,96.5301,93.35,95.58,1862690.0
2016-06-27,95.36,96.95,95.36,96.49,1479067.0
2016-06-28,96.49,96.9,95.41,96.79,1277754.0
2016-06-29,97.14,97.57,96.74,97.1,813466.0
2016-06-30,97.28,99.13,97.06,99.12,1432014.0
2016-07-01,99.64,100.0,98.27,99.28,1142924.0
2016-07-02,99.64,100.0,98.27,99.28,1142924.0
2016-07-03,99.64,100.0,98.27,99.28,1142924.0
2016-07-04,99.64,100.0,98.27,99.28,1142924.0
2016-07-05,99.38,100.26,99.265,100.1,1038717.0
2016-07-06,100.14,100.45,99.335,99.95,1038494.0
2016-07-07,99.69,100.02,97.94,98.19,752425.0
2016-07-08,97.89,99.17,97.02,99.14,841869.0
2016-07-09,97.89,99.17,97.02,99.14,841869.0
2016-07-10,97.89,99.17,97.02,99.14,841869.0
2016-07-11,98.75,99.02,97.66,98.96,497453.0
2016-07-12,98.15,98.67,97.32,97.68,712643.0
2016-07-13,98.18,98.47,97.87,98.1,965145.0
2016-07-14,97.49,97.98,96.865,97.09,1159331.0
2016-07-15,97.26,97.8,97.1,97.66,1001317.0
2016-07-16,97.26,97.8,97.1,97.66,1001317.0
2016-07-17,97.26,97.8,97.1,97.66,1001317.0
2016-07-18,97.86,98.4,97.79,97.98,556369.0
2016-07-19,98.06,98.4,97.59,98.05,562689.0
2016-07-20,98.0,98.29,97.35,97.53,427748.0
2016-07-21,97.25,98.48,96.96,98.36,729116.0
2016-07-22,98.29,99.7,98.175,99.41,956462.0
2016-07-23,98.29,99.7,98.175,99.41,956462.0
