Date,Open,High,Low,Close,Volume
2016-01-04,67.91,68.6,66.77,68.58,1351145.0
2016-01-04,67.91,68.6,66.77,68.58,1351145.0
2016-01-04,67.91,68.6,66.77,68.58,1351145.0
2016-01-04,67.91,68.6,66.77,68.58,1351145.0
2016-01-05,68.47,69.16,67.03,68.95,1440638.0
2016-01-06,68.55,68.72,67.82,68.51,1265606.0
2016-01-07,67.91,68.61,67.28,67.54,1443630.0
2016-01-08,67.58,68.29,67.37,67.52,1351100.0
2016-01-09,67.58,68.29,67.37,67.52,1351100.0
2016-01-10,67.58,68.29,67.37,67.52,1351100.0
2016-01-11,67.74,68.1899,67.07,67.55,1039442.0
2016-01-12,68.27,68.52,67.05,68.4,1890754.0
2016-01-13,68.62,69.08,67.7,68.2,1666318.0
2016-01-14,68.28,69.59,67.76,69.1,1157761.0
2016-01-15,68.59,68.59,67.42,68.09,1576907.0
2016-01-16,68.59,68.59,67.42,68.09,1576907.0
2016-01-17,68.59,68.59,67.42,68.09,1576907.0
2016-01-18,68.59,68.59,67.42,68.09,1576907.0
2016-01-19,68.83,69.24,68.16,68.87,1556643.0
2016-01-20,68.42,68.906,65.38,66.56,1515130.0
2016-01-21,66.58,67.08,65.64,66.68,1114719.0
2016-01-22,67.26,68.85,66.84,68.73,1322435.0
2016-01-23,67.26,68.85,66.84,68.73,1322435.0
2016-01-24,67.26,68.85,66.84,68.73,1322435.0
2016-01-25,68.65,68.73,67.23,67.58,985214.0
2016-01-26,67.93,69.54,67.89,68.7,834486.0
2016-01-27,68.59,70.02,68.39,69.55,1179941.0
2016-01-28,69.49,70.91,69.12,70.56,907892.0
2016-01-29,71.28,71.57,70.39,70.58,1958094.0
2016-01-30,71.28,71.57,70.39,70.58,1958094.0
2016-01-31,71.28,71.57,70.39,70.58,1958094.0
2016-02-01,70.62,71.82,70.34,71.6,1208987.0
2016-02-02,71.1,71.94,70.72,71.74,1256626.0
2016-02-03,71.93,73.96,71.82,73.35,1576347.0
2016-02-04,73.12,74.48,72.19,72.3,1363058.0
2016-02-05,72.05,72.66,71.15,72.22,1656147.0
2016-02-06,72.05,72.66,71.15,72.22,1656147.0
2016-02-07,72.05,72.66,71.15,72.22,1656147.0
2016-02-08,72.37,73.02,70.41,71.45,1746811.0
2016-02-09,69.97,71.3,69.65,70.74,1755745.0
2016-02-10,70.57,71.85,69.34,71.44,1456246.0
2016-02-11,71.0,71.51,70.21,70.54,1509379.0
2016-02-12,70.32,70.58,69.34,70.44,1279040.0
2016-02-13,70.32,70.58,69.34,70.44,1279040.0
2016-02-14,70.32,70.58,69.34,70.44,1279040.0
2016-02-15,70.32,70.58,69.34,70.44,1279040.0
2016-02-16,70.7,71.1,69.83,70.77,1762127.0
2016-02-17,70.78,71.19,69.94,71.01,1583115.0
2016-02-18,71.55,73.93,70.8001,73.44,2388095.0
2016-02-19,73.79,73.9189,72.0,72.98,2232575.0
2016-02-20,73.79,73.9189,72.0,72.98,2232575.0
2016-02-21,73.79,73.9189,72.0,72.98,2232575.0
2016-02-22,73.45,74.24,73.02,74.01,1009499.0
2016-02-23,73.88,74.23,72.98,73.49,1321499.0
2016-02-24,73.42,74.0,72.77,73.45,1012273.0
2016-02-25,73.64,74.33,73.13,74.25,933296.0
2016-02-26,73.83,74.58,71.65,71.74,1271586.0
2016-02-27,73.83,74.58,71.65,71.74,1271586.0
2016-02-28,73.83,74.58,71.65,71.74,1271586.0
2016-02-29,71.83,73.11,71.53,72.21,1273450.0
2016-03-01,72.7,72.99,71.95,72.2,1125948.0
2016-03-02,71.86,73.25,70.61,73.22,1169776.0
2016-03-03,73.2,73.305,71.78,73.14,1153329.0
2016-03-04,72.79,74.27,72.22,74.19,1015265.0
2016-03-05,72.79,74.27,72.22,74.19,1015265.0
2016-03-06,72.79,74.27,72.22,74.19,1015265.0
2016-03-07,74.0,74.59,73.58,73.94,1185782.0
2016-03-08,74.04,74.67,73.34,74.57,1125194.0
2016-03-09,74.61,75.91,74.58,75.25,1501277.0
2016-03-10,75.31,76.14,75.16,75.98,1575005.0
2016-03-11,76.22,76.72,75.74,75.92,1284902.0
2016-03-12,76.22,76.72,75.74,75.92,1284902.0
2016-03-13,76.22,76.72,75.74,75.92,1284902.0
2016-03-14,76.02,76.91,75.5,76.54,1140174.0
2016-03-15,76.19,77.32,76.16,76.62,865712.0
2016-03-16,76.51,78.23,75.81,78.02,1263944.0
2016-03-17,78.15,79.16,77.74,78.94,1109510.0
2016-03-18,78.92,79.25,77.9,77.93,2410067.0
2016-03-19,78.92,79.25,77.9,77.93,2410067.0
2016-03-20,78.92,79.25,77.9,77.93,2410067.0
2016-03-21,77.54,78.69,77.47,78.4,1289205.0
2016-03-22,78.36,78.84,77.61,77.7,1168704.0
2016-03-23,77.78,78.64,77.43,78.14,884802.0
2016-03-24,77.84,78.99,77.59,78.84,846449.0
2016-03-25,77.84,78.99,77.59,78.84,846449.0
2016-03-26,77.84,78.99,77.59,78.84,846449.0
2016-03-27,77.84,78.99,77.59,78.84,846449.0
2016-03-28,78.96,79.33,78.04,78.17,837471.0
2016-03-29,78.35,79.64,77.94,79.61,899099.0
2016-03-30,79.47,79.69,78.8,79.23,788927.0
2016-03-31,79.23,79.715,78.885,79.28,1648282.0
2016-04-01,79.34,80.06,78.94,79.97,2389290.0
2016-04-02,79.34,80.06,78.94,79.97,2389290.0
2016-04-03,79.34,80.06,78.94,79.97,2389290.0
2016-04-04,79.95,80.0,78.71,78.94,1417064.0
2016-04-05,78.74,78.89,76.97,77.09,2338778.0
2016-04-06,77.09,77.4,76.57,77.21,1477725.0
2016-04-07,76.95,77.74,76.8448,77.19,1373418.0
2016-04-08,77.5,78.11,76.81,76.96,2005245.0
2016-04-09,77.5,78.11,76.81,76.96,2005245.0
2016-04-10,77.5,78.11,76.81,76.96,2005245.0
2016-04-11,77.17,77.8,76.67,76.82,1238979.0
2016-04-12,76.25,76.9,76.11,76.56,3132656.0
2016-04-13,76.91,76.91,76.01,76.55,1287519.0
2016-04-14,76.34,76.8,75.65,75.84,1419531.0
2016-04-15,75.8,76.48,75.58,76.12,1439347.0
2016-04-16,75.8,76.48,75.58,76.12,1439347.0
2016-04-17,75.8,76.48,75.58,76.12,1439347.0
2016-04-18,75.8,76.37,75.7,76.25,1602473.0
2016-04-19,76.45,76.72,76.16,76.43,1847167.0
2016-04-20,76.4,76.57,74.44,74.63,1640159.0
2016-04-21,74.44,74.44,73.25,73.51,2245708.0
2016-04-22,73.83,74.61,73.73,74.35,1463562.0
2016-04-23,73.83,74.61,73.73,74.35,1463562.0
2016-04-24,73.83,74.61,73.73,74.35,1463562.0
2016-04-25,74.33,74.6,73.68,74.29,1403914.0
2016-04-26,74.75,75.5,73.84,74.61,2382858.0
2016-04-27,74.48,74.97,73.56,74.71,2131735.0
2016-04-28,73.95,74.616,73.52,74.43,1524539.0
2016-04-29,74.02,75.18,73.62,75.18,1660076.0
2016-04-30,74.02,75.18,73.62,75.18,1660076.0
2016-05-01,74.02,75.18,73.62,75.18,1660076.0
2016-05-02,75.32,76.0,75.27,75.56,1455821.0
2016-05-03,75.41,76.61,75.29,76.52,2208434.0
2016-05-04,76.47,77.9,76.27,76.99,1828617.0
2016-05-05,76.93,77.76,76.56,76.85,1599976.0
2016-05-06,76.7,76.7,75.65,76.16,1054478.0
2016-05-07,76.7,76.7,75.65,76.16,1054478.0
2016-05-08,76.7,76.7,75.65,76.16,1054478.0
2016-05-09,76.23,76.64,75.89,76.54,1438930.0
2016-05-10,75.67,76.32,75.36,76.0,1537482.0
2016-05-11,76.11,76.725,75.425,76.59,1735436.0
2016-05-12,76.69,77.255,76.33,77.07,1284944.0
2016-05-13,76.87,77.09,76.27,76.6,1301291.0
2016-05-14,76.87,77.09,76.27,76.6,1301291.0
2016-05-15,76.87,77.09,76.27,76.6,1301291.0
2016-05-16,76.46,76.68,75.7,76.42,1176836.0
2016-05-17,76.09,76.585,75.46,75.82,1637452.0
2016-05-18,75.31,75.35,73.11,73.37,2154405.0
