Date,Open,High,Low,Close,Volume
2016-01-04,6.6,6.76,6.3,6.55,43084287.0
2016-01-04,6.6,6.76,6.3,6.55,43084287.0
2016-01-04,6.6,6.76,6.3,6.55,43084287.0
2016-01-04,6.6,6.76,6.3,6.55,43084287.0
2016-01-05,6.62,6.73,6.51,6.71,37732175.0
2016-01-06,6.37,6.47,6.13,6.17,45341995.0
2016-01-07,5.98,6.04,5.43,5.61,66575869.0
2016-01-08,5.67,5.71,5.36,5.41,44307608.0
2016-01-09,5.67,5.71,5.36,5.41,44307608.0
2016-01-10,5.67,5.71,5.36,5.41,44307608.0
2016-01-11,5.4,5.42,4.23,4.31,117644640.0
2016-01-12,4.47,4.58,3.65,4.11,141561014.0
2016-01-13,4.18,4.28,3.7,3.74,64602084.0
2016-01-14,3.81,4.23,3.78,4.2,77668226.0
2016-01-15,3.8,4.35,3.77,4.35,73139311.0
2016-01-16,3.8,4.35,3.77,4.35,73139311.0
2016-01-17,3.8,4.35,3.77,4.35,73139311.0
2016-01-18,3.8,4.35,3.77,4.35,73139311.0
2016-01-19,4.58,4.58,3.92,3.96,59801289.0
2016-01-20,3.77,4.13,3.52,4.07,88516117.0
2016-01-21,4.14,4.43,3.97,4.33,61082044.0
2016-01-22,4.59,4.66,3.8,3.94,108797574.0
2016-01-23,4.59,4.66,3.8,3.94,108797574.0
2016-01-24,4.59,4.66,3.8,3.94,108797574.0
2016-01-25,3.87,4.0,3.81,3.94,51478445.0
2016-01-26,4.4,4.42,3.83,4.2,92154264.0
2016-01-27,4.06,5.08,4.02,4.65,96141695.0
2016-01-28,4.8,4.88,4.21,4.42,66860944.0
2016-01-29,4.44,4.75,4.37,4.6,42038908.0
2016-01-30,4.44,4.75,4.37,4.6,42038908.0
2016-01-31,4.44,4.75,4.37,4.6,42038908.0
2016-02-01,4.5,4.815,4.33,4.74,48306340.0
2016-02-02,4.6,4.65,4.26,4.35,31640550.0
2016-02-03,4.43,4.85,4.35,4.85,44251338.0
2016-02-04,5.1,6.03,5.09,5.72,116304341.0
2016-02-05,5.57,5.98,5.45,5.68,71766348.0
2016-02-06,5.57,5.98,5.45,5.68,71766348.0
2016-02-07,5.57,5.98,5.45,5.68,71766348.0
2016-02-08,5.46,5.93,5.17,5.27,64908157.0
2016-02-09,5.12,5.403,4.97,5.0,44714244.0
2016-02-10,4.95,5.13,4.78,4.98,33849329.0
2016-02-11,4.81,5.08,4.65,4.89,38054339.0
2016-02-12,5.12,5.745,5.08,5.53,44595800.0
2016-02-13,5.12,5.745,5.08,5.53,44595800.0
2016-02-14,5.12,5.745,5.08,5.53,44595800.0
2016-02-15,5.12,5.745,5.08,5.53,44595800.0
2016-02-16,5.82,6.375,5.8,6.37,77061642.0
2016-02-17,6.63,7.6,6.6,7.16,103843832.0
2016-02-18,7.4,7.42,6.65,7.15,59726167.0
2016-02-19,6.98,7.17,6.75,6.92,38861550.0
2016-02-20,6.98,7.17,6.75,6.92,38861550.0
2016-02-21,6.98,7.17,6.75,6.92,38861550.0
2016-02-22,7.27,7.97,7.27,7.93,75292455.0
2016-02-23,7.55,7.74,7.15,7.24,59095562.0
2016-02-24,6.74,7.26,6.55,7.2,57131210.0
2016-02-25,7.14,7.34,6.79,7.12,35426720.0
2016-02-26,7.7,7.8,7.31,7.43,48359070.0
2016-02-27,7.7,7.8,7.31,7.43,48359070.0
2016-02-28,7.7,7.8,7.31,7.43,48359070.0
2016-02-29,7.69,7.84,7.511,7.63,49111194.0
2016-03-01,7.84,7.88,7.26,7.76,54244322.0
2016-03-02,7.82,9.02,7.79,8.97,84896675.0
2016-03-03,8.66,9.2,8.46,9.11,66742003.0
2016-03-04,9.32,10.495,9.17,9.74,104896502.0
2016-03-05,9.32,10.495,9.17,9.74,104896502.0
2016-03-06,9.32,10.495,9.17,9.74,104896502.0
2016-03-07,9.77,10.2,9.51,9.86,63727890.0
2016-03-08,9.37,9.42,8.56,8.66,58328932.0
2016-03-09,8.91,9.23,8.47,9.15,49114425.0
2016-03-10,8.86,9.65,8.75,9.6,55754437.0
2016-03-11,9.85,9.88,9.41,9.55,40930461.0
2016-03-12,9.85,9.88,9.41,9.55,40930461.0
2016-03-13,9.85,9.88,9.41,9.55,40930461.0
2016-03-14,9.47,10.14,9.3733,9.97,39986423.0
2016-03-15,9.45,9.49,9.03,9.27,36391843.0
2016-03-16,9.25,10.28,9.22,10.22,49299221.0
2016-03-17,10.43,11.07,10.06,10.9,52911909.0
2016-03-18,11.04,11.445,10.44,10.76,79242438.0
2016-03-19,11.04,11.445,10.44,10.76,79242438.0
2016-03-20,11.04,11.445,10.44,10.76,79242438.0
2016-03-21,10.65,10.93,10.35,10.8,31275517.0
2016-03-22,10.56,11.2,10.4299,10.99,31068002.0
2016-03-23,10.57,10.72,9.73,9.75,48648352.0
2016-03-24,9.37,10.145,9.1,10.11,52634543.0
2016-03-25,9.37,10.145,9.1,10.11,52634543.0
2016-03-26,9.37,10.145,9.1,10.11,52634543.0
2016-03-27,9.37,10.145,9.1,10.11,52634543.0
2016-03-28,10.25,10.48,9.73,10.14,35324548.0
2016-03-29,9.71,10.3,9.41,10.14,44196028.0
2016-03-30,10.36,10.59,9.99,10.29,46852800.0
2016-03-31,10.13,10.46,10.13,10.34,32920545.0
2016-04-01,9.92,10.0,9.585,9.89,41409082.0
2016-04-02,9.92,10.0,9.585,9.89,41409082.0
2016-04-03,9.92,10.0,9.585,9.89,41409082.0
2016-04-04,9.91,10.09,9.39,9.42,38722581.0
2016-04-05,9.26,9.62,9.22,9.34,32374679.0
2016-04-06,9.47,9.65,9.1,9.61,37241549.0
2016-04-07,9.28,9.51,8.76,8.85,61181449.0
2016-04-08,9.17,9.53,9.02,9.33,37145115.0
2016-04-09,9.17,9.53,9.02,9.33,37145115.0
2016-04-10,9.17,9.53,9.02,9.33,37145115.0
2016-04-11,9.58,9.88,9.51,9.76,33166842.0
2016-04-12,10.03,10.48,9.9,10.43,59332575.0
2016-04-13,10.74,11.23,10.72,10.82,55013427.0
2016-04-14,10.85,11.07,10.54,10.73,37743412.0
2016-04-15,10.47,10.925,10.35,10.86,29408746.0
2016-04-16,10.47,10.925,10.35,10.86,29408746.0
2016-04-17,10.47,10.925,10.35,10.86,29408746.0
2016-04-18,10.48,11.09,10.215,11.02,41031501.0
2016-04-19,11.07,12.02,11.06,12.01,63119641.0
2016-04-20,11.95,12.69,11.82,12.36,61938912.0
2016-04-21,12.59,12.7,11.47,11.52,66017083.0
2016-04-22,11.76,12.05,11.43,11.67,53046819.0
2016-04-23,11.76,12.05,11.43,11.67,53046819.0
2016-04-24,11.76,12.05,11.43,11.67,53046819.0
2016-04-25,11.59,11.76,11.16,11.35,35788277.0
2016-04-26,11.29,11.6,10.56,11.48,56639804.0
2016-04-27,11.69,12.67,11.5899,12.65,58372364.0
2016-04-28,12.66,13.36,12.61,12.66,62640164.0
2016-04-29,13.11,14.06,13.05,14.0,74559220.0
2016-04-30,13.11,14.06,13.05,14.0,74559220.0
2016-05-01,13.11,14.06,13.05,14.0,74559220.0
2016-05-02,14.03,14.04,13.31,13.55,46207744.0
2016-05-03,13.04,13.08,12.0,12.01,58865087.0
2016-05-04,12.14,12.51,11.58,11.8,48134564.0
2016-05-05,12.09,12.22,11.08,11.29,50158832.0
2016-05-06,11.14,12.12,11.13,11.79,51544629.0
2016-05-07,11.14,12.12,11.13,11.79,51544629.0
2016-05-08,11.14,12.12,11.13,11.79,51544629.0
2016-05-09,11.2,11.24,10.37,10.52,51330078.0
2016-05-10,10.79,10.98,10.51,10.86,25930185.0
2016-05-11,11.02,11.94,11.0,11.61,46759315.0
2016-05-12,11.67,11.9833,10.83,11.03,48031311.0
2016-05-13,10.96,11.37,10.29,10.41,43788664.0
2016-05-14,10.96,11.37,10.29,10.41,43788664.0
2016-05-15,10.96,11.37,10.29,10.41,43788664.0
2016-05-16,10.78,11.46,10.78,11.04,43789670.0
2016-05-17,11.3,11.9,11.085,11.51,60376988.0
2016-05-18,11.23,11.48,10.35,10.54,55619682.0
2016-05-19,10.33,11.02,10.22,10.98,48054297.0
2016-05-20,11.13,11.36,10.87,11.08,42706776.0
2016-05-21,11.13,11.36,10.87,11.08,42706776.0
2016-05-22,11.13,11.36,10.87,11.08,42706776.0
2016-05-23,10.8,11.45,10.72,11.38,41981748.0
2016-05-24,11.41,11.51,11.03,11.11,37947438.0
2016-05-25,11.39,11.73,11.11,11.65,45726544.0
2016-05-26,11.91,12.04,11.28,11.34,31388215.0
2016-05-27,11.35,11.42,10.96,11.14,28606681.0
2016-05-28,11.35,11.42,10.96,11.14,28606681.0
2016-05-29,11.35,11.42,10.96,11.14,28606681.0
2016-05-30,11.35,11.42,10.96,11.14,28606681.0
2016-05-31,11.06,11.504000000000001,11.03,11.08,34418413.0
2016-06-01,10.8,10.87,10.27,10.6,43751472.0
2016-06-02,10.49,10.71,10.35,10.66,29646145.0
2016-06-03,11.0,11.28,10.91,11.11,34794083.0
2016-06-04,11.0,11.28,10.91,11.11,34794083.0
2016-06-05,11.0,11.28,10.91,11.11,34794083.0
2016-06-06,11.38,11.68,11.37,11.65,43485699.0
2016-06-07,11.32,11.47,11.171,11.24,32146267.0
2016-06-08,11.64,11.92,11.56,11.58,37432758.0
2016-06-09,11.21,11.21,10.78,10.9,48977985.0
2016-06-10,10.53,10.68,10.26,10.36,38323822.0
2016-06-11,10.53,10.68,10.26,10.36,38323822.0
2016-06-12,10.53,10.68,10.26,10.36,38323822.0
2016-06-13,10.25,10.71,10.24,10.4,25634232.0
2016-06-14,10.3,10.45,9.82,10.21,33221655.0
2016-06-15,10.64,11.3,10.6,11.0,62818092.0
2016-06-16,10.81,10.82,10.32,10.78,39510289.0
2016-06-17,11.03,11.4,10.98,11.14,40800100.0
