Date,Open,High,Low,Close,Volume
2016-01-04,64.46,65.33,64.05,65.31,2304423.0
2016-01-04,64.46,65.33,64.05,65.31,2304423.0
2016-01-04,64.46,65.33,64.05,65.31,2304423.0
2016-01-04,64.46,65.33,64.05,65.31,2304423.0
2016-01-05,65.58,66.96,65.36,66.23,2045383.0
2016-01-06,65.25,66.56,64.46,65.23,2446217.0
2016-01-07,64.02,66.26,64.001,64.44,3245534.0
2016-01-08,65.45,65.5,62.66,62.7,3755894.0
2016-01-09,65.45,65.5,62.66,62.7,3755894.0
2016-01-10,65.45,65.5,62.66,62.7,3755894.0
2016-01-11,62.92,63.68,61.77,62.62,2682062.0
2016-01-12,63.36,63.77,62.12,63.37,1652594.0
2016-01-13,63.43,63.43,61.34,61.65,2314274.0
2016-01-14,61.21,62.36,60.36,61.55,2840305.0
2016-01-15,60.19,60.98,59.01,60.65,3005525.0
2016-01-16,60.19,60.98,59.01,60.65,3005525.0
2016-01-17,60.19,60.98,59.01,60.65,3005525.0
2016-01-18,60.19,60.98,59.01,60.65,3005525.0
2016-01-19,61.26,63.75,61.24,62.89,4083579.0
2016-01-20,62.01,62.82,59.76,62.24,5040501.0
2016-01-21,61.82,65.07,61.71,64.56,3176265.0
2016-01-22,64.96,65.61,64.5,65.2,2129331.0
2016-01-23,64.96,65.61,64.5,65.2,2129331.0
2016-01-24,64.96,65.61,64.5,65.2,2129331.0
2016-01-25,65.35,65.49,64.3,64.47,1650300.0
2016-01-26,65.74,66.76,65.22,66.13,2603311.0
2016-01-27,65.64,66.9,65.395,65.72,2340869.0
2016-01-28,66.8,67.53,65.83,67.31,2289359.0
2016-01-29,67.65,68.5,67.22,67.56,2532382.0
2016-01-30,67.65,68.5,67.22,67.56,2532382.0
2016-01-31,67.65,68.5,67.22,67.56,2532382.0
2016-02-01,67.58,69.5,67.23,69.1,2156038.0
2016-02-02,68.9,69.65,68.7,69.14,2217913.0
2016-02-03,69.04,69.56,67.0036,68.49,2711732.0
2016-02-04,67.35,68.71,67.044,68.05,2019394.0
2016-02-05,67.89,68.0,65.74,65.81,2535522.0
2016-02-06,67.89,68.0,65.74,65.81,2535522.0
2016-02-07,67.89,68.0,65.74,65.81,2535522.0
2016-02-08,65.39,65.44,63.1175,64.51,2605895.0
2016-02-09,63.64,64.99,62.73,63.64,1886554.0
2016-02-10,64.28,64.87,63.82,63.97,1724545.0
2016-02-11,63.31,64.46,62.99,63.98,2243726.0
2016-02-12,64.65,66.11,64.02,65.95,1604972.0
2016-02-13,64.65,66.11,64.02,65.95,1604972.0
2016-02-14,64.65,66.11,64.02,65.95,1604972.0
2016-02-15,64.65,66.11,64.02,65.95,1604972.0
2016-02-16,66.61,68.03,66.2,67.68,1764887.0
2016-02-17,67.96,68.27,66.76,67.66,1970464.0
2016-02-18,67.68,67.8016,66.26,67.0,1960775.0
2016-02-19,66.5,67.76,65.65,67.5,2655706.0
2016-02-20,66.5,67.76,65.65,67.5,2655706.0
2016-02-21,66.5,67.76,65.65,67.5,2655706.0
2016-02-22,68.22,68.45,67.04,67.25,2052933.0
2016-02-23,67.66,68.11,65.26,66.21,3568794.0
2016-02-24,66.23,67.07,64.51,66.77,3734874.0
2016-02-25,67.37,68.0,66.23,67.03,6315975.0
2016-02-26,65.76,66.847,63.78,64.14,8698671.0
2016-02-27,65.76,66.847,63.78,64.14,8698671.0
2016-02-28,65.76,66.847,63.78,64.14,8698671.0
2016-02-29,64.14,64.47,62.27,62.5,6850727.0
2016-03-01,62.58,63.77,62.43,63.47,3849892.0
2016-03-02,63.65,64.06,63.28,63.6,2461199.0
2016-03-03,63.57,63.57,62.36,63.24,2473358.0
2016-03-04,63.24,63.46,62.02,63.0,2792888.0
2016-03-05,63.24,63.46,62.02,63.0,2792888.0
2016-03-06,63.24,63.46,62.02,63.0,2792888.0
2016-03-07,62.46,63.48,62.05,62.36,1953605.0
2016-03-08,62.06,64.0,62.03,63.44,3225300.0
2016-03-09,63.55,63.69,62.53,62.71,1773983.0
2016-03-10,62.91,64.4499,62.8,63.38,1821454.0
2016-03-11,63.66,64.24,63.3345,64.14,1597753.0
2016-03-12,63.66,64.24,63.3345,64.14,1597753.0
2016-03-13,63.66,64.24,63.3345,64.14,1597753.0
2016-03-14,63.77,64.37,63.56,64.28,1261499.0
2016-03-15,64.25,64.93,63.09,63.13,1819390.0
2016-03-16,63.07,63.79,62.92,63.53,2247265.0
2016-03-17,63.33,65.29,63.16,65.12,2060721.0
2016-03-18,64.19,65.4,63.57,65.22,2157429.0
2016-03-19,64.19,65.4,63.57,65.22,2157429.0
2016-03-20,64.19,65.4,63.57,65.22,2157429.0
2016-03-21,65.22,67.14,65.0,66.65,3483920.0
2016-03-22,66.64,67.27,66.17,66.19,2037637.0
2016-03-23,64.85,64.85,62.71,63.79,4126131.0
2016-03-24,63.73,63.83,63.12,63.47,1786595.0
2016-03-25,63.73,63.83,63.12,63.47,1786595.0
2016-03-26,63.73,63.83,63.12,63.47,1786595.0
2016-03-27,63.73,63.83,63.12,63.47,1786595.0
2016-03-28,63.71,65.74,63.5,65.2,1827468.0
2016-03-29,65.12,65.94,64.84,65.81,2717043.0
2016-03-30,65.88,66.45,65.663,65.74,2470971.0
2016-03-31,65.82,66.0,64.37,64.5,2916426.0
2016-04-01,64.49,64.72,63.26,63.75,31760640.0
2016-04-02,64.49,64.72,63.26,63.75,31760640.0
2016-04-03,64.49,64.72,63.26,63.75,31760640.0
2016-04-04,63.86,64.44,63.33,63.51,2776282.0
2016-04-05,63.41,63.59,61.95,62.8,3155776.0
2016-04-06,63.06,63.29,62.06,63.26,2393299.0
2016-04-07,62.99,63.23,61.76,62.37,3750705.0
2016-04-08,61.94,62.83,61.49,61.91,3015052.0
2016-04-09,61.94,62.83,61.49,61.91,3015052.0
2016-04-10,61.94,62.83,61.49,61.91,3015052.0
2016-04-11,61.5,61.79,59.45,59.46,4462622.0
2016-04-12,59.47,60.32,58.17,59.98,3697181.0
2016-04-13,61.56,62.32,61.39,61.97,3910413.0
2016-04-14,62.07,62.41,61.32,61.42,1889516.0
2016-04-15,59.98,61.5,59.71,61.4,4261614.0
2016-04-16,59.98,61.5,59.71,61.4,4261614.0
2016-04-17,59.98,61.5,59.71,61.4,4261614.0
2016-04-18,61.26,62.58,61.0,62.5,3503672.0
2016-04-19,62.53,62.53,61.54,61.76,2288809.0
2016-04-20,62.0,62.03,61.18,61.32,2096734.0
2016-04-21,61.75,61.88,60.35,60.46,2182844.0
2016-04-22,60.55,61.05,60.35,60.41,2469581.0
2016-04-23,60.55,61.05,60.35,60.41,2469581.0
2016-04-24,60.55,61.05,60.35,60.41,2469581.0
2016-04-25,60.2,60.395,59.63,60.36,1377912.0
2016-04-26,60.79,61.53,60.72,61.28,1409418.0
2016-04-27,61.2,62.05,60.73,61.93,1413798.0
2016-04-28,61.35,62.29,61.29,61.47,1306866.0
2016-04-29,61.21,61.49,60.58,61.44,1982152.0
2016-04-30,61.21,61.49,60.58,61.44,1982152.0
2016-05-01,61.21,61.49,60.58,61.44,1982152.0
2016-05-02,61.6,62.19,61.45,62.04,1333338.0
2016-05-03,61.87,61.95,61.06,61.52,1758153.0
2016-05-04,61.16,61.95,60.63,61.85,986634.0
2016-05-05,61.56,61.8,60.3,60.42,1830194.0
2016-05-06,60.42,60.8,59.75,60.78,1540615.0
2016-05-07,60.42,60.8,59.75,60.78,1540615.0
2016-05-08,60.42,60.8,59.75,60.78,1540615.0
2016-05-09,60.96,62.45,60.85,62.16,2509242.0
2016-05-10,62.08,62.32,60.95,61.03,2211765.0
2016-05-11,60.13,60.13,58.51,58.77,2942860.0
2016-05-12,58.85,59.43,58.44,59.04,2301251.0
2016-05-13,58.41,58.41,57.23,57.46,3619361.0
2016-05-14,58.41,58.41,57.23,57.46,3619361.0
2016-05-15,58.41,58.41,57.23,57.46,3619361.0
2016-05-16,57.5,59.34,57.26,59.31,3885481.0
2016-05-17,59.33,59.515,57.99,58.61,3224550.0
2016-05-18,57.9,57.91,56.69,57.12,3452735.0
2016-05-19,56.93,58.99,56.51,58.55,6286107.0
2016-05-20,55.4,56.52,53.83,54.77,12510888.0
2016-05-21,55.4,56.52,53.83,54.77,12510888.0
2016-05-22,55.4,56.52,53.83,54.77,12510888.0
2016-05-23,54.49,54.92,53.91,54.08,5024050.0
2016-05-24,54.17,54.56,53.665,54.11,3358789.0
2016-05-25,54.06,55.04,53.91,54.84,3380562.0
2016-05-26,55.05,55.41,54.53,54.71,2197316.0
2016-05-27,54.51,55.09,54.28,55.05,1791419.0
2016-05-28,54.51,55.09,54.28,55.05,1791419.0
2016-05-29,54.51,55.09,54.28,55.05,1791419.0
2016-05-30,54.51,55.09,54.28,55.05,1791419.0
2016-05-31,55.35,55.98,55.08,55.92,5203488.0
2016-06-01,55.24,55.68,54.89,54.9,3559960.0
2016-06-02,54.53,55.4,54.5,55.08,2782849.0
2016-06-03,55.19,55.28,54.68,54.85,1750461.0
