Date,Open,High,Low,Close,Volume
2016-01-04,26.59,26.82,26.36,26.61,5846406.0
2016-01-04,26.59,26.82,26.36,26.61,5846406.0
2016-01-04,26.59,26.82,26.36,26.61,5846406.0
2016-01-04,26.59,26.82,26.36,26.61,5846406.0
2016-01-05,26.56,26.75,26.44,26.6,4247381.0
2016-01-06,26.31,26.8,26.15,26.5,15831365.0
2016-01-07,26.11,26.5,25.87,25.92,4488204.0
2016-01-08,26.06,26.32,25.86,25.93,4296712.0
2016-01-09,26.06,26.32,25.86,25.93,4296712.0
2016-01-10,26.06,26.32,25.86,25.93,4296712.0
2016-01-11,26.09,26.17,25.71,26.0,3301594.0
2016-01-12,26.13,26.52,25.93,26.46,3834593.0
2016-01-13,26.47,26.63,25.72,25.81,4747053.0
2016-01-14,25.98,27.14,25.9,26.775,10377306.0
2016-01-15,26.17,26.55,25.875,26.17,4985166.0
2016-01-16,26.17,26.55,25.875,26.17,4985166.0
2016-01-17,26.17,26.55,25.875,26.17,4985166.0
2016-01-18,26.17,26.55,25.875,26.17,4985166.0
2016-01-19,26.43,26.82,26.14,26.58,4587743.0
2016-01-20,26.15,26.36,25.025,25.75,6916244.0
2016-01-21,25.82,26.04,25.49,25.62,4659253.0
2016-01-22,26.05,26.47,26.02,26.41,3399113.0
2016-01-23,26.05,26.47,26.02,26.41,3399113.0
2016-01-24,26.05,26.47,26.02,26.41,3399113.0
2016-01-25,26.24,26.31,25.97,26.0,3929488.0
2016-01-26,26.08,26.98,26.08,26.96,3271284.0
2016-01-27,26.93,27.29,26.46,26.58,4052839.0
2016-01-28,26.75,26.83,26.02,26.23,3207363.0
2016-01-29,26.4,27.16,26.4,27.1,3363774.0
2016-01-30,26.4,27.16,26.4,27.1,3363774.0
2016-01-31,26.4,27.16,26.4,27.1,3363774.0
2016-02-01,26.82,27.23,26.51,27.11,2829592.0
2016-02-02,26.73,26.78,25.98,26.06,3356226.0
2016-02-03,26.18,26.61,25.84,26.5,6538663.0
2016-02-04,26.55,26.99,26.15,26.23,3777755.0
2016-02-05,26.1,26.23,25.005,25.04,4782276.0
2016-02-06,26.1,26.23,25.005,25.04,4782276.0
2016-02-07,26.1,26.23,25.005,25.04,4782276.0
2016-02-08,24.72,24.785,24.09,24.54,5985037.0
2016-02-09,23.21,24.52,22.65,24.21,10076981.0
2016-02-10,24.12,25.08,23.51,24.46,5274483.0
2016-02-11,24.01,24.885,23.945,24.71,4739715.0
2016-02-12,25.08,25.08,24.27,24.67,2542059.0
2016-02-13,25.08,25.08,24.27,24.67,2542059.0
2016-02-14,25.08,25.08,24.27,24.67,2542059.0
2016-02-15,25.08,25.08,24.27,24.67,2542059.0
2016-02-16,25.13,25.65,24.96,25.63,3855421.0
2016-02-17,25.8,26.65,25.75,26.47,4474739.0
2016-02-18,26.34,26.52,25.9899,26.42,3231414.0
2016-02-19,26.23,26.8,26.08,26.69,3077269.0
2016-02-20,26.23,26.8,26.08,26.69,3077269.0
2016-02-21,26.23,26.8,26.08,26.69,3077269.0
2016-02-22,27.0,27.62,26.94,27.31,4614565.0
2016-02-23,26.72,27.42,26.64,27.02,2930113.0
2016-02-24,26.57,27.38,26.49,27.33,2006642.0
2016-02-25,27.47,27.5692,26.91,27.38,1789607.0
2016-02-26,27.52,27.56,27.2,27.2,1891516.0
