Date,Open,High,Low,Close,Volume
2016-01-04,145.17,145.605,143.46,144.86,443472.0
2016-01-04,145.17,145.605,143.46,144.86,443472.0
2016-01-04,145.17,145.605,143.46,144.86,443472.0
2016-01-04,145.17,145.605,143.46,144.86,443472.0
2016-01-05,145.14,147.04,144.155,146.54,492504.0
2016-01-06,146.25,147.55,146.0,147.44,273790.0
2016-01-07,145.29,146.55200000000002,144.95,145.03,316601.0
2016-01-08,145.72,146.38,144.6,145.27,502605.0
2016-01-09,145.72,146.38,144.6,145.27,502605.0
2016-01-10,145.72,146.38,144.6,145.27,502605.0
2016-01-11,145.84,147.105,145.29,146.24,335139.0
2016-01-12,147.38,147.38,145.26,146.41,399346.0
2016-01-13,146.65,148.27,145.74,146.81,573644.0
2016-01-14,147.13,148.49,146.53,147.05,377825.0
2016-01-15,146.32,147.48,144.4184,146.74,422536.0
2016-01-16,146.32,147.48,144.4184,146.74,422536.0
2016-01-17,146.32,147.48,144.4184,146.74,422536.0
2016-01-18,146.32,147.48,144.4184,146.74,422536.0
2016-01-19,147.25,149.2999,147.12,148.34,500667.0
2016-01-20,147.22,147.83,141.814,145.51,459215.0
2016-01-21,146.25,148.14,144.97,145.72,478008.0
2016-01-22,147.48,151.24,146.75,150.29,365278.0
2016-01-23,147.48,151.24,146.75,150.29,365278.0
2016-01-24,147.48,151.24,146.75,150.29,365278.0
2016-01-25,149.28,150.53,147.09,148.86,908898.0
2016-01-26,148.89,150.49,148.56,150.15,893619.0
2016-01-27,150.05,150.05,147.08,148.09,609725.0
2016-01-28,148.19,149.42,146.5,147.83,642068.0
2016-01-29,148.9,151.99,148.02,150.83,14539241.0
2016-01-30,148.9,151.99,148.02,150.83,14539241.0
2016-01-31,148.9,151.99,148.02,150.83,14539241.0
2016-02-01,151.0,153.32,150.265,151.98,953574.0
2016-02-02,152.09,152.93,149.03,150.41,715707.0
2016-02-03,150.97,152.89,149.99,152.34,620942.0
2016-02-04,151.53,152.835,150.14,151.49,497210.0
2016-02-05,150.68,151.37,149.85,150.71,623404.0
2016-02-06,150.68,151.37,149.85,150.71,623404.0
2016-02-07,150.68,151.37,149.85,150.71,623404.0
2016-02-08,149.08,149.63,145.01,147.24,488250.0
2016-02-09,146.12,148.44,145.06,146.77,678078.0
2016-02-10,146.0,148.7,143.705,146.7,694119.0
2016-02-11,144.83,146.21,144.47,144.82,513947.0
2016-02-12,147.09,148.04,143.66,144.89,666702.0
