Date,Open,High,Low,Close,Volume
2016-01-04,56.84,57.48,56.66,57.46,4257504.0
2016-01-04,56.84,57.48,56.66,57.46,4257504.0
2016-01-04,56.84,57.48,56.66,57.46,4257504.0
2016-01-04,56.84,57.48,56.66,57.46,4257504.0
2016-01-05,57.68,57.91,56.955,57.2,3647950.0
2016-01-06,56.8,57.2,56.5,56.73,4709058.0
2016-01-07,55.7,55.96,54.915,55.11,5417372.0
2016-01-08,55.17,55.94,55.06,55.29,4295844.0
2016-01-09,55.17,55.94,55.06,55.29,4295844.0
2016-01-10,55.17,55.94,55.06,55.29,4295844.0
2016-01-11,55.39,56.04,55.32,55.91,4831403.0
2016-01-12,56.21,56.45,55.82,56.37,3511264.0
2016-01-13,56.49,56.54,55.1817,55.3,4001836.0
2016-01-14,55.34,55.635,55.1,55.35,4465141.0
2016-01-15,54.27,54.91,54.165,54.74,6695455.0
2016-01-16,54.27,54.91,54.165,54.74,6695455.0
2016-01-17,54.27,54.91,54.165,54.74,6695455.0
2016-01-18,54.27,54.91,54.165,54.74,6695455.0
2016-01-19,55.3,55.63,55.11,55.42,4203721.0
2016-01-20,54.77,55.14,53.7,54.56,4257634.0
2016-01-21,54.59,54.78,53.53,54.12,4911850.0
2016-01-22,54.76,55.54,54.3,55.33,3452173.0
2016-01-23,54.76,55.54,54.3,55.33,3452173.0
2016-01-24,54.76,55.54,54.3,55.33,3452173.0
2016-01-25,55.28,55.325,54.72,54.8,2848029.0
2016-01-26,54.86,55.48,54.86,55.13,2716633.0
2016-01-27,55.26,55.595,54.64,54.94,2553549.0
2016-01-28,55.35,55.699,54.98,55.21,3283964.0
2016-01-29,55.21,56.62,55.21,56.51,4407670.0
2016-01-30,55.21,56.62,55.21,56.51,4407670.0
2016-01-31,55.21,56.62,55.21,56.51,4407670.0
2016-02-01,56.56,56.9,56.27,56.67,2415748.0
2016-02-02,56.12,56.38,55.66,55.8,3177740.0
2016-02-03,55.94,56.21,55.16,55.67,3277481.0
2016-02-04,55.38,55.51,54.84,55.12,3089132.0
2016-02-05,55.12,55.52,54.91,55.37,3245280.0
2016-02-06,55.12,55.52,54.91,55.37,3245280.0
