Date,Open,High,Low,Close,Volume
2016-01-04,24.12,25.61,23.86,25.51,10019411.0
2016-01-04,24.12,25.61,23.86,25.51,10019411.0
2016-01-04,24.12,25.61,23.86,25.51,10019411.0
2016-01-04,24.12,25.61,23.86,25.51,10019411.0
2016-01-05,25.55,26.43,25.425,26.28,11496806.0
2016-01-06,25.91,26.28,25.07,25.29,6894747.0
2016-01-07,24.85,26.8,24.81,26.74,11841669.0
2016-01-08,25.04,25.29,22.63,22.91,17615660.0
2016-01-09,25.04,25.29,22.63,22.91,17615660.0
2016-01-10,25.04,25.29,22.63,22.91,17615660.0
2016-01-11,23.01,23.04,22.35,22.68,10141008.0
2016-01-12,22.85,23.215,22.37,22.85,6084667.0
2016-01-13,22.96,23.21,22.435,22.48,5359755.0
2016-01-14,22.46,23.63,22.2631,23.22,7369163.0
2016-01-15,22.62,23.71,22.62,23.26,8099014.0
2016-01-16,22.62,23.71,22.62,23.26,8099014.0
2016-01-17,22.62,23.71,22.62,23.26,8099014.0
2016-01-18,22.62,23.71,22.62,23.26,8099014.0
2016-01-19,23.1,23.35,22.38,22.7,5368191.0
2016-01-20,22.36,22.79,21.57,22.45,5914335.0
2016-01-21,22.61,23.23,22.47,23.0,5490355.0
2016-01-22,23.34,23.695,23.0,23.66,5186422.0
2016-01-23,23.34,23.695,23.0,23.66,5186422.0
2016-01-24,23.34,23.695,23.0,23.66,5186422.0
2016-01-25,23.77,24.09,22.94,23.06,6190747.0
2016-01-26,23.09,24.2,23.04,23.89,5627965.0
2016-01-27,23.75,24.29,23.46,23.76,4132937.0
2016-01-28,24.12,24.21,23.75,24.01,3274560.0
2016-01-29,24.26,24.805,24.06,24.72,5833519.0
2016-01-30,24.26,24.805,24.06,24.72,5833519.0
2016-01-31,24.26,24.805,24.06,24.72,5833519.0
2016-02-01,24.49,24.86,24.15,24.74,5387780.0
2016-02-02,24.5,25.06,24.05,24.29,5907423.0
2016-02-03,24.48,24.69,23.79,24.45,5943476.0
2016-02-04,23.87,24.43,23.67,23.9,7390349.0
2016-02-05,23.82,24.03,23.13,23.77,6167054.0
2016-02-06,23.82,24.03,23.13,23.77,6167054.0
2016-02-07,23.82,24.03,23.13,23.77,6167054.0
2016-02-08,23.39,24.08,23.33,23.99,8499200.0
2016-02-09,23.87,24.76,23.07,23.27,8994130.0
2016-02-10,23.52,23.6,22.4,22.55,8437070.0
2016-02-11,22.23,22.78,22.03,22.43,5086315.0
2016-02-12,22.68,23.77,22.58,23.73,3932170.0
2016-02-13,22.68,23.77,22.58,23.73,3932170.0
2016-02-14,22.68,23.77,22.58,23.73,3932170.0
2016-02-15,22.68,23.77,22.58,23.73,3932170.0
2016-02-16,24.02,24.535,23.3975,24.52,6177496.0
2016-02-17,24.7,25.75,24.655,25.45,6088232.0
2016-02-18,25.53,26.19,25.01,26.18,5542740.0
2016-02-19,25.75,26.45,25.16,26.24,6610494.0
2016-02-20,25.75,26.45,25.16,26.24,6610494.0
2016-02-21,25.75,26.45,25.16,26.24,6610494.0
2016-02-22,26.39,27.27,26.37,27.06,5651007.0
2016-02-23,27.02,27.515,26.81,27.26,4402456.0
2016-02-24,26.9,27.51,26.33,27.28,9700951.0
2016-02-25,27.18,27.69,26.64,27.6,8374313.0
2016-02-26,27.1,27.94,26.2,27.23,9843466.0
2016-02-27,27.1,27.94,26.2,27.23,9843466.0
2016-02-28,27.1,27.94,26.2,27.23,9843466.0
2016-02-29,27.31,27.91,27.15,27.65,6480154.0
2016-03-01,27.71,28.25,27.7,28.16,5577183.0
2016-03-02,28.2,28.37,27.93,28.37,4126185.0
2016-03-03,28.29,28.58,27.99,28.54,4738261.0
2016-03-04,28.59,29.94,28.55,29.29,8510874.0
2016-03-05,28.59,29.94,28.55,29.29,8510874.0
2016-03-06,28.59,29.94,28.55,29.29,8510874.0
2016-03-07,28.98,30.17,28.95,29.44,7224351.0
2016-03-08,29.78,30.309,29.59,29.68,10313070.0
2016-03-09,29.89,30.09,29.49,29.7,4250301.0
2016-03-10,29.92,30.25,29.14,29.59,6024500.0
2016-03-11,30.04,30.23,29.65,30.17,4674884.0
2016-03-12,30.04,30.23,29.65,30.17,4674884.0
2016-03-13,30.04,30.23,29.65,30.17,4674884.0
2016-03-14,30.03,30.39,29.94,30.18,2943865.0
2016-03-15,30.07,30.17,29.06,29.71,7417579.0
2016-03-16,28.75,29.36,28.65,29.28,5996614.0
2016-03-17,29.34,29.96,29.24,29.9,4222539.0
2016-03-18,30.04,30.49,29.94,30.39,9182434.0
2016-03-19,30.04,30.49,29.94,30.39,9182434.0
2016-03-20,30.04,30.49,29.94,30.39,9182434.0
2016-03-21,30.32,30.39,29.68,29.83,3286496.0
2016-03-22,29.82,29.92,29.04,29.08,6690699.0
2016-03-23,29.17,29.17,28.65,28.72,4046987.0
2016-03-24,28.73,28.795,28.23,28.76,4748568.0
2016-03-25,28.73,28.795,28.23,28.76,4748568.0
2016-03-26,28.73,28.795,28.23,28.76,4748568.0
2016-03-27,28.73,28.795,28.23,28.76,4748568.0
2016-03-28,28.94,29.33,28.86,29.03,3341704.0
2016-03-29,29.08,29.585,28.88,29.51,4454102.0
2016-03-30,29.71,29.91,29.465,29.66,4846879.0
2016-03-31,29.78,30.0,29.325,29.4,5400716.0
2016-04-01,29.24,29.615,29.03,29.46,4944857.0
2016-04-02,29.24,29.615,29.03,29.46,4944857.0
2016-04-03,29.24,29.615,29.03,29.46,4944857.0
2016-04-04,29.69,30.1,29.35,29.52,6045074.0
2016-04-05,29.35,29.45,28.675,28.69,5401216.0
2016-04-06,28.76,29.0975,28.44,28.86,4532110.0
2016-04-07,28.61,28.86,27.6,27.68,10287411.0
2016-04-08,25.59,25.7,23.51,23.85,33024607.0
2016-04-09,25.59,25.7,23.51,23.85,33024607.0
2016-04-10,25.59,25.7,23.51,23.85,33024607.0
2016-04-11,24.0,24.55,23.5342,23.98,11029321.0
2016-04-12,23.94,23.99,23.24,23.58,9254903.0
2016-04-13,23.74,24.06,23.68,23.93,4806230.0
2016-04-14,23.72,23.89,23.47,23.71,3951024.0
2016-04-15,23.74,24.04,23.58,23.91,4915518.0
2016-04-16,23.74,24.04,23.58,23.91,4915518.0
2016-04-17,23.74,24.04,23.58,23.91,4915518.0
2016-04-18,23.77,23.94,23.4,23.88,3623891.0
2016-04-19,24.0,24.11,23.67,23.96,5054874.0
2016-04-20,24.03,24.38,23.94,24.06,4508686.0
2016-04-21,24.16,24.27,23.75,23.83,3138986.0
2016-04-22,23.77,24.04,23.75,23.96,2778981.0
2016-04-23,23.77,24.04,23.75,23.96,2778981.0
2016-04-24,23.77,24.04,23.75,23.96,2778981.0
2016-04-25,23.82,23.91,23.27,23.41,3482767.0
2016-04-26,23.46,23.88,23.16,23.87,3796909.0
2016-04-27,23.53,24.02,23.25,23.97,3469111.0
2016-04-28,23.85,23.91,23.48,23.53,3897098.0
2016-04-29,23.53,23.53,23.0,23.18,3821572.0
2016-04-30,23.53,23.53,23.0,23.18,3821572.0
2016-05-01,23.53,23.53,23.0,23.18,3821572.0
2016-05-02,23.1,23.21,22.7,22.98,6291121.0
2016-05-03,22.85,22.89,22.42,22.63,6077366.0
2016-05-04,22.48,22.9,22.44,22.74,4847979.0
2016-05-05,22.46,22.5,21.69,21.87,7822063.0
2016-05-06,21.725,21.78,21.11,21.67,9943942.0
2016-05-07,21.725,21.78,21.11,21.67,9943942.0
2016-05-08,21.725,21.78,21.11,21.67,9943942.0
2016-05-09,21.7,22.14,21.7,21.81,5298414.0
2016-05-10,19.49,19.66,18.98,19.3,30921496.0
2016-05-11,19.12,19.43,18.55,18.58,10068937.0
2016-05-12,18.12,18.58,17.63,17.86,14378671.0
2016-05-13,17.61,18.3,17.335,17.62,10112740.0
2016-05-14,17.61,18.3,17.335,17.62,10112740.0
2016-05-15,17.61,18.3,17.335,17.62,10112740.0
2016-05-16,17.57,17.88,17.475,17.55,9483547.0
2016-05-17,17.57,17.7,17.24,17.33,6758820.0
2016-05-18,17.18,17.25,17.0,17.09,6182372.0
2016-05-19,17.31,17.49,17.0,17.28,10315680.0
2016-05-20,17.41,18.1,17.31,18.01,15192082.0
2016-05-21,17.41,18.1,17.31,18.01,15192082.0
2016-05-22,17.41,18.1,17.31,18.01,15192082.0
2016-05-23,18.02,18.67,17.94,18.41,17568438.0
2016-05-24,18.53,18.73,18.0,18.09,9349164.0
2016-05-25,18.15,18.35,18.09,18.28,8227517.0
2016-05-26,18.44,18.48,18.015,18.06,5917983.0
2016-05-27,18.1,18.28,18.01,18.13,5016316.0
2016-05-28,18.1,18.28,18.01,18.13,5016316.0
2016-05-29,18.1,18.28,18.01,18.13,5016316.0
2016-05-30,18.1,18.28,18.01,18.13,5016316.0
2016-05-31,18.23,18.2955,17.72,17.99,11231366.0
2016-06-01,17.94,18.1989,17.73,17.87,9361019.0
2016-06-02,17.88,18.48,17.87,18.33,9341783.0
2016-06-03,19.0,19.43,18.7,19.09,10801762.0
2016-06-04,19.0,19.43,18.7,19.09,10801762.0
2016-06-05,19.0,19.43,18.7,19.09,10801762.0
2016-06-06,19.02,19.22,18.83,19.05,6140681.0
2016-06-07,19.15,19.57,19.06,19.42,5342824.0
2016-06-08,19.53,19.59,19.3,19.53,4373282.0
2016-06-09,19.46,19.46,19.0,19.31,4508347.0
2016-06-10,18.82,19.04,18.56,18.92,4416058.0
2016-06-11,18.82,19.04,18.56,18.92,4416058.0
2016-06-12,18.82,19.04,18.56,18.92,4416058.0
2016-06-13,18.92,19.1299,18.77,18.91,4813151.0
2016-06-14,18.82,19.21,18.69,19.01,5042534.0
2016-06-15,19.08,19.79,19.05,19.33,5391502.0
2016-06-16,19.15,19.39,18.935,19.34,4648677.0
2016-06-17,19.39,20.43,19.38,20.13,10633114.0
2016-06-18,19.39,20.43,19.38,20.13,10633114.0
2016-06-19,19.39,20.43,19.38,20.13,10633114.0
2016-06-20,20.37,21.04,20.34,20.72,14453100.0
2016-06-21,20.7,20.7,20.2403,20.55,5652050.0
2016-06-22,20.7,20.98,20.58,20.61,4132888.0
2016-06-23,20.88,21.07,20.78,20.93,4463819.0
