Date,Open,High,Low,Close,Volume
2016-01-04,92.75,93.13,89.62,93.11,883566.0
2016-01-04,92.75,93.13,89.62,93.11,883566.0
2016-01-04,92.75,93.13,89.62,93.11,883566.0
2016-01-04,92.75,93.13,89.62,93.11,883566.0
2016-01-05,97.43,98.37,92.34,96.0,1754464.0
2016-01-06,94.19,95.56,91.861,93.04,1252219.0
2016-01-07,91.08,92.2399,87.21,87.24,1331154.0
2016-01-08,88.11,89.693,85.22,85.5,1133831.0
2016-01-09,88.11,89.693,85.22,85.5,1133831.0
2016-01-10,88.11,89.693,85.22,85.5,1133831.0
2016-01-11,85.64,86.53,83.39,85.92,882524.0
2016-01-12,87.1,88.38,84.8,86.29,713343.0
2016-01-13,86.62,87.015,82.4003,82.85,851658.0
2016-01-14,82.97,83.11,77.7,82.21,1714799.0
2016-01-15,79.55,80.64,76.88,77.93,1326043.0
2016-01-16,79.55,80.64,76.88,77.93,1326043.0
2016-01-17,79.55,80.64,76.88,77.93,1326043.0
2016-01-18,79.55,80.64,76.88,77.93,1326043.0
2016-01-19,79.36,79.36,74.83,75.69,1241999.0
2016-01-20,73.61,76.17,71.58,75.43,1658286.0
2016-01-21,76.19,78.01,74.46,76.32,1144870.0
2016-01-22,78.42,79.7,76.57,78.17,991622.0
2016-01-23,78.42,79.7,76.57,78.17,991622.0
2016-01-24,78.42,79.7,76.57,78.17,991622.0
2016-01-25,77.67,80.2,77.07,77.85,1228586.0
2016-01-26,78.32,81.47,78.22,80.63,1579790.0
2016-01-27,80.02,81.62,78.79,79.73,1959843.0
2016-01-28,80.3,82.11,66.38,69.01,4576832.0
2016-01-29,69.16,74.96,69.15,74.39,2667725.0
2016-01-30,69.16,74.96,69.15,74.39,2667725.0
2016-01-31,69.16,74.96,69.15,74.39,2667725.0
2016-02-01,73.13,73.74,71.06,73.53,2378260.0
2016-02-02,72.9,73.73,69.96,70.25,1941950.0
2016-02-03,71.22,71.92,67.6,70.99,1202528.0
2016-02-04,70.2,72.53,69.0,72.08,787202.0
2016-02-05,71.67,72.87,70.53,70.69,904115.0
