Date,Open,High,Low,Close,Volume
2016-01-04,48.4,49.85,47.57,48.18,3273644.0
2016-01-04,48.4,49.85,47.57,48.18,3273644.0
2016-01-04,48.4,49.85,47.57,48.18,3273644.0
2016-01-04,48.4,49.85,47.57,48.18,3273644.0
2016-01-05,47.68,48.12,46.63,48.07,3143547.0
2016-01-06,46.68,46.77,44.86,45.07,7968410.0
2016-01-07,44.0,45.51,43.49,43.62,4562906.0
2016-01-08,43.93,44.42,42.86,43.58,3851901.0
2016-01-09,43.93,44.42,42.86,43.58,3851901.0
2016-01-10,43.93,44.42,42.86,43.58,3851901.0
2016-01-11,43.55,43.77,41.3,41.69,6021483.0
2016-01-12,42.49,42.82,38.8,39.6,6290855.0
2016-01-13,40.19,41.05,38.22,38.59,7042962.0
2016-01-14,38.88,40.5399,38.47,39.96,7968411.0
2016-01-15,38.0,39.21,37.71,38.72,6923601.0
2016-01-16,38.0,39.21,37.71,38.72,6923601.0
2016-01-17,38.0,39.21,37.71,38.72,6923601.0
2016-01-18,38.0,39.21,37.71,38.72,6923601.0
2016-01-19,38.97,39.26,35.72,36.53,6149485.0
2016-01-20,35.77,35.77,32.405,35.21,10518873.0
2016-01-21,35.07,37.95,35.0,37.62,7468059.0
2016-01-22,39.41,39.95,36.8,38.33,7601029.0
2016-01-23,39.41,39.95,36.8,38.33,7601029.0
2016-01-24,39.41,39.95,36.8,38.33,7601029.0
2016-01-25,37.16,37.84,34.28,34.38,10089982.0
2016-01-26,35.12,35.98,34.55,34.81,8791053.0
2016-01-27,34.97,39.66,34.02,36.85,11428661.0
2016-01-28,40.59,41.99,39.05,40.34,9889030.0
2016-01-29,40.83,42.66,40.52,42.5,8134506.0
2016-01-30,40.83,42.66,40.52,42.5,8134506.0
2016-01-31,40.83,42.66,40.52,42.5,8134506.0
2016-02-01,41.38,42.26,40.8,41.76,6181662.0
2016-02-02,40.57,40.57,38.77,39.36,7280418.0
2016-02-03,40.27,43.02,38.97,42.99,10060209.0
2016-02-04,43.38,45.16,42.53,43.47,10120110.0
2016-02-05,38.7,39.3,38.0,38.02,40193400.0
2016-02-06,38.7,39.3,38.0,38.02,40193400.0
2016-02-07,38.7,39.3,38.0,38.02,40193400.0
2016-02-08,37.23,39.12,37.0,38.99,14543522.0
