Date,Open,High,Low,Close,Volume
2016-01-04,44.69,45.54,44.2,45.52,2705977.0
2016-01-04,44.69,45.54,44.2,45.52,2705977.0
2016-01-04,44.69,45.54,44.2,45.52,2705977.0
2016-01-04,44.69,45.54,44.2,45.52,2705977.0
2016-01-05,45.74,46.38,44.97,45.29,2392263.0
2016-01-06,44.63,44.9,42.89,43.4,5167176.0
2016-01-07,42.74,43.89,42.51,43.13,3936036.0
2016-01-08,43.44,44.08,43.1,43.75,4740244.0
2016-01-09,43.44,44.08,43.1,43.75,4740244.0
2016-01-10,43.44,44.08,43.1,43.75,4740244.0
2016-01-11,43.43,43.85,41.89,42.9,3911654.0
2016-01-12,43.4,43.6395,41.85,42.35,3640140.0
2016-01-13,42.5,43.05,41.71,41.8,4957978.0
2016-01-14,41.75,42.21,40.9,41.97,2480069.0
2016-01-15,40.75,40.9,39.38,40.44,5218228.0
2016-01-16,40.75,40.9,39.38,40.44,5218228.0
2016-01-17,40.75,40.9,39.38,40.44,5218228.0
2016-01-18,40.75,40.9,39.38,40.44,5218228.0
2016-01-19,40.94,41.03,40.02,40.66,2409892.0
2016-01-20,39.99,40.44,38.88,39.91,3526081.0
2016-01-21,40.04,41.37,39.59,40.67,3149141.0
2016-01-22,41.33,41.5,40.12,40.73,3114923.0
2016-01-23,41.33,41.5,40.12,40.73,3114923.0
2016-01-24,41.33,41.5,40.12,40.73,3114923.0
2016-01-25,40.88,41.43,39.9,40.09,3119667.0
2016-01-26,39.57,39.62,38.14,38.55,7167481.0
2016-01-27,38.51,39.12,37.18,37.49,8610448.0
2016-01-28,40.67,41.17,36.36,38.92,10967062.0
2016-01-29,39.29,40.36,38.13,40.0,5470249.0
2016-01-30,39.29,40.36,38.13,40.0,5470249.0
2016-01-31,39.29,40.36,38.13,40.0,5470249.0
2016-02-01,39.86,40.35,39.12,40.13,3584092.0
2016-02-02,39.77,39.7995,38.67,39.5,2809605.0
2016-02-03,39.87,40.17,38.74,39.85,3531086.0
2016-02-04,39.91,41.61,39.88,41.25,5008498.0
2016-02-05,41.2,41.41,40.58,40.97,2824616.0
2016-02-06,41.2,41.41,40.58,40.97,2824616.0
2016-02-07,41.2,41.41,40.58,40.97,2824616.0
2016-02-08,40.25,40.72,38.5,39.3,3291833.0
2016-02-09,38.71,39.0,37.85,38.71,3149742.0
2016-02-10,39.03,39.615,38.8,38.99,2235489.0
2016-02-11,38.36,38.6,37.9101,38.12,3768292.0
2016-02-12,38.11,38.75,36.97,38.72,3337266.0
2016-02-13,38.11,38.75,36.97,38.72,3337266.0
2016-02-14,38.11,38.75,36.97,38.72,3337266.0
2016-02-15,38.11,38.75,36.97,38.72,3337266.0
2016-02-16,39.32,39.7407,39.09,39.7,2516944.0
2016-02-17,40.13,41.64,40.13,41.37,2622055.0
2016-02-18,41.6,41.85,41.19,41.61,2017354.0
2016-02-19,41.43,42.085,41.3,42.0,2506338.0
2016-02-20,41.43,42.085,41.3,42.0,2506338.0
2016-02-21,41.43,42.085,41.3,42.0,2506338.0
2016-02-22,42.56,43.29,42.24,42.96,2485419.0
2016-02-23,42.64,42.83,41.94,42.22,1626675.0
2016-02-24,41.78,42.25,40.91,42.14,1713071.0
2016-02-25,42.16,43.32,41.77,43.32,1545364.0
2016-02-26,43.56,43.91,43.29,43.38,1589195.0
2016-02-27,43.56,43.91,43.29,43.38,1589195.0
2016-02-28,43.56,43.91,43.29,43.38,1589195.0
2016-02-29,43.33,43.65,42.99,43.17,1981618.0
2016-03-01,43.76,44.18,43.3,44.07,1656350.0
2016-03-02,44.32,45.17,44.02,44.92,2359474.0
2016-03-03,44.97,46.57,44.69,46.51,2105791.0
2016-03-04,46.31,47.14,45.865,46.76,2141751.0
2016-03-05,46.31,47.14,45.865,46.76,2141751.0
2016-03-06,46.31,47.14,45.865,46.76,2141751.0
2016-03-07,46.35,47.62,46.3,46.93,2706078.0
2016-03-08,46.72,47.23,46.465,46.86,3014651.0
2016-03-09,47.02,48.0,46.53,47.54,2106026.0
2016-03-10,47.75,47.94,47.02,47.63,1593804.0
2016-03-11,48.01,49.42,47.96,48.93,2366242.0
2016-03-12,48.01,49.42,47.96,48.93,2366242.0
2016-03-13,48.01,49.42,47.96,48.93,2366242.0
2016-03-14,48.89,48.96,48.15,48.39,1978094.0
2016-03-15,48.16,48.21,46.97,47.35,2632879.0
2016-03-16,47.32,48.95,47.01,48.56,3163907.0
2016-03-17,48.71,48.96,47.96,48.73,3260076.0
2016-03-18,48.86,49.83,48.8,49.6,4571969.0
2016-03-19,48.86,49.83,48.8,49.6,4571969.0
2016-03-20,48.86,49.83,48.8,49.6,4571969.0
2016-03-21,49.32,49.9858,49.3,49.75,1689544.0
2016-03-22,49.32,49.75,48.7488,49.66,1924968.0
2016-03-23,49.52,49.725,48.29,48.37,2041967.0
2016-03-24,48.04,48.04,47.175,47.86,1938905.0
2016-03-25,48.04,48.04,47.175,47.86,1938905.0
2016-03-26,48.04,48.04,47.175,47.86,1938905.0
2016-03-27,48.04,48.04,47.175,47.86,1938905.0
2016-03-28,48.0,48.68,47.86,48.31,1525920.0
2016-03-29,48.07,49.31,48.06,49.22,2084054.0
2016-03-30,49.5,50.03,49.08,49.48,2729475.0
2016-03-31,49.54,51.54,49.4,51.33,5289576.0
2016-04-01,51.14,51.96,50.66,51.66,2442990.0
2016-04-02,51.14,51.96,50.66,51.66,2442990.0
2016-04-03,51.14,51.96,50.66,51.66,2442990.0
2016-04-04,51.65,52.0,51.17,51.22,1702707.0
2016-04-05,50.65,51.03,49.77,49.84,3923622.0
2016-04-06,47.72,47.75,45.13,46.34,10542550.0
2016-04-07,45.25,46.28,44.415,44.5,5681968.0
2016-04-08,44.88,45.47,44.37,44.62,2635478.0
2016-04-09,44.88,45.47,44.37,44.62,2635478.0
2016-04-10,44.88,45.47,44.37,44.62,2635478.0
2016-04-11,44.89,46.22,44.89,45.23,2299238.0
