Date,Open,High,Low,Close,Volume
2016-01-04,101.62,102.64,100.99,102.57,3340979.0
2016-01-04,101.62,102.64,100.99,102.57,3340979.0
2016-01-04,101.62,102.64,100.99,102.57,3340979.0
2016-01-04,101.62,102.64,100.99,102.57,3340979.0
2016-01-05,102.64,103.59,102.27,103.41,2553649.0
2016-01-06,102.14,102.5,101.48,102.24,2321637.0
2016-01-07,100.54,101.11,98.71,99.23,3420456.0
2016-01-08,99.92,100.34,98.18,98.43,4027218.0
2016-01-09,99.92,100.34,98.18,98.43,4027218.0
2016-01-10,99.92,100.34,98.18,98.43,4027218.0
2016-01-11,98.82,99.4181,97.44,98.42,3130669.0
2016-01-12,99.24,99.59,97.82700000000001,99.17,3146672.0
2016-01-13,99.75,99.9,96.72,97.1,2983331.0
2016-01-14,97.34,99.48,96.52,98.74,5453945.0
2016-01-15,96.31,97.59,95.9,97.26,4814059.0
2016-01-16,96.31,97.59,95.9,97.26,4814059.0
2016-01-17,96.31,97.59,95.9,97.26,4814059.0
2016-01-18,96.31,97.59,95.9,97.26,4814059.0
2016-01-19,98.42,98.55,96.21,97.33,3735593.0
2016-01-20,95.49,96.89,93.7094,96.24,4965520.0
2016-01-21,96.82,97.64,95.89,96.58,3042195.0
2016-01-22,98.14,98.53,96.77,97.82,3190325.0
2016-01-23,98.14,98.53,96.77,97.82,3190325.0
2016-01-24,98.14,98.53,96.77,97.82,3190325.0
2016-01-25,97.58,97.72,96.37,96.48,2431721.0
2016-01-26,96.75,98.64,96.39,98.51,3257783.0
2016-01-27,97.77,98.78,96.32,96.96,5059649.0
2016-01-28,97.92,98.55,97.1,97.97,4498534.0
2016-01-29,100.99,103.43,99.88,103.2,6638889.0
2016-01-30,100.99,103.43,99.88,103.2,6638889.0
2016-01-31,100.99,103.43,99.88,103.2,6638889.0
2016-02-01,102.2,103.2,100.68,102.88,5394074.0
2016-02-02,101.8,101.8,100.09,100.66,3816291.0
2016-02-03,101.45,102.28,99.42,102.16,3758733.0
2016-02-04,101.69,103.72,101.62,102.55,5039900.0
2016-02-05,102.66,102.76,101.22,102.13,3669710.0
2016-02-06,102.66,102.76,101.22,102.13,3669710.0
2016-02-07,102.66,102.76,101.22,102.13,3669710.0
2016-02-08,101.0,101.64,99.881,101.53,3449926.0
2016-02-09,100.24,103.55,100.24,102.72,3707456.0
2016-02-10,103.14,104.57,102.465,102.6,4040779.0
2016-02-11,100.41,102.31,99.93,101.54,5051314.0
2016-02-12,102.68,103.78,101.9,103.48,4443765.0
2016-02-13,102.68,103.78,101.9,103.48,4443765.0
2016-02-14,102.68,103.78,101.9,103.48,4443765.0
2016-02-15,102.68,103.78,101.9,103.48,4443765.0
2016-02-16,104.47,106.0,104.1575,104.95,5281632.0
2016-02-17,105.39,106.6,105.27,106.13,6038303.0
2016-02-18,105.93,107.06,105.73,106.47,4095222.0
2016-02-19,106.14,107.52,105.4,107.27,4425047.0
2016-02-20,106.14,107.52,105.4,107.27,4425047.0
2016-02-21,106.14,107.52,105.4,107.27,4425047.0
2016-02-22,108.0,111.86,104.65,105.17,15117589.0
2016-02-23,104.31,105.8,103.17,103.64,7837358.0
2016-02-24,102.33,103.73,101.25,103.3,6761693.0
2016-02-25,103.62,104.26,103.04,104.19,4840650.0
2016-02-26,104.09,104.53,102.71,103.03,7908317.0
2016-02-27,104.09,104.53,102.71,103.03,7908317.0
2016-02-28,104.09,104.53,102.71,103.03,7908317.0
2016-02-29,102.59,103.49,101.28,101.35,5567822.0
2016-03-01,103.61,105.87,103.3,105.87,8222394.0
2016-03-02,105.8,107.66,105.38,106.49,4202645.0
2016-03-03,106.6,108.21,106.2,107.98,5307299.0
2016-03-04,107.85,108.94,107.66,108.15,2949849.0
2016-03-05,107.85,108.94,107.66,108.15,2949849.0
2016-03-06,107.85,108.94,107.66,108.15,2949849.0
2016-03-07,107.82,108.24,106.61,107.47,3882945.0
2016-03-08,106.5,107.77,106.09,107.58,3096326.0
2016-03-09,107.78,108.95,107.76,108.93,3562156.0
2016-03-10,109.05,109.33,107.27,108.36,3139296.0
2016-03-11,109.61,109.89,108.64,109.03,2798153.0
2016-03-12,109.61,109.89,108.64,109.03,2798153.0
2016-03-13,109.61,109.89,108.64,109.03,2798153.0
2016-03-14,108.71,109.49,108.5,108.51,2784737.0
2016-03-15,107.78,108.78,107.58,108.68,2021387.0
2016-03-16,108.59,109.66,108.1,109.23,2653039.0
2016-03-17,109.67,111.35,108.58,111.02,4211354.0
2016-03-18,111.59,112.14,110.98,112.1,5403214.0
2016-03-19,111.59,112.14,110.98,112.1,5403214.0
2016-03-20,111.59,112.14,110.98,112.1,5403214.0
2016-03-21,111.74,112.78,111.56,112.68,2893019.0
2016-03-22,111.98,113.47,111.83,112.98,3119215.0
2016-03-23,112.47,112.73,111.93,112.21,2201322.0
2016-03-24,111.41,111.98,111.0,111.32,2367409.0
2016-03-25,111.41,111.98,111.0,111.32,2367409.0
2016-03-26,111.41,111.98,111.0,111.32,2367409.0
2016-03-27,111.41,111.98,111.0,111.32,2367409.0
2016-03-28,111.52,111.87,111.08,111.6,2134100.0
2016-03-29,111.2,112.19,110.38,111.9,2469584.0
2016-03-30,113.02,113.02,111.92,112.17,2220061.0
2016-03-31,112.11,112.52,111.14,112.05,2498913.0
2016-04-01,111.5,113.45,110.83,113.23,2363174.0
2016-04-02,111.5,113.45,110.83,113.23,2363174.0
2016-04-03,111.5,113.45,110.83,113.23,2363174.0
2016-04-04,113.42,113.42,112.21,112.55,2324981.0
2016-04-05,111.96,112.47,111.33,111.78,3321659.0
2016-04-06,111.81,113.2,111.27,113.06,2509973.0
2016-04-07,112.57,112.61,111.37,111.67,2751117.0
2016-04-08,112.08,112.99,111.69,112.12,2072344.0
2016-04-09,112.08,112.99,111.69,112.12,2072344.0
2016-04-10,112.08,112.99,111.69,112.12,2072344.0
2016-04-11,112.41,112.87,111.9,111.94,2154608.0
2016-04-12,112.09,113.35,112.0,113.03,2099050.0
2016-04-13,113.93,114.95,113.44,114.74,3457805.0
2016-04-14,114.99,114.99,114.19,114.52,1766510.0
2016-04-15,114.42,114.9,114.05,114.63,2093438.0
2016-04-16,114.42,114.9,114.05,114.63,2093438.0
2016-04-17,114.42,114.9,114.05,114.63,2093438.0
2016-04-18,114.6,115.52,114.12,115.46,2586458.0
2016-04-19,115.89,116.56,115.33,115.8,2206978.0
2016-04-20,115.94,115.99,114.9,115.18,2562745.0
2016-04-21,115.31,116.1856,114.71,114.92,2865234.0
2016-04-22,114.0,115.59,112.34,114.17,4900197.0
2016-04-23,114.0,115.59,112.34,114.17,4900197.0
2016-04-24,114.0,115.59,112.34,114.17,4900197.0
2016-04-25,114.0,115.0,112.61,113.25,3662366.0
2016-04-26,113.62,114.95,113.62,114.8,2965714.0
2016-04-27,114.86,115.95,114.42,115.44,3265174.0
2016-04-28,115.12,116.52,114.215,114.62,2988785.0
2016-04-29,114.41,115.01,113.69,114.27,2719446.0
2016-04-30,114.41,115.01,113.69,114.27,2719446.0
2016-05-01,114.41,115.01,113.69,114.27,2719446.0
2016-05-02,114.46,114.87,113.83,114.67,3054128.0
2016-05-03,113.8,114.935,113.68,114.51,2628762.0
2016-05-04,113.65,113.98,112.65100000000001,112.93,3238737.0
2016-05-05,113.28,114.05,113.05,113.62,2999394.0
2016-05-06,113.58,114.0,112.91,113.78,3352023.0
2016-05-07,113.58,114.0,112.91,113.78,3352023.0
2016-05-08,113.58,114.0,112.91,113.78,3352023.0
2016-05-09,113.67,114.0,112.98,113.16,2672829.0
2016-05-10,113.94,115.5,113.25,114.94,2870638.0
2016-05-11,115.0,115.31,113.96,114.11,1718540.0
2016-05-12,114.54,114.785,113.51,114.19,2365190.0
2016-05-13,114.12,114.5,112.86,113.2,2512985.0
2016-05-14,114.12,114.5,112.86,113.2,2512985.0
2016-05-15,114.12,114.5,112.86,113.2,2512985.0
2016-05-16,113.62,115.13,112.99,114.84,2397580.0
2016-05-17,114.1,114.49,113.04,113.63,2495450.0
2016-05-18,113.16,113.8,112.11,112.69,2475978.0
2016-05-19,112.01,112.5625,110.7203,112.32,3026116.0
2016-05-20,112.72,114.09,112.72,113.22,3985634.0
2016-05-21,112.72,114.09,112.72,113.22,3985634.0
2016-05-22,112.72,114.09,112.72,113.22,3985634.0
2016-05-23,113.09,113.39,112.59,112.8,1699775.0
2016-05-24,113.1,114.71,113.01,114.37,2086739.0
2016-05-25,114.59,115.25,114.43,114.72,1590293.0
2016-05-26,114.72,115.28,113.8,114.19,2022650.0
2016-05-27,114.47,114.6,113.9,114.33,1762568.0
2016-05-28,114.47,114.6,113.9,114.33,1762568.0
2016-05-29,114.47,114.6,113.9,114.33,1762568.0
2016-05-30,114.47,114.6,113.9,114.33,1762568.0
2016-05-31,114.28,114.59,113.38,113.83,2980502.0
2016-06-01,113.89,114.14,112.46,113.94,2228713.0
2016-06-02,114.05,114.53,113.54,114.53,2141404.0
2016-06-03,114.75,114.98,113.7296,114.79,2149357.0
2016-06-04,114.75,114.98,113.7296,114.79,2149357.0
2016-06-05,114.75,114.98,113.7296,114.79,2149357.0
2016-06-06,114.98,115.77,114.76,115.54,1872017.0
2016-06-07,115.54,115.88,115.325,115.35,2002504.0
2016-06-08,115.51,116.39,115.3,116.07,2450057.0
2016-06-09,115.57,117.3,115.44,117.21,2657639.0
2016-06-10,117.51,117.51,116.22,116.68,3245312.0
2016-06-11,117.51,117.51,116.22,116.68,3245312.0
2016-06-12,117.51,117.51,116.22,116.68,3245312.0
2016-06-13,116.61,116.64,115.06,115.13,2417609.0
2016-06-14,115.06,115.59,114.56,115.51,2054222.0
2016-06-15,115.97,116.52,115.44,115.52,2884900.0
2016-06-16,114.97,116.01,114.0,115.79,2144361.0
2016-06-17,115.92,116.16,115.17,115.92,3259022.0
2016-06-18,115.92,116.16,115.17,115.92,3259022.0
2016-06-19,115.92,116.16,115.17,115.92,3259022.0
2016-06-20,117.3,118.53,116.63,117.06,2897290.0
2016-06-21,117.48,117.62,116.96,117.3,2319367.0
2016-06-22,117.45,117.81,116.44,116.57,2195565.0
2016-06-23,117.51,117.7,116.635,117.32,2005986.0
2016-06-24,113.5,115.34,112.64,112.98,3663334.0
2016-06-25,113.5,115.34,112.64,112.98,3663334.0
2016-06-26,113.5,115.34,112.64,112.98,3663334.0
2016-06-27,112.07,112.07,110.2,111.46,3893842.0
2016-06-28,113.32,114.1,112.38,114.06,3643957.0
2016-06-29,114.36,114.96,113.18,114.46,4016716.0
2016-06-30,115.0,116.34,114.61,116.32,3377608.0
2016-07-01,116.65,117.62,116.26,116.5,2233049.0
2016-07-02,116.65,117.62,116.26,116.5,2233049.0
2016-07-03,116.65,117.62,116.26,116.5,2233049.0
2016-07-04,116.65,117.62,116.26,116.5,2233049.0
2016-07-05,115.87,116.46,114.67,115.23,2416737.0
2016-07-06,115.48,116.86,114.41,116.82,3098165.0
2016-07-07,116.78,117.16,115.55,116.11,2140476.0
2016-07-08,117.07,118.99,116.93,118.84,2524888.0
2016-07-09,117.07,118.99,116.93,118.84,2524888.0
2016-07-10,117.07,118.99,116.93,118.84,2524888.0
2016-07-11,118.96,119.04,118.12,118.57,2968178.0
2016-07-12,119.01,119.71,118.78,119.02,2298374.0
2016-07-13,119.61,119.8,118.76,119.05,1901394.0
2016-07-14,119.67,120.02,118.9,119.09,2415873.0
2016-07-15,119.67,119.73,118.94,119.23,2254642.0
2016-07-16,119.67,119.73,118.94,119.23,2254642.0
2016-07-17,119.67,119.73,118.94,119.23,2254642.0
2016-07-18,119.23,119.25,118.68,118.89,1248002.0
2016-07-19,118.59,119.43,118.34100000000001,119.35,2182742.0
2016-07-20,119.44,120.0,119.19,119.88,2174323.0
2016-07-21,119.81,120.0,118.3,118.66,4127435.0
2016-07-22,113.65,116.0,112.7,115.61,9167374.0
2016-07-23,113.65,116.0,112.7,115.61,9167374.0
2016-07-24,113.65,116.0,112.7,115.61,9167374.0
2016-07-25,115.07,116.45,115.07,115.49,5400849.0
2016-07-26,115.29,115.955,114.6,115.95,3049691.0
2016-07-27,116.08,116.41,114.603,114.96,3446519.0
2016-07-28,115.0,115.92,114.24,115.76,2977486.0
2016-07-29,115.6,116.5,115.05,116.33,2939758.0
2016-07-30,115.6,116.5,115.05,116.33,2939758.0
2016-07-31,115.6,116.5,115.05,116.33,2939758.0
2016-08-01,115.95,116.34,115.31,115.88,2270469.0
2016-08-02,115.5,115.74,115.04,115.45,2092733.0
2016-08-03,115.46,116.12,115.13,116.01,1989588.0
2016-08-04,116.04,116.59,115.9,115.95,1290269.0
2016-08-05,116.3,116.896,115.9,116.37,2937720.0
2016-08-06,116.3,116.896,115.9,116.37,2937720.0
2016-08-07,116.3,116.896,115.9,116.37,2937720.0
2016-08-08,116.6,116.77,115.71,116.04,2009420.0
2016-08-09,116.23,116.58,115.92,116.26,1663711.0
2016-08-10,116.32,116.5,115.57,116.03,1768140.0
2016-08-11,116.45,116.63,116.08,116.37,1566321.0
2016-08-12,116.15,116.32,115.83,116.1,1364120.0
2016-08-13,116.15,116.32,115.83,116.1,1364120.0
2016-08-14,116.15,116.32,115.83,116.1,1364120.0
2016-08-15,116.5,117.02,116.03,116.84,1848097.0
2016-08-16,116.43,117.45,116.16,116.23,1937811.0
2016-08-17,115.6,115.87,115.08,115.78,1692112.0
2016-08-18,115.61,115.98,115.435,115.86,1776687.0
2016-08-19,115.47,116.245,115.47,116.11,1593511.0
2016-08-20,115.47,116.245,115.47,116.11,1593511.0
2016-08-21,115.47,116.245,115.47,116.11,1593511.0
2016-08-22,115.91,116.94,115.74,116.58,2219156.0
2016-08-23,116.92,117.35,116.85,117.01,1811484.0
2016-08-24,116.8,117.08,116.54,116.76,1724771.0
2016-08-25,116.64,117.23,116.365,116.77,1823607.0
2016-08-26,117.13,117.75,116.37,116.75,1703757.0
2016-08-27,117.13,117.75,116.37,116.75,1703757.0
2016-08-28,117.13,117.75,116.37,116.75,1703757.0
2016-08-29,116.75,117.38,116.51,117.17,2403078.0
2016-08-30,117.2,117.41,116.85,117.02,1946880.0
2016-08-31,116.96,117.13,116.41,116.71,2052672.0
2016-09-01,116.4,116.78,115.14,116.13,2868090.0
2016-09-02,116.26,116.94,115.81,116.39,2474340.0
2016-09-03,116.26,116.94,115.81,116.39,2474340.0
2016-09-04,116.26,116.94,115.81,116.39,2474340.0
2016-09-05,116.26,116.94,115.81,116.39,2474340.0
2016-09-06,116.45,116.59,115.01,115.71,2194169.0
2016-09-07,115.52,115.73,113.73,114.24,3416196.0
2016-09-08,114.0,114.53,113.53,113.82,2704125.0
2016-09-09,112.86,113.35,111.76,112.01,4537804.0
2016-09-10,112.86,113.35,111.76,112.01,4537804.0
2016-09-11,112.86,113.35,111.76,112.01,4537804.0
2016-09-12,111.27,114.01,111.0,113.49,3809035.0
