Date,Open,High,Low,Close,Volume
2016-01-04,14.97,15.15,14.74,15.13,15076835.0
2016-01-04,14.97,15.15,14.74,15.13,15076835.0
2016-01-04,14.97,15.15,14.74,15.13,15076835.0
2016-01-04,14.97,15.15,14.74,15.13,15076835.0
2016-01-05,15.13,15.25,14.94,15.03,10285834.0
2016-01-06,14.62,15.0,14.51,14.8,11315099.0
2016-01-07,14.5,14.56,13.65,13.71,19844532.0
2016-01-08,13.77,14.02,13.31,13.54,16431854.0
2016-01-09,13.77,14.02,13.31,13.54,16431854.0
2016-01-10,13.77,14.02,13.31,13.54,16431854.0
2016-01-11,13.43,13.71,13.07,13.26,15110838.0
2016-01-12,13.35,13.42,13.09,13.26,12458350.0
2016-01-13,13.35,13.35,12.53,12.75,17720765.0
2016-01-14,12.75,13.17,12.65,13.0,13352501.0
2016-01-15,12.6,12.8,12.49,12.54,19729482.0
2016-01-16,12.6,12.8,12.49,12.54,19729482.0
2016-01-17,12.6,12.8,12.49,12.54,19729482.0
2016-01-18,12.6,12.8,12.49,12.54,19729482.0
2016-01-19,12.68,12.78,12.2,12.32,12925129.0
2016-01-20,12.0,12.2,11.625,12.06,16640055.0
2016-01-21,12.0,12.54,11.82,12.41,16728144.0
2016-01-22,12.7,13.43,12.65,13.35,15269821.0
2016-01-23,12.7,13.43,12.65,13.35,15269821.0
2016-01-24,12.7,13.43,12.65,13.35,15269821.0
2016-01-25,13.29,13.55,13.12,13.34,11183427.0
2016-01-26,13.35,13.725,13.35,13.6,10726138.0
2016-01-27,13.53,13.61,12.955,13.39,18484506.0
2016-01-28,13.45,13.7,13.07,13.19,9874424.0
2016-01-29,13.41,13.88,13.35,13.76,11361905.0
2016-01-30,13.41,13.88,13.35,13.76,11361905.0
2016-01-31,13.41,13.88,13.35,13.76,11361905.0
2016-02-01,13.67,13.88,13.53,13.79,9549644.0
2016-02-02,13.7,13.97,13.36,13.45,9677516.0
2016-02-03,13.66,13.77,13.11,13.37,7553022.0
2016-02-04,13.31,13.89,13.31,13.85,6499149.0
2016-02-05,13.69,13.75,13.035,13.2,13227678.0
2016-02-06,13.69,13.75,13.035,13.2,13227678.0
2016-02-07,13.69,13.75,13.035,13.2,13227678.0
2016-02-08,13.0,13.05,12.37,12.51,14815851.0
2016-02-09,12.37,12.86,12.31,12.72,6686490.0
2016-02-10,12.77,13.07,12.71,12.86,5982701.0
2016-02-11,12.57,12.67,12.015,12.4,9834289.0
2016-02-12,12.5,12.79,12.18,12.29,10549410.0
2016-02-13,12.5,12.79,12.18,12.29,10549410.0
2016-02-14,12.5,12.79,12.18,12.29,10549410.0
2016-02-15,12.5,12.79,12.18,12.29,10549410.0
2016-02-16,12.41,12.49,12.27,12.33,11976893.0
2016-02-17,12.39,13.135,12.37,13.02,8665514.0
2016-02-18,13.05,13.7,13.02,13.53,11734114.0
2016-02-19,13.51,13.74,13.25,13.67,9414376.0
2016-02-20,13.51,13.74,13.25,13.67,9414376.0
2016-02-21,13.51,13.74,13.25,13.67,9414376.0
2016-02-22,13.75,13.88,13.57,13.8,10755568.0
2016-02-23,13.72,13.82,12.84,13.09,14646955.0
2016-02-24,13.0,13.57,12.82,13.53,13226774.0
2016-02-25,13.45,13.71,13.24,13.68,12079898.0
2016-02-26,13.78,13.8,13.15,13.44,10824943.0
2016-02-27,13.78,13.8,13.15,13.44,10824943.0
2016-02-28,13.78,13.8,13.15,13.44,10824943.0
2016-02-29,13.31,13.48,13.2,13.27,12722496.0
2016-03-01,13.42,13.47,13.09,13.28,8354199.0
2016-03-02,13.38,14.05,13.35,13.9,10016491.0
2016-03-03,13.91,13.95,13.28,13.6,10011744.0
2016-03-04,14.9,15.84,14.82,15.44,33369625.0
2016-03-05,14.9,15.84,14.82,15.44,33369625.0
2016-03-06,14.9,15.84,14.82,15.44,33369625.0
2016-03-07,15.13,15.99,15.06,15.97,18478215.0
2016-03-08,15.75,15.79,15.205,15.23,12299677.0
2016-03-09,15.34,15.835,15.3,15.49,11068942.0
2016-03-10,15.55,16.21,15.52,15.9,14285129.0
2016-03-11,16.0,16.44,16.0,16.33,15683988.0
2016-03-12,16.0,16.44,16.0,16.33,15683988.0
2016-03-13,16.0,16.44,16.0,16.33,15683988.0
2016-03-14,16.2,16.57,16.04,16.41,9669016.0
2016-03-15,16.36,16.88,16.25,16.77,13934243.0
2016-03-16,16.71,17.23,16.6,17.19,12513970.0
2016-03-17,17.13,17.33,16.96,17.16,10868207.0
2016-03-18,17.17,17.58,17.08,17.33,30962871.0
2016-03-19,17.17,17.58,17.08,17.33,30962871.0
2016-03-20,17.17,17.58,17.08,17.33,30962871.0
2016-03-21,17.33,17.94,17.3,17.71,10729906.0
2016-03-22,17.41,18.08,17.34,17.51,11318505.0
2016-03-23,17.52,17.57,17.09,17.46,11433939.0
2016-03-24,17.41,17.64,17.11,17.57,8869974.0
2016-03-25,17.41,17.64,17.11,17.57,8869974.0
2016-03-26,17.41,17.64,17.11,17.57,8869974.0
2016-03-27,17.41,17.64,17.11,17.57,8869974.0
2016-03-28,17.48,17.665,17.22,17.51,5529334.0
2016-03-29,17.37,17.68,17.22,17.65,5926601.0
2016-03-30,17.72,17.915,17.63,17.89,10552507.0
2016-03-31,17.84,17.96,17.5101,17.73,10389604.0
2016-04-01,17.61,18.545,17.56,18.4,14849934.0
2016-04-02,17.61,18.545,17.56,18.4,14849934.0
2016-04-03,17.61,18.545,17.56,18.4,14849934.0
2016-04-04,18.45,18.45,17.93,18.04,7666968.0
2016-04-05,17.87,17.91,17.56,17.61,8299991.0
2016-04-06,17.65,17.98,17.46,17.96,10391874.0
2016-04-07,17.79,18.04,17.625,17.74,9413442.0
2016-04-08,17.85,18.295,17.81,17.89,7279983.0
2016-04-09,17.85,18.295,17.81,17.89,7279983.0
2016-04-10,17.85,18.295,17.81,17.89,7279983.0
2016-04-11,17.95,18.06,17.66,17.73,5878459.0
2016-04-12,17.71,17.76,17.18,17.24,8787887.0
2016-04-13,17.29,17.51,17.15,17.5,8243231.0
2016-04-14,17.36,17.4,17.06,17.26,6615897.0
2016-04-15,17.41,17.48,16.85,17.4,11861987.0
2016-04-16,17.41,17.48,16.85,17.4,11861987.0
2016-04-17,17.41,17.48,16.85,17.4,11861987.0
2016-04-18,17.21,17.485,17.14,17.44,5661473.0
2016-04-19,17.46,17.48,17.15,17.24,6439694.0
2016-04-20,17.07,17.5,17.07,17.4,5440116.0
2016-04-21,17.34,17.74,17.32,17.46,5970372.0
2016-04-22,17.44,17.7,17.33,17.49,7958001.0
2016-04-23,17.44,17.7,17.33,17.49,7958001.0
2016-04-24,17.44,17.7,17.33,17.49,7958001.0
2016-04-25,17.36,17.41,16.82,17.21,5842139.0
2016-04-26,17.25,17.465,17.23,17.36,6285691.0
2016-04-27,17.3,17.52,17.25,17.31,6363648.0
2016-04-28,17.17,17.385,16.92,17.03,4786943.0
2016-04-29,16.89,16.91,16.51,16.66,7088882.0
2016-04-30,16.89,16.91,16.51,16.66,7088882.0
2016-05-01,16.89,16.91,16.51,16.66,7088882.0
2016-05-02,16.66,16.75,16.28,16.4,8461206.0
2016-05-03,16.23,16.25,15.78,15.93,11065714.0
2016-05-04,15.8,16.0,15.68,15.93,6637775.0
2016-05-05,15.95,15.97,15.64,15.72,3519240.0
2016-05-06,15.63,15.86,15.56,15.78,4983593.0
2016-05-07,15.63,15.86,15.56,15.78,4983593.0
2016-05-08,15.63,15.86,15.56,15.78,4983593.0
2016-05-09,15.71,15.96,15.67,15.86,4943325.0
2016-05-10,15.89,15.9,15.61,15.89,4761598.0
2016-05-11,15.89,16.355,15.88,16.02,6470157.0
2016-05-12,16.09,16.14,15.8535,15.9,5418380.0
2016-05-13,15.9,16.115,15.69,15.77,6788816.0
2016-05-14,15.9,16.115,15.69,15.77,6788816.0
2016-05-15,15.9,16.115,15.69,15.77,6788816.0
2016-05-16,15.76,16.095,15.71,15.96,8819406.0
2016-05-17,15.88,16.2,15.69,15.82,14592610.0
2016-05-18,15.79,15.93,15.515,15.67,6576502.0
2016-05-19,15.51,15.79,15.38,15.78,6684880.0
2016-05-20,15.76,15.99,15.66,15.87,8982944.0
2016-05-21,15.76,15.99,15.66,15.87,8982944.0
2016-05-22,15.76,15.99,15.66,15.87,8982944.0
2016-05-23,15.88,16.27,15.87,16.07,8649851.0
2016-05-24,16.1,16.34,15.99,16.25,12488390.0
2016-05-25,18.33,18.5,17.12,17.35,43848808.0
2016-05-26,17.0,17.69,16.84,17.39,21733075.0
2016-05-27,17.46,18.34,17.46,18.26,22957141.0
2016-05-28,17.46,18.34,17.46,18.26,22957141.0
2016-05-29,17.46,18.34,17.46,18.26,22957141.0
2016-05-30,17.46,18.34,17.46,18.26,22957141.0
2016-05-31,18.0,18.47,17.76,18.47,24952212.0
2016-06-01,18.31,18.38,18.14,18.29,12288770.0
2016-06-02,18.14,18.53,18.1,18.5,13663287.0
2016-06-03,18.4,18.5,18.28,18.35,9285495.0
2016-06-04,18.4,18.5,18.28,18.35,9285495.0
2016-06-05,18.4,18.5,18.28,18.35,9285495.0
2016-06-06,18.28,18.97,18.28,18.9,12839226.0
2016-06-07,18.84,19.245,18.77,19.16,14286211.0
2016-06-08,19.27,19.62,19.2,19.35,15820732.0
2016-06-09,19.39,19.65,19.33,19.55,9375174.0
2016-06-10,19.31,19.33,18.9,19.12,9830680.0
2016-06-11,19.31,19.33,18.9,19.12,9830680.0
2016-06-12,19.31,19.33,18.9,19.12,9830680.0
2016-06-13,19.01,19.15,18.58,18.6,10146966.0
2016-06-14,18.47,18.64,18.215,18.31,14355452.0
2016-06-15,18.43,19.06,18.41,18.8,11967601.0
2016-06-16,18.68,18.83,18.575,18.66,12329670.0
2016-06-17,18.59,19.01,18.49,18.94,16641098.0
2016-06-18,18.59,19.01,18.49,18.94,16641098.0
2016-06-19,18.59,19.01,18.49,18.94,16641098.0
2016-06-20,19.22,19.61,19.16,19.38,15869472.0
2016-06-21,19.41,19.85,19.26,19.76,11557672.0
2016-06-22,19.66,19.76,19.19,19.21,10573261.0
2016-06-23,19.37,19.69,19.34,19.65,10184380.0
2016-06-24,18.61,19.08,18.11,18.16,25420729.0
2016-06-25,18.61,19.08,18.11,18.16,25420729.0
2016-06-26,18.61,19.08,18.11,18.16,25420729.0
2016-06-27,18.0,18.01,16.965,17.2,18517647.0
2016-06-28,17.5,17.58,17.105,17.4,12854721.0
2016-06-29,17.74,17.91,17.605,17.78,8259949.0
2016-06-30,17.92,18.5,17.88,18.27,12492682.0
2016-07-01,18.47,18.64,18.15,18.49,8928465.0
2016-07-02,18.47,18.64,18.15,18.49,8928465.0
2016-07-03,18.47,18.64,18.15,18.49,8928465.0
2016-07-04,18.47,18.64,18.15,18.49,8928465.0
2016-07-05,18.39,18.43,17.94,18.2,6134837.0
2016-07-06,18.0,18.43,17.92,18.4,7264082.0
