Date,Open,High,Low,Close,Volume
2016-01-04,118.31,118.36,116.94,118.03,505538.0
2016-01-04,118.31,118.36,116.94,118.03,505538.0
2016-01-04,118.31,118.36,116.94,118.03,505538.0
2016-01-04,118.31,118.36,116.94,118.03,505538.0
2016-01-05,118.4,119.12,117.73,118.93,268079.0
2016-01-06,117.15,118.01,116.37,117.17,450240.0
2016-01-07,115.61,116.99,114.38,116.59,668081.0
2016-01-08,116.99,117.35,116.175,116.34,689454.0
2016-01-09,116.99,117.35,116.175,116.34,689454.0
2016-01-10,116.99,117.35,116.175,116.34,689454.0
2016-01-11,117.28,118.14,116.6,117.62,457859.0
2016-01-12,118.67,119.57,117.35,118.33,630459.0
2016-01-13,118.85,118.92,115.82,116.05,675081.0
2016-01-14,116.09,117.8,115.65,117.2,388985.0
2016-01-15,114.93,115.73,112.53,115.31,625630.0
2016-01-16,114.93,115.73,112.53,115.31,625630.0
2016-01-17,114.93,115.73,112.53,115.31,625630.0
2016-01-18,114.93,115.73,112.53,115.31,625630.0
2016-01-19,116.08,117.3,112.24,113.48,692993.0
2016-01-20,111.43,112.66,109.73,111.78,695713.0
2016-01-21,112.1,113.9,111.1,111.75,591859.0
2016-01-22,113.46,114.96,112.867,114.07,411351.0
2016-01-23,113.46,114.96,112.867,114.07,411351.0
2016-01-24,113.46,114.96,112.867,114.07,411351.0
2016-01-25,110.14,111.31,108.08,110.4,1261364.0
2016-01-26,110.49,112.48,110.49,111.87,615369.0
2016-01-27,111.69,112.43,110.65,111.52,606002.0
2016-01-28,112.43,113.04,110.69,112.19,638625.0
2016-01-29,113.15,117.0,112.77,116.96,681642.0
2016-01-30,113.15,117.0,112.77,116.96,681642.0
2016-01-31,113.15,117.0,112.77,116.96,681642.0
2016-02-01,116.39,119.04,115.36,118.46,836853.0
2016-02-02,117.12,117.745,116.23,117.22,445518.0
2016-02-03,117.76,120.6,116.89,120.6,604333.0
2016-02-04,119.99,122.38,119.89,121.28,551364.0
2016-02-05,121.28,121.69,117.75,119.38,694241.0
2016-02-06,121.28,121.69,117.75,119.38,694241.0
2016-02-07,121.28,121.69,117.75,119.38,694241.0
2016-02-08,117.96,118.4,115.6,116.61,592361.0
2016-02-09,115.21,117.285,115.18,116.83,746346.0
2016-02-10,116.81,119.75,114.32,115.33,1070442.0
2016-02-11,100.5,105.3,97.24,100.49,4518990.0
2016-02-12,101.0,107.81,101.0,106.75,1957831.0
2016-02-13,101.0,107.81,101.0,106.75,1957831.0
2016-02-14,101.0,107.81,101.0,106.75,1957831.0
2016-02-15,101.0,107.81,101.0,106.75,1957831.0
2016-02-16,105.68,108.035,104.48,106.54,1101803.0
2016-02-17,107.5,108.84,105.89,106.08,1026419.0
2016-02-18,106.3,107.01,104.35,105.39,721290.0
2016-02-19,105.34,105.55,104.04,105.4,768435.0
2016-02-20,105.34,105.55,104.04,105.4,768435.0
2016-02-21,105.34,105.55,104.04,105.4,768435.0
2016-02-22,106.27,107.5399,105.2,105.28,1020764.0
2016-02-23,104.36,105.14,102.77,103.42,566055.0
2016-02-24,102.64,106.82,102.31,106.21,1028145.0
2016-02-25,106.25,106.7275,104.2,105.02,550881.0
2016-02-26,105.5,105.75,103.85,104.12,691699.0
2016-02-27,105.5,105.75,103.85,104.12,691699.0
2016-02-28,105.5,105.75,103.85,104.12,691699.0
2016-02-29,104.15,105.39,103.26,103.29,605186.0
2016-03-01,104.32,107.29,104.055,106.62,664776.0
2016-03-02,105.81,106.48,104.59,105.82,592269.0
2016-03-03,105.94,106.09,104.6,105.15,764272.0
2016-03-04,105.54,106.85,104.93,106.41,549107.0
2016-03-05,105.54,106.85,104.93,106.41,549107.0
2016-03-06,105.54,106.85,104.93,106.41,549107.0
2016-03-07,105.93,107.4,105.7,106.43,695654.0
2016-03-08,105.27,109.18,104.93,107.17,1127523.0
2016-03-09,107.26,107.98,106.11,107.5,563462.0
2016-03-10,108.0,108.99,106.59,107.68,480242.0
2016-03-11,109.07,110.62,108.27,109.98,435929.0
2016-03-12,109.07,110.62,108.27,109.98,435929.0
2016-03-13,109.07,110.62,108.27,109.98,435929.0
2016-03-14,109.36,111.33,109.18,110.33,412695.0
2016-03-15,110.05,110.755,109.53,110.3,514167.0
2016-03-16,109.7,111.96,109.7,111.45,345018.0
2016-03-17,111.57,113.03,110.91,112.88,403320.0
2016-03-18,113.16,115.115,112.84,113.68,962386.0
2016-03-19,113.16,115.115,112.84,113.68,962386.0
2016-03-20,113.16,115.115,112.84,113.68,962386.0
2016-03-21,113.68,114.13,112.8115,113.94,490652.0
2016-03-22,113.86,115.33,111.825,114.9,596291.0
2016-03-23,113.91,114.49,112.81,113.63,405172.0
2016-03-24,112.59,113.78,111.74,113.24,671804.0
2016-03-25,112.59,113.78,111.74,113.24,671804.0
2016-03-26,112.59,113.78,111.74,113.24,671804.0
2016-03-27,112.59,113.78,111.74,113.24,671804.0
2016-03-28,113.4,114.115,113.31,113.84,239540.0
2016-03-29,113.36,114.9,112.91,114.79,361584.0
2016-03-30,115.42,116.18,114.21,114.58,456564.0
2016-03-31,114.67,115.11,113.39,113.77,383975.0
2016-04-01,113.19,116.51,112.95,116.38,480300.0
