Date,Open,High,Low,Close,Volume
2016-01-04,33.88,34.01,33.46,33.99,27882190.0
2016-01-04,33.88,34.01,33.46,33.99,27882190.0
2016-01-04,33.88,34.01,33.46,33.99,27882190.0
2016-01-04,33.88,34.01,33.46,33.99,27882190.0
2016-01-05,33.96,34.0,33.53,33.83,16709510.0
2016-01-06,33.25,33.52,32.8,33.08,25491255.0
2016-01-07,32.28,33.0077,31.84,31.84,37680521.0
2016-01-08,32.09,32.22,31.43,31.51,29953840.0
2016-01-09,32.09,32.22,31.43,31.51,29953840.0
2016-01-10,32.09,32.22,31.43,31.51,29953840.0
2016-01-11,31.81,32.22,31.68,32.06,27732435.0
2016-01-12,32.76,32.89,32.27,32.68,28587697.0
2016-01-13,32.76,32.93,31.83,31.91,34445691.0
2016-01-14,31.97,32.87,31.8,32.74,48728154.0
2016-01-15,29.73,30.5,29.45,29.76,76373920.0
2016-01-16,29.73,30.5,29.45,29.76,76373920.0
2016-01-17,29.73,30.5,29.45,29.76,76373920.0
2016-01-18,29.73,30.5,29.45,29.76,76373920.0
2016-01-19,29.98,30.06,29.48,29.8,28878108.0
2016-01-20,29.35,29.87,29.21,29.59,39598190.0
2016-01-21,29.65,30.03,29.24,29.66,30157376.0
2016-01-22,30.12,30.24,29.51,29.925,25326490.0
2016-01-23,30.12,30.24,29.51,29.925,25326490.0
2016-01-24,30.12,30.24,29.51,29.925,25326490.0
2016-01-25,29.99,30.215,29.57,29.6,26440976.0
2016-01-26,29.61,30.05,29.61,29.94,24754949.0
2016-01-27,29.88,30.22,29.64,29.81,26384138.0
2016-01-28,30.02,30.18,29.75,29.97,22028142.0
2016-01-29,30.21,31.03,30.1,31.02,38311356.0
2016-01-30,30.21,31.03,30.1,31.02,38311356.0
2016-01-31,30.21,31.03,30.1,31.02,38311356.0
2016-02-01,30.72,31.12,30.64,30.82,19015120.0
2016-02-02,30.45,30.49,29.63,29.8,24994282.0
2016-02-03,29.72,29.72,28.52,29.34,44660057.0
2016-02-04,29.14,29.88,29.11,29.77,29257839.0
2016-02-05,29.58,29.76,28.91,29.04,27957541.0
2016-02-06,29.58,29.76,28.91,29.04,27957541.0
2016-02-07,29.58,29.76,28.91,29.04,27957541.0
2016-02-08,28.74,28.98,28.3,28.82,28725928.0
2016-02-09,28.49,29.145,28.41,28.81,22902625.0
2016-02-10,28.88,29.0,28.19,28.23,27267783.0
2016-02-11,27.83,28.41,27.68,28.22,28450212.0
2016-02-12,28.57,28.695,28.14,28.64,19698998.0
2016-02-13,28.57,28.695,28.14,28.64,19698998.0
2016-02-14,28.57,28.695,28.14,28.64,19698998.0
2016-02-15,28.57,28.695,28.14,28.64,19698998.0
2016-02-16,28.75,28.95,28.36,28.78,30705228.0
2016-02-17,28.86,29.6199,28.73,29.47,27691728.0
2016-02-18,29.53,29.76,29.38,29.42,20623257.0
2016-02-19,29.2,29.33,28.71,28.71,42056701.0
2016-02-20,29.2,29.33,28.71,28.71,42056701.0
2016-02-21,29.2,29.33,28.71,28.71,42056701.0
2016-02-22,29.11,29.54,29.0,29.35,23893145.0
2016-02-23,29.3,29.345,28.6,28.8,26638208.0
2016-02-24,28.52,29.3,28.375,29.19,21593601.0
2016-02-25,29.32,29.62,28.95,29.62,17571439.0
2016-02-26,29.88,30.08,29.7,29.8,19902219.0
2016-02-27,29.88,30.08,29.7,29.8,19902219.0
2016-02-28,29.88,30.08,29.7,29.8,19902219.0
2016-02-29,29.72,30.14,29.58,29.59,22903077.0
2016-03-01,29.93,30.53,29.75,30.37,25502568.0
2016-03-02,30.3,30.87,30.12,30.54,23779774.0
2016-03-03,31.13,31.35,30.54,30.58,25625212.0
2016-03-04,30.5,30.86,30.05,30.63,20356845.0
2016-03-05,30.5,30.86,30.05,30.63,20356845.0
2016-03-06,30.5,30.86,30.05,30.63,20356845.0
2016-03-07,30.59,31.12,30.5,30.94,18879949.0
2016-03-08,30.83,30.88,30.38,30.56,18773637.0
2016-03-09,30.83,31.04,30.67,30.865,14707806.0
2016-03-10,31.14,31.4,30.38,31.25,29584840.0
2016-03-11,31.67,31.79,31.53,31.76,22811232.0
2016-03-12,31.67,31.79,31.53,31.76,22811232.0
2016-03-13,31.67,31.79,31.53,31.76,22811232.0
2016-03-14,31.66,31.69,31.3,31.43,17438583.0
2016-03-15,31.34,31.65,31.06,31.65,16927746.0
2016-03-16,31.49,31.795,31.17,31.69,26298416.0
2016-03-17,31.76,32.17,31.7,31.98,22865286.0
2016-03-18,32.16,32.69,32.06,32.68,49934246.0
2016-03-19,32.16,32.69,32.06,32.68,49934246.0
2016-03-20,32.16,32.69,32.06,32.68,49934246.0
2016-03-21,32.23,32.42,31.95,32.34,21760871.0
2016-03-22,32.16,32.46,31.95,32.32,22200449.0
2016-03-23,32.47,32.47,31.98,32.0,18765319.0
2016-03-24,31.87,31.95,31.7001,31.88,14211908.0
2016-03-25,31.87,31.95,31.7001,31.88,14211908.0
2016-03-26,31.87,31.95,31.7001,31.88,14211908.0
2016-03-27,31.87,31.95,31.7001,31.88,14211908.0
2016-03-28,31.87,32.0,31.62,31.9,11433018.0
2016-03-29,31.93,32.44,31.7269,32.38,15313190.0
2016-03-30,32.45,32.75,32.289,32.71,16598019.0
2016-03-31,32.53,32.66,32.315,32.35,17879995.0
2016-04-01,32.27,32.47,32.1,32.45,18049694.0
2016-04-02,32.27,32.47,32.1,32.45,18049694.0
2016-04-03,32.27,32.47,32.1,32.45,18049694.0
2016-04-04,32.2,32.38,31.74,32.0,21581634.0
2016-04-05,31.89,32.12,31.72,31.9,20080011.0
2016-04-06,31.97,32.23,31.77,32.08,15740607.0
2016-04-07,31.89,31.9,31.35,31.55,23738226.0
2016-04-08,31.76,32.02,31.48,31.63,17031882.0
2016-04-09,31.76,32.02,31.48,31.63,17031882.0
2016-04-10,31.76,32.02,31.48,31.63,17031882.0
2016-04-11,31.9,32.34,31.66,31.67,19707683.0
2016-04-12,31.88,31.94,31.38,31.86,16774210.0
2016-04-13,31.97,32.18,31.95,32.13,19968076.0
2016-04-14,31.78,31.885,31.55,31.8,21620893.0
2016-04-15,31.79,31.885,31.38,31.46,28782769.0
2016-04-16,31.79,31.885,31.38,31.46,28782769.0
2016-04-17,31.79,31.885,31.38,31.46,28782769.0
2016-04-18,31.43,31.72,31.38,31.65,21566599.0
2016-04-19,31.7,31.81,31.4,31.6,33619314.0
