Date,Open,High,Low,Close,Volume
2016-01-04,37.16,37.67,36.86,37.67,4114956.0
2016-01-04,37.16,37.67,36.86,37.67,4114956.0
2016-01-04,37.16,37.67,36.86,37.67,4114956.0
2016-01-04,37.16,37.67,36.86,37.67,4114956.0
2016-01-05,37.79,38.0,37.42,37.99,3313868.0
2016-01-06,37.47,37.58,37.1215,37.39,3536815.0
2016-01-07,36.79,37.22,36.18,36.29,4851885.0
2016-01-08,36.3,36.775,35.78,35.9,4781089.0
2016-01-09,36.3,36.775,35.78,35.9,4781089.0
2016-01-10,36.3,36.775,35.78,35.9,4781089.0
2016-01-11,36.18,36.54,35.945,36.4,5871257.0
2016-01-12,36.72,36.88,35.95,36.35,3960235.0
2016-01-13,36.55,37.05,35.98,36.05,3962308.0
2016-01-14,36.17,36.79,35.6852,36.54,4106065.0
2016-01-15,35.49,36.8,35.49,36.42,5079595.0
2016-01-16,35.49,36.8,35.49,36.42,5079595.0
2016-01-17,35.49,36.8,35.49,36.42,5079595.0
2016-01-18,35.49,36.8,35.49,36.42,5079595.0
2016-01-19,36.76,36.825,35.02,35.64,4416796.0
2016-01-20,35.07,35.61,34.03,35.29,4650357.0
2016-01-21,35.45,35.9938,34.94,35.46,3356138.0
2016-01-22,36.03,36.8,36.03,36.45,3713832.0
2016-01-23,36.03,36.8,36.03,36.45,3713832.0
2016-01-24,36.03,36.8,36.03,36.45,3713832.0
2016-01-25,34.98,35.01,32.5,32.58,14640362.0
2016-01-26,32.81,33.29,32.58,32.87,8396086.0
2016-01-27,32.77,33.67,32.53,32.91,6764957.0
2016-01-28,33.1,33.24,32.555,32.65,4276100.0
2016-01-29,32.88,34.22,32.83,34.21,6265973.0
2016-01-30,32.88,34.22,32.83,34.21,6265973.0
2016-01-31,32.88,34.22,32.83,34.21,6265973.0
2016-02-01,34.03,34.33,33.509,34.09,5574433.0
2016-02-02,34.08,34.085,33.48,33.86,5374246.0
2016-02-03,34.7,35.48,33.06,34.17,8870735.0
2016-02-04,34.23,35.39,33.895,35.07,6493862.0
2016-02-05,35.06,35.3599,34.811,34.97,6531352.0
2016-02-06,35.06,35.3599,34.811,34.97,6531352.0
2016-02-07,35.06,35.3599,34.811,34.97,6531352.0
2016-02-08,34.5,34.61,33.72,34.36,4257087.0
2016-02-09,34.01,35.2,33.75,35.13,6144020.0
2016-02-10,35.27,36.12,34.7,34.78,7778970.0
2016-02-11,33.85,34.13,32.8605,33.12,5885482.0
2016-02-12,33.57,35.15,33.52,34.16,6366277.0
2016-02-13,33.57,35.15,33.52,34.16,6366277.0
2016-02-14,33.57,35.15,33.52,34.16,6366277.0
2016-02-15,33.57,35.15,33.52,34.16,6366277.0
2016-02-16,34.55,35.14,34.22,35.1,3649411.0
2016-02-17,35.3,36.17,35.26,35.58,4470276.0
2016-02-18,35.54,35.61,35.03,35.32,3011381.0
2016-02-19,34.81,34.81,33.43,34.01,5877528.0
2016-02-20,34.81,34.81,33.43,34.01,5877528.0
