Date,Open,High,Low,Close,Volume
2016-01-04,22.89,22.89,22.35,22.82,5941437.0
2016-01-04,22.89,22.89,22.35,22.82,5941437.0
2016-01-04,22.89,22.89,22.35,22.82,5941437.0
2016-01-04,22.89,22.89,22.35,22.82,5941437.0
2016-01-05,22.89,23.39,22.87,23.26,6266235.0
2016-01-06,22.96,23.155,22.68,22.87,5143550.0
2016-01-07,22.38,22.695,22.1,22.16,3355663.0
2016-01-08,22.31,22.43,21.99,22.05,4176843.0
2016-01-09,22.31,22.43,21.99,22.05,4176843.0
2016-01-10,22.31,22.43,21.99,22.05,4176843.0
2016-01-11,22.17,22.21,21.73,21.93,3686369.0
2016-01-12,22.08,22.24,21.8,22.05,4077283.0
2016-01-13,22.05,22.185,21.5645,21.68,7092204.0
2016-01-14,21.76,22.355,21.65,22.31,7386618.0
2016-01-15,21.77,22.0,21.51,21.72,5453028.0
2016-01-16,21.77,22.0,21.51,21.72,5453028.0
2016-01-17,21.77,22.0,21.51,21.72,5453028.0
2016-01-18,21.77,22.0,21.51,21.72,5453028.0
2016-01-19,21.99,22.02,21.57,21.69,4442838.0
2016-01-20,21.35,21.57,20.64,21.1,6815015.0
2016-01-21,21.1,21.9,20.955,21.65,7485275.0
2016-01-22,22.0,22.28,21.86,22.14,5325755.0
2016-01-23,22.0,22.28,21.86,22.14,5325755.0
2016-01-24,22.0,22.28,21.86,22.14,5325755.0
2016-01-25,21.98,22.1,21.675,21.73,3460848.0
2016-01-26,21.86,22.37,21.79,22.35,5344484.0
2016-01-27,22.25,22.65,21.96,22.06,3778073.0
2016-01-28,22.31,22.31,21.91,22.0,3446351.0
2016-01-29,22.12,22.51,22.12,22.44,4522777.0
2016-01-30,22.12,22.51,22.12,22.44,4522777.0
2016-01-31,22.12,22.51,22.12,22.44,4522777.0
2016-02-01,22.31,22.64,22.135,22.47,6467449.0
2016-02-02,22.2,22.26,21.72,21.81,5776358.0
2016-02-03,21.98,22.1,21.69,22.04,5842983.0
2016-02-04,22.03,22.24,21.8,21.91,4555294.0
2016-02-05,21.8,21.9,21.0,21.08,5951720.0
2016-02-06,21.8,21.9,21.0,21.08,5951720.0
2016-02-07,21.8,21.9,21.0,21.08,5951720.0
2016-02-08,20.78,20.78,19.825,20.3,7741344.0
2016-02-09,20.04,20.66,19.79,20.5,7335359.0
2016-02-10,20.51,20.825,20.36,20.42,5289853.0
2016-02-11,20.08,20.55,19.97,20.36,6584076.0
2016-02-12,20.55,20.64,19.925,20.4,6865660.0
2016-02-13,20.55,20.64,19.925,20.4,6865660.0
2016-02-14,20.55,20.64,19.925,20.4,6865660.0
2016-02-15,20.55,20.64,19.925,20.4,6865660.0
2016-02-16,20.56,20.85,20.315,20.7,7183278.0
2016-02-17,20.9,21.14,20.785,20.88,4156049.0
2016-02-18,20.89,21.045,20.7,20.87,4498975.0
2016-02-19,20.82,21.19,20.67,21.14,3679439.0
2016-02-20,20.82,21.19,20.67,21.14,3679439.0
2016-02-21,20.82,21.19,20.67,21.14,3679439.0
2016-02-22,21.27,21.39,21.04,21.23,4798597.0
2016-02-23,21.2,21.58,21.12,21.38,5369286.0
2016-02-24,21.13,21.405,20.93,21.37,2979413.0
2016-02-25,21.49,21.68,21.3,21.58,4945261.0
2016-02-26,21.59,21.71,21.31,21.36,5004659.0
2016-02-27,21.59,21.71,21.31,21.36,5004659.0
2016-02-28,21.59,21.71,21.31,21.36,5004659.0
2016-02-29,21.38,21.75,21.33,21.39,4496905.0
2016-03-01,21.52,21.74,21.365,21.65,6881052.0
2016-03-02,21.6,21.66,21.13,21.34,4071383.0
2016-03-03,21.39,21.465,21.15,21.44,3862926.0
2016-03-04,21.49,21.64,21.32,21.48,3831313.0
2016-03-05,21.49,21.64,21.32,21.48,3831313.0
2016-03-06,21.49,21.64,21.32,21.48,3831313.0
2016-03-07,21.32,21.54,21.09,21.38,5145186.0
2016-03-08,21.32,21.39,21.1,21.11,2326442.0
2016-03-09,21.24,21.375,21.06,21.17,2378623.0
2016-03-10,21.29,21.37,20.82,21.02,4228047.0
2016-03-11,21.21,21.39,21.16,21.28,3900716.0
2016-03-12,21.21,21.39,21.16,21.28,3900716.0
2016-03-13,21.21,21.39,21.16,21.28,3900716.0
2016-03-14,21.22,21.42,21.19,21.34,2828648.0
2016-03-15,21.21,21.29,21.045,21.2,3086776.0
2016-03-16,21.16,21.42,21.07,21.38,2524022.0
2016-03-17,21.38,21.64,21.33,21.53,2532260.0
2016-03-18,21.58,21.72,21.4375,21.46,3829830.0
2016-03-19,21.58,21.72,21.4375,21.46,3829830.0
2016-03-20,21.58,21.72,21.4375,21.46,3829830.0
2016-03-21,21.43,21.53,21.34,21.5,1765558.0
2016-03-22,21.48,21.65,21.315,21.53,2435391.0
2016-03-23,21.53,21.7,21.42,21.64,3575455.0
2016-03-24,21.57,21.62,21.44,21.52,5081900.0
2016-03-25,21.57,21.62,21.44,21.52,5081900.0
2016-03-26,21.57,21.62,21.44,21.52,5081900.0
2016-03-27,21.57,21.62,21.44,21.52,5081900.0
2016-03-28,21.68,22.05,21.65,21.99,4605995.0
2016-03-29,21.95,22.58,21.8,22.53,5547546.0
2016-03-30,22.6,22.92,22.55,22.88,4737351.0
2016-03-31,22.88,23.11,22.78,22.95,5536223.0
2016-04-01,22.79,23.08,22.7,23.07,4294612.0
2016-04-02,22.79,23.08,22.7,23.07,4294612.0
2016-04-03,22.79,23.08,22.7,23.07,4294612.0
2016-04-04,23.16,23.27,22.87,22.9,3704294.0
2016-04-05,22.74,22.95,22.6211,22.78,4228376.0
2016-04-06,22.82,23.21,22.76,23.19,5514431.0
2016-04-07,23.02,23.055,22.72,22.76,3943940.0
2016-04-08,22.94,23.0,22.69,22.75,2116492.0
2016-04-09,22.94,23.0,22.69,22.75,2116492.0
2016-04-10,22.94,23.0,22.69,22.75,2116492.0
2016-04-11,22.89,22.98,22.69,22.7,2038551.0
2016-04-12,22.76,22.99,22.64,22.79,2891012.0
2016-04-13,22.9,23.49,22.84,23.46,7437973.0
2016-04-14,23.53,23.75,23.41,23.44,8347456.0
2016-04-15,23.45,23.59,23.37,23.58,3091740.0
2016-04-16,23.45,23.59,23.37,23.58,3091740.0
2016-04-17,23.45,23.59,23.37,23.58,3091740.0
2016-04-18,23.47,23.84,23.4,23.81,3868720.0
2016-04-19,23.9,23.96,23.36,23.41,5551368.0
2016-04-20,23.41,23.52,23.1909,23.27,5163981.0
2016-04-21,23.3,23.51,23.21,23.43,4616824.0
