Date,Open,High,Low,Close,Volume
2016-01-04,26.8,26.88,26.31,26.84,1082440.0
2016-01-04,26.8,26.88,26.31,26.84,1082440.0
2016-01-04,26.8,26.88,26.31,26.84,1082440.0
2016-01-04,26.8,26.88,26.31,26.84,1082440.0
2016-01-05,26.91,27.37,26.75,27.33,783041.0
2016-01-06,27.08,27.26,26.93,27.12,800595.0
2016-01-07,26.73,26.81,26.11,26.22,824330.0
2016-01-08,26.38,26.62,25.51,25.62,1659400.0
2016-01-09,26.38,26.62,25.51,25.62,1659400.0
2016-01-10,26.38,26.62,25.51,25.62,1659400.0
2016-01-11,25.71,26.04,25.435,25.91,1159953.0
2016-01-12,26.07,26.135,25.17,25.37,1076032.0
2016-01-13,25.41,25.78,25.04,25.06,937959.0
2016-01-14,25.09,25.39,24.71,25.11,1260361.0
2016-01-15,24.7,24.99,24.32,24.84,1142280.0
2016-01-16,24.7,24.99,24.32,24.84,1142280.0
2016-01-17,24.7,24.99,24.32,24.84,1142280.0
2016-01-18,24.7,24.99,24.32,24.84,1142280.0
2016-01-19,25.11,25.15,24.54,24.83,1003022.0
2016-01-20,24.57,24.84,23.64,24.56,1475283.0
2016-01-21,24.67,25.34,24.39,24.87,1183369.0
2016-01-22,25.17,25.7,25.15,25.51,1123378.0
2016-01-23,25.17,25.7,25.15,25.51,1123378.0
2016-01-24,25.17,25.7,25.15,25.51,1123378.0
2016-01-25,25.48,25.49,25.16,25.27,1373226.0
2016-01-26,25.46,25.82,25.35,25.81,1949723.0
2016-01-27,25.71,26.21,25.6,25.83,1192066.0
2016-01-28,26.13,26.3761,25.87,26.1,903155.0
2016-01-29,26.4,27.65,26.21,27.54,3934473.0
2016-01-30,26.4,27.65,26.21,27.54,3934473.0
2016-01-31,26.4,27.65,26.21,27.54,3934473.0
2016-02-01,27.24,27.41,26.92,27.08,1458868.0
2016-02-02,26.9,26.99,26.35,26.62,1161758.0
2016-02-03,26.81,27.16,26.29,27.1,1530923.0
2016-02-04,27.13,27.55,26.91,27.35,1657570.0
2016-02-05,27.02,27.15,26.72,27.0,1512326.0
2016-02-06,27.02,27.15,26.72,27.0,1512326.0
2016-02-07,27.02,27.15,26.72,27.0,1512326.0
2016-02-08,26.76,26.81,26.08,26.67,3336600.0
2016-02-09,26.41,26.76,26.27,26.56,3525687.0
2016-02-10,26.59,27.0,26.45,26.73,1488335.0
2016-02-11,26.24,26.75,26.16,26.61,1520481.0
2016-02-12,26.79,27.43,26.73,27.4,1066638.0
2016-02-13,26.79,27.43,26.73,27.4,1066638.0
2016-02-14,26.79,27.43,26.73,27.4,1066638.0
2016-02-15,26.79,27.43,26.73,27.4,1066638.0
2016-02-16,27.72,28.64,27.49,28.63,1434265.0
2016-02-17,28.7,29.18,28.29,29.06,1016936.0
2016-02-18,28.86,29.47,28.67,29.27,1194739.0
2016-02-19,29.09,29.19,28.565,28.95,966060.0
2016-02-20,29.09,29.19,28.565,28.95,966060.0
2016-02-21,29.09,29.19,28.565,28.95,966060.0
2016-02-22,29.26,29.5301,28.95,29.45,866919.0
2016-02-23,29.37,29.64,29.1342,29.26,879841.0
2016-02-24,29.11,29.1668,28.7965,29.13,1180528.0
2016-02-25,29.32,29.95,28.79,29.93,1151006.0
2016-02-26,29.85,30.0,29.43,29.56,907110.0
2016-02-27,29.85,30.0,29.43,29.56,907110.0
2016-02-28,29.85,30.0,29.43,29.56,907110.0
2016-02-29,29.6,29.97,29.27,29.38,1371959.0
2016-03-01,29.52,30.03,29.51,29.97,1311422.0
2016-03-02,29.89,30.0,29.52,29.99,1238046.0
2016-03-03,29.5,30.29,29.16,30.2,1532783.0
2016-03-04,30.19,30.56,29.86,29.99,1012574.0
2016-03-05,30.19,30.56,29.86,29.99,1012574.0
2016-03-06,30.19,30.56,29.86,29.99,1012574.0
2016-03-07,29.77,30.84,29.69,30.83,1362891.0
2016-03-08,30.7,31.05,30.54,30.94,1569008.0
