Date,Open,High,Low,Close,Volume
2016-01-04,12.99,13.03,12.85,12.96,18056981.0
2016-01-04,12.99,13.03,12.85,12.96,18056981.0
2016-01-04,12.99,13.03,12.85,12.96,18056981.0
2016-01-04,12.99,13.03,12.85,12.96,18056981.0
2016-01-05,13.01,13.08,12.75,12.85,18014714.0
2016-01-06,12.69,12.81,12.59,12.62,20747041.0
2016-01-07,12.43,12.5799,12.15,12.18,20452105.0
2016-01-08,12.29,12.335,11.89,11.92,14347109.0
2016-01-09,12.29,12.335,11.89,11.92,14347109.0
2016-01-10,12.29,12.335,11.89,11.92,14347109.0
2016-01-11,11.99,12.065,11.75,11.94,22337883.0
2016-01-12,12.1,12.12,11.745,12.05,14513621.0
2016-01-13,12.13,12.18,11.575,11.68,22164739.0
2016-01-14,11.78,11.92,11.55,11.83,16909250.0
2016-01-15,11.36,11.58,11.28,11.51,19433168.0
2016-01-16,11.36,11.58,11.28,11.51,19433168.0
2016-01-17,11.36,11.58,11.28,11.51,19433168.0
2016-01-18,11.36,11.58,11.28,11.51,19433168.0
2016-01-19,11.65,11.69,11.25,11.33,14662066.0
2016-01-20,11.1,11.32,10.78,11.2,29514223.0
2016-01-21,10.88,11.47,10.84,11.17,22715540.0
2016-01-22,11.36,11.57,11.26,11.32,20038194.0
2016-01-23,11.36,11.57,11.26,11.32,20038194.0
2016-01-24,11.36,11.57,11.26,11.32,20038194.0
2016-01-25,11.28,11.31,10.81,10.85,18892871.0
2016-01-26,10.91,11.07,10.85,10.94,16094839.0
2016-01-27,10.89,11.275,10.86,10.92,16770710.0
2016-01-28,11.13,11.25,10.955,11.08,13991205.0
2016-01-29,11.15,11.2,10.95,11.16,17297955.0
2016-01-30,11.15,11.2,10.95,11.16,17297955.0
2016-01-31,11.15,11.2,10.95,11.16,17297955.0
2016-02-01,11.25,11.25,11.02,11.08,14086563.0
2016-02-02,10.91,10.91,10.7,10.76,16507056.0
2016-02-03,10.83,10.85,10.32,10.78,23400678.0
2016-02-04,10.74,11.0,10.72,10.91,17267447.0
2016-02-05,11.02,11.1,10.77,10.8,17348793.0
2016-02-06,11.02,11.1,10.77,10.8,17348793.0
2016-02-07,11.02,11.1,10.77,10.8,17348793.0
2016-02-08,10.68,10.685,10.44,10.55,14659998.0
2016-02-09,10.37,10.73,10.335,10.64,13925266.0
2016-02-10,10.74,10.8,10.45,10.52,22141204.0
2016-02-11,10.17,10.19,9.88,10.0,25375924.0
2016-02-12,10.19,10.59,10.15,10.49,15587207.0
2016-02-13,10.19,10.59,10.15,10.49,15587207.0
2016-02-14,10.19,10.59,10.15,10.49,15587207.0
2016-02-15,10.19,10.59,10.15,10.49,15587207.0
2016-02-16,10.81,11.08,10.585,10.91,17656101.0
2016-02-17,11.04,11.145,10.86,10.93,16957481.0
2016-02-18,10.98,10.98,10.5,10.64,30584242.0
2016-02-19,10.56,10.77,10.49,10.7,13448762.0
2016-02-20,10.56,10.77,10.49,10.7,13448762.0
2016-02-21,10.56,10.77,10.49,10.7,13448762.0
2016-02-22,10.84,10.94,10.77,10.93,12653286.0
2016-02-23,10.9,10.91,10.57,10.63,10715073.0
2016-02-24,10.47,10.5666,10.23,10.54,11566413.0
2016-02-25,10.58,10.73,10.49,10.69,11139797.0
2016-02-26,10.79,10.87,10.62,10.72,21332747.0
2016-02-27,10.79,10.87,10.62,10.72,21332747.0
2016-02-28,10.79,10.87,10.62,10.72,21332747.0
2016-02-29,10.71,10.725,10.45,10.55,17371754.0
2016-03-01,10.6,10.99,10.57,10.9,29905440.0
2016-03-02,10.91,11.31,10.91,11.31,21916731.0
2016-03-03,11.31,11.47,11.22,11.47,12147645.0
2016-03-04,11.57,11.74,11.49,11.55,13573172.0
2016-03-05,11.57,11.74,11.49,11.55,13573172.0
2016-03-06,11.57,11.74,11.49,11.55,13573172.0
2016-03-07,11.44,11.54,11.35,11.44,8270409.0
2016-03-08,11.29,11.34,11.03,11.09,11327110.0
2016-03-09,11.14,11.205,10.85,10.9,11315656.0
2016-03-10,10.99,11.07,10.75,10.96,12655026.0
2016-03-11,11.09,11.26,11.035,11.22,11362499.0
2016-03-12,11.09,11.26,11.035,11.22,11362499.0
2016-03-13,11.09,11.26,11.035,11.22,11362499.0
2016-03-14,11.22,11.23,11.03,11.14,12993373.0
2016-03-15,11.03,11.17,10.96,11.17,11643189.0
2016-03-16,11.15,11.34,10.96,11.01,14411583.0
2016-03-17,10.98,11.2,10.86,11.13,15026810.0
2016-03-18,11.23,11.45,11.2,11.39,22896115.0
2016-03-19,11.23,11.45,11.2,11.39,22896115.0
2016-03-20,11.23,11.45,11.2,11.39,22896115.0
2016-03-21,11.35,11.525,11.33,11.43,10597718.0
2016-03-22,11.3,11.49,11.265,11.41,12373339.0
2016-03-23,11.39,11.4,11.19,11.26,12352924.0
2016-03-24,11.17,11.2,11.01,11.19,9821573.0
2016-03-25,11.17,11.2,11.01,11.19,9821573.0
2016-03-26,11.17,11.2,11.01,11.19,9821573.0
2016-03-27,11.17,11.2,11.01,11.19,9821573.0
2016-03-28,11.22,11.27,11.125,11.18,8497360.0
2016-03-29,11.08,11.08,10.87,11.02,13520399.0
2016-03-30,11.11,11.29,11.05,11.15,13201033.0
2016-03-31,11.11,11.2,10.95,11.04,11399091.0
2016-04-01,10.96,11.04,10.8,10.97,11830994.0
2016-04-02,10.96,11.04,10.8,10.97,11830994.0
2016-04-03,10.96,11.04,10.8,10.97,11830994.0
2016-04-04,10.94,11.22,10.89,10.96,10777667.0
2016-04-05,10.8,10.91,10.76,10.8,12108389.0
2016-04-06,10.81,11.045,10.74,10.99,13826043.0
2016-04-07,10.83,10.91,10.6,10.66,15150591.0
2016-04-08,10.8,10.96,10.71,10.72,8845622.0
2016-04-09,10.8,10.96,10.71,10.72,8845622.0
2016-04-10,10.8,10.96,10.71,10.72,8845622.0
2016-04-11,10.82,11.02,10.8,10.89,11674906.0
2016-04-12,10.89,11.03,10.84,11.02,9191416.0
2016-04-13,11.16,11.58,11.13,11.5,17835400.0
2016-04-14,11.46,11.87,11.44,11.73,16379471.0
2016-04-15,11.8,11.8,11.63,11.7,10827911.0
2016-04-16,11.8,11.8,11.63,11.7,10827911.0
2016-04-17,11.8,11.8,11.63,11.7,10827911.0
2016-04-18,11.6,11.86,11.5841,11.79,8620836.0
2016-04-19,11.82,12.03,11.8,11.98,12333340.0
2016-04-20,12.04,12.16,11.95,12.14,16214413.0
2016-04-21,12.02,12.51,12.0,12.29,18988598.0
2016-04-22,12.32,12.655,12.31,12.58,16757460.0
2016-04-23,12.32,12.655,12.31,12.58,16757460.0
2016-04-24,12.32,12.655,12.31,12.58,16757460.0
2016-04-25,12.53,12.54,12.32,12.41,11495198.0
2016-04-26,12.49,12.64,12.38,12.57,11115117.0
2016-04-27,12.58,12.675,12.45,12.57,10789696.0
2016-04-28,12.45,12.64,12.36,12.42,13238963.0
2016-04-29,12.31,12.44,12.19,12.29,17204576.0
2016-04-30,12.31,12.44,12.19,12.29,17204576.0
2016-05-01,12.31,12.44,12.19,12.29,17204576.0
2016-05-02,12.37,12.52,12.2,12.46,12211836.0
2016-05-03,12.27,12.29,12.05,12.19,12778110.0
2016-05-04,12.06,12.12,11.7701,11.89,13918339.0
2016-05-05,11.92,12.0,11.775,11.87,10546287.0
2016-05-06,11.76,11.92,11.72,11.88,10155864.0
2016-05-07,11.76,11.92,11.72,11.88,10155864.0
2016-05-08,11.76,11.92,11.72,11.88,10155864.0
2016-05-09,11.87,11.96,11.7,11.8,11077882.0
2016-05-10,11.91,12.09,11.9,12.03,10045005.0
2016-05-11,11.99,12.17,11.96,11.96,9009536.0
2016-05-12,12.04,12.16,11.79,11.88,8357530.0
2016-05-13,11.86,12.04,11.63,11.67,8960162.0
2016-05-14,11.86,12.04,11.63,11.67,8960162.0
2016-05-15,11.86,12.04,11.63,11.67,8960162.0
2016-05-16,11.7,11.95,11.6675,11.9,10715094.0
2016-05-17,11.85,12.08,11.76,11.94,11117158.0
2016-05-18,11.93,12.57,11.92,12.52,19138885.0
2016-05-19,12.49,12.67,12.28,12.39,14295871.0
2016-05-20,12.44,12.6,12.42,12.48,9114099.0
2016-05-21,12.44,12.6,12.42,12.48,9114099.0
2016-05-22,12.44,12.6,12.42,12.48,9114099.0
2016-05-23,12.48,12.56,12.31,12.48,9997640.0
2016-05-24,12.6,12.8,12.56,12.75,11101501.0
2016-05-25,12.83,13.08,12.83,12.96,14015643.0
2016-05-26,12.93,12.94,12.69,12.75,7934697.0
2016-05-27,12.78,12.96,12.75,12.88,13414944.0
2016-05-28,12.78,12.96,12.75,12.88,13414944.0
2016-05-29,12.78,12.96,12.75,12.88,13414944.0
2016-05-30,12.78,12.96,12.75,12.88,13414944.0
2016-05-31,12.94,12.98,12.76,12.82,13959389.0
2016-06-01,12.67,12.93,12.56,12.89,12618830.0
2016-06-02,12.85,12.98,12.78,12.96,8505156.0
2016-06-03,12.42,12.73,12.39,12.71,10768253.0
2016-06-04,12.42,12.73,12.39,12.71,10768253.0
2016-06-05,12.42,12.73,12.39,12.71,10768253.0
2016-06-06,12.73,12.965,12.71,12.84,13909514.0
2016-06-07,12.87,12.88,12.68,12.69,9853646.0
2016-06-08,12.68,12.79,12.62,12.7,13970209.0
2016-06-09,12.6,12.61,12.29,12.44,14828641.0
2016-06-10,12.31,12.315,12.18,12.25,11391627.0
2016-06-11,12.31,12.315,12.18,12.25,11391627.0
2016-06-12,12.31,12.315,12.18,12.25,11391627.0
2016-06-13,12.17,12.33,12.07,12.08,10793378.0
2016-06-14,11.99,12.16,11.53,11.65,19381779.0
2016-06-15,11.67,11.89,11.62,11.66,11802392.0
2016-06-16,11.56,11.59,11.34,11.53,15131847.0
2016-06-17,11.48,11.7756,11.48,11.62,15680203.0
2016-06-18,11.48,11.7756,11.48,11.62,15680203.0
2016-06-19,11.48,11.7756,11.48,11.62,15680203.0
2016-06-20,11.81,11.96,11.57,11.6,10528273.0
2016-06-21,11.65,11.69,11.46,11.63,10815279.0
2016-06-22,11.64,11.8,11.56,11.57,8454664.0
2016-06-23,11.76,11.99,11.76,11.99,10453710.0
2016-06-24,11.28,11.49,11.05,11.07,24581159.0
2016-06-25,11.28,11.49,11.05,11.07,24581159.0
2016-06-26,11.28,11.49,11.05,11.07,24581159.0
2016-06-27,10.92,10.92,10.21,10.29,23680629.0
2016-06-28,10.54,10.7,10.35,10.67,29016410.0
2016-06-29,10.8,10.88,10.55,10.82,21876578.0
2016-06-30,11.03,11.05,10.8,11.05,23249009.0
2016-07-01,10.97,11.11,10.88,10.96,17636315.0
2016-07-02,10.97,11.11,10.88,10.96,17636315.0
2016-07-03,10.97,11.11,10.88,10.96,17636315.0
2016-07-04,10.97,11.11,10.88,10.96,17636315.0
2016-07-05,10.93,10.96,10.6,10.68,14182079.0
2016-07-06,10.55,10.85,10.38,10.8,16081699.0
2016-07-07,10.81,11.09,10.81,10.94,14513471.0
2016-07-08,11.17,11.29,11.065,11.09,14107496.0
2016-07-09,11.17,11.29,11.065,11.09,14107496.0
2016-07-10,11.17,11.29,11.065,11.09,14107496.0
2016-07-11,11.24,11.36,11.17,11.22,11285757.0
2016-07-12,11.4,11.555,11.38,11.47,15119153.0
2016-07-13,11.53,11.61,11.375,11.56,13072137.0
2016-07-14,11.83,11.89,11.73,11.78,14764251.0
2016-07-15,11.86,11.91,11.64,11.7,12625326.0
2016-07-16,11.86,11.91,11.64,11.7,12625326.0
