Date,Open,High,Low,Close,Volume
2016-01-04,26.17,26.19,25.51,25.75,4018403.0
2016-01-04,26.17,26.19,25.51,25.75,4018403.0
2016-01-04,26.17,26.19,25.51,25.75,4018403.0
2016-01-04,26.17,26.19,25.51,25.75,4018403.0
2016-01-05,25.86,26.68,25.765,26.56,2699084.0
2016-01-06,26.33,26.65,26.275,26.32,4626944.0
2016-01-07,25.85,26.1,25.65,25.66,4445133.0
2016-01-08,25.8,25.9,25.1701,25.22,3185538.0
2016-01-09,25.8,25.9,25.1701,25.22,3185538.0
2016-01-10,25.8,25.9,25.1701,25.22,3185538.0
2016-01-11,25.28,25.72,25.27,25.62,3328127.0
2016-01-12,25.89,26.01,25.2325,25.51,4332587.0
2016-01-13,25.56,25.98,25.18,25.21,3460853.0
2016-01-14,25.39,25.55,25.15,25.28,3035846.0
2016-01-15,24.84,25.465,24.75,25.4,4828380.0
2016-01-16,24.84,25.465,24.75,25.4,4828380.0
2016-01-17,24.84,25.465,24.75,25.4,4828380.0
2016-01-18,24.84,25.465,24.75,25.4,4828380.0
2016-01-19,25.74,25.87,25.59,25.71,3028040.0
2016-01-20,25.32,25.72,24.85,25.35,5587968.0
2016-01-21,25.57,26.32,25.35,26.0,6561825.0
2016-01-22,26.38,26.835,26.27,26.58,4438682.0
2016-01-23,26.38,26.835,26.27,26.58,4438682.0
2016-01-24,26.38,26.835,26.27,26.58,4438682.0
2016-01-25,26.6,26.87,26.18,26.19,3475661.0
2016-01-26,26.22,26.75,26.22,26.74,3155022.0
2016-01-27,26.58,26.72,26.265,26.44,2277410.0
2016-01-28,26.67,26.78,26.36,26.44,2731382.0
2016-01-29,26.69,27.21,26.495,27.19,5147512.0
2016-01-30,26.69,27.21,26.495,27.19,5147512.0
2016-01-31,26.69,27.21,26.495,27.19,5147512.0
2016-02-01,26.99,27.58,26.75,27.29,4357315.0
2016-02-02,27.16,27.35,27.05,27.18,4081277.0
2016-02-03,27.97,28.08,27.43,27.74,5100350.0
