Date,Open,High,Low,Close,Volume
2016-01-04,68.03,69.18,68.0,68.69,2185298.0
2016-01-04,68.03,69.18,68.0,68.69,2185298.0
2016-01-04,68.03,69.18,68.0,68.69,2185298.0
2016-01-04,68.03,69.18,68.0,68.69,2185298.0
2016-01-05,68.38,69.05,68.37,68.74,2099815.0
2016-01-06,67.71,68.24,66.09,66.58,1525333.0
2016-01-07,65.42,66.66,65.41,65.94,1789560.0
2016-01-08,66.14,66.31,64.7,65.24,1676714.0
2016-01-09,66.14,66.31,64.7,65.24,1676714.0
2016-01-10,66.14,66.31,64.7,65.24,1676714.0
2016-01-11,65.76,65.76,64.83,65.51,1244451.0
2016-01-12,65.92,66.4564,65.15,65.75,744796.0
2016-01-13,65.81,66.3,64.67,64.78,1245014.0
2016-01-14,65.03,67.14,64.81,66.66,2485231.0
2016-01-15,64.11,65.18,63.64,64.55,1750717.0
2016-01-16,64.11,65.18,63.64,64.55,1750717.0
2016-01-17,64.11,65.18,63.64,64.55,1750717.0
2016-01-18,64.11,65.18,63.64,64.55,1750717.0
2016-01-19,65.5,65.5,64.07,64.32,920982.0
2016-01-20,64.21,65.57,63.98,65.06,2970912.0
2016-01-21,65.3,65.32,64.35,64.63,981124.0
2016-01-22,65.64,65.87,64.67,65.09,995274.0
2016-01-23,65.64,65.87,64.67,65.09,995274.0
2016-01-24,65.64,65.87,64.67,65.09,995274.0
2016-01-25,65.02,65.26,64.56,64.65,1251584.0
2016-01-26,64.64,65.31,64.46,65.14,1074654.0
2016-01-27,65.22,65.4,64.31,64.43,1577986.0
2016-01-28,64.38,66.34,64.38,65.45,1255149.0
2016-01-29,66.28,66.99,66.01,66.99,2401345.0
2016-01-30,66.28,66.99,66.01,66.99,2401345.0
2016-01-31,66.28,66.99,66.01,66.99,2401345.0
2016-02-01,66.4,67.61,66.35,67.12,2142331.0
2016-02-02,66.31,66.78,65.87,66.16,3585649.0
2016-02-03,66.59,66.99,65.6,66.8,1596869.0
2016-02-04,66.81,67.11,66.33,66.88,1663759.0
2016-02-05,66.49,66.9499,65.11,65.51,1642920.0
2016-02-06,66.49,66.9499,65.11,65.51,1642920.0
2016-02-07,66.49,66.9499,65.11,65.51,1642920.0
2016-02-08,64.6,65.06,63.58,64.14,1386719.0
2016-02-09,63.63,64.42,63.38,63.96,2139601.0
2016-02-10,64.19,64.59,63.79,64.13,2674959.0
2016-02-11,62.54,63.36,62.33,62.88,2006865.0
2016-02-12,63.29,64.07,62.89,63.79,1046652.0
2016-02-13,63.29,64.07,62.89,63.79,1046652.0
2016-02-14,63.29,64.07,62.89,63.79,1046652.0
2016-02-15,63.29,64.07,62.89,63.79,1046652.0
2016-02-16,64.24,65.3201,64.16,64.74,2073154.0
2016-02-17,64.9,65.64,64.78,65.57,2394894.0
2016-02-18,65.56,65.69,64.82,64.85,3407279.0
2016-02-19,65.59,66.67,65.59,65.69,7484921.0
2016-02-20,65.59,66.67,65.59,65.69,7484921.0
2016-02-21,65.59,66.67,65.59,65.69,7484921.0
2016-02-22,65.99,66.76,65.69,66.14,4919778.0
2016-02-23,65.76,66.2,65.32,65.68,1319325.0
2016-02-24,65.12,66.37,65.12,66.34,913642.0
2016-02-25,66.3,67.46,66.19,67.45,979270.0
2016-02-26,67.62,68.2,67.46,67.97,1843935.0
2016-02-27,67.62,68.2,67.46,67.97,1843935.0
2016-02-28,67.62,68.2,67.46,67.97,1843935.0
2016-02-29,67.88,68.42,67.67,67.74,1703232.0
2016-03-01,68.22,69.08,67.75,68.98,2217955.0
2016-03-02,68.9,68.9,68.07,68.42,1357012.0
2016-03-03,68.36,68.71,68.08,68.7,1432964.0
2016-03-04,69.04,69.04,68.03,68.31,2460043.0
2016-03-05,69.04,69.04,68.03,68.31,2460043.0
2016-03-06,69.04,69.04,68.03,68.31,2460043.0
2016-03-07,68.09,68.92,68.04,68.84,610995.0
2016-03-08,68.42,68.83,67.71,67.73,1695631.0
2016-03-09,67.94,68.36,67.79,68.06,1296629.0
2016-03-10,68.13,69.17,68.13,68.7,1868612.0
2016-03-11,69.0,69.41,68.77,69.22,1443916.0
2016-03-12,69.0,69.41,68.77,69.22,1443916.0
2016-03-13,69.0,69.41,68.77,69.22,1443916.0
2016-03-14,68.97,69.62,68.97,69.56,1248665.0
2016-03-15,69.23,69.94,69.23,69.68,1218312.0
2016-03-16,69.42,70.26,69.12,70.15,895811.0
2016-03-17,70.47,70.96,70.15,70.86,760519.0
2016-03-18,71.08,71.33,70.67,71.18,1490499.0
2016-03-19,71.08,71.33,70.67,71.18,1490499.0
2016-03-20,71.08,71.33,70.67,71.18,1490499.0
2016-03-21,71.0,71.315,70.77,71.26,360737.0
2016-03-22,71.29,71.57,70.99,71.44,497140.0
2016-03-23,71.57,71.57,70.96,71.0,514947.0
2016-03-24,70.91,70.91,70.11,70.8,886502.0
2016-03-25,70.91,70.91,70.11,70.8,886502.0
2016-03-26,70.91,70.91,70.11,70.8,886502.0
2016-03-27,70.91,70.91,70.11,70.8,886502.0
2016-03-28,70.96,71.27,70.8499,70.86,632440.0
2016-03-29,70.96,72.4,70.76,72.36,966305.0
2016-03-30,72.52,73.19,72.4,72.56,1220481.0
2016-03-31,72.7,72.97,71.919,72.81,954034.0
2016-04-01,72.74,73.26,72.39,73.05,884851.0
2016-04-02,72.74,73.26,72.39,73.05,884851.0
2016-04-03,72.74,73.26,72.39,73.05,884851.0
2016-04-04,73.16,73.23,72.56,72.83,861531.0
2016-04-05,72.51,72.95,72.27,72.37,677426.0
2016-04-06,71.5,72.82,71.5,72.74,1130037.0
2016-04-07,72.49,72.69,71.8,72.11,1232928.0
2016-04-08,72.44,72.72,71.89,72.07,608310.0
2016-04-09,72.44,72.72,71.89,72.07,608310.0
2016-04-10,72.44,72.72,71.89,72.07,608310.0
2016-04-11,72.43,72.7,72.145,72.17,2264010.0
2016-04-12,72.22,72.41,71.69,72.15,1199132.0
2016-04-13,72.22,72.91,72.19,72.9,553492.0
2016-04-14,72.38,72.7,71.93,72.49,521609.0
2016-04-15,72.55,72.62,71.88,72.53,493891.0
2016-04-16,72.55,72.62,71.88,72.53,493891.0
2016-04-17,72.55,72.62,71.88,72.53,493891.0
2016-04-18,72.53,72.88,72.26,72.75,530191.0
2016-04-19,72.89,73.27,72.66,73.12,657285.0
2016-04-20,72.9,73.01,72.06,72.97,634254.0
2016-04-21,73.0,73.59,71.7,71.99,1077953.0
2016-04-22,72.05,72.57,71.66,71.9,741352.0
2016-04-23,72.05,72.57,71.66,71.9,741352.0
2016-04-24,72.05,72.57,71.66,71.9,741352.0
2016-04-25,71.78,72.05,71.39,71.59,588308.0
2016-04-26,71.68,72.285,71.52,71.84,1068599.0
2016-04-27,71.25,72.3,71.25,72.23,1242710.0
2016-04-28,71.97,71.97,70.72,70.82,1485664.0
2016-04-29,70.61,70.67,69.54,69.94,887094.0
2016-04-30,70.61,70.67,69.54,69.94,887094.0
2016-05-01,70.61,70.67,69.54,69.94,887094.0
2016-05-02,70.32,70.325,69.74,70.07,871734.0
2016-05-03,70.0,70.0,69.38,69.63,882925.0
2016-05-04,69.18,69.82,69.03,69.1,433023.0
2016-05-05,69.09,69.63,69.07,69.39,1122740.0
2016-05-06,69.19,69.42,68.92,69.36,785223.0
2016-05-07,69.19,69.42,68.92,69.36,785223.0
2016-05-08,69.19,69.42,68.92,69.36,785223.0
2016-05-09,69.25,69.57,68.97,69.14,409950.0
2016-05-10,69.45,69.86,69.12,69.85,683369.0
2016-05-11,69.71,69.97,69.58,69.7,1404012.0
2016-05-12,69.52,69.57,68.49,68.82,687311.0
2016-05-13,68.66,68.89,68.44,68.6,639402.0
2016-05-14,68.66,68.89,68.44,68.6,639402.0
2016-05-15,68.66,68.89,68.44,68.6,639402.0
2016-05-16,68.12,68.16,67.32,67.9,1714225.0
2016-05-17,67.84,68.24,67.6,67.77,1365241.0
2016-05-18,67.8,68.64,67.8,68.21,824975.0
2016-05-19,68.0,68.25,67.73,67.88,708918.0
2016-05-20,68.44,69.75,68.37,69.59,1020901.0
2016-05-21,68.44,69.75,68.37,69.59,1020901.0
2016-05-22,68.44,69.75,68.37,69.59,1020901.0
2016-05-23,69.61,70.0,69.52,69.75,868436.0
2016-05-24,70.0,71.08,69.96,70.99,944393.0
2016-05-25,71.01,71.77,71.01,71.73,709372.0
2016-05-26,71.68,71.99,71.54,71.92,457812.0
2016-05-27,71.91,73.14,71.91,72.99,601114.0
2016-05-28,71.91,73.14,71.91,72.99,601114.0
2016-05-29,71.91,73.14,71.91,72.99,601114.0
2016-05-30,71.91,73.14,71.91,72.99,601114.0
2016-05-31,72.81,73.09,72.54,72.93,1157833.0
2016-06-01,72.83,73.187,72.55,73.13,934789.0
2016-06-02,72.98,73.65,72.745,73.27,1529840.0
2016-06-03,73.13,73.21,72.64,73.1,654399.0
2016-06-04,73.13,73.21,72.64,73.1,654399.0
2016-06-05,73.13,73.21,72.64,73.1,654399.0
2016-06-06,72.93,73.31,72.68,72.74,749613.0
2016-06-07,72.7,73.17,72.69,72.96,630934.0
2016-06-08,73.08,73.39,72.81,73.18,593450.0
2016-06-09,73.05,73.45,72.62,73.41,466057.0
2016-06-10,73.12,73.12,72.56,72.67,717074.0
2016-06-11,73.12,73.12,72.56,72.67,717074.0
2016-06-12,73.12,73.12,72.56,72.67,717074.0
2016-06-13,72.36,72.98,72.26,72.51,787209.0
2016-06-14,72.44,72.75,72.16,72.63,508176.0
2016-06-15,73.06,73.19,72.62,72.91,558083.0
2016-06-16,72.69,73.02,72.3,72.79,594122.0
2016-06-17,72.79,73.03,72.43,73.03,1710880.0
2016-06-18,72.79,73.03,72.43,73.03,1710880.0
2016-06-19,72.79,73.03,72.43,73.03,1710880.0
2016-06-20,73.3,74.01,73.28,73.65,1001155.0
2016-06-21,73.75,74.05,73.66,73.86,1232829.0
2016-06-22,73.96,74.47,73.85,74.3,1321210.0
2016-06-23,74.88,75.17,74.57,74.85,1638338.0
2016-06-24,72.97,74.46,72.5,72.55,1888278.0
2016-06-25,72.97,74.46,72.5,72.55,1888278.0
2016-06-26,72.97,74.46,72.5,72.55,1888278.0
2016-06-27,72.19,72.217,70.98,71.27,1237149.0
2016-06-28,71.61,72.2,71.55,71.99,2163501.0
2016-06-29,72.3,73.14,71.55,72.08,1896463.0
2016-06-30,72.37,73.25,72.02,73.25,1819624.0
2016-07-01,73.0,73.11,72.47,72.5,1098739.0
2016-07-02,73.0,73.11,72.47,72.5,1098739.0
2016-07-03,73.0,73.11,72.47,72.5,1098739.0
2016-07-04,73.0,73.11,72.47,72.5,1098739.0
2016-07-05,72.23,72.36,71.68,72.11,1223996.0
2016-07-06,71.96,72.34,71.51,72.26,1895486.0
2016-07-07,72.16,72.9,72.08,72.24,1893686.0
2016-07-08,72.41,73.9,72.34,73.75,839294.0
2016-07-09,72.41,73.9,72.34,73.75,839294.0
2016-07-10,72.41,73.9,72.34,73.75,839294.0
2016-07-11,73.52,74.56,73.52,74.38,560767.0
2016-07-12,74.8,75.37,74.62,75.34,578588.0
2016-07-13,75.54,75.89,75.37,75.55,543225.0
2016-07-14,76.0,76.1,74.87,75.22,1854248.0
2016-07-15,75.38,75.58,74.96,75.13,1643886.0
2016-07-16,75.38,75.58,74.96,75.13,1643886.0
2016-07-17,75.38,75.58,74.96,75.13,1643886.0
2016-07-18,75.31,75.93,75.18,75.93,903964.0
2016-07-19,75.7,76.18,75.61,75.95,651005.0
2016-07-20,76.0,76.9,75.82,76.67,586708.0
2016-07-21,76.47,76.51,75.62,75.74,473702.0
2016-07-22,75.72,76.2,75.63,76.06,445515.0
2016-07-23,75.72,76.2,75.63,76.06,445515.0
2016-07-24,75.72,76.2,75.63,76.06,445515.0
2016-07-25,76.09,76.49,75.97,76.49,344831.0
2016-07-26,76.82,77.26,76.35,76.99,553845.0
2016-07-27,76.98,77.32,76.62,77.0,491625.0
2016-07-28,77.38,77.85,76.88,77.45,946068.0
2016-07-29,77.2,77.39,75.4599,75.71,1446336.0
2016-07-30,77.2,77.39,75.4599,75.71,1446336.0
2016-07-31,77.2,77.39,75.4599,75.71,1446336.0
2016-08-01,75.62,76.58,75.58,76.58,763160.0
2016-08-02,76.44,76.5,75.42,75.72,872900.0
2016-08-03,75.6,76.1,75.561,76.09,1000344.0
2016-08-04,75.95,76.81,75.95,76.8,401520.0
2016-08-05,76.94,77.63,76.8,77.63,431291.0
2016-08-06,76.94,77.63,76.8,77.63,431291.0
2016-08-07,76.94,77.63,76.8,77.63,431291.0
2016-08-08,77.61,77.63,77.02,77.02,516865.0
2016-08-09,77.1,77.51,76.76,77.41,269918.0
2016-08-10,76.45,76.45,69.1,69.47,7369296.0
2016-08-11,69.86,70.16,66.88,67.51,3423726.0
2016-08-12,67.97,68.52,67.23,68.28,2896651.0
2016-08-13,67.97,68.52,67.23,68.28,2896651.0
2016-08-14,67.97,68.52,67.23,68.28,2896651.0
2016-08-15,68.28,69.505,68.16,69.44,2021307.0
2016-08-16,69.11,69.38,68.93,69.19,1218423.0
2016-08-17,69.08,69.85,68.65100000000001,69.64,1044635.0
2016-08-18,69.54,69.88,69.4,69.73,608373.0
2016-08-19,69.9,71.14,69.87,70.95,1636694.0
2016-08-20,69.9,71.14,69.87,70.95,1636694.0
2016-08-21,69.9,71.14,69.87,70.95,1636694.0
2016-08-22,70.8,71.22,70.35,70.52,1007467.0
2016-08-23,70.76,71.135,67.71,68.05,2441822.0
2016-08-24,68.0,68.14,67.02,67.17,1322386.0
2016-08-25,67.21,67.47,66.97,67.3,1365572.0
2016-08-26,67.28,67.64,66.89,67.52,1401487.0
2016-08-27,67.28,67.64,66.89,67.52,1401487.0
2016-08-28,67.28,67.64,66.89,67.52,1401487.0
2016-08-29,68.58,69.74,68.3001,68.73,1967604.0
2016-08-30,68.87,69.03,68.03,68.36,1128562.0
2016-08-31,68.12,69.32,67.94,69.26,2829976.0
2016-09-01,69.56,70.77,69.34,70.74,1935572.0
2016-09-02,71.0,71.16,69.96,70.2,853026.0
2016-09-03,71.0,71.16,69.96,70.2,853026.0
2016-09-04,71.0,71.16,69.96,70.2,853026.0
2016-09-05,71.0,71.16,69.96,70.2,853026.0
2016-09-06,70.46,70.63,68.94,70.54,1179187.0
2016-09-07,70.81,70.81,70.0,70.8,1460643.0
2016-09-08,70.66,70.73,70.18,70.46,973168.0
2016-09-09,70.19,70.385,69.29,69.43,1687493.0
2016-09-10,70.19,70.385,69.29,69.43,1687493.0
2016-09-11,70.19,70.385,69.29,69.43,1687493.0
2016-09-12,69.01,70.66,68.71,70.62,1311062.0
2016-09-13,71.04,71.05,68.5,69.03,1107866.0
2016-09-14,68.99,69.36,68.54,68.9,1011943.0
2016-09-15,68.75,70.41,68.75,70.26,2449557.0
2016-09-16,70.09,70.4,69.43,70.23,1514794.0
2016-09-17,70.09,70.4,69.43,70.23,1514794.0
2016-09-18,70.09,70.4,69.43,70.23,1514794.0
2016-09-19,70.4,70.49,69.4,69.69,1206205.0
2016-09-20,70.03,70.1,69.18,69.18,831259.0
2016-09-21,69.16,70.21,69.11,69.79,1452669.0
2016-09-22,70.31,70.31,69.32,69.51,1565794.0
2016-09-23,69.22,69.92,69.18,69.32,553361.0
2016-09-24,69.22,69.92,69.18,69.32,553361.0
2016-09-25,69.22,69.92,69.18,69.32,553361.0
