Date,Open,High,Low,Close,Volume
2016-01-04,42.34,42.5,41.965,42.4,16084145.0
2016-01-04,42.34,42.5,41.965,42.4,16084145.0
2016-01-04,42.34,42.5,41.965,42.4,16084145.0
2016-01-04,42.34,42.5,41.965,42.4,16084145.0
2016-01-05,42.31,42.625,42.17,42.55,15769463.0
2016-01-06,42.2,42.51,42.04,42.32,16245132.0
2016-01-07,41.65,42.11,41.4496,41.62,20561556.0
2016-01-08,41.65,42.12,41.41,41.51,14645738.0
2016-01-09,41.65,42.12,41.41,41.51,14645738.0
2016-01-10,41.65,42.12,41.41,41.51,14645738.0
2016-01-11,41.58,41.8599,41.29,41.58,15807748.0
2016-01-12,42.3,42.45,41.87,42.12,21814837.0
2016-01-13,42.17,42.57,41.79,41.85,16854282.0
2016-01-14,41.99,42.17,41.64,41.88,16027468.0
2016-01-15,40.95,41.59,40.926,41.5,21153542.0
2016-01-16,40.95,41.59,40.926,41.5,21153542.0
2016-01-17,40.95,41.59,40.926,41.5,21153542.0
2016-01-18,40.95,41.59,40.926,41.5,21153542.0
2016-01-19,41.77,42.12,41.65,41.92,15462140.0
2016-01-20,41.45,41.62,40.75,41.38,19923495.0
2016-01-21,41.45,41.51,41.0861,41.39,15558254.0
2016-01-22,41.64,42.2385,41.45,42.06,15209235.0
2016-01-23,41.64,42.2385,41.45,42.06,15209235.0
2016-01-24,41.64,42.2385,41.45,42.06,15209235.0
2016-01-25,42.24,42.5,41.93,42.16,12505160.0
2016-01-26,42.16,42.5,41.93,42.08,13018471.0
2016-01-27,42.18,42.46,41.81,42.09,14167006.0
2016-01-28,42.18,42.72,42.06,42.57,16622810.0
2016-01-29,42.86,43.26,42.65,42.92,20456815.0
2016-01-30,42.86,43.26,42.65,42.92,20456815.0
2016-01-31,42.86,43.26,42.65,42.92,20456815.0
2016-02-01,42.6,43.15,42.57,43.0,17097846.0
2016-02-02,42.7,42.79,42.405,42.44,12332896.0
2016-02-03,42.8,42.935,42.28,42.72,15958302.0
2016-02-04,42.52,42.89,42.4,42.53,14413744.0
2016-02-05,42.93,42.99,42.26,42.44,17315347.0
2016-02-06,42.93,42.99,42.26,42.44,17315347.0
2016-02-07,42.93,42.99,42.26,42.44,17315347.0
2016-02-08,42.17,42.7,41.9,42.65,17253832.0
2016-02-09,42.26,43.49,42.26,43.3,24853137.0
2016-02-10,43.34,43.39,42.51,42.55,16728238.0
2016-02-11,42.03,42.61,41.98,42.41,16825337.0
2016-02-12,42.72,43.135,42.56,43.11,15220530.0
2016-02-13,42.72,43.135,42.56,43.11,15220530.0
2016-02-14,42.72,43.135,42.56,43.11,15220530.0
2016-02-15,42.72,43.135,42.56,43.11,15220530.0
2016-02-16,43.32,43.46,43.02,43.36,12675761.0
2016-02-17,43.42,43.62,43.28,43.49,12332388.0
2016-02-18,43.63,43.73,43.3,43.61,11169234.0
2016-02-19,43.58,43.77,43.28,43.77,12849873.0
2016-02-20,43.58,43.77,43.28,43.77,12849873.0
2016-02-21,43.58,43.77,43.28,43.77,12849873.0
2016-02-22,43.76,44.16,43.63,43.94,20716040.0
2016-02-23,43.74,44.05,43.66,43.69,11166283.0
2016-02-24,43.56399999999999,43.94,43.37,43.91,10842148.0
