Date,Open,High,Low,Close,Volume
2016-01-04,94.6,94.72,93.31,94.0,2067992.0
2016-01-04,94.6,94.72,93.31,94.0,2067992.0
2016-01-04,94.6,94.72,93.31,94.0,2067992.0
2016-01-04,94.6,94.72,93.31,94.0,2067992.0
2016-01-05,94.43,96.87,94.05,96.49,2129145.0
2016-01-06,95.34,96.3154,93.7,94.64,2568668.0
2016-01-07,94.0,97.33,93.9,96.52,3865853.0
2016-01-08,96.95,97.3899,92.84,93.23,2554599.0
2016-01-09,96.95,97.3899,92.84,93.23,2554599.0
2016-01-10,96.95,97.3899,92.84,93.23,2554599.0
2016-01-11,93.64,94.615,92.3,93.02,1567407.0
2016-01-12,94.23,96.8,93.95,95.12,1942934.0
2016-01-13,95.32,95.79,92.06,92.25,1771012.0
2016-01-14,92.18,94.79,90.67,94.2,2001790.0
2016-01-15,92.39,93.65,90.9,92.34,2635166.0
2016-01-16,92.39,93.65,90.9,92.34,2635166.0
2016-01-17,92.39,93.65,90.9,92.34,2635166.0
2016-01-18,92.39,93.65,90.9,92.34,2635166.0
2016-01-19,93.18,94.27,92.19,93.15,2062998.0
2016-01-20,91.81,92.54,88.66,90.78,2230432.0
2016-01-21,90.95,93.71,90.39,93.38,1974700.0
2016-01-22,94.32,96.01,93.64,95.92,2703334.0
2016-01-23,94.32,96.01,93.64,95.92,2703334.0
2016-01-24,94.32,96.01,93.64,95.92,2703334.0
2016-01-25,95.81,96.39,94.93,95.27,1752709.0
2016-01-26,95.34,96.78,94.85,95.66,1121799.0
2016-01-27,95.63,95.77,93.29,93.97,1385612.0
2016-01-28,94.96,95.4,93.37,94.48,1378761.0
2016-01-29,95.45,96.8,95.04,96.15,1724909.0
2016-01-30,95.45,96.8,95.04,96.15,1724909.0
2016-01-31,95.45,96.8,95.04,96.15,1724909.0
2016-02-01,95.72,97.14,95.34,96.56,2852954.0
2016-02-02,96.2,97.35,94.49,95.2,1933920.0
2016-02-03,95.74,95.94,93.5301,95.17,1751391.0
2016-02-04,91.4,93.0,88.53,88.57,4861844.0
2016-02-05,88.13,88.13,84.59,85.06,4229844.0
2016-02-06,88.13,88.13,84.59,85.06,4229844.0
2016-02-07,88.13,88.13,84.59,85.06,4229844.0
2016-02-08,84.61,84.77,79.93,81.11,4976428.0
2016-02-09,80.83,83.57,80.82,82.31,3889999.0
2016-02-10,82.66,84.64,82.5,84.03,2985366.0
2016-02-11,82.81,85.05,82.81,84.0,2939492.0
2016-02-12,84.8,85.6,79.35,81.87,6179355.0
2016-02-13,84.8,85.6,79.35,81.87,6179355.0
2016-02-14,84.8,85.6,79.35,81.87,6179355.0
2016-02-15,84.8,85.6,79.35,81.87,6179355.0
2016-02-16,82.84,83.32,81.55,83.31,3183398.0
2016-02-17,81.34,82.66,81.28,81.85,3447028.0
2016-02-18,81.22,83.825,80.71,83.7,2796059.0
2016-02-19,83.22,84.07,82.28,83.94,2345583.0
2016-02-20,83.22,84.07,82.28,83.94,2345583.0
2016-02-21,83.22,84.07,82.28,83.94,2345583.0
2016-02-22,83.94,84.48,83.04,83.95,3328650.0
2016-02-23,83.91,84.7599,83.27,83.92,2269897.0
2016-02-24,83.7,83.85,81.8656,83.19,2972584.0
2016-02-25,81.15,85.93,81.04,85.67,4409199.0
2016-02-26,85.52,86.23,84.24,84.38,1876947.0
2016-02-27,85.52,86.23,84.24,84.38,1876947.0
2016-02-28,85.52,86.23,84.24,84.38,1876947.0
2016-02-29,84.4,85.9,83.59,84.79,2127411.0
2016-03-01,85.39,86.93,84.63,86.93,2985654.0
2016-03-02,86.39,87.49,86.01,87.17,1631037.0
2016-03-03,87.21,87.25,85.15,86.68,2424653.0
2016-03-04,87.01,87.93,86.788,87.5,1702622.0
2016-03-05,87.01,87.93,86.788,87.5,1702622.0
2016-03-06,87.01,87.93,86.788,87.5,1702622.0
2016-03-07,87.14,88.14,85.37,85.89,2766735.0
2016-03-08,85.71,86.62,85.45,85.94,2138475.0
2016-03-09,86.19,86.34,85.2,85.72,1119224.0
2016-03-10,86.32,87.03,85.35,86.33,965177.0
2016-03-11,87.0,87.14,85.76,86.32,1058749.0
2016-03-12,87.0,87.14,85.76,86.32,1058749.0
2016-03-13,87.0,87.14,85.76,86.32,1058749.0
2016-03-14,85.96,86.79,85.84,86.56,1252711.0
