Date,Open,High,Low,Close,Volume
2016-01-04,41.27,41.51,40.5,41.02,1337100.0
2016-01-04,41.27,41.51,40.5,41.02,1337100.0
2016-01-04,41.27,41.51,40.5,41.02,1337100.0
2016-01-04,41.27,41.51,40.5,41.02,1337100.0
2016-01-05,41.2,41.57,40.97,41.48,1135741.0
2016-01-06,40.64,41.09,39.9,40.34,1892681.0
2016-01-07,39.67,40.63,39.47,40.23,2073845.0
2016-01-08,40.54,41.14,40.28,40.41,2346480.0
2016-01-09,40.54,41.14,40.28,40.41,2346480.0
2016-01-10,40.54,41.14,40.28,40.41,2346480.0
2016-01-11,40.58,40.7199,39.17,39.68,1373295.0
2016-01-12,40.19,40.35,39.28,39.63,900320.0
2016-01-13,39.83,40.01,37.98,38.1,1183490.0
2016-01-14,38.15,39.14,37.74,38.79,1017261.0
2016-01-15,37.94,38.91,37.76,38.71,1462722.0
2016-01-16,37.94,38.91,37.76,38.71,1462722.0
2016-01-17,37.94,38.91,37.76,38.71,1462722.0
2016-01-18,37.94,38.91,37.76,38.71,1462722.0
2016-01-19,39.12,39.19,38.0,38.3,842391.0
2016-01-20,37.75,38.22,36.64,37.79,1422874.0
2016-01-21,37.9,38.99,37.62,38.73,1135374.0
2016-01-22,39.28,39.97,38.945,39.39,879839.0
2016-01-23,39.28,39.97,38.945,39.39,879839.0
2016-01-24,39.28,39.97,38.945,39.39,879839.0
2016-01-25,39.34,39.94,39.11,39.35,1228006.0
2016-01-26,39.55,40.08,39.34,39.87,686962.0
2016-01-27,39.68,40.13,39.25,39.56,625066.0
2016-01-28,39.91,39.95,39.2656,39.7,751215.0
2016-01-29,40.09,41.58,40.08,41.51,1608482.0
2016-01-30,40.09,41.58,40.08,41.51,1608482.0
2016-01-31,40.09,41.58,40.08,41.51,1608482.0
2016-02-01,41.25,41.73,40.782,41.58,1139255.0
2016-02-02,43.0,43.0,39.76,40.79,1898146.0
2016-02-03,41.57,41.63,40.03,40.83,1443330.0
2016-02-04,40.72,41.45,40.47,41.2,985553.0
2016-02-05,41.2,41.28,40.35,40.77,938947.0
2016-02-06,41.2,41.28,40.35,40.77,938947.0
2016-02-07,41.2,41.28,40.35,40.77,938947.0
2016-02-08,40.34,40.61,39.56,40.48,1087891.0
2016-02-09,39.96,41.25,39.95,40.96,1062559.0
2016-02-10,41.42,42.15,41.181000000000004,41.63,798489.0
2016-02-11,41.0,41.4,40.755,41.18,1033847.0
2016-02-12,41.73,42.35,41.33,42.33,986183.0
2016-02-13,41.73,42.35,41.33,42.33,986183.0
2016-02-14,41.73,42.35,41.33,42.33,986183.0
2016-02-15,41.73,42.35,41.33,42.33,986183.0
2016-02-16,42.83,43.03,42.27,42.98,947662.0
2016-02-17,43.3,43.54,42.985,43.47,903759.0
2016-02-18,43.55,44.0,43.26,43.68,869250.0
2016-02-19,43.54,43.82,43.15,43.7,970773.0
2016-02-20,43.54,43.82,43.15,43.7,970773.0
2016-02-21,43.54,43.82,43.15,43.7,970773.0
2016-02-22,43.98,44.65,43.89,44.56,675886.0
2016-02-23,44.57,44.82,44.21,44.23,703847.0
2016-02-24,43.82,44.88,43.72,44.75,765480.0
2016-02-25,44.91,45.0,44.2,44.71,1010625.0
2016-02-26,45.01,45.49,44.68,45.33,988071.0
2016-02-27,45.01,45.49,44.68,45.33,988071.0
2016-02-28,45.01,45.49,44.68,45.33,988071.0
2016-02-29,45.29,45.805,44.66,44.66,1086640.0
2016-03-01,45.16,46.32,44.88,46.09,811261.0
2016-03-02,46.12,46.74,45.92,46.73,1032301.0
2016-03-03,46.62,47.19,46.47,47.15,458328.0
2016-03-04,47.13,47.19,46.55,47.09,616602.0
2016-03-05,47.13,47.19,46.55,47.09,616602.0
2016-03-06,47.13,47.19,46.55,47.09,616602.0
2016-03-07,46.92,47.07,46.58,46.88,595173.0
2016-03-08,46.39,46.66,45.76,46.2,825496.0
2016-03-09,46.67,46.73,46.03,46.25,647282.0
2016-03-10,46.47,46.57,45.29,46.13,790761.0
2016-03-11,46.2,46.49,45.87,46.43,754214.0
2016-03-12,46.2,46.49,45.87,46.43,754214.0
2016-03-13,46.2,46.49,45.87,46.43,754214.0
2016-03-14,46.31,46.946000000000005,46.22,46.75,555470.0
2016-03-15,46.56,46.81,46.26,46.49,565311.0
2016-03-16,46.45,47.32,46.21,47.11,723411.0
2016-03-17,47.11,48.23,46.97,48.13,801450.0
2016-03-18,48.13,48.45,47.86,48.13,1778925.0
