Date,Open,High,Low,Close,Volume
2016-01-04,48.15,48.29,45.89,46.71,5952077.0
2016-01-04,48.15,48.29,45.89,46.71,5952077.0
2016-01-04,48.15,48.29,45.89,46.71,5952077.0
2016-01-04,48.15,48.29,45.89,46.71,5952077.0
2016-01-05,47.03,47.15,46.1,46.79,3301002.0
2016-01-06,46.12,46.7,44.99,45.4,3436584.0
2016-01-07,44.48,44.795,43.25,43.43,5040832.0
2016-01-08,43.9,43.93,41.9142,42.11,5286407.0
2016-01-09,43.9,43.93,41.9142,42.11,5286407.0
2016-01-10,43.9,43.93,41.9142,42.11,5286407.0
2016-01-11,42.54,42.79,41.8,42.4,3057307.0
2016-01-12,42.78,43.36,41.775,43.08,4124535.0
2016-01-13,43.41,43.84,41.3,41.5,3646841.0
2016-01-14,41.54,41.72,40.46,41.05,5219906.0
2016-01-15,40.0,41.51,39.52,40.91,5770689.0
2016-01-16,40.0,41.51,39.52,40.91,5770689.0
2016-01-17,40.0,41.51,39.52,40.91,5770689.0
2016-01-18,40.0,41.51,39.52,40.91,5770689.0
2016-01-19,41.72,41.88,40.5,40.98,3040184.0
2016-01-20,40.51,41.19,39.0,40.67,3762621.0
2016-01-21,40.85,42.08,40.72,41.19,3369892.0
2016-01-22,41.91,43.15,41.66,42.21,3144130.0
2016-01-23,41.91,43.15,41.66,42.21,3144130.0
2016-01-24,41.91,43.15,41.66,42.21,3144130.0
2016-01-25,41.9,42.06,40.34,40.6,4533717.0
2016-01-26,41.13,42.746,40.4,42.49,3860323.0
2016-01-27,42.32,42.65,41.51,41.82,2058289.0
2016-01-28,42.24,42.67,41.19,41.28,3141948.0
2016-01-29,41.54,42.34,41.27,42.15,2738207.0
2016-01-30,41.54,42.34,41.27,42.15,2738207.0
2016-01-31,41.54,42.34,41.27,42.15,2738207.0
2016-02-01,41.83,42.27,41.45,41.62,2150587.0
2016-02-02,41.03,41.34,40.1,40.19,2185289.0
2016-02-03,40.62,40.89,39.05,40.36,3115300.0
2016-02-04,40.25,41.28,40.145,40.52,1984403.0
2016-02-05,40.29,40.8297,39.44,39.53,3022738.0
2016-02-06,40.29,40.8297,39.44,39.53,3022738.0
2016-02-07,40.29,40.8297,39.44,39.53,3022738.0
2016-02-08,38.95,39.08,37.86,38.44,3153715.0
2016-02-09,37.79,38.9,37.76,38.42,3600281.0
2016-02-10,38.89,39.65,38.39,38.99,1903257.0
2016-02-11,38.29,38.65,37.14,37.8,4188628.0
2016-02-12,38.45,39.73,38.36,39.7,2681319.0
2016-02-13,38.45,39.73,38.36,39.7,2681319.0
2016-02-14,38.45,39.73,38.36,39.7,2681319.0
2016-02-15,38.45,39.73,38.36,39.7,2681319.0
2016-02-16,40.22,40.56,39.5,40.3,2405662.0
2016-02-17,40.53,40.97,40.11,40.52,3643901.0
2016-02-18,40.56,40.72,39.72,40.0,2032981.0
2016-02-19,39.89,40.55,39.67,39.97,3458787.0
2016-02-20,39.89,40.55,39.67,39.97,3458787.0
2016-02-21,39.89,40.55,39.67,39.97,3458787.0
2016-02-22,40.37,40.86,39.98,40.84,3511934.0
2016-02-23,40.68,41.2,40.175,41.04,2165859.0
2016-02-24,40.68,41.11,39.9,41.1,2027289.0
2016-02-25,41.11,42.34,41.1,42.24,2647276.0
2016-02-26,42.4,42.82,42.01,42.24,2023155.0
2016-02-27,42.4,42.82,42.01,42.24,2023155.0
2016-02-28,42.4,42.82,42.01,42.24,2023155.0
2016-02-29,42.2,42.72,41.91,41.94,2062782.0
2016-03-01,42.37,43.84,42.37,43.63,2316785.0
2016-03-02,43.58,44.79,43.44,44.77,2858894.0
2016-03-03,44.77,45.66,44.73,45.64,2455952.0
2016-03-04,45.61,45.85,45.1,45.38,1865968.0
2016-03-05,45.61,45.85,45.1,45.38,1865968.0
2016-03-06,45.61,45.85,45.1,45.38,1865968.0
2016-03-07,45.05,46.02,45.0,45.72,2104206.0
2016-03-08,45.51,45.72,44.11,44.53,2524988.0
2016-03-09,44.77,45.35,44.06,45.21,1778016.0
2016-03-10,45.26,45.72,44.15,44.86,1694360.0
2016-03-11,45.26,46.24,44.97,46.22,3346579.0
2016-03-12,45.26,46.24,44.97,46.22,3346579.0
2016-03-13,45.26,46.24,44.97,46.22,3346579.0
2016-03-14,45.79,46.13,45.32,45.76,2729173.0
2016-03-15,45.35,45.71,45.27,45.47,2099375.0
2016-03-16,45.22,46.55,45.1,46.47,2239909.0
2016-03-17,46.42,47.43,46.23,47.23,2083551.0
2016-03-18,47.43,48.24,47.26,47.66,3042566.0
2016-03-19,47.43,48.24,47.26,47.66,3042566.0
2016-03-20,47.43,48.24,47.26,47.66,3042566.0
2016-03-21,47.73,48.16,46.82,47.28,2061999.0
2016-03-22,47.03,47.41,46.88,47.05,1390992.0
2016-03-23,46.96,47.25,46.19,46.2,2083385.0
2016-03-24,46.54,46.56,45.855,46.35,2588765.0
2016-03-25,46.54,46.56,45.855,46.35,2588765.0
2016-03-26,46.54,46.56,45.855,46.35,2588765.0
2016-03-27,46.54,46.56,45.855,46.35,2588765.0
2016-03-28,46.52,46.905,45.9,46.7,2193355.0
2016-03-29,48.0,48.59,46.91,48.18,5817369.0
2016-03-30,48.63,48.71,47.6584,47.81,2184171.0
2016-03-31,47.67,48.44,47.67,48.36,2109232.0
2016-04-01,47.88,48.0,47.29,47.45,2817087.0
2016-04-02,47.88,48.0,47.29,47.45,2817087.0
2016-04-03,47.88,48.0,47.29,47.45,2817087.0
2016-04-04,47.45,47.5,46.36,46.85,2152121.0
2016-04-05,46.59,47.2,46.045,46.79,1691639.0
2016-04-06,46.84,47.925,46.76,47.67,2015415.0
2016-04-07,47.54,48.09,47.36,47.64,2277431.0
2016-04-08,48.17,48.25,47.5,47.59,1824595.0
2016-04-09,48.17,48.25,47.5,47.59,1824595.0
2016-04-10,48.17,48.25,47.5,47.59,1824595.0
2016-04-11,48.06,48.22,47.39,47.41,1963644.0
2016-04-12,47.41,47.82,47.06,47.63,1342908.0
2016-04-13,47.88,48.79,47.75,48.66,1682716.0
2016-04-14,48.61,48.96,48.03,48.31,1304242.0
2016-04-15,48.25,48.36,47.49,47.92,2393982.0
2016-04-16,48.25,48.36,47.49,47.92,2393982.0
2016-04-17,48.25,48.36,47.49,47.92,2393982.0
2016-04-18,47.82,47.94,47.43,47.77,1447717.0
2016-04-19,47.59,48.22,46.74,47.32,1957532.0
2016-04-20,47.3,48.37,46.79,47.8,2248161.0
2016-04-21,48.03,48.825,47.83,48.15,3375480.0
2016-04-22,48.15,48.65,47.12,47.33,1591010.0
2016-04-23,48.15,48.65,47.12,47.33,1591010.0
2016-04-24,48.15,48.65,47.12,47.33,1591010.0
2016-04-25,47.21,47.52,46.87,47.2,1419707.0
2016-04-26,47.21,47.77,47.09,47.48,1034888.0
2016-04-27,47.59,48.05,47.34,47.7,1495938.0
2016-04-28,47.29,47.41,45.69,45.8,2805362.0
2016-04-29,45.64,45.766999999999996,44.39,45.31,2935137.0
2016-04-30,45.64,45.766999999999996,44.39,45.31,2935137.0
2016-05-01,45.64,45.766999999999996,44.39,45.31,2935137.0
2016-05-02,45.58,45.99,45.31,45.81,1423683.0
2016-05-03,45.4,45.5,44.62,44.72,1936929.0
2016-05-04,44.31,44.55,43.645,44.44,2765066.0
2016-05-05,44.54,44.62,43.86,44.01,2070295.0
2016-05-06,43.84,44.37,43.39,43.85,1926239.0
2016-05-07,43.84,44.37,43.39,43.85,1926239.0
2016-05-08,43.84,44.37,43.39,43.85,1926239.0
2016-05-09,43.9,44.34,43.74,43.89,1555399.0
2016-05-10,43.98,44.47,43.78,44.47,2162584.0
2016-05-11,44.19,44.49,43.95,44.12,3190093.0
2016-05-12,44.26,44.41,43.45,43.7,1702922.0
2016-05-13,43.63,44.28,43.44,43.59,3152068.0
2016-05-14,43.63,44.28,43.44,43.59,3152068.0
2016-05-15,43.63,44.28,43.44,43.59,3152068.0
2016-05-16,43.59,44.08,43.48,43.79,1854555.0
2016-05-17,43.67,44.5,43.61,43.85,2161607.0
2016-05-18,43.75,44.44,43.29,43.69,1779053.0
2016-05-19,43.28,43.69,42.93,43.49,2362280.0
2016-05-20,43.73,44.54,43.73,44.31,2331307.0
2016-05-21,43.73,44.54,43.73,44.31,2331307.0
2016-05-22,43.73,44.54,43.73,44.31,2331307.0
2016-05-23,44.21,44.51,43.89,43.99,1113856.0
2016-05-24,44.66,46.32,44.41,45.69,4531079.0
2016-05-25,46.02,46.23,45.555,45.65,1739275.0
2016-05-26,45.61,45.83,45.24,45.46,1923319.0
2016-05-27,45.53,45.94,45.45,45.74,1087378.0
