Date,Open,High,Low,Close,Volume
2016-01-04,41.73,42.02,41.5,42.01,2962902.0
2016-01-04,41.73,42.02,41.5,42.01,2962902.0
2016-01-04,41.73,42.02,41.5,42.01,2962902.0
2016-01-04,41.73,42.02,41.5,42.01,2962902.0
2016-01-05,42.21,42.41,41.8,41.92,2782949.0
2016-01-06,41.18,41.49,40.3,40.55,2706383.0
2016-01-07,39.69,40.01,39.03,39.19,3607358.0
2016-01-08,39.33,39.5,38.66,38.71,2952087.0
2016-01-09,39.33,39.5,38.66,38.71,2952087.0
2016-01-10,39.33,39.5,38.66,38.71,2952087.0
2016-01-11,39.0,39.28,38.52,39.06,2704767.0
2016-01-12,39.47,39.61,39.04,39.51,1930215.0
2016-01-13,39.42,39.9925,38.85,38.89,3869837.0
2016-01-14,39.03,40.31,38.77,39.53,2985620.0
2016-01-15,37.62,39.13,37.33,38.95,6775526.0
2016-01-16,37.62,39.13,37.33,38.95,6775526.0
2016-01-17,37.62,39.13,37.33,38.95,6775526.0
2016-01-18,37.62,39.13,37.33,38.95,6775526.0
2016-01-19,39.55,40.1,39.15,39.57,4338168.0
2016-01-20,41.28,42.3,39.29,41.13,8007399.0
2016-01-21,41.89,42.35,41.39,42.01,6304390.0
2016-01-22,42.7,42.85,41.1024,41.73,3400973.0
2016-01-23,42.7,42.85,41.1024,41.73,3400973.0
2016-01-24,42.7,42.85,41.1024,41.73,3400973.0
2016-01-25,41.62,41.69,40.78,40.84,4285623.0
2016-01-26,40.98,41.56,40.62,41.08,4338366.0
2016-01-27,41.1,41.64,40.0752,41.22,3146697.0
2016-01-28,41.76,41.84,40.91,41.29,3141245.0
2016-01-29,41.52,42.77,41.5,42.73,3816141.0
2016-01-30,41.52,42.77,41.5,42.73,3816141.0
2016-01-31,41.52,42.77,41.5,42.73,3816141.0
2016-02-01,42.32,42.855,42.17,42.56,2247384.0
2016-02-02,42.08,42.33,41.655,41.77,4922711.0
2016-02-03,42.06,42.2299,41.01,41.54,4092129.0
2016-02-04,41.63,42.12,41.01,42.0,2673541.0
2016-02-05,41.93,41.98,40.89,41.07,3305411.0
2016-02-06,41.93,41.98,40.89,41.07,3305411.0
2016-02-07,41.93,41.98,40.89,41.07,3305411.0
2016-02-08,40.72,41.04,40.33,40.87,3388919.0
2016-02-09,40.46,41.31,40.3,40.91,2406132.0
2016-02-10,41.04,41.35,40.23,40.28,2384141.0
2016-02-11,39.75,41.58,39.68,41.21,4296042.0
2016-02-12,41.98,42.0,40.695,41.65,2908696.0
