Date,Open,High,Low,Close,Volume
2016-01-04,95.37,95.59,93.72,94.81,6378566.0
2016-01-04,95.37,95.59,93.72,94.81,6378566.0
2016-01-04,95.37,95.59,93.72,94.81,6378566.0
2016-01-04,95.37,95.59,93.72,94.81,6378566.0
2016-01-05,95.38,95.83,94.41,94.99,4352541.0
2016-01-06,93.49,94.39,92.98,93.35,4370013.0
2016-01-07,91.56,92.37,90.6835,91.64,6599769.0
2016-01-08,91.97,92.24,89.72,89.89,5911680.0
2016-01-09,91.97,92.24,89.72,89.89,5911680.0
2016-01-10,91.97,92.24,89.72,89.89,5911680.0
2016-01-11,90.25,91.1,89.29,90.58,5845545.0
2016-01-12,91.61,91.87,90.12,91.44,4440732.0
2016-01-13,92.07,92.15,88.75,89.19,4894988.0
2016-01-14,89.4,91.69,89.16,90.71,6236253.0
2016-01-15,88.09,89.28,87.82,88.71,6459530.0
2016-01-16,88.09,89.28,87.82,88.71,6459530.0
2016-01-17,88.09,89.28,87.82,88.71,6459530.0
2016-01-18,88.09,89.28,87.82,88.71,6459530.0
2016-01-19,89.56,89.74,85.49,86.22,10174734.0
2016-01-20,84.71,85.96,83.52,85.13,11672134.0
2016-01-21,85.23,87.5299,84.56,86.12,5989652.0
2016-01-22,87.73,88.83,87.4,88.0,4911826.0
2016-01-23,87.73,88.83,87.4,88.0,4911826.0
2016-01-24,87.73,88.83,87.4,88.0,4911826.0
2016-01-25,88.03,88.19,86.65,86.77,5110337.0
2016-01-26,87.0,87.5,86.4,87.0,4872670.0
2016-01-27,86.89,87.05,84.34,84.81,6749257.0
2016-01-28,85.34,85.65,83.35,83.43,9168669.0
2016-01-29,81.45,89.25,81.0,89.03,16407595.0
2016-01-30,81.45,89.25,81.0,89.03,16407595.0
2016-01-31,81.45,89.25,81.0,89.03,16407595.0
2016-02-01,88.52,89.2,87.23,88.63,5956387.0
2016-02-02,87.68,87.74,85.37,85.93,7096901.0
2016-02-03,86.56,86.76,84.46,86.47,5253412.0
2016-02-04,86.24,86.87,85.74,86.33,4490315.0
2016-02-05,86.04,86.32,82.18,82.76,8471725.0
2016-02-06,86.04,86.32,82.18,82.76,8471725.0
2016-02-07,86.04,86.32,82.18,82.76,8471725.0
2016-02-08,81.44,81.74,79.87,80.65,9213751.0
2016-02-09,78.87,83.23,78.52,81.97,7802523.0
2016-02-10,83.06,84.84,82.93,83.31,4859242.0
2016-02-11,80.15,82.79,79.98,82.11,6283439.0
2016-02-12,83.62,85.265,83.31,84.89,5213342.0
2016-02-13,83.62,85.265,83.31,84.89,5213342.0
2016-02-14,83.62,85.265,83.31,84.89,5213342.0
2016-02-15,83.62,85.265,83.31,84.89,5213342.0
2016-02-16,86.12,86.59,85.36,86.18,4335339.0
