Date,Open,High,Low,Close,Volume
2016-01-04,65.93,66.2,64.975,65.38,3899473.0
2016-01-04,65.93,66.2,64.975,65.38,3899473.0
2016-01-04,65.93,66.2,64.975,65.38,3899473.0
2016-01-04,65.93,66.2,64.975,65.38,3899473.0
2016-01-05,65.48,66.03,65.23,65.59,2699060.0
2016-01-06,64.47,64.68,62.53,63.62,4167145.0
2016-01-07,62.27,63.13,61.68,61.82,6444904.0
2016-01-08,62.36,63.81,62.01,62.65,4510253.0
2016-01-09,62.36,63.81,62.01,62.65,4510253.0
2016-01-10,62.36,63.81,62.01,62.65,4510253.0
2016-01-11,63.15,63.5,62.12,63.16,4568680.0
2016-01-12,63.22,64.5,63.17,64.32,4915297.0
2016-01-13,63.83,64.03,60.13,60.27,5475488.0
2016-01-14,60.21,62.12,58.92,60.74,7445758.0
2016-01-15,59.02,60.15,58.33,59.55,8374913.0
2016-01-16,59.02,60.15,58.33,59.55,8374913.0
2016-01-17,59.02,60.15,58.33,59.55,8374913.0
2016-01-18,59.02,60.15,58.33,59.55,8374913.0
2016-01-19,60.44,60.5,57.62,58.38,5212770.0
2016-01-20,57.63,60.6,56.43,59.81,8220507.0
2016-01-21,59.75,62.56,59.15,61.65,6139936.0
2016-01-22,62.58,63.61,61.61,62.46,4769659.0
2016-01-23,62.58,63.61,61.61,62.46,4769659.0
2016-01-24,62.58,63.61,61.61,62.46,4769659.0
2016-01-25,62.4,62.4,59.995,60.12,3230982.0
2016-01-26,60.71,62.06,60.28,61.94,3255632.0
2016-01-27,61.81,62.45,60.01,60.64,4022690.0
2016-01-28,61.27,61.635,58.8,59.21,4650675.0
2016-01-29,59.89,61.306999999999995,59.37,61.28,3170979.0
2016-01-30,59.89,61.306999999999995,59.37,61.28,3170979.0
2016-01-31,59.89,61.306999999999995,59.37,61.28,3170979.0
2016-02-01,60.32,61.8999,60.01,61.42,3495730.0
2016-02-02,60.4,60.76,58.99,59.07,3929013.0
2016-02-03,59.16,59.73,57.69,59.39,3559903.0
2016-02-04,59.28,60.9,58.89,60.71,4331455.0
2016-02-05,60.68,60.71,59.13,60.01,3703670.0
2016-02-06,60.68,60.71,59.13,60.01,3703670.0
2016-02-07,60.68,60.71,59.13,60.01,3703670.0
2016-02-08,59.59,59.8,57.89,59.44,5115953.0
2016-02-09,59.0,61.63,59.0,60.77,5311054.0
2016-02-10,61.63,62.84,61.18,61.38,3575455.0
2016-02-11,60.5,62.18,60.1,61.59,4797584.0
2016-02-12,62.06,63.89,61.63,63.8,3711608.0
2016-02-13,62.06,63.89,61.63,63.8,3711608.0
2016-02-14,62.06,63.89,61.63,63.8,3711608.0
2016-02-15,62.06,63.89,61.63,63.8,3711608.0
2016-02-16,64.27,65.545,63.98,65.06,5517628.0
2016-02-17,65.74,67.88,65.65,66.68,4907280.0
2016-02-18,64.1,65.68,64.0,64.94,7969291.0
2016-02-19,64.5,65.81,64.25,65.71,3596820.0
2016-02-20,64.5,65.81,64.25,65.71,3596820.0
2016-02-21,64.5,65.81,64.25,65.71,3596820.0
2016-02-22,66.21,67.53,66.18,66.79,5341629.0
2016-02-23,66.51,66.86,66.05,66.27,3016301.0
2016-02-24,65.64,67.26,65.03,67.03,3740715.0
2016-02-25,67.56,68.33,66.775,68.3,4236249.0
2016-02-26,68.97,69.0,67.8,68.15,2961937.0
2016-02-27,68.97,69.0,67.8,68.15,2961937.0
