Date,Open,High,Low,Close,Volume
2016-01-04,117.25,117.73,115.87,117.58,9995004.0
2016-01-04,117.25,117.73,115.87,117.58,9995004.0
2016-01-04,117.25,117.73,115.87,117.58,9995004.0
2016-01-04,117.25,117.73,115.87,117.58,9995004.0
2016-01-05,117.41,119.23,117.29,119.2,6312701.0
2016-01-06,118.0,119.27,117.81,118.4,6543740.0
2016-01-07,117.44,117.97,115.59,115.66,7472323.0
2016-01-08,115.75,117.47,115.26,115.48,6103181.0
2016-01-09,115.75,117.47,115.26,115.48,6103181.0
2016-01-10,115.75,117.47,115.26,115.48,6103181.0
2016-01-11,115.65,117.06,115.58,116.69,6392810.0
2016-01-12,117.03,117.74,116.17,117.44,5639680.0
2016-01-13,117.69,117.87,115.08,115.12,6985962.0
2016-01-14,115.59,117.13,113.0,116.62,9204308.0
2016-01-15,114.26,116.45,114.21,115.18,10201798.0
2016-01-16,114.26,116.45,114.21,115.18,10201798.0
2016-01-17,114.26,116.45,114.21,115.18,10201798.0
2016-01-18,114.26,116.45,114.21,115.18,10201798.0
2016-01-19,116.63,117.71,115.96,117.5,9194562.0
2016-01-20,116.97,118.0,114.38,115.78,11905195.0
2016-01-21,116.51,118.44,115.79,117.84,9838780.0
2016-01-22,118.44,118.75,117.37,118.4,9010801.0
2016-01-23,118.44,118.75,117.37,118.4,9010801.0
2016-01-24,118.44,118.75,117.37,118.4,9010801.0
2016-01-25,121.85,121.9,118.2,119.2,15140066.0
2016-01-26,119.6,121.3,119.0,120.43,8325884.0
2016-01-27,120.88,121.62,119.83,120.87,7407338.0
2016-01-28,121.1,122.6,120.2,122.38,7460432.0
2016-01-29,122.77,124.35,122.75,123.78,10548877.0
2016-01-30,122.77,124.35,122.75,123.78,10548877.0
2016-01-31,122.77,124.35,122.75,123.78,10548877.0
2016-02-01,123.08,124.83,123.02,124.61,6188006.0
2016-02-02,124.05,124.34,123.1,123.95,7652438.0
2016-02-03,124.36,124.58,120.84,121.47,9322112.0
2016-02-04,121.04,121.24,118.72,120.66,7594821.0
2016-02-05,120.65,120.65,114.96,115.4,13260510.0
2016-02-06,120.65,120.65,114.96,115.4,13260510.0
2016-02-07,120.65,120.65,114.96,115.4,13260510.0
2016-02-08,114.05,116.36,112.71,116.05,11310593.0
2016-02-09,115.54,117.8,115.35,117.01,7523130.0
2016-02-10,118.02,118.53,117.26,117.54,5726298.0
2016-02-11,115.74,117.5,115.69,116.73,7568617.0
2016-02-12,116.72,118.33,116.1,117.93,8551912.0
2016-02-13,116.72,118.33,116.1,117.93,8551912.0
2016-02-14,116.72,118.33,116.1,117.93,8551912.0
2016-02-15,116.72,118.33,116.1,117.93,8551912.0
2016-02-16,118.42,119.18,117.6,119.18,10549594.0
2016-02-17,119.18,119.4,116.72,118.64,12728752.0
2016-02-18,118.81,119.46,116.93,117.17,9706783.0
2016-02-19,117.0,117.35,115.81,116.53,10793653.0
2016-02-20,117.0,117.35,115.81,116.53,10793653.0
2016-02-21,117.0,117.35,115.81,116.53,10793653.0
2016-02-22,117.33,118.16,116.87,117.67,6223220.0
2016-02-23,117.35,118.15,116.85,116.9,5276452.0
2016-02-24,116.32,117.33,115.8,117.06,5349845.0
2016-02-25,117.43,118.5,117.16,118.37,6033209.0
