Date,Open,High,Low,Close,Volume
2016-01-04,77.63,78.46,77.2,78.18,2570572.0
2016-01-04,77.63,78.46,77.2,78.18,2570572.0
2016-01-04,77.63,78.46,77.2,78.18,2570572.0
2016-01-04,77.63,78.46,77.2,78.18,2570572.0
2016-01-05,78.3,78.53,76.9,77.55,2776065.0
2016-01-06,76.79,78.15,76.61,77.5,3016805.0
2016-01-07,76.4,77.39,75.59,75.64,4594213.0
2016-01-08,75.49,75.65,72.58,73.09,5176431.0
2016-01-09,75.49,75.65,72.58,73.09,5176431.0
2016-01-10,75.49,75.65,72.58,73.09,5176431.0
2016-01-11,72.12,72.15,70.02,70.55,6265957.0
2016-01-12,70.88,71.89,70.09,70.67,2285846.0
2016-01-13,70.95,71.06,68.85,69.09,2831115.0
2016-01-14,69.45,69.955,68.79,69.17,3291982.0
2016-01-15,67.34,70.0,67.11,69.74,2806622.0
2016-01-16,67.34,70.0,67.11,69.74,2806622.0
2016-01-17,67.34,70.0,67.11,69.74,2806622.0
2016-01-18,67.34,70.0,67.11,69.74,2806622.0
2016-01-19,69.82,70.49,68.73,69.24,1912951.0
2016-01-20,68.6,68.83,66.65,68.01,2869888.0
2016-01-21,68.01,68.47,66.85,67.64,2971043.0
2016-01-22,68.51,70.48,68.19,70.16,3001745.0
2016-01-23,68.51,70.48,68.19,70.16,3001745.0
2016-01-24,68.51,70.48,68.19,70.16,3001745.0
2016-01-25,69.8,69.93,68.885,68.91,2615888.0
2016-01-26,69.06,70.77,69.02,70.13,2145142.0
2016-01-27,69.71,70.19,68.04,68.2,4271643.0
2016-01-28,73.08,73.21,65.53,70.2,7260352.0
2016-01-29,71.0,72.64,70.79,72.49,2786617.0
2016-01-30,71.0,72.64,70.79,72.49,2786617.0
2016-01-31,71.0,72.64,70.79,72.49,2786617.0
2016-02-01,72.26,72.43,70.57,71.93,3179834.0
2016-02-02,71.24,71.26,68.95,68.97,2525897.0
2016-02-03,69.54,69.86,68.42,68.93,2704721.0
2016-02-04,69.12,70.88,68.65,69.64,2041838.0
2016-02-05,69.63,72.38,69.14,71.94,4790102.0
2016-02-06,69.63,72.38,69.14,71.94,4790102.0
2016-02-07,69.63,72.38,69.14,71.94,4790102.0
2016-02-08,71.41,71.5,66.89,68.22,3770807.0
2016-02-09,68.01,68.77,66.66,67.92,2437256.0
2016-02-10,68.58,71.23,68.58,70.72,2941193.0
2016-02-11,69.3,70.65,69.12,69.22,3353229.0
2016-02-12,69.97,70.97,69.67,70.53,1569052.0
2016-02-13,69.97,70.97,69.67,70.53,1569052.0
2016-02-14,69.97,70.97,69.67,70.53,1569052.0
2016-02-15,69.97,70.97,69.67,70.53,1569052.0
2016-02-16,71.45,72.92,71.43,72.53,1946807.0
2016-02-17,73.15,75.145,73.03,74.99,2480050.0
2016-02-18,74.85,75.255,74.08,74.66,1822547.0
2016-02-19,74.17,75.0,73.74,74.79,1392796.0
2016-02-20,74.17,75.0,73.74,74.79,1392796.0
2016-02-21,74.17,75.0,73.74,74.79,1392796.0
2016-02-22,75.19,75.34,73.29,74.0,2374270.0
2016-02-23,73.51,73.66,72.66,72.91,1843415.0
2016-02-24,72.14,73.03,70.72,72.68,2290851.0
2016-02-25,72.98,73.39,71.58,73.37,1625182.0
2016-02-26,73.96,74.4,72.76,72.97,1423046.0
2016-02-27,73.96,74.4,72.76,72.97,1423046.0
2016-02-28,73.96,74.4,72.76,72.97,1423046.0
2016-02-29,73.11,74.32,72.97,73.76,2383554.0
2016-03-01,74.09,74.2,72.68,74.05,1894458.0
2016-03-02,74.02,74.02,72.785,73.16,2265164.0
2016-03-03,73.32,75.86,72.9301,75.66,2048218.0
2016-03-04,75.9,78.06,75.3,77.24,2406201.0
2016-03-05,75.9,78.06,75.3,77.24,2406201.0
2016-03-06,75.9,78.06,75.3,77.24,2406201.0
2016-03-07,76.86,77.58,75.74,75.79,1702930.0
2016-03-08,75.64,75.64,74.14,74.62,1461882.0
2016-03-09,74.95,75.31,74.45,75.02,1180808.0
2016-03-10,74.96,76.15,74.62,75.6,1032860.0
2016-03-11,76.0,76.22,75.18,75.39,1680015.0
2016-03-12,76.0,76.22,75.18,75.39,1680015.0
2016-03-13,76.0,76.22,75.18,75.39,1680015.0
2016-03-14,75.39,76.39,75.2299,75.44,971023.0
2016-03-15,83.61,83.85,80.75,83.78,10131947.0
2016-03-16,83.94,84.46,82.44,82.81,3279129.0
2016-03-17,82.81,83.83,82.04,82.06,2732198.0
2016-03-18,81.89,83.46,81.5,83.27,3160605.0
2016-03-19,81.89,83.46,81.5,83.27,3160605.0
2016-03-20,81.89,83.46,81.5,83.27,3160605.0
2016-03-21,82.73,82.93,81.23,81.5,2242931.0
2016-03-22,81.0,81.56,80.62,81.01,2249151.0
2016-03-23,80.76,81.97,80.18,81.7,2173318.0
2016-03-24,81.07,82.04,80.4,81.98,1555883.0
2016-03-25,81.07,82.04,80.4,81.98,1555883.0
2016-03-26,81.07,82.04,80.4,81.98,1555883.0
2016-03-27,81.07,82.04,80.4,81.98,1555883.0
2016-03-28,81.77,82.785,81.535,82.61,1397801.0
2016-03-29,82.29,83.99,81.93,83.83,1463495.0
2016-03-30,83.92,85.07,83.7101,84.99,1715106.0
2016-03-31,84.73,85.24600000000001,84.13,84.97,1908751.0
2016-04-01,84.7,86.07,84.23,86.06,1069737.0
2016-04-02,84.7,86.07,84.23,86.06,1069737.0
2016-04-03,84.7,86.07,84.23,86.06,1069737.0
2016-04-04,83.9,84.835,82.43,84.83,2687045.0
2016-04-05,84.33,84.45,82.96,83.43,1187469.0
2016-04-06,83.27,85.19,83.14,84.98,1259245.0
2016-04-07,84.09,84.92,83.51,84.14,985331.0
2016-04-08,84.43,85.27,83.93,84.57,567734.0
2016-04-09,84.43,85.27,83.93,84.57,567734.0
2016-04-10,84.43,85.27,83.93,84.57,567734.0
2016-04-11,84.79,85.44,84.42,84.45,861991.0
2016-04-12,84.48,84.74,83.53,84.31,1384703.0
2016-04-13,84.5,85.19,83.69,84.95,1400949.0
2016-04-14,84.85,85.0,83.24,83.6,1265837.0
2016-04-15,83.48,84.31,83.3,84.25,1038824.0
2016-04-16,83.48,84.31,83.3,84.25,1038824.0
2016-04-17,83.48,84.31,83.3,84.25,1038824.0
2016-04-18,84.12,84.88,83.51,84.25,1184642.0
2016-04-19,84.33,84.9,83.775,84.24,1880718.0
2016-04-20,84.0,84.52,83.743,83.94,1046542.0
2016-04-21,84.25,84.33,82.91,83.01,1334906.0
2016-04-22,83.31,84.2483,83.06,83.9,2076705.0
2016-04-23,83.31,84.2483,83.06,83.9,2076705.0
2016-04-24,83.31,84.2483,83.06,83.9,2076705.0
2016-04-25,83.78,84.43,83.61,84.04,1215964.0
2016-04-26,84.0,84.62,83.5,84.31,1736444.0
2016-04-27,84.47,85.36,83.95,84.93,2127527.0
2016-04-28,85.19,89.44,85.0,87.92,3597455.0
2016-04-29,87.54,87.9,86.09,87.15,2203241.0
2016-04-30,87.54,87.9,86.09,87.15,2203241.0
2016-05-01,87.54,87.9,86.09,87.15,2203241.0
2016-05-02,87.16,87.48,86.4011,87.46,2152961.0
2016-05-03,86.7,86.87,83.86,85.09,2357831.0
2016-05-04,84.43,85.38,84.17,84.87,1228002.0
2016-05-05,84.86,86.06,84.66,84.92,771828.0
2016-05-06,84.66,85.46,84.135,85.05,599858.0
2016-05-07,84.66,85.46,84.135,85.05,599858.0
2016-05-08,84.66,85.46,84.135,85.05,599858.0
