Date,Open,High,Low,Close,Volume
2016-01-04,27.31,28.43,27.22,28.42,7316363.0
2016-01-04,27.31,28.43,27.22,28.42,7316363.0
2016-01-04,27.31,28.43,27.22,28.42,7316363.0
2016-01-04,27.31,28.43,27.22,28.42,7316363.0
2016-01-05,28.66,28.67,27.87,28.3,4995566.0
2016-01-06,27.83,27.85,26.265,26.44,5964354.0
2016-01-07,26.17,26.34,25.34,25.53,5552689.0
2016-01-08,25.5,25.6,24.77,24.91,5370278.0
2016-01-09,25.5,25.6,24.77,24.91,5370278.0
2016-01-10,25.5,25.6,24.77,24.91,5370278.0
2016-01-11,25.0,25.07,23.52,23.8,7972566.0
2016-01-12,24.3,24.765,23.65,24.56,8549868.0
2016-01-13,24.75,25.1699,24.03,24.14,6384269.0
2016-01-14,24.08,25.38,23.76,25.06,7342210.0
2016-01-15,24.44,25.675,24.23,25.47,9118903.0
2016-01-16,24.44,25.675,24.23,25.47,9118903.0
2016-01-17,24.44,25.675,24.23,25.47,9118903.0
2016-01-18,24.44,25.675,24.23,25.47,9118903.0
2016-01-19,25.76,25.95,24.2507,24.83,7747056.0
2016-01-20,24.38,24.4,22.689,23.93,8875662.0
2016-01-21,24.11,24.97,23.79,24.62,5979173.0
2016-01-22,25.25,26.23,23.365,23.85,9015752.0
2016-01-23,25.25,26.23,23.365,23.85,9015752.0
2016-01-24,25.25,26.23,23.365,23.85,9015752.0
2016-01-25,23.22,23.22,22.16,22.4,7810250.0
2016-01-26,22.43,23.09,22.4,22.85,5043572.0
2016-01-27,22.81,23.2,22.16,22.57,5721879.0
2016-01-28,22.49,23.18,22.05,23.0,5406316.0
2016-01-29,23.44,24.1,22.79,24.1,7734413.0
2016-01-30,23.44,24.1,22.79,24.1,7734413.0
2016-01-31,23.44,24.1,22.79,24.1,7734413.0
2016-02-01,23.95,24.07,23.015,23.92,5736439.0
2016-02-02,23.63,23.63,22.02,22.1,6462891.0
2016-02-03,22.44,23.94,22.43,23.93,5728357.0
2016-02-04,24.0,25.37,23.96,24.8,8350076.0
2016-02-05,24.7,25.46,24.21,24.86,4653865.0
2016-02-06,24.7,25.46,24.21,24.86,4653865.0
2016-02-07,24.7,25.46,24.21,24.86,4653865.0
2016-02-08,24.5,24.59,23.06,23.58,6038460.0
2016-02-09,23.09,24.06,22.58,23.86,6325973.0
2016-02-10,24.19,24.5,23.34,23.42,5091788.0
2016-02-11,23.17,25.77,22.37,24.75,11169530.0
2016-02-12,24.68,24.91,22.51,22.91,12192550.0
2016-02-13,24.68,24.91,22.51,22.91,12192550.0
2016-02-14,24.68,24.91,22.51,22.91,12192550.0
2016-02-15,24.68,24.91,22.51,22.91,12192550.0
2016-02-16,22.86,23.62,22.2,23.54,7380366.0
2016-02-17,23.79,25.51,23.68,25.3,7562605.0
2016-02-18,25.43,25.89,24.755,25.72,6359764.0
2016-02-19,25.59,25.6,24.1,24.4,6529598.0
2016-02-20,25.59,25.6,24.1,24.4,6529598.0
2016-02-21,25.59,25.6,24.1,24.4,6529598.0
2016-02-22,24.69,25.22,24.67,25.16,3693345.0
2016-02-23,25.06,25.069000000000003,24.12,24.38,5016444.0
2016-02-24,24.08,25.075,23.1077,24.97,6586801.0
2016-02-25,24.97,25.675,24.5,25.42,4698517.0
2016-02-26,25.73,27.07,25.62,26.82,8208111.0
2016-02-27,25.73,27.07,25.62,26.82,8208111.0
2016-02-28,25.73,27.07,25.62,26.82,8208111.0
2016-02-29,26.6,27.2,26.33,26.65,7683088.0
2016-03-01,26.56,27.35,26.48,27.1,5778023.0
2016-03-02,26.75,28.42,26.63,28.15,6645071.0
2016-03-03,28.19,28.615,27.89,28.49,4457990.0
2016-03-04,28.55,29.82,28.5,29.61,9121390.0
2016-03-05,28.55,29.82,28.5,29.61,9121390.0
2016-03-06,28.55,29.82,28.5,29.61,9121390.0
2016-03-07,29.59,31.1,29.59,30.37,9752217.0
2016-03-08,30.02,30.37,29.095,29.13,5947270.0
2016-03-09,29.35,30.16,29.04,30.13,5591463.0
2016-03-10,30.19,30.35,28.92,29.46,6894537.0
2016-03-11,29.5,29.8,28.5,28.7,7705508.0
2016-03-12,29.5,29.8,28.5,28.7,7705508.0
2016-03-13,29.5,29.8,28.5,28.7,7705508.0
2016-03-14,28.6,29.905,28.32,29.46,5219007.0
2016-03-15,29.03,29.19,28.27,28.54,4412482.0
2016-03-16,28.08,29.23,28.04,29.1,4646561.0
2016-03-17,29.51,30.25,29.29,29.87,5491971.0
2016-03-18,30.07,30.3,29.34,29.72,15175870.0
2016-03-19,30.07,30.3,29.34,29.72,15175870.0
2016-03-20,30.07,30.3,29.34,29.72,15175870.0
2016-03-21,29.58,30.21,29.505,29.72,3606447.0
2016-03-22,29.51,29.7,28.92,29.15,3961488.0
2016-03-23,28.7,28.83,27.89,28.02,5694522.0
2016-03-24,27.75,27.75,26.8635,27.26,6437136.0
2016-03-25,27.75,27.75,26.8635,27.26,6437136.0
2016-03-26,27.75,27.75,26.8635,27.26,6437136.0
2016-03-27,27.75,27.75,26.8635,27.26,6437136.0
2016-03-28,27.51,28.06,26.82,27.96,4624962.0
2016-03-29,27.64,28.055,26.95,27.97,4093072.0
2016-03-30,27.85,28.41,27.69,28.12,3778751.0
2016-03-31,28.16,28.305,26.88,27.0,6785818.0
2016-04-01,26.89,27.03,25.79,26.84,7021618.0
2016-04-02,26.89,27.03,25.79,26.84,7021618.0
2016-04-03,26.89,27.03,25.79,26.84,7021618.0
2016-04-04,26.38,26.65,25.65,25.81,4493310.0
2016-04-05,25.6,25.8016,25.165,25.37,3911940.0
2016-04-06,25.41,25.5,24.52,25.4,4730512.0
2016-04-07,25.19,25.4,24.52,24.75,4492284.0
2016-04-08,25.11,25.67,24.865,24.96,3947958.0
2016-04-09,25.11,25.67,24.865,24.96,3947958.0
2016-04-10,25.11,25.67,24.865,24.96,3947958.0
2016-04-11,24.96,25.15,24.65,24.87,4243802.0
2016-04-12,24.98,25.64,24.57,25.53,6008756.0
2016-04-13,25.89,26.555,25.68,26.52,5014302.0
2016-04-14,26.02,26.11,25.18,25.47,6128325.0
2016-04-15,25.42,26.24,25.11,26.11,4706290.0
2016-04-16,25.42,26.24,25.11,26.11,4706290.0
2016-04-17,25.42,26.24,25.11,26.11,4706290.0
2016-04-18,25.96,26.72,25.8,26.5,4539387.0
