Date,Open,High,Low,Close,Volume
2016-01-04,51.68,52.83,50.6584,51.24,5497256.0
2016-01-04,51.68,52.83,50.6584,51.24,5497256.0
2016-01-04,51.68,52.83,50.6584,51.24,5497256.0
2016-01-04,51.68,52.83,50.6584,51.24,5497256.0
2016-01-05,51.4,52.22,50.04,50.6,5485062.0
2016-01-06,49.3,49.79,47.93,48.72,7328538.0
2016-01-07,47.84,48.86,47.29,47.99,7563519.0
2016-01-08,48.34,48.55,46.14,46.19,5024970.0
2016-01-09,48.34,48.55,46.14,46.19,5024970.0
2016-01-10,48.34,48.55,46.14,46.19,5024970.0
2016-01-11,46.44,46.97,44.285,45.72,7508740.0
2016-01-12,46.21,47.08,45.12,46.39,4931889.0
2016-01-13,46.71,46.77,41.85,42.28,9902160.0
2016-01-14,42.56,44.19,41.13,43.66,9075927.0
2016-01-15,41.86,42.75,41.04,41.42,7876147.0
2016-01-16,41.86,42.75,41.04,41.42,7876147.0
2016-01-17,41.86,42.75,41.04,41.42,7876147.0
2016-01-18,41.86,42.75,41.04,41.42,7876147.0
2016-01-19,42.4,42.97,40.45,41.2,5664999.0
2016-01-20,40.17,41.14,38.95,40.5,7633749.0
2016-01-21,40.03,40.75,39.12,39.61,7611361.0
2016-01-22,40.69,43.98,40.5,42.83,9569587.0
2016-01-23,40.69,43.98,40.5,42.83,9569587.0
2016-01-24,40.69,43.98,40.5,42.83,9569587.0
2016-01-25,42.17,43.23,40.67,40.77,5836451.0
2016-01-26,41.08,41.58,40.37,41.56,5022212.0
2016-01-27,41.57,41.86,39.53,39.86,8432505.0
2016-01-28,41.14,41.48,39.5,40.22,4811048.0
2016-01-29,40.56,41.79,39.85,41.79,7007464.0
2016-01-30,40.56,41.79,39.85,41.79,7007464.0
2016-01-31,40.56,41.79,39.85,41.79,7007464.0
2016-02-01,41.65,42.195,40.8,41.77,6672141.0
2016-02-02,41.07,41.38,39.75,40.27,6799121.0
2016-02-03,39.8,40.07,35.4,37.2,15689265.0
