Date,Open,High,Low,Close,Volume
2016-01-04,12.56,13.0,12.38,12.82,12667626.0
2016-01-04,12.56,13.0,12.38,12.82,12667626.0
2016-01-04,12.56,13.0,12.38,12.82,12667626.0
2016-01-04,12.56,13.0,12.38,12.82,12667626.0
2016-01-05,12.79,12.86,12.33,12.76,9776780.0
2016-01-06,12.25,12.27,11.14,11.28,15833656.0
2016-01-07,10.83,11.175,10.55,10.67,20172902.0
2016-01-08,10.78,10.9091,9.86,10.35,34056201.0
2016-01-09,10.78,10.9091,9.86,10.35,34056201.0
2016-01-10,10.78,10.9091,9.86,10.35,34056201.0
2016-01-11,10.4,10.41,9.37,9.62,22272617.0
2016-01-12,9.7,9.76,8.71,9.19,25502321.0
2016-01-13,9.4,9.64,8.44,8.54,26857652.0
2016-01-14,8.7,9.24,8.36,9.07,33824238.0
2016-01-15,8.14,8.37,7.71,8.14,39561456.0
2016-01-16,8.14,8.37,7.71,8.14,39561456.0
2016-01-17,8.14,8.37,7.71,8.14,39561456.0
2016-01-18,8.14,8.37,7.71,8.14,39561456.0
2016-01-19,8.21,8.255,7.49,7.68,29524750.0
2016-01-20,7.34,8.04,7.08,7.86,45456475.0
2016-01-21,7.75,8.89,7.72,8.79,37173050.0
2016-01-22,10.19,10.63,8.64,9.02,38956540.0
2016-01-23,10.19,10.63,8.64,9.02,38956540.0
2016-01-24,10.19,10.63,8.64,9.02,38956540.0
2016-01-25,8.75,9.19,8.115,8.14,19504210.0
2016-01-26,8.36,8.5,7.93,8.45,16344329.0
2016-01-27,8.34,9.35,8.18,8.75,27283872.0
2016-01-28,9.34,9.55,8.84,9.17,20993430.0
2016-01-29,9.22,9.85,9.17,9.73,20676461.0
2016-01-30,9.22,9.85,9.17,9.73,20676461.0
2016-01-31,9.22,9.85,9.17,9.73,20676461.0
2016-02-01,9.38,9.8,9.22,9.74,17657996.0
2016-02-02,9.32,9.345,8.69,8.74,19957245.0
2016-02-03,9.02,9.43,8.44,9.42,23843766.0
2016-02-04,9.55,10.28,9.09,9.19,33499057.0
2016-02-05,9.07,9.1,8.34,8.46,29573442.0
2016-02-06,9.07,9.1,8.34,8.46,29573442.0
2016-02-07,9.07,9.1,8.34,8.46,29573442.0
2016-02-08,8.26,8.46,7.63,7.82,45564824.0
2016-02-09,7.63,7.71,7.03,7.29,24988345.0
2016-02-10,7.23,7.62,7.01,7.13,21709093.0
2016-02-11,6.92,7.3,6.52,7.06,36848267.0
2016-02-12,7.22,7.66,7.045,7.49,30426439.0
2016-02-13,7.22,7.66,7.045,7.49,30426439.0
2016-02-14,7.22,7.66,7.045,7.49,30426439.0
2016-02-15,7.22,7.66,7.045,7.49,30426439.0
2016-02-16,7.76,7.84,7.18,7.4,22432813.0
2016-02-17,7.67,7.72,6.75,7.41,63617527.0
2016-02-18,7.6,7.62,6.7,6.93,54993123.0
2016-02-19,6.85,6.88,6.52,6.73,38683966.0
2016-02-20,6.85,6.88,6.52,6.73,38683966.0
2016-02-21,6.85,6.88,6.52,6.73,38683966.0
2016-02-22,6.97,7.5,6.85,7.49,34556579.0
2016-02-23,7.3,7.46,6.9,7.03,28061418.0
2016-02-24,6.75,7.25,6.66,7.22,18795102.0
2016-02-25,7.25,7.43,6.96,7.39,20804254.0
2016-02-26,7.75,8.2,7.59,8.03,36406086.0
2016-02-27,7.75,8.2,7.59,8.03,36406086.0
2016-02-28,7.75,8.2,7.59,8.03,36406086.0
2016-02-29,8.49,8.53,7.97,8.21,38357678.0
2016-03-01,7.78,8.07,7.56,7.96,273972908.0
2016-03-02,7.94,9.15,7.9,9.1,74521533.0
