Date,Open,High,Low,Close,Volume
2016-01-04,333.07,334.77,325.71,329.34,210604.0
2016-01-04,333.07,334.77,325.71,329.34,210604.0
2016-01-04,333.07,334.77,325.71,329.34,210604.0
2016-01-04,333.07,334.77,325.71,329.34,210604.0
2016-01-05,330.29,336.8,328.7,331.38,131832.0
2016-01-06,328.24,331.34,322.37,324.74,194999.0
2016-01-07,318.79,320.36,314.865,315.73,229581.0
2016-01-08,318.72,321.4,313.35,313.93,210090.0
2016-01-09,318.72,321.4,313.35,313.93,210090.0
2016-01-10,318.72,321.4,313.35,313.93,210090.0
2016-01-11,315.39,319.9899,308.78,310.86,216054.0
2016-01-12,312.38,317.5,310.46,317.02,340046.0
2016-01-13,318.4,326.64,310.635,311.58,161946.0
2016-01-14,312.33,316.605,309.03,310.66,184214.0
2016-01-15,303.0,314.48,301.34,313.62,309025.0
2016-01-16,303.0,314.48,301.34,313.62,309025.0
2016-01-17,303.0,314.48,301.34,313.62,309025.0
2016-01-18,303.0,314.48,301.34,313.62,309025.0
2016-01-19,316.45,316.9,305.12,308.43,218316.0
2016-01-20,304.53,309.515,298.02,307.45,263180.0
2016-01-21,307.9,309.5,302.85,307.08,172485.0
2016-01-22,310.1,323.15,310.1,316.25,335970.0
2016-01-23,310.1,323.15,310.1,316.25,335970.0
2016-01-24,310.1,323.15,310.1,316.25,335970.0
2016-01-25,316.09,319.35,314.21,316.02,203432.0
2016-01-26,316.41,317.2075,313.78,315.23,153747.0
2016-01-27,314.28,316.82,310.815,312.85,208159.0
2016-01-28,315.39,315.39,306.39,307.4,220806.0
2016-01-29,308.39,313.31,307.606,312.85,669062.0
2016-01-30,308.39,313.31,307.606,312.85,669062.0
2016-01-31,308.39,313.31,307.606,312.85,669062.0
2016-02-01,310.29,319.06,310.29,317.32,306353.0
2016-02-02,314.48,316.15,310.95,311.72,183077.0
2016-02-03,312.42,313.87,303.08,309.26,357594.0
2016-02-04,308.18,318.08,307.08,313.98,425253.0
2016-02-05,313.68,322.24,307.0,311.68,487232.0
2016-02-06,313.68,322.24,307.0,311.68,487232.0
2016-02-07,313.68,322.24,307.0,311.68,487232.0
2016-02-08,308.43,309.7,292.8905,298.14,346800.0
2016-02-09,294.97,308.705,291.325,307.0,301346.0
2016-02-10,309.67,315.14,306.8941,307.56,199083.0
2016-02-11,301.95,304.55,295.89,299.31,196121.0
2016-02-12,301.31,307.07,299.53,307.07,131236.0
2016-02-13,301.31,307.07,299.53,307.07,131236.0
2016-02-14,301.31,307.07,299.53,307.07,131236.0
2016-02-15,301.31,307.07,299.53,307.07,131236.0
2016-02-16,310.26,314.43,308.575,312.69,165866.0
2016-02-17,314.0,321.81,313.34,321.43,195817.0
2016-02-18,321.41,321.98,315.03,316.8,151349.0
